Epoch: 001, Train Loss: 2.294, Train Acc: 0.196, Test Loss: 1.999, Test Acc: 0.227
Epoch: 002, Train Loss: 1.979, Train Acc: 0.228, Test Loss: 1.915, Test Acc: 0.244
Epoch: 003, Train Loss: 1.941, Train Acc: 0.234, Test Loss: 1.948, Test Acc: 0.239
Epoch: 004, Train Loss: 1.923, Train Acc: 0.236, Test Loss: 1.871, Test Acc: 0.248
Epoch: 005, Train Loss: 1.904, Train Acc: 0.242, Test Loss: 1.931, Test Acc: 0.251
Epoch: 006, Train Loss: 1.898, Train Acc: 0.245, Test Loss: 1.884, Test Acc: 0.250
Epoch: 007, Train Loss: 1.891, Train Acc: 0.249, Test Loss: 1.872, Test Acc: 0.251
Epoch: 008, Train Loss: 1.883, Train Acc: 0.251, Test Loss: 1.863, Test Acc: 0.248
Epoch: 009, Train Loss: 1.879, Train Acc: 0.251, Test Loss: 1.901, Test Acc: 0.252
Epoch: 010, Train Loss: 1.877, Train Acc: 0.252, Test Loss: 1.870, Test Acc: 0.252
Epoch: 011, Train Loss: 1.873, Train Acc: 0.252, Test Loss: 1.859, Test Acc: 0.257
Epoch: 012, Train Loss: 1.869, Train Acc: 0.253, Test Loss: 1.904, Test Acc: 0.245
Epoch: 013, Train Loss: 1.865, Train Acc: 0.255, Test Loss: 1.873, Test Acc: 0.261
Epoch: 014, Train Loss: 1.864, Train Acc: 0.256, Test Loss: 1.878, Test Acc: 0.262
Epoch: 015, Train Loss: 1.860, Train Acc: 0.255, Test Loss: 1.858, Test Acc: 0.262
Epoch: 016, Train Loss: 1.862, Train Acc: 0.256, Test Loss: 1.829, Test Acc: 0.263
Epoch: 017, Train Loss: 1.859, Train Acc: 0.259, Test Loss: 1.859, Test Acc: 0.265
Epoch: 018, Train Loss: 1.859, Train Acc: 0.258, Test Loss: 1.852, Test Acc: 0.263
Epoch: 019, Train Loss: 1.856, Train Acc: 0.258, Test Loss: 1.896, Test Acc: 0.254
Epoch: 020, Train Loss: 1.854, Train Acc: 0.263, Test Loss: 1.812, Test Acc: 0.257
Epoch: 021, Train Loss: 1.853, Train Acc: 0.262, Test Loss: 1.917, Test Acc: 0.262
Epoch: 022, Train Loss: 1.852, Train Acc: 0.261, Test Loss: 1.814, Test Acc: 0.269
Epoch: 023, Train Loss: 1.851, Train Acc: 0.262, Test Loss: 1.838, Test Acc: 0.258
Epoch: 024, Train Loss: 1.851, Train Acc: 0.260, Test Loss: 1.819, Test Acc: 0.266
Epoch: 025, Train Loss: 1.848, Train Acc: 0.263, Test Loss: 1.847, Test Acc: 0.264
Epoch: 026, Train Loss: 1.847, Train Acc: 0.263, Test Loss: 1.813, Test Acc: 0.269
Epoch: 027, Train Loss: 1.849, Train Acc: 0.261, Test Loss: 1.856, Test Acc: 0.265
Epoch: 028, Train Loss: 1.848, Train Acc: 0.262, Test Loss: 1.832, Test Acc: 0.266
Epoch: 029, Train Loss: 1.849, Train Acc: 0.262, Test Loss: 1.855, Test Acc: 0.260
Epoch: 030, Train Loss: 1.850, Train Acc: 0.262, Test Loss: 1.844, Test Acc: 0.267
Epoch: 031, Train Loss: 1.844, Train Acc: 0.264, Test Loss: 1.872, Test Acc: 0.263
Epoch: 032, Train Loss: 1.845, Train Acc: 0.263, Test Loss: 1.896, Test Acc: 0.259
Epoch: 033, Train Loss: 1.845, Train Acc: 0.261, Test Loss: 1.853, Test Acc: 0.261
Epoch: 034, Train Loss: 1.843, Train Acc: 0.266, Test Loss: 1.904, Test Acc: 0.266
Epoch: 035, Train Loss: 1.845, Train Acc: 0.260, Test Loss: 1.829, Test Acc: 0.268
Epoch: 036, Train Loss: 1.845, Train Acc: 0.262, Test Loss: 1.842, Test Acc: 0.268
Epoch: 037, Train Loss: 1.845, Train Acc: 0.262, Test Loss: 1.854, Test Acc: 0.265
Epoch: 038, Train Loss: 1.845, Train Acc: 0.263, Test Loss: 1.846, Test Acc: 0.266
Epoch: 039, Train Loss: 1.842, Train Acc: 0.264, Test Loss: 1.830, Test Acc: 0.266
Epoch: 040, Train Loss: 1.842, Train Acc: 0.265, Test Loss: 1.840, Test Acc: 0.264
Epoch: 041, Train Loss: 1.841, Train Acc: 0.265, Test Loss: 1.829, Test Acc: 0.272
Epoch: 042, Train Loss: 1.840, Train Acc: 0.265, Test Loss: 1.892, Test Acc: 0.267
Epoch: 043, Train Loss: 1.842, Train Acc: 0.264, Test Loss: 1.858, Test Acc: 0.266
Epoch: 044, Train Loss: 1.841, Train Acc: 0.264, Test Loss: 1.825, Test Acc: 0.269
Epoch: 045, Train Loss: 1.841, Train Acc: 0.264, Test Loss: 1.829, Test Acc: 0.266
Epoch: 046, Train Loss: 1.840, Train Acc: 0.267, Test Loss: 1.840, Test Acc: 0.270
Epoch: 047, Train Loss: 1.839, Train Acc: 0.267, Test Loss: 1.812, Test Acc: 0.269
Epoch: 048, Train Loss: 1.840, Train Acc: 0.265, Test Loss: 1.834, Test Acc: 0.266
Epoch: 049, Train Loss: 1.838, Train Acc: 0.263, Test Loss: 1.795, Test Acc: 0.265
Epoch: 050, Train Loss: 1.838, Train Acc: 0.266, Test Loss: 1.835, Test Acc: 0.267
Epoch: 051, Train Loss: 1.839, Train Acc: 0.266, Test Loss: 1.827, Test Acc: 0.274
Epoch: 052, Train Loss: 1.838, Train Acc: 0.266, Test Loss: 1.850, Test Acc: 0.268
Epoch: 053, Train Loss: 1.838, Train Acc: 0.267, Test Loss: 1.843, Test Acc: 0.272
Epoch: 054, Train Loss: 1.834, Train Acc: 0.266, Test Loss: 1.835, Test Acc: 0.269
Epoch: 055, Train Loss: 1.838, Train Acc: 0.265, Test Loss: 1.865, Test Acc: 0.272
Epoch: 056, Train Loss: 1.836, Train Acc: 0.266, Test Loss: 1.869, Test Acc: 0.272
Epoch: 057, Train Loss: 1.839, Train Acc: 0.267, Test Loss: 1.852, Test Acc: 0.266
Epoch: 058, Train Loss: 1.836, Train Acc: 0.266, Test Loss: 1.838, Test Acc: 0.262
Epoch: 059, Train Loss: 1.834, Train Acc: 0.268, Test Loss: 1.823, Test Acc: 0.270
Result of run 0.000 is 0.270
Epoch: 001, Train Loss: 2.232, Train Acc: 0.194, Test Loss: 1.913, Test Acc: 0.223
Epoch: 002, Train Loss: 1.980, Train Acc: 0.227, Test Loss: 1.814, Test Acc: 0.236
Epoch: 003, Train Loss: 1.938, Train Acc: 0.235, Test Loss: 1.806, Test Acc: 0.237
Epoch: 004, Train Loss: 1.914, Train Acc: 0.240, Test Loss: 1.767, Test Acc: 0.253
Epoch: 005, Train Loss: 1.904, Train Acc: 0.247, Test Loss: 1.727, Test Acc: 0.236
Epoch: 006, Train Loss: 1.893, Train Acc: 0.246, Test Loss: 1.752, Test Acc: 0.248
Epoch: 007, Train Loss: 1.887, Train Acc: 0.246, Test Loss: 1.729, Test Acc: 0.255
Epoch: 008, Train Loss: 1.882, Train Acc: 0.248, Test Loss: 1.746, Test Acc: 0.255
