- M: GAPNet - D: IMDB-BINARY(1000) - Train_split: 800 - B: 64 - Centers (if CTNet): 20 - LAP (if GAPNet): laplacian - Classes 2 - Feats 1
Epoch: 001, Train Loss: 2.140, Train Acc: 0.527, Test Loss: 0.785, Test Acc: 0.595
Epoch: 002, Train Loss: 1.154, Train Acc: 0.603, Test Loss: 0.833, Test Acc: 0.685
Epoch: 003, Train Loss: 1.079, Train Acc: 0.618, Test Loss: 0.766, Test Acc: 0.745
Epoch: 004, Train Loss: 1.022, Train Acc: 0.620, Test Loss: 0.771, Test Acc: 0.705
Epoch: 005, Train Loss: 0.954, Train Acc: 0.646, Test Loss: 0.787, Test Acc: 0.710
Epoch: 006, Train Loss: 0.939, Train Acc: 0.640, Test Loss: 0.670, Test Acc: 0.745
Epoch: 007, Train Loss: 0.963, Train Acc: 0.655, Test Loss: 0.645, Test Acc: 0.750
Epoch: 008, Train Loss: 0.998, Train Acc: 0.621, Test Loss: 0.633, Test Acc: 0.720
Epoch: 009, Train Loss: 1.061, Train Acc: 0.583, Test Loss: 0.731, Test Acc: 0.695
Epoch: 010, Train Loss: 0.982, Train Acc: 0.596, Test Loss: 0.725, Test Acc: 0.560
Epoch: 011, Train Loss: 1.080, Train Acc: 0.556, Test Loss: 0.691, Test Acc: 0.610
Epoch: 012, Train Loss: 0.947, Train Acc: 0.615, Test Loss: 0.663, Test Acc: 0.700
Epoch: 013, Train Loss: 0.921, Train Acc: 0.645, Test Loss: 0.708, Test Acc: 0.520
Epoch: 014, Train Loss: 0.915, Train Acc: 0.609, Test Loss: 0.671, Test Acc: 0.735
Epoch: 015, Train Loss: 0.859, Train Acc: 0.660, Test Loss: 0.646, Test Acc: 0.730
Epoch: 016, Train Loss: 0.891, Train Acc: 0.651, Test Loss: 0.708, Test Acc: 0.695
Epoch: 017, Train Loss: 0.925, Train Acc: 0.631, Test Loss: 0.638, Test Acc: 0.745
Epoch: 018, Train Loss: 0.931, Train Acc: 0.618, Test Loss: 0.689, Test Acc: 0.705
Epoch: 019, Train Loss: 0.941, Train Acc: 0.604, Test Loss: 0.691, Test Acc: 0.705
Epoch: 020, Train Loss: 0.898, Train Acc: 0.646, Test Loss: 0.618, Test Acc: 0.695
Epoch: 021, Train Loss: 0.902, Train Acc: 0.652, Test Loss: 0.644, Test Acc: 0.730
Epoch: 022, Train Loss: 0.929, Train Acc: 0.621, Test Loss: 0.775, Test Acc: 0.700
Epoch: 023, Train Loss: 0.943, Train Acc: 0.634, Test Loss: 0.665, Test Acc: 0.690
Epoch: 024, Train Loss: 0.930, Train Acc: 0.627, Test Loss: 0.684, Test Acc: 0.720
Epoch: 025, Train Loss: 0.954, Train Acc: 0.615, Test Loss: 0.699, Test Acc: 0.735
Epoch: 026, Train Loss: 0.934, Train Acc: 0.650, Test Loss: 0.682, Test Acc: 0.745
Epoch: 027, Train Loss: 0.925, Train Acc: 0.685, Test Loss: 0.630, Test Acc: 0.695
Epoch: 028, Train Loss: 0.949, Train Acc: 0.641, Test Loss: 0.975, Test Acc: 0.500
Epoch: 029, Train Loss: 0.946, Train Acc: 0.624, Test Loss: 0.671, Test Acc: 0.765
Epoch: 030, Train Loss: 0.842, Train Acc: 0.664, Test Loss: 0.579, Test Acc: 0.720
Epoch: 031, Train Loss: 0.920, Train Acc: 0.640, Test Loss: 0.652, Test Acc: 0.600
Epoch: 032, Train Loss: 0.918, Train Acc: 0.650, Test Loss: 0.655, Test Acc: 0.585
Epoch: 033, Train Loss: 0.860, Train Acc: 0.647, Test Loss: 0.692, Test Acc: 0.760
Epoch: 034, Train Loss: 0.920, Train Acc: 0.694, Test Loss: 0.596, Test Acc: 0.750
Epoch: 035, Train Loss: 0.867, Train Acc: 0.630, Test Loss: 0.646, Test Acc: 0.735
Epoch: 036, Train Loss: 0.850, Train Acc: 0.665, Test Loss: 0.593, Test Acc: 0.750
Epoch: 037, Train Loss: 0.896, Train Acc: 0.666, Test Loss: 0.580, Test Acc: 0.725
Epoch: 038, Train Loss: 0.915, Train Acc: 0.636, Test Loss: 0.640, Test Acc: 0.705
Epoch: 039, Train Loss: 0.886, Train Acc: 0.667, Test Loss: 0.612, Test Acc: 0.755
Epoch: 040, Train Loss: 0.889, Train Acc: 0.688, Test Loss: 0.619, Test Acc: 0.745
Epoch: 041, Train Loss: 0.859, Train Acc: 0.650, Test Loss: 0.639, Test Acc: 0.715
Epoch: 042, Train Loss: 0.816, Train Acc: 0.661, Test Loss: 0.551, Test Acc: 0.750
Epoch: 043, Train Loss: 0.885, Train Acc: 0.649, Test Loss: 0.592, Test Acc: 0.750
