- M: GAPNet - D: IMDB-BINARY(1000) - Train_split: 800 - B: 64 - Centers (if CTNet): 20 - LAP (if GAPNet): normalized - Classes 2 - Feats 1
Epoch: 001, Train Loss: 2.344, Train Acc: 0.489, Test Loss: 1.023, Test Acc: 0.505
Epoch: 002, Train Loss: 1.396, Train Acc: 0.504, Test Loss: 0.951, Test Acc: 0.560
Epoch: 003, Train Loss: 1.358, Train Acc: 0.579, Test Loss: 0.991, Test Acc: 0.570
Epoch: 004, Train Loss: 1.335, Train Acc: 0.554, Test Loss: 0.863, Test Acc: 0.640
Epoch: 005, Train Loss: 1.204, Train Acc: 0.544, Test Loss: 0.905, Test Acc: 0.560
Epoch: 006, Train Loss: 1.060, Train Acc: 0.541, Test Loss: 0.761, Test Acc: 0.655
Epoch: 007, Train Loss: 1.070, Train Acc: 0.601, Test Loss: 0.711, Test Acc: 0.640
Epoch: 008, Train Loss: 1.034, Train Acc: 0.570, Test Loss: 0.701, Test Acc: 0.675
Epoch: 009, Train Loss: 1.033, Train Acc: 0.596, Test Loss: 0.688, Test Acc: 0.650
Epoch: 010, Train Loss: 1.013, Train Acc: 0.611, Test Loss: 0.679, Test Acc: 0.715
Epoch: 011, Train Loss: 0.983, Train Acc: 0.632, Test Loss: 0.715, Test Acc: 0.595
Epoch: 012, Train Loss: 0.948, Train Acc: 0.679, Test Loss: 0.644, Test Acc: 0.705
Epoch: 013, Train Loss: 0.954, Train Acc: 0.639, Test Loss: 0.599, Test Acc: 0.655
Epoch: 014, Train Loss: 0.881, Train Acc: 0.656, Test Loss: 0.625, Test Acc: 0.710
Epoch: 015, Train Loss: 0.913, Train Acc: 0.669, Test Loss: 0.668, Test Acc: 0.725
Epoch: 016, Train Loss: 0.911, Train Acc: 0.650, Test Loss: 0.678, Test Acc: 0.645
Epoch: 017, Train Loss: 0.940, Train Acc: 0.685, Test Loss: 0.657, Test Acc: 0.705
Epoch: 018, Train Loss: 0.955, Train Acc: 0.616, Test Loss: 0.687, Test Acc: 0.660
Epoch: 019, Train Loss: 0.945, Train Acc: 0.679, Test Loss: 0.562, Test Acc: 0.665
Epoch: 020, Train Loss: 0.885, Train Acc: 0.655, Test Loss: 0.660, Test Acc: 0.720
Epoch: 021, Train Loss: 0.896, Train Acc: 0.677, Test Loss: 0.649, Test Acc: 0.695
Epoch: 022, Train Loss: 0.856, Train Acc: 0.666, Test Loss: 0.721, Test Acc: 0.675
Epoch: 023, Train Loss: 0.886, Train Acc: 0.693, Test Loss: 0.685, Test Acc: 0.665
Epoch: 024, Train Loss: 0.874, Train Acc: 0.696, Test Loss: 0.644, Test Acc: 0.750
Epoch: 025, Train Loss: 0.976, Train Acc: 0.632, Test Loss: 0.614, Test Acc: 0.720
Epoch: 026, Train Loss: 0.896, Train Acc: 0.647, Test Loss: 0.768, Test Acc: 0.620
Epoch: 027, Train Loss: 0.899, Train Acc: 0.679, Test Loss: 0.715, Test Acc: 0.670
Epoch: 028, Train Loss: 0.879, Train Acc: 0.677, Test Loss: 0.710, Test Acc: 0.670
Epoch: 029, Train Loss: 0.902, Train Acc: 0.646, Test Loss: 0.613, Test Acc: 0.700
Epoch: 030, Train Loss: 0.888, Train Acc: 0.684, Test Loss: 0.601, Test Acc: 0.680
Epoch: 031, Train Loss: 0.887, Train Acc: 0.699, Test Loss: 0.659, Test Acc: 0.655
Epoch: 032, Train Loss: 0.837, Train Acc: 0.704, Test Loss: 0.622, Test Acc: 0.690
Epoch: 033, Train Loss: 0.897, Train Acc: 0.674, Test Loss: 0.640, Test Acc: 0.695
Epoch: 034, Train Loss: 0.891, Train Acc: 0.682, Test Loss: 0.624, Test Acc: 0.695
Epoch: 035, Train Loss: 0.820, Train Acc: 0.704, Test Loss: 0.716, Test Acc: 0.690
Epoch: 036, Train Loss: 0.863, Train Acc: 0.704, Test Loss: 0.658, Test Acc: 0.665
Epoch: 037, Train Loss: 0.888, Train Acc: 0.679, Test Loss: 0.624, Test Acc: 0.695
Epoch: 038, Train Loss: 0.886, Train Acc: 0.706, Test Loss: 0.584, Test Acc: 0.700
Epoch: 039, Train Loss: 0.870, Train Acc: 0.700, Test Loss: 0.635, Test Acc: 0.720
Epoch: 040, Train Loss: 0.872, Train Acc: 0.698, Test Loss: 0.810, Test Acc: 0.650
Epoch: 041, Train Loss: 0.866, Train Acc: 0.688, Test Loss: 0.590, Test Acc: 0.620
Epoch: 042, Train Loss: 0.825, Train Acc: 0.659, Test Loss: 0.618, Test Acc: 0.675
Epoch: 043, Train Loss: 0.856, Train Acc: 0.700, Test Loss: 0.587, Test Acc: 0.690
Epoch: 044, Train Loss: 0.884, Train Acc: 0.693, Test Loss: 0.684, Test Acc: 0.675
Epoch: 045, Train Loss: 0.846, Train Acc: 0.705, Test Loss: 0.622, Test Acc: 0.680
Epoch: 046, Train Loss: 0.843, Train Acc: 0.698, Test Loss: 0.644, Test Acc: 0.700
Epoch: 047, Train Loss: 0.844, Train Acc: 0.700, Test Loss: 0.605, Test Acc: 0.730
Epoch: 048, Train Loss: 0.834, Train Acc: 0.686, Test Loss: 0.666, Test Acc: 0.645
Epoch: 049, Train Loss: 1.034, Train Acc: 0.681, Test Loss: 0.562, Test Acc: 0.635
Epoch: 050, Train Loss: 0.888, Train Acc: 0.669, Test Loss: 0.646, Test Acc: 0.715
Epoch: 051, Train Loss: 0.915, Train Acc: 0.646, Test Loss: 0.669, Test Acc: 0.715
