- M: CTNet - D: MNIST(55000) - Train_split: 50000 - B: 100 - Centers (if CTNet): 100 - LAP (if GAPNet): laplacian - Classes 10 - Feats 1
Epoch: 001, Train Loss: 102.054, Train Acc: 0.193, Test Loss: 101.875, Test Acc: 0.221
Epoch: 002, Train Loss: 101.832, Train Acc: 0.231, Test Loss: 101.808, Test Acc: 0.240
Epoch: 003, Train Loss: 101.790, Train Acc: 0.239, Test Loss: 101.789, Test Acc: 0.248
Epoch: 004, Train Loss: 101.754, Train Acc: 0.248, Test Loss: 101.732, Test Acc: 0.258
Epoch: 005, Train Loss: 101.718, Train Acc: 0.256, Test Loss: 101.745, Test Acc: 0.258
Epoch: 006, Train Loss: 101.693, Train Acc: 0.263, Test Loss: 101.716, Test Acc: 0.263
Epoch: 007, Train Loss: 101.673, Train Acc: 0.267, Test Loss: 101.720, Test Acc: 0.271
Epoch: 008, Train Loss: 101.661, Train Acc: 0.267, Test Loss: 101.680, Test Acc: 0.276
Epoch: 009, Train Loss: 101.654, Train Acc: 0.266, Test Loss: 101.694, Test Acc: 0.271
Epoch: 010, Train Loss: 101.645, Train Acc: 0.270, Test Loss: 101.651, Test Acc: 0.277
Epoch: 011, Train Loss: 101.644, Train Acc: 0.271, Test Loss: 101.653, Test Acc: 0.268
Epoch: 012, Train Loss: 101.641, Train Acc: 0.269, Test Loss: 101.630, Test Acc: 0.270
Epoch: 013, Train Loss: 101.635, Train Acc: 0.272, Test Loss: 101.662, Test Acc: 0.274
Epoch: 014, Train Loss: 101.631, Train Acc: 0.271, Test Loss: 101.669, Test Acc: 0.276
Epoch: 015, Train Loss: 101.626, Train Acc: 0.272, Test Loss: 101.668, Test Acc: 0.274
Epoch: 016, Train Loss: 101.624, Train Acc: 0.271, Test Loss: 101.672, Test Acc: 0.275
Epoch: 017, Train Loss: 101.617, Train Acc: 0.273, Test Loss: 101.636, Test Acc: 0.274
Epoch: 018, Train Loss: 101.616, Train Acc: 0.273, Test Loss: 101.666, Test Acc: 0.277
Epoch: 019, Train Loss: 101.614, Train Acc: 0.274, Test Loss: 101.679, Test Acc: 0.275
Epoch: 020, Train Loss: 101.609, Train Acc: 0.273, Test Loss: 101.662, Test Acc: 0.278
Epoch: 021, Train Loss: 101.607, Train Acc: 0.275, Test Loss: 101.651, Test Acc: 0.282
Epoch: 022, Train Loss: 101.604, Train Acc: 0.272, Test Loss: 101.646, Test Acc: 0.284
Epoch: 023, Train Loss: 101.600, Train Acc: 0.275, Test Loss: 101.636, Test Acc: 0.281
Epoch: 024, Train Loss: 101.598, Train Acc: 0.274, Test Loss: 101.615, Test Acc: 0.271
Epoch: 025, Train Loss: 101.594, Train Acc: 0.278, Test Loss: 101.635, Test Acc: 0.272
Epoch: 026, Train Loss: 101.585, Train Acc: 0.279, Test Loss: 101.624, Test Acc: 0.274
Epoch: 027, Train Loss: 101.574, Train Acc: 0.282, Test Loss: 101.603, Test Acc: 0.295
Epoch: 028, Train Loss: 101.553, Train Acc: 0.292, Test Loss: 101.574, Test Acc: 0.300
Epoch: 029, Train Loss: 101.539, Train Acc: 0.294, Test Loss: 101.535, Test Acc: 0.302
Epoch: 030, Train Loss: 101.529, Train Acc: 0.300, Test Loss: 101.557, Test Acc: 0.306
Epoch: 031, Train Loss: 101.524, Train Acc: 0.301, Test Loss: 101.583, Test Acc: 0.292
Epoch: 032, Train Loss: 101.525, Train Acc: 0.298, Test Loss: 101.548, Test Acc: 0.312
Epoch: 033, Train Loss: 101.514, Train Acc: 0.305, Test Loss: 101.556, Test Acc: 0.303
Epoch: 034, Train Loss: 101.512, Train Acc: 0.302, Test Loss: 101.532, Test Acc: 0.311
Epoch: 035, Train Loss: 101.511, Train Acc: 0.304, Test Loss: 101.544, Test Acc: 0.308
Epoch: 036, Train Loss: 101.513, Train Acc: 0.303, Test Loss: 101.512, Test Acc: 0.312
Epoch: 037, Train Loss: 101.506, Train Acc: 0.305, Test Loss: 101.558, Test Acc: 0.307
Epoch: 038, Train Loss: 101.505, Train Acc: 0.305, Test Loss: 101.550, Test Acc: 0.305
Epoch: 039, Train Loss: 101.505, Train Acc: 0.305, Test Loss: 101.545, Test Acc: 0.311
Epoch: 040, Train Loss: 101.505, Train Acc: 0.305, Test Loss: 101.575, Test Acc: 0.311
Epoch: 041, Train Loss: 101.503, Train Acc: 0.305, Test Loss: 101.590, Test Acc: 0.293
Epoch: 042, Train Loss: 101.498, Train Acc: 0.306, Test Loss: 101.556, Test Acc: 0.303
Epoch: 043, Train Loss: 101.501, Train Acc: 0.307, Test Loss: 101.536, Test Acc: 0.315
Epoch: 044, Train Loss: 101.498, Train Acc: 0.307, Test Loss: 101.539, Test Acc: 0.308
Epoch: 045, Train Loss: 101.498, Train Acc: 0.306, Test Loss: 101.580, Test Acc: 0.301
Epoch: 046, Train Loss: 101.496, Train Acc: 0.306, Test Loss: 101.516, Test Acc: 0.309
Epoch: 047, Train Loss: 101.502, Train Acc: 0.306, Test Loss: 101.600, Test Acc: 0.294
Epoch: 048, Train Loss: 101.499, Train Acc: 0.306, Test Loss: 101.515, Test Acc: 0.313
Epoch: 049, Train Loss: 101.493, Train Acc: 0.309, Test Loss: 101.540, Test Acc: 0.311
Epoch: 050, Train Loss: 101.492, Train Acc: 0.308, Test Loss: 101.557, Test Acc: 0.315
Epoch: 051, Train Loss: 101.492, Train Acc: 0.310, Test Loss: 101.525, Test Acc: 0.319
Epoch: 052, Train Loss: 101.490, Train Acc: 0.312, Test Loss: 101.526, Test Acc: 0.322
Epoch: 053, Train Loss: 101.492, Train Acc: 0.309, Test Loss: 101.504, Test Acc: 0.311
Epoch: 054, Train Loss: 101.487, Train Acc: 0.310, Test Loss: 101.569, Test Acc: 0.307
Epoch: 055, Train Loss: 101.490, Train Acc: 0.310, Test Loss: 101.538, Test Acc: 0.318
Epoch: 056, Train Loss: 101.490, Train Acc: 0.311, Test Loss: 101.516, Test Acc: 0.309
Epoch: 057, Train Loss: 101.489, Train Acc: 0.308, Test Loss: 101.553, Test Acc: 0.300
Epoch: 058, Train Loss: 101.490, Train Acc: 0.309, Test Loss: 101.495, Test Acc: 0.310
Epoch: 059, Train Loss: 101.486, Train Acc: 0.311, Test Loss: 101.523, Test Acc: 0.316
Result of run 0.000 is 0.316
