- M: GAPNet - D: MNIST(55000) - Train_split: 50000 - B: 100 - Centers (if CTNet): 100 - LAP (if GAPNet): laplacian - Classes 10 - Feats 1
Epoch: 001, Train Loss: 2.231, Train Acc: 0.215, Test Loss: 1.976, Test Acc: 0.229
Epoch: 002, Train Loss: 2.033, Train Acc: 0.236, Test Loss: 1.957, Test Acc: 0.237
Epoch: 003, Train Loss: 2.007, Train Acc: 0.239, Test Loss: 1.950, Test Acc: 0.244
Epoch: 004, Train Loss: 1.990, Train Acc: 0.240, Test Loss: 1.954, Test Acc: 0.242
Epoch: 005, Train Loss: 1.973, Train Acc: 0.240, Test Loss: 1.913, Test Acc: 0.252
Epoch: 006, Train Loss: 1.959, Train Acc: 0.241, Test Loss: 1.912, Test Acc: 0.249
Epoch: 007, Train Loss: 1.948, Train Acc: 0.241, Test Loss: 1.886, Test Acc: 0.234
Epoch: 008, Train Loss: 1.940, Train Acc: 0.240, Test Loss: 1.875, Test Acc: 0.234
Epoch: 009, Train Loss: 1.930, Train Acc: 0.240, Test Loss: 1.871, Test Acc: 0.248
Epoch: 010, Train Loss: 1.924, Train Acc: 0.239, Test Loss: 1.855, Test Acc: 0.234
Epoch: 011, Train Loss: 1.916, Train Acc: 0.242, Test Loss: 1.862, Test Acc: 0.240
Epoch: 012, Train Loss: 1.912, Train Acc: 0.243, Test Loss: 1.855, Test Acc: 0.232
Epoch: 013, Train Loss: 1.907, Train Acc: 0.241, Test Loss: 1.842, Test Acc: 0.239
Epoch: 014, Train Loss: 1.900, Train Acc: 0.244, Test Loss: 1.872, Test Acc: 0.249
Epoch: 015, Train Loss: 1.895, Train Acc: 0.243, Test Loss: 1.860, Test Acc: 0.248
Epoch: 016, Train Loss: 1.888, Train Acc: 0.246, Test Loss: 1.827, Test Acc: 0.241
Epoch: 017, Train Loss: 1.884, Train Acc: 0.247, Test Loss: 1.824, Test Acc: 0.256
Epoch: 018, Train Loss: 1.878, Train Acc: 0.250, Test Loss: 1.810, Test Acc: 0.244
Epoch: 019, Train Loss: 1.873, Train Acc: 0.252, Test Loss: 1.803, Test Acc: 0.247
Epoch: 020, Train Loss: 1.871, Train Acc: 0.250, Test Loss: 1.831, Test Acc: 0.253
Epoch: 021, Train Loss: 1.871, Train Acc: 0.251, Test Loss: 1.854, Test Acc: 0.251
Epoch: 022, Train Loss: 1.866, Train Acc: 0.250, Test Loss: 1.829, Test Acc: 0.255
Epoch: 023, Train Loss: 1.864, Train Acc: 0.253, Test Loss: 1.800, Test Acc: 0.251
Epoch: 024, Train Loss: 1.862, Train Acc: 0.254, Test Loss: 1.806, Test Acc: 0.249
Epoch: 025, Train Loss: 1.860, Train Acc: 0.252, Test Loss: 1.791, Test Acc: 0.244
Epoch: 026, Train Loss: 1.859, Train Acc: 0.254, Test Loss: 1.792, Test Acc: 0.253
Epoch: 027, Train Loss: 1.857, Train Acc: 0.252, Test Loss: 1.814, Test Acc: 0.243
Epoch: 028, Train Loss: 1.856, Train Acc: 0.252, Test Loss: 1.821, Test Acc: 0.259
Epoch: 029, Train Loss: 1.855, Train Acc: 0.252, Test Loss: 1.801, Test Acc: 0.247
Epoch: 030, Train Loss: 1.855, Train Acc: 0.251, Test Loss: 1.781, Test Acc: 0.244
Epoch: 031, Train Loss: 1.852, Train Acc: 0.253, Test Loss: 1.789, Test Acc: 0.250
Epoch: 032, Train Loss: 1.853, Train Acc: 0.253, Test Loss: 1.779, Test Acc: 0.249
Epoch: 033, Train Loss: 1.851, Train Acc: 0.251, Test Loss: 1.792, Test Acc: 0.250
Epoch: 034, Train Loss: 1.849, Train Acc: 0.253, Test Loss: 1.811, Test Acc: 0.251
Epoch: 035, Train Loss: 1.851, Train Acc: 0.252, Test Loss: 1.799, Test Acc: 0.254
Epoch: 036, Train Loss: 1.849, Train Acc: 0.252, Test Loss: 1.776, Test Acc: 0.252
Epoch: 037, Train Loss: 1.849, Train Acc: 0.253, Test Loss: 1.783, Test Acc: 0.253
Epoch: 038, Train Loss: 1.847, Train Acc: 0.253, Test Loss: 1.786, Test Acc: 0.244
Epoch: 039, Train Loss: 1.848, Train Acc: 0.254, Test Loss: 1.779, Test Acc: 0.251
Epoch: 040, Train Loss: 1.848, Train Acc: 0.253, Test Loss: 1.766, Test Acc: 0.244
Epoch: 041, Train Loss: 1.848, Train Acc: 0.253, Test Loss: 1.796, Test Acc: 0.252
Epoch: 042, Train Loss: 1.845, Train Acc: 0.253, Test Loss: 1.806, Test Acc: 0.257
Epoch: 043, Train Loss: 1.845, Train Acc: 0.254, Test Loss: 1.794, Test Acc: 0.249
Epoch: 044, Train Loss: 1.845, Train Acc: 0.254, Test Loss: 1.775, Test Acc: 0.247
Epoch: 045, Train Loss: 1.844, Train Acc: 0.254, Test Loss: 1.774, Test Acc: 0.240
Epoch: 046, Train Loss: 1.844, Train Acc: 0.253, Test Loss: 1.795, Test Acc: 0.249
Epoch: 047, Train Loss: 1.844, Train Acc: 0.255, Test Loss: 1.820, Test Acc: 0.241
Epoch: 048, Train Loss: 1.844, Train Acc: 0.253, Test Loss: 1.782, Test Acc: 0.253
Epoch: 049, Train Loss: 1.844, Train Acc: 0.255, Test Loss: 1.774, Test Acc: 0.250
Epoch: 050, Train Loss: 1.843, Train Acc: 0.253, Test Loss: 1.782, Test Acc: 0.256
Epoch: 051, Train Loss: 1.842, Train Acc: 0.254, Test Loss: 1.773, Test Acc: 0.250
Epoch: 052, Train Loss: 1.842, Train Acc: 0.253, Test Loss: 1.769, Test Acc: 0.255
Epoch: 053, Train Loss: 1.842, Train Acc: 0.253, Test Loss: 1.757, Test Acc: 0.245
Epoch: 054, Train Loss: 1.842, Train Acc: 0.253, Test Loss: 1.785, Test Acc: 0.253
Epoch: 055, Train Loss: 1.843, Train Acc: 0.253, Test Loss: 1.790, Test Acc: 0.247
Epoch: 056, Train Loss: 1.841, Train Acc: 0.253, Test Loss: 1.770, Test Acc: 0.253
Epoch: 057, Train Loss: 1.841, Train Acc: 0.254, Test Loss: 1.795, Test Acc: 0.254
Epoch: 058, Train Loss: 1.840, Train Acc: 0.254, Test Loss: 1.771, Test Acc: 0.253
Epoch: 059, Train Loss: 1.840, Train Acc: 0.254, Test Loss: 1.763, Test Acc: 0.247
Result of run 0.000 is 0.247
Epoch: 001, Train Loss: 2.199, Train Acc: 0.217, Test Loss: 2.014, Test Acc: 0.220
Epoch: 002, Train Loss: 2.032, Train Acc: 0.239, Test Loss: 1.957, Test Acc: 0.238
Epoch: 003, Train Loss: 2.011, Train Acc: 0.239, Test Loss: 1.962, Test Acc: 0.225
Epoch: 004, Train Loss: 1.994, Train Acc: 0.239, Test Loss: 1.947, Test Acc: 0.223
Epoch: 005, Train Loss: 1.976, Train Acc: 0.241, Test Loss: 1.927, Test Acc: 0.233
Epoch: 006, Train Loss: 1.963, Train Acc: 0.239, Test Loss: 1.911, Test Acc: 0.231
Epoch: 007, Train Loss: 1.951, Train Acc: 0.241, Test Loss: 1.886, Test Acc: 0.237
Epoch: 008, Train Loss: 1.939, Train Acc: 0.239, Test Loss: 1.890, Test Acc: 0.238
Epoch: 009, Train Loss: 1.931, Train Acc: 0.241, Test Loss: 1.883, Test Acc: 0.237
Epoch: 010, Train Loss: 1.925, Train Acc: 0.241, Test Loss: 1.875, Test Acc: 0.238
Epoch: 011, Train Loss: 1.918, Train Acc: 0.241, Test Loss: 1.867, Test Acc: 0.238
Epoch: 012, Train Loss: 1.913, Train Acc: 0.243, Test Loss: 1.853, Test Acc: 0.241
Epoch: 013, Train Loss: 1.907, Train Acc: 0.243, Test Loss: 1.846, Test Acc: 0.238
Epoch: 014, Train Loss: 1.902, Train Acc: 0.243, Test Loss: 1.839, Test Acc: 0.238
Epoch: 015, Train Loss: 1.897, Train Acc: 0.245, Test Loss: 1.858, Test Acc: 0.241
Epoch: 016, Train Loss: 1.891, Train Acc: 0.244, Test Loss: 1.853, Test Acc: 0.242
Epoch: 017, Train Loss: 1.886, Train Acc: 0.246, Test Loss: 1.817, Test Acc: 0.245
Epoch: 018, Train Loss: 1.881, Train Acc: 0.249, Test Loss: 1.818, Test Acc: 0.244
Epoch: 019, Train Loss: 1.876, Train Acc: 0.249, Test Loss: 1.823, Test Acc: 0.240
Epoch: 020, Train Loss: 1.874, Train Acc: 0.248, Test Loss: 1.816, Test Acc: 0.250
