Epoch: 001, Train Loss: 2.218, Train Acc: 0.198, Test Loss: 2.060, Test Acc: 0.217
Epoch: 002, Train Loss: 2.058, Train Acc: 0.238, Test Loss: 2.017, Test Acc: 0.233
Epoch: 003, Train Loss: 2.029, Train Acc: 0.235, Test Loss: 2.004, Test Acc: 0.236
Epoch: 004, Train Loss: 2.009, Train Acc: 0.237, Test Loss: 1.994, Test Acc: 0.237
Epoch: 005, Train Loss: 1.994, Train Acc: 0.239, Test Loss: 1.970, Test Acc: 0.236
Epoch: 006, Train Loss: 1.977, Train Acc: 0.239, Test Loss: 1.986, Test Acc: 0.235
Epoch: 007, Train Loss: 1.966, Train Acc: 0.239, Test Loss: 1.959, Test Acc: 0.239
Epoch: 008, Train Loss: 1.955, Train Acc: 0.243, Test Loss: 1.926, Test Acc: 0.242
Epoch: 009, Train Loss: 1.944, Train Acc: 0.244, Test Loss: 1.927, Test Acc: 0.238
Epoch: 010, Train Loss: 1.937, Train Acc: 0.242, Test Loss: 1.918, Test Acc: 0.238
Epoch: 011, Train Loss: 1.929, Train Acc: 0.243, Test Loss: 1.910, Test Acc: 0.239
Epoch: 012, Train Loss: 1.919, Train Acc: 0.245, Test Loss: 1.911, Test Acc: 0.248
Epoch: 013, Train Loss: 1.913, Train Acc: 0.245, Test Loss: 1.905, Test Acc: 0.234
Epoch: 014, Train Loss: 1.905, Train Acc: 0.248, Test Loss: 1.890, Test Acc: 0.238
Epoch: 015, Train Loss: 1.898, Train Acc: 0.250, Test Loss: 1.900, Test Acc: 0.253
Epoch: 016, Train Loss: 1.894, Train Acc: 0.251, Test Loss: 1.887, Test Acc: 0.251
Epoch: 017, Train Loss: 1.889, Train Acc: 0.250, Test Loss: 1.897, Test Acc: 0.249
Epoch: 018, Train Loss: 1.883, Train Acc: 0.253, Test Loss: 1.877, Test Acc: 0.255
Epoch: 019, Train Loss: 1.883, Train Acc: 0.251, Test Loss: 1.865, Test Acc: 0.248
Epoch: 020, Train Loss: 1.878, Train Acc: 0.253, Test Loss: 1.875, Test Acc: 0.250
Epoch: 021, Train Loss: 1.875, Train Acc: 0.253, Test Loss: 1.870, Test Acc: 0.250
Epoch: 022, Train Loss: 1.875, Train Acc: 0.254, Test Loss: 1.855, Test Acc: 0.251
Epoch: 023, Train Loss: 1.870, Train Acc: 0.253, Test Loss: 1.864, Test Acc: 0.249
Epoch: 024, Train Loss: 1.869, Train Acc: 0.254, Test Loss: 1.864, Test Acc: 0.251
Epoch: 025, Train Loss: 1.869, Train Acc: 0.256, Test Loss: 1.863, Test Acc: 0.254
Epoch: 026, Train Loss: 1.866, Train Acc: 0.255, Test Loss: 1.854, Test Acc: 0.254
Epoch: 027, Train Loss: 1.864, Train Acc: 0.254, Test Loss: 1.855, Test Acc: 0.247
Epoch: 028, Train Loss: 1.862, Train Acc: 0.255, Test Loss: 1.857, Test Acc: 0.253
Epoch: 029, Train Loss: 1.862, Train Acc: 0.254, Test Loss: 1.847, Test Acc: 0.252
Epoch: 030, Train Loss: 1.860, Train Acc: 0.254, Test Loss: 1.852, Test Acc: 0.251
Epoch: 031, Train Loss: 1.858, Train Acc: 0.254, Test Loss: 1.846, Test Acc: 0.256
Epoch: 032, Train Loss: 1.860, Train Acc: 0.256, Test Loss: 1.854, Test Acc: 0.251
Epoch: 033, Train Loss: 1.856, Train Acc: 0.254, Test Loss: 1.836, Test Acc: 0.252
Epoch: 034, Train Loss: 1.856, Train Acc: 0.255, Test Loss: 1.825, Test Acc: 0.252
Epoch: 035, Train Loss: 1.855, Train Acc: 0.257, Test Loss: 1.857, Test Acc: 0.250
Epoch: 036, Train Loss: 1.852, Train Acc: 0.256, Test Loss: 1.830, Test Acc: 0.259
Epoch: 037, Train Loss: 1.853, Train Acc: 0.254, Test Loss: 1.832, Test Acc: 0.259
Epoch: 038, Train Loss: 1.850, Train Acc: 0.255, Test Loss: 1.836, Test Acc: 0.255
Epoch: 039, Train Loss: 1.850, Train Acc: 0.258, Test Loss: 1.820, Test Acc: 0.254
Epoch: 040, Train Loss: 1.850, Train Acc: 0.255, Test Loss: 1.840, Test Acc: 0.245
Epoch: 041, Train Loss: 1.849, Train Acc: 0.256, Test Loss: 1.837, Test Acc: 0.251
Epoch: 042, Train Loss: 1.847, Train Acc: 0.256, Test Loss: 1.832, Test Acc: 0.254
Epoch: 043, Train Loss: 1.848, Train Acc: 0.256, Test Loss: 1.846, Test Acc: 0.257
Epoch: 044, Train Loss: 1.849, Train Acc: 0.256, Test Loss: 1.834, Test Acc: 0.256
Epoch: 045, Train Loss: 1.845, Train Acc: 0.257, Test Loss: 1.833, Test Acc: 0.248
Epoch: 046, Train Loss: 1.845, Train Acc: 0.257, Test Loss: 1.836, Test Acc: 0.249
Epoch: 047, Train Loss: 1.845, Train Acc: 0.257, Test Loss: 1.821, Test Acc: 0.257
Epoch: 048, Train Loss: 1.844, Train Acc: 0.257, Test Loss: 1.824, Test Acc: 0.252
Epoch: 049, Train Loss: 1.845, Train Acc: 0.258, Test Loss: 1.828, Test Acc: 0.258
Epoch: 050, Train Loss: 1.844, Train Acc: 0.257, Test Loss: 1.845, Test Acc: 0.254
Epoch: 051, Train Loss: 1.843, Train Acc: 0.255, Test Loss: 1.817, Test Acc: 0.253
Epoch: 052, Train Loss: 1.843, Train Acc: 0.256, Test Loss: 1.825, Test Acc: 0.256
Epoch: 053, Train Loss: 1.842, Train Acc: 0.257, Test Loss: 1.827, Test Acc: 0.252
Epoch: 054, Train Loss: 1.843, Train Acc: 0.258, Test Loss: 1.846, Test Acc: 0.249
Epoch: 055, Train Loss: 1.842, Train Acc: 0.255, Test Loss: 1.827, Test Acc: 0.252
Epoch: 056, Train Loss: 1.839, Train Acc: 0.257, Test Loss: 1.825, Test Acc: 0.259
Epoch: 057, Train Loss: 1.842, Train Acc: 0.256, Test Loss: 1.826, Test Acc: 0.254
Epoch: 058, Train Loss: 1.841, Train Acc: 0.256, Test Loss: 1.825, Test Acc: 0.253
Epoch: 059, Train Loss: 1.840, Train Acc: 0.256, Test Loss: 1.822, Test Acc: 0.249
Result of run 0.000 is 0.249
Epoch: 001, Train Loss: 2.190, Train Acc: 0.215, Test Loss: 1.925, Test Acc: 0.237
Epoch: 002, Train Loss: 2.037, Train Acc: 0.238, Test Loss: 1.918, Test Acc: 0.229
Epoch: 003, Train Loss: 2.013, Train Acc: 0.238, Test Loss: 1.898, Test Acc: 0.236
Epoch: 004, Train Loss: 1.994, Train Acc: 0.241, Test Loss: 1.888, Test Acc: 0.234
Epoch: 005, Train Loss: 1.976, Train Acc: 0.238, Test Loss: 1.886, Test Acc: 0.236
Epoch: 006, Train Loss: 1.962, Train Acc: 0.240, Test Loss: 1.849, Test Acc: 0.228
Epoch: 007, Train Loss: 1.950, Train Acc: 0.242, Test Loss: 1.881, Test Acc: 0.231
Epoch: 008, Train Loss: 1.938, Train Acc: 0.240, Test Loss: 1.841, Test Acc: 0.229
Epoch: 009, Train Loss: 1.929, Train Acc: 0.241, Test Loss: 1.794, Test Acc: 0.227
Epoch: 010, Train Loss: 1.921, Train Acc: 0.246, Test Loss: 1.810, Test Acc: 0.243
Epoch: 011, Train Loss: 1.911, Train Acc: 0.246, Test Loss: 1.768, Test Acc: 0.240
Epoch: 012, Train Loss: 1.902, Train Acc: 0.248, Test Loss: 1.781, Test Acc: 0.245
Epoch: 013, Train Loss: 1.896, Train Acc: 0.249, Test Loss: 1.767, Test Acc: 0.242
Epoch: 014, Train Loss: 1.889, Train Acc: 0.251, Test Loss: 1.747, Test Acc: 0.246
Epoch: 015, Train Loss: 1.883, Train Acc: 0.251, Test Loss: 1.747, Test Acc: 0.241
Epoch: 016, Train Loss: 1.880, Train Acc: 0.253, Test Loss: 1.743, Test Acc: 0.253
Epoch: 017, Train Loss: 1.874, Train Acc: 0.252, Test Loss: 1.741, Test Acc: 0.248
Epoch: 018, Train Loss: 1.871, Train Acc: 0.253, Test Loss: 1.714, Test Acc: 0.246
Epoch: 019, Train Loss: 1.868, Train Acc: 0.253, Test Loss: 1.729, Test Acc: 0.254
Epoch: 020, Train Loss: 1.867, Train Acc: 0.254, Test Loss: 1.732, Test Acc: 0.253
Epoch: 021, Train Loss: 1.865, Train Acc: 0.252, Test Loss: 1.747, Test Acc: 0.254
Epoch: 022, Train Loss: 1.863, Train Acc: 0.254, Test Loss: 1.751, Test Acc: 0.254
Epoch: 023, Train Loss: 1.858, Train Acc: 0.255, Test Loss: 1.724, Test Acc: 0.250
Epoch: 024, Train Loss: 1.856, Train Acc: 0.257, Test Loss: 1.752, Test Acc: 0.249
Epoch: 025, Train Loss: 1.856, Train Acc: 0.256, Test Loss: 1.714, Test Acc: 0.258
Epoch: 026, Train Loss: 1.853, Train Acc: 0.256, Test Loss: 1.724, Test Acc: 0.258
Epoch: 027, Train Loss: 1.854, Train Acc: 0.257, Test Loss: 1.753, Test Acc: 0.246
Epoch: 028, Train Loss: 1.853, Train Acc: 0.256, Test Loss: 1.736, Test Acc: 0.255
Epoch: 029, Train Loss: 1.851, Train Acc: 0.255, Test Loss: 1.727, Test Acc: 0.253
Epoch: 030, Train Loss: 1.851, Train Acc: 0.256, Test Loss: 1.708, Test Acc: 0.252
Epoch: 031, Train Loss: 1.849, Train Acc: 0.257, Test Loss: 1.722, Test Acc: 0.252
Epoch: 032, Train Loss: 1.847, Train Acc: 0.256, Test Loss: 1.748, Test Acc: 0.254
Epoch: 033, Train Loss: 1.846, Train Acc: 0.256, Test Loss: 1.715, Test Acc: 0.257
Epoch: 034, Train Loss: 1.846, Train Acc: 0.256, Test Loss: 1.748, Test Acc: 0.249
Epoch: 035, Train Loss: 1.845, Train Acc: 0.256, Test Loss: 1.716, Test Acc: 0.257
Epoch: 036, Train Loss: 1.845, Train Acc: 0.257, Test Loss: 1.731, Test Acc: 0.257
Epoch: 037, Train Loss: 1.844, Train Acc: 0.255, Test Loss: 1.712, Test Acc: 0.249
Epoch: 038, Train Loss: 1.843, Train Acc: 0.257, Test Loss: 1.716, Test Acc: 0.256
Epoch: 039, Train Loss: 1.842, Train Acc: 0.257, Test Loss: 1.762, Test Acc: 0.251
Epoch: 040, Train Loss: 1.842, Train Acc: 0.259, Test Loss: 1.710, Test Acc: 0.262
Epoch: 041, Train Loss: 1.841, Train Acc: 0.257, Test Loss: 1.727, Test Acc: 0.258
Epoch: 042, Train Loss: 1.840, Train Acc: 0.255, Test Loss: 1.721, Test Acc: 0.256
Epoch: 043, Train Loss: 1.842, Train Acc: 0.255, Test Loss: 1.735, Test Acc: 0.255
Epoch: 044, Train Loss: 1.840, Train Acc: 0.257, Test Loss: 1.717, Test Acc: 0.256
