- M: CTNet - D: CIFAR10(45000) - Train_split: 40000 - B: 100 - Centers (if CTNet): 100 - LAP (if GAPNet): laplacian - Classes 10 - Feats 3
Epoch: 001, Train Loss: 101.830, Train Acc: 0.182, Test Loss: 101.639, Test Acc: 0.227
Epoch: 002, Train Loss: 101.633, Train Acc: 0.230, Test Loss: 101.562, Test Acc: 0.239
Epoch: 003, Train Loss: 101.564, Train Acc: 0.257, Test Loss: 101.603, Test Acc: 0.252
Epoch: 004, Train Loss: 101.521, Train Acc: 0.270, Test Loss: 101.522, Test Acc: 0.285
Epoch: 005, Train Loss: 101.503, Train Acc: 0.274, Test Loss: 101.523, Test Acc: 0.279
Epoch: 006, Train Loss: 101.495, Train Acc: 0.278, Test Loss: 101.500, Test Acc: 0.291
Epoch: 007, Train Loss: 101.486, Train Acc: 0.284, Test Loss: 101.480, Test Acc: 0.281
Epoch: 008, Train Loss: 101.476, Train Acc: 0.287, Test Loss: 101.470, Test Acc: 0.288
Epoch: 009, Train Loss: 101.476, Train Acc: 0.285, Test Loss: 101.455, Test Acc: 0.300
Epoch: 010, Train Loss: 101.464, Train Acc: 0.290, Test Loss: 101.431, Test Acc: 0.287
Epoch: 011, Train Loss: 101.463, Train Acc: 0.290, Test Loss: 101.446, Test Acc: 0.292
Epoch: 012, Train Loss: 101.458, Train Acc: 0.288, Test Loss: 101.446, Test Acc: 0.298
Epoch: 013, Train Loss: 101.453, Train Acc: 0.294, Test Loss: 101.424, Test Acc: 0.292
Epoch: 014, Train Loss: 101.449, Train Acc: 0.293, Test Loss: 101.400, Test Acc: 0.292
Epoch: 015, Train Loss: 101.445, Train Acc: 0.295, Test Loss: 101.482, Test Acc: 0.293
Epoch: 016, Train Loss: 101.440, Train Acc: 0.297, Test Loss: 101.401, Test Acc: 0.298
Epoch: 017, Train Loss: 101.441, Train Acc: 0.293, Test Loss: 101.436, Test Acc: 0.296
Epoch: 018, Train Loss: 101.431, Train Acc: 0.302, Test Loss: 101.389, Test Acc: 0.295
Epoch: 019, Train Loss: 101.431, Train Acc: 0.297, Test Loss: 101.443, Test Acc: 0.295
Epoch: 020, Train Loss: 101.428, Train Acc: 0.298, Test Loss: 101.410, Test Acc: 0.304
Epoch: 021, Train Loss: 101.428, Train Acc: 0.297, Test Loss: 101.418, Test Acc: 0.304
Epoch: 022, Train Loss: 101.421, Train Acc: 0.299, Test Loss: 101.375, Test Acc: 0.305
Epoch: 023, Train Loss: 101.421, Train Acc: 0.299, Test Loss: 101.411, Test Acc: 0.304
Epoch: 024, Train Loss: 101.422, Train Acc: 0.297, Test Loss: 101.411, Test Acc: 0.306
Epoch: 025, Train Loss: 101.417, Train Acc: 0.302, Test Loss: 101.421, Test Acc: 0.293
Epoch: 026, Train Loss: 101.415, Train Acc: 0.303, Test Loss: 101.374, Test Acc: 0.306
Epoch: 027, Train Loss: 101.412, Train Acc: 0.303, Test Loss: 101.368, Test Acc: 0.308
Epoch: 028, Train Loss: 101.409, Train Acc: 0.305, Test Loss: 101.382, Test Acc: 0.296
Epoch: 029, Train Loss: 101.407, Train Acc: 0.304, Test Loss: 101.370, Test Acc: 0.312
Epoch: 030, Train Loss: 101.405, Train Acc: 0.307, Test Loss: 101.338, Test Acc: 0.305
Epoch: 031, Train Loss: 101.404, Train Acc: 0.307, Test Loss: 101.351, Test Acc: 0.311
Epoch: 032, Train Loss: 101.401, Train Acc: 0.305, Test Loss: 101.409, Test Acc: 0.304
Epoch: 033, Train Loss: 101.398, Train Acc: 0.307, Test Loss: 101.396, Test Acc: 0.306
Epoch: 034, Train Loss: 101.401, Train Acc: 0.305, Test Loss: 101.321, Test Acc: 0.304
Epoch: 035, Train Loss: 101.394, Train Acc: 0.306, Test Loss: 101.331, Test Acc: 0.310
Epoch: 036, Train Loss: 101.393, Train Acc: 0.309, Test Loss: 101.381, Test Acc: 0.304
Epoch: 037, Train Loss: 101.391, Train Acc: 0.309, Test Loss: 101.350, Test Acc: 0.310
Epoch: 038, Train Loss: 101.391, Train Acc: 0.310, Test Loss: 101.352, Test Acc: 0.304
Epoch: 039, Train Loss: 101.391, Train Acc: 0.308, Test Loss: 101.325, Test Acc: 0.306
Epoch: 040, Train Loss: 101.387, Train Acc: 0.307, Test Loss: 101.338, Test Acc: 0.313
Epoch: 041, Train Loss: 101.385, Train Acc: 0.308, Test Loss: 101.340, Test Acc: 0.299
Epoch: 042, Train Loss: 101.383, Train Acc: 0.307, Test Loss: 101.341, Test Acc: 0.311
Epoch: 043, Train Loss: 101.384, Train Acc: 0.307, Test Loss: 101.334, Test Acc: 0.310
Epoch: 044, Train Loss: 101.382, Train Acc: 0.307, Test Loss: 101.363, Test Acc: 0.309
Epoch: 045, Train Loss: 101.380, Train Acc: 0.308, Test Loss: 101.324, Test Acc: 0.311
Epoch: 046, Train Loss: 101.376, Train Acc: 0.310, Test Loss: 101.325, Test Acc: 0.312
Epoch: 047, Train Loss: 101.380, Train Acc: 0.308, Test Loss: 101.363, Test Acc: 0.312
Epoch: 048, Train Loss: 101.376, Train Acc: 0.308, Test Loss: 101.367, Test Acc: 0.312
Epoch: 049, Train Loss: 101.373, Train Acc: 0.309, Test Loss: 101.343, Test Acc: 0.314
Epoch: 050, Train Loss: 101.374, Train Acc: 0.309, Test Loss: 101.351, Test Acc: 0.314
Epoch: 051, Train Loss: 101.373, Train Acc: 0.308, Test Loss: 101.322, Test Acc: 0.312
Epoch: 052, Train Loss: 101.367, Train Acc: 0.315, Test Loss: 101.378, Test Acc: 0.305
Epoch: 053, Train Loss: 101.368, Train Acc: 0.311, Test Loss: 101.340, Test Acc: 0.311
Epoch: 054, Train Loss: 101.369, Train Acc: 0.309, Test Loss: 101.360, Test Acc: 0.318
Epoch: 055, Train Loss: 101.369, Train Acc: 0.311, Test Loss: 101.348, Test Acc: 0.311
Epoch: 056, Train Loss: 101.365, Train Acc: 0.310, Test Loss: 101.322, Test Acc: 0.308
Epoch: 057, Train Loss: 101.364, Train Acc: 0.310, Test Loss: 101.294, Test Acc: 0.311
Epoch: 058, Train Loss: 101.361, Train Acc: 0.314, Test Loss: 101.314, Test Acc: 0.310
Epoch: 059, Train Loss: 101.360, Train Acc: 0.311, Test Loss: 101.314, Test Acc: 0.314
Result of run 0.000 is 0.314
Epoch: 001, Train Loss: 101.813, Train Acc: 0.189, Test Loss: 101.550, Test Acc: 0.228
Epoch: 002, Train Loss: 101.580, Train Acc: 0.247, Test Loss: 101.501, Test Acc: 0.240
