- M: CTNet - D: CIFAR10(45000) - Train_split: 40000 - B: 100 - Centers (if CTNet): 100 - LAP (if GAPNet): laplacian - Classes 10 - Feats 3
Epoch: 001, Train Loss: 101.976, Train Acc: 0.212, Test Loss: 101.640, Test Acc: 0.222
Epoch: 002, Train Loss: 101.694, Train Acc: 0.245, Test Loss: 101.630, Test Acc: 0.265
Epoch: 003, Train Loss: 101.662, Train Acc: 0.262, Test Loss: 101.595, Test Acc: 0.264
Epoch: 004, Train Loss: 101.638, Train Acc: 0.270, Test Loss: 101.578, Test Acc: 0.276
Epoch: 005, Train Loss: 101.627, Train Acc: 0.273, Test Loss: 101.561, Test Acc: 0.270
Epoch: 006, Train Loss: 101.617, Train Acc: 0.277, Test Loss: 101.562, Test Acc: 0.270
Epoch: 007, Train Loss: 101.607, Train Acc: 0.281, Test Loss: 101.536, Test Acc: 0.287
Epoch: 008, Train Loss: 101.597, Train Acc: 0.285, Test Loss: 101.542, Test Acc: 0.284
Epoch: 009, Train Loss: 101.590, Train Acc: 0.286, Test Loss: 101.542, Test Acc: 0.290
Epoch: 010, Train Loss: 101.579, Train Acc: 0.290, Test Loss: 101.537, Test Acc: 0.295
Epoch: 011, Train Loss: 101.577, Train Acc: 0.293, Test Loss: 101.543, Test Acc: 0.286
Epoch: 012, Train Loss: 101.573, Train Acc: 0.292, Test Loss: 101.556, Test Acc: 0.303
Epoch: 013, Train Loss: 101.567, Train Acc: 0.295, Test Loss: 101.514, Test Acc: 0.301
Epoch: 014, Train Loss: 101.564, Train Acc: 0.297, Test Loss: 101.505, Test Acc: 0.292
Epoch: 015, Train Loss: 101.563, Train Acc: 0.299, Test Loss: 101.546, Test Acc: 0.302
Epoch: 016, Train Loss: 101.557, Train Acc: 0.301, Test Loss: 101.483, Test Acc: 0.308
Epoch: 017, Train Loss: 101.555, Train Acc: 0.299, Test Loss: 101.486, Test Acc: 0.306
Epoch: 018, Train Loss: 101.549, Train Acc: 0.301, Test Loss: 101.502, Test Acc: 0.306
Epoch: 019, Train Loss: 101.549, Train Acc: 0.302, Test Loss: 101.499, Test Acc: 0.305
Epoch: 020, Train Loss: 101.542, Train Acc: 0.304, Test Loss: 101.507, Test Acc: 0.310
Epoch: 021, Train Loss: 101.540, Train Acc: 0.306, Test Loss: 101.506, Test Acc: 0.305
Epoch: 022, Train Loss: 101.535, Train Acc: 0.307, Test Loss: 101.440, Test Acc: 0.308
Epoch: 023, Train Loss: 101.534, Train Acc: 0.309, Test Loss: 101.488, Test Acc: 0.307
Epoch: 024, Train Loss: 101.530, Train Acc: 0.311, Test Loss: 101.581, Test Acc: 0.287
Epoch: 025, Train Loss: 101.528, Train Acc: 0.310, Test Loss: 101.475, Test Acc: 0.299
Epoch: 026, Train Loss: 101.525, Train Acc: 0.311, Test Loss: 101.467, Test Acc: 0.310
Epoch: 027, Train Loss: 101.520, Train Acc: 0.312, Test Loss: 101.493, Test Acc: 0.317
Epoch: 028, Train Loss: 101.520, Train Acc: 0.311, Test Loss: 101.496, Test Acc: 0.306
Epoch: 029, Train Loss: 101.518, Train Acc: 0.311, Test Loss: 101.449, Test Acc: 0.314
Epoch: 030, Train Loss: 101.514, Train Acc: 0.314, Test Loss: 101.418, Test Acc: 0.311
