- M: GAPNet - D: CIFAR10(45000) - Train_split: 40000 - B: 100 - Centers (if CTNet): 100 - LAP (if GAPNet): laplacian - Classes 10 - Feats 3
Epoch: 001, Train Loss: 2.254, Train Acc: 0.188, Test Loss: 1.949, Test Acc: 0.230
Epoch: 002, Train Loss: 2.000, Train Acc: 0.225, Test Loss: 1.865, Test Acc: 0.228
Epoch: 003, Train Loss: 1.959, Train Acc: 0.233, Test Loss: 1.864, Test Acc: 0.236
Epoch: 004, Train Loss: 1.936, Train Acc: 0.237, Test Loss: 1.820, Test Acc: 0.240
Epoch: 005, Train Loss: 1.921, Train Acc: 0.238, Test Loss: 1.814, Test Acc: 0.241
Epoch: 006, Train Loss: 1.912, Train Acc: 0.238, Test Loss: 1.855, Test Acc: 0.234
Epoch: 007, Train Loss: 1.906, Train Acc: 0.239, Test Loss: 1.836, Test Acc: 0.232
Epoch: 008, Train Loss: 1.893, Train Acc: 0.244, Test Loss: 1.806, Test Acc: 0.238
Epoch: 009, Train Loss: 1.888, Train Acc: 0.246, Test Loss: 1.786, Test Acc: 0.251
Epoch: 010, Train Loss: 1.880, Train Acc: 0.246, Test Loss: 1.806, Test Acc: 0.244
Epoch: 011, Train Loss: 1.879, Train Acc: 0.251, Test Loss: 1.792, Test Acc: 0.242
Epoch: 012, Train Loss: 1.875, Train Acc: 0.248, Test Loss: 1.807, Test Acc: 0.252
Epoch: 013, Train Loss: 1.873, Train Acc: 0.251, Test Loss: 1.807, Test Acc: 0.250
Epoch: 014, Train Loss: 1.869, Train Acc: 0.253, Test Loss: 1.796, Test Acc: 0.240
Epoch: 015, Train Loss: 1.867, Train Acc: 0.251, Test Loss: 1.792, Test Acc: 0.250
Epoch: 016, Train Loss: 1.863, Train Acc: 0.252, Test Loss: 1.789, Test Acc: 0.249
Epoch: 017, Train Loss: 1.863, Train Acc: 0.254, Test Loss: 1.748, Test Acc: 0.256
Epoch: 018, Train Loss: 1.860, Train Acc: 0.257, Test Loss: 1.791, Test Acc: 0.256
Epoch: 019, Train Loss: 1.860, Train Acc: 0.256, Test Loss: 1.803, Test Acc: 0.250
Epoch: 020, Train Loss: 1.857, Train Acc: 0.259, Test Loss: 1.779, Test Acc: 0.255
Epoch: 021, Train Loss: 1.856, Train Acc: 0.259, Test Loss: 1.787, Test Acc: 0.249
Epoch: 022, Train Loss: 1.855, Train Acc: 0.256, Test Loss: 1.760, Test Acc: 0.253
Epoch: 023, Train Loss: 1.856, Train Acc: 0.258, Test Loss: 1.776, Test Acc: 0.261
Epoch: 024, Train Loss: 1.855, Train Acc: 0.258, Test Loss: 1.803, Test Acc: 0.249
Epoch: 025, Train Loss: 1.852, Train Acc: 0.260, Test Loss: 1.761, Test Acc: 0.255
Epoch: 026, Train Loss: 1.851, Train Acc: 0.258, Test Loss: 1.782, Test Acc: 0.254
Epoch: 027, Train Loss: 1.851, Train Acc: 0.261, Test Loss: 1.785, Test Acc: 0.250
