- M: GAPNet - D: CIFAR10(45000) - Train_split: 40000 - B: 100 - Centers (if CTNet): 100 - LAP (if GAPNet): normalized - Classes 10 - Feats 3
Epoch: 001, Train Loss: 2.361, Train Acc: 0.170, Test Loss: 1.979, Test Acc: 0.207
Epoch: 002, Train Loss: 1.992, Train Acc: 0.219, Test Loss: 1.922, Test Acc: 0.229
Epoch: 003, Train Loss: 1.951, Train Acc: 0.228, Test Loss: 1.848, Test Acc: 0.238
Epoch: 004, Train Loss: 1.924, Train Acc: 0.237, Test Loss: 1.815, Test Acc: 0.236
Epoch: 005, Train Loss: 1.910, Train Acc: 0.240, Test Loss: 1.792, Test Acc: 0.240
Epoch: 006, Train Loss: 1.899, Train Acc: 0.245, Test Loss: 1.837, Test Acc: 0.240
Epoch: 007, Train Loss: 1.894, Train Acc: 0.246, Test Loss: 1.788, Test Acc: 0.245
Epoch: 008, Train Loss: 1.885, Train Acc: 0.249, Test Loss: 1.789, Test Acc: 0.240
Epoch: 009, Train Loss: 1.880, Train Acc: 0.251, Test Loss: 1.783, Test Acc: 0.250
Epoch: 010, Train Loss: 1.875, Train Acc: 0.251, Test Loss: 1.835, Test Acc: 0.245
Epoch: 011, Train Loss: 1.873, Train Acc: 0.254, Test Loss: 1.758, Test Acc: 0.251
Epoch: 012, Train Loss: 1.871, Train Acc: 0.250, Test Loss: 1.763, Test Acc: 0.257
Epoch: 013, Train Loss: 1.867, Train Acc: 0.254, Test Loss: 1.770, Test Acc: 0.252
Epoch: 014, Train Loss: 1.865, Train Acc: 0.255, Test Loss: 1.769, Test Acc: 0.252
Epoch: 015, Train Loss: 1.865, Train Acc: 0.252, Test Loss: 1.807, Test Acc: 0.259
Epoch: 016, Train Loss: 1.862, Train Acc: 0.256, Test Loss: 1.784, Test Acc: 0.254
Epoch: 017, Train Loss: 1.862, Train Acc: 0.254, Test Loss: 1.748, Test Acc: 0.259
Epoch: 018, Train Loss: 1.857, Train Acc: 0.256, Test Loss: 1.784, Test Acc: 0.251
Epoch: 019, Train Loss: 1.858, Train Acc: 0.257, Test Loss: 1.776, Test Acc: 0.251
Epoch: 020, Train Loss: 1.858, Train Acc: 0.256, Test Loss: 1.801, Test Acc: 0.258
Epoch: 021, Train Loss: 1.853, Train Acc: 0.260, Test Loss: 1.780, Test Acc: 0.250
Epoch: 022, Train Loss: 1.855, Train Acc: 0.256, Test Loss: 1.765, Test Acc: 0.252
Epoch: 023, Train Loss: 1.854, Train Acc: 0.256, Test Loss: 1.761, Test Acc: 0.262
Epoch: 024, Train Loss: 1.854, Train Acc: 0.260, Test Loss: 1.808, Test Acc: 0.262
Epoch: 025, Train Loss: 1.850, Train Acc: 0.260, Test Loss: 1.785, Test Acc: 0.254
Epoch: 026, Train Loss: 1.849, Train Acc: 0.261, Test Loss: 1.791, Test Acc: 0.260
Epoch: 027, Train Loss: 1.848, Train Acc: 0.261, Test Loss: 1.824, Test Acc: 0.252
Epoch: 028, Train Loss: 1.847, Train Acc: 0.260, Test Loss: 1.776, Test Acc: 0.264
Epoch: 029, Train Loss: 1.848, Train Acc: 0.261, Test Loss: 1.758, Test Acc: 0.260
Epoch: 030, Train Loss: 1.849, Train Acc: 0.261, Test Loss: 1.754, Test Acc: 0.262
Epoch: 031, Train Loss: 1.845, Train Acc: 0.263, Test Loss: 1.786, Test Acc: 0.259
Epoch: 032, Train Loss: 1.845, Train Acc: 0.263, Test Loss: 1.770, Test Acc: 0.260
Epoch: 033, Train Loss: 1.842, Train Acc: 0.261, Test Loss: 1.784, Test Acc: 0.257
Epoch: 034, Train Loss: 1.847, Train Acc: 0.260, Test Loss: 1.763, Test Acc: 0.255
Epoch: 035, Train Loss: 1.847, Train Acc: 0.259, Test Loss: 1.786, Test Acc: 0.256
Epoch: 036, Train Loss: 1.846, Train Acc: 0.260, Test Loss: 1.796, Test Acc: 0.261
Epoch: 037, Train Loss: 1.845, Train Acc: 0.262, Test Loss: 1.774, Test Acc: 0.263
Epoch: 038, Train Loss: 1.843, Train Acc: 0.261, Test Loss: 1.769, Test Acc: 0.266
Epoch: 039, Train Loss: 1.843, Train Acc: 0.263, Test Loss: 1.768, Test Acc: 0.256
Epoch: 040, Train Loss: 1.844, Train Acc: 0.263, Test Loss: 1.761, Test Acc: 0.263
Epoch: 041, Train Loss: 1.842, Train Acc: 0.261, Test Loss: 1.731, Test Acc: 0.263
Epoch: 042, Train Loss: 1.842, Train Acc: 0.261, Test Loss: 1.767, Test Acc: 0.260
Epoch: 043, Train Loss: 1.840, Train Acc: 0.265, Test Loss: 1.762, Test Acc: 0.255
Epoch: 044, Train Loss: 1.842, Train Acc: 0.262, Test Loss: 1.766, Test Acc: 0.264
Epoch: 045, Train Loss: 1.839, Train Acc: 0.266, Test Loss: 1.789, Test Acc: 0.257
Epoch: 046, Train Loss: 1.840, Train Acc: 0.266, Test Loss: 1.763, Test Acc: 0.256
Epoch: 047, Train Loss: 1.840, Train Acc: 0.265, Test Loss: 1.791, Test Acc: 0.260
Epoch: 048, Train Loss: 1.841, Train Acc: 0.265, Test Loss: 1.769, Test Acc: 0.261
Epoch: 049, Train Loss: 1.839, Train Acc: 0.265, Test Loss: 1.776, Test Acc: 0.262
Epoch: 050, Train Loss: 1.840, Train Acc: 0.264, Test Loss: 1.745, Test Acc: 0.263
