- M: MinCutNet - D: CIFAR10(45000) - Train_split: 40000 - B: 100 - Centers (if CTNet): 100 - LAP (if GAPNet): laplacian - Classes 10 - Feats 3
Epoch: 001, Train Loss: 2.918, Train Acc: 0.146, Test Loss: 2.483, Test Acc: 0.148
Epoch: 002, Train Loss: 2.425, Train Acc: 0.164, Test Loss: 2.429, Test Acc: 0.167
Epoch: 003, Train Loss: 2.399, Train Acc: 0.167, Test Loss: 2.421, Test Acc: 0.180
Epoch: 004, Train Loss: 2.387, Train Acc: 0.183, Test Loss: 2.414, Test Acc: 0.199
Epoch: 005, Train Loss: 2.373, Train Acc: 0.195, Test Loss: 2.401, Test Acc: 0.203
Epoch: 006, Train Loss: 2.357, Train Acc: 0.201, Test Loss: 2.394, Test Acc: 0.202
Epoch: 007, Train Loss: 2.349, Train Acc: 0.206, Test Loss: 2.360, Test Acc: 0.210
Epoch: 008, Train Loss: 2.340, Train Acc: 0.205, Test Loss: 2.331, Test Acc: 0.208
Epoch: 009, Train Loss: 2.339, Train Acc: 0.206, Test Loss: 2.324, Test Acc: 0.205
Epoch: 010, Train Loss: 2.320, Train Acc: 0.210, Test Loss: 2.236, Test Acc: 0.219
Epoch: 011, Train Loss: 2.326, Train Acc: 0.212, Test Loss: 2.310, Test Acc: 0.209
Epoch: 012, Train Loss: 2.295, Train Acc: 0.217, Test Loss: 2.240, Test Acc: 0.207
Epoch: 013, Train Loss: 2.280, Train Acc: 0.224, Test Loss: 2.253, Test Acc: 0.228
Epoch: 014, Train Loss: 2.271, Train Acc: 0.228, Test Loss: 2.247, Test Acc: 0.217
Epoch: 015, Train Loss: 2.262, Train Acc: 0.235, Test Loss: 2.267, Test Acc: 0.219
Epoch: 016, Train Loss: 2.257, Train Acc: 0.236, Test Loss: 2.236, Test Acc: 0.232
Epoch: 017, Train Loss: 2.252, Train Acc: 0.238, Test Loss: 2.261, Test Acc: 0.230
Epoch: 018, Train Loss: 2.239, Train Acc: 0.242, Test Loss: 2.180, Test Acc: 0.245
Epoch: 019, Train Loss: 2.235, Train Acc: 0.245, Test Loss: 2.227, Test Acc: 0.239
Epoch: 020, Train Loss: 2.234, Train Acc: 0.244, Test Loss: 2.247, Test Acc: 0.241
Epoch: 021, Train Loss: 2.227, Train Acc: 0.247, Test Loss: 2.233, Test Acc: 0.239
Epoch: 022, Train Loss: 2.222, Train Acc: 0.244, Test Loss: 2.174, Test Acc: 0.245
Epoch: 023, Train Loss: 2.221, Train Acc: 0.250, Test Loss: 2.209, Test Acc: 0.238
Epoch: 024, Train Loss: 2.219, Train Acc: 0.250, Test Loss: 2.269, Test Acc: 0.232
Epoch: 025, Train Loss: 2.212, Train Acc: 0.253, Test Loss: 2.205, Test Acc: 0.251
Epoch: 026, Train Loss: 2.205, Train Acc: 0.262, Test Loss: 2.233, Test Acc: 0.260
Epoch: 027, Train Loss: 2.207, Train Acc: 0.261, Test Loss: 2.155, Test Acc: 0.266
Epoch: 028, Train Loss: 2.199, Train Acc: 0.265, Test Loss: 2.159, Test Acc: 0.242
Epoch: 029, Train Loss: 2.201, Train Acc: 0.263, Test Loss: 2.162, Test Acc: 0.264
Epoch: 030, Train Loss: 2.196, Train Acc: 0.268, Test Loss: 2.166, Test Acc: 0.261
Epoch: 031, Train Loss: 2.195, Train Acc: 0.266, Test Loss: 2.173, Test Acc: 0.273
Epoch: 032, Train Loss: 2.196, Train Acc: 0.267, Test Loss: 2.200, Test Acc: 0.267
Epoch: 033, Train Loss: 2.192, Train Acc: 0.268, Test Loss: 2.219, Test Acc: 0.267
Epoch: 034, Train Loss: 2.193, Train Acc: 0.270, Test Loss: 2.107, Test Acc: 0.266
Epoch: 035, Train Loss: 2.192, Train Acc: 0.268, Test Loss: 2.154, Test Acc: 0.271
Epoch: 036, Train Loss: 2.190, Train Acc: 0.270, Test Loss: 2.161, Test Acc: 0.264
Epoch: 037, Train Loss: 2.190, Train Acc: 0.270, Test Loss: 2.150, Test Acc: 0.271
Epoch: 038, Train Loss: 2.185, Train Acc: 0.273, Test Loss: 2.146, Test Acc: 0.276
Epoch: 039, Train Loss: 2.187, Train Acc: 0.272, Test Loss: 2.110, Test Acc: 0.265
Epoch: 040, Train Loss: 2.188, Train Acc: 0.272, Test Loss: 2.128, Test Acc: 0.271
Epoch: 041, Train Loss: 2.185, Train Acc: 0.271, Test Loss: 2.140, Test Acc: 0.281
Epoch: 042, Train Loss: 2.186, Train Acc: 0.269, Test Loss: 2.147, Test Acc: 0.272
Epoch: 043, Train Loss: 2.184, Train Acc: 0.274, Test Loss: 2.139, Test Acc: 0.268
Epoch: 044, Train Loss: 2.183, Train Acc: 0.271, Test Loss: 2.141, Test Acc: 0.271
Epoch: 045, Train Loss: 2.181, Train Acc: 0.274, Test Loss: 2.164, Test Acc: 0.272
Epoch: 046, Train Loss: 2.179, Train Acc: 0.273, Test Loss: 2.117, Test Acc: 0.270
Epoch: 047, Train Loss: 2.180, Train Acc: 0.276, Test Loss: 2.168, Test Acc: 0.277
Epoch: 048, Train Loss: 2.175, Train Acc: 0.275, Test Loss: 2.156, Test Acc: 0.276
Epoch: 049, Train Loss: 2.177, Train Acc: 0.275, Test Loss: 2.162, Test Acc: 0.266
Epoch: 050, Train Loss: 2.174, Train Acc: 0.275, Test Loss: 2.133, Test Acc: 0.272
Epoch: 051, Train Loss: 2.172, Train Acc: 0.278, Test Loss: 2.162, Test Acc: 0.274
Epoch: 052, Train Loss: 2.173, Train Acc: 0.279, Test Loss: 2.145, Test Acc: 0.266
Epoch: 053, Train Loss: 2.173, Train Acc: 0.277, Test Loss: 2.124, Test Acc: 0.274
Epoch: 054, Train Loss: 2.171, Train Acc: 0.279, Test Loss: 2.133, Test Acc: 0.274
Epoch: 055, Train Loss: 2.172, Train Acc: 0.277, Test Loss: 2.160, Test Acc: 0.276
Epoch: 056, Train Loss: 2.172, Train Acc: 0.276, Test Loss: 2.158, Test Acc: 0.279
Epoch: 057, Train Loss: 2.170, Train Acc: 0.280, Test Loss: 2.095, Test Acc: 0.280
Epoch: 058, Train Loss: 2.171, Train Acc: 0.278, Test Loss: 2.129, Test Acc: 0.281
Epoch: 059, Train Loss: 2.168, Train Acc: 0.277, Test Loss: 2.133, Test Acc: 0.275
Result of run 0.000 is 0.275
Epoch: 001, Train Loss: 3.827, Train Acc: 0.174, Test Loss: 2.258, Test Acc: 0.206
Epoch: 002, Train Loss: 2.444, Train Acc: 0.197, Test Loss: 2.377, Test Acc: 0.204
Epoch: 003, Train Loss: 2.419, Train Acc: 0.200, Test Loss: 2.508, Test Acc: 0.177
Epoch: 004, Train Loss: 2.392, Train Acc: 0.203, Test Loss: 2.347, Test Acc: 0.181
Epoch: 005, Train Loss: 2.375, Train Acc: 0.208, Test Loss: 2.330, Test Acc: 0.196
Epoch: 006, Train Loss: 2.356, Train Acc: 0.212, Test Loss: 2.218, Test Acc: 0.213
Epoch: 007, Train Loss: 2.347, Train Acc: 0.218, Test Loss: 2.209, Test Acc: 0.229
Epoch: 008, Train Loss: 2.317, Train Acc: 0.225, Test Loss: 2.158, Test Acc: 0.244
Epoch: 009, Train Loss: 2.311, Train Acc: 0.225, Test Loss: 2.194, Test Acc: 0.240
Epoch: 010, Train Loss: 2.294, Train Acc: 0.231, Test Loss: 2.263, Test Acc: 0.211
Epoch: 011, Train Loss: 2.291, Train Acc: 0.234, Test Loss: 2.197, Test Acc: 0.238
Epoch: 012, Train Loss: 2.280, Train Acc: 0.234, Test Loss: 2.213, Test Acc: 0.225
Epoch: 013, Train Loss: 2.270, Train Acc: 0.240, Test Loss: 2.149, Test Acc: 0.245
Epoch: 014, Train Loss: 2.274, Train Acc: 0.236, Test Loss: 2.229, Test Acc: 0.231
Epoch: 015, Train Loss: 2.271, Train Acc: 0.239, Test Loss: 2.162, Test Acc: 0.247
Epoch: 016, Train Loss: 2.264, Train Acc: 0.239, Test Loss: 2.169, Test Acc: 0.238
Epoch: 017, Train Loss: 2.265, Train Acc: 0.238, Test Loss: 2.189, Test Acc: 0.233
Epoch: 018, Train Loss: 2.258, Train Acc: 0.245, Test Loss: 2.151, Test Acc: 0.254
Epoch: 019, Train Loss: 2.253, Train Acc: 0.247, Test Loss: 2.217, Test Acc: 0.229
Epoch: 020, Train Loss: 2.252, Train Acc: 0.247, Test Loss: 2.203, Test Acc: 0.250
Epoch: 021, Train Loss: 2.247, Train Acc: 0.249, Test Loss: 2.177, Test Acc: 0.250
Epoch: 022, Train Loss: 2.250, Train Acc: 0.242, Test Loss: 2.152, Test Acc: 0.257
Epoch: 023, Train Loss: 2.243, Train Acc: 0.247, Test Loss: 2.186, Test Acc: 0.228
Epoch: 024, Train Loss: 2.239, Train Acc: 0.248, Test Loss: 2.212, Test Acc: 0.241
Epoch: 025, Train Loss: 2.236, Train Acc: 0.252, Test Loss: 2.124, Test Acc: 0.254
Epoch: 026, Train Loss: 2.233, Train Acc: 0.254, Test Loss: 2.177, Test Acc: 0.248
Epoch: 027, Train Loss: 2.231, Train Acc: 0.256, Test Loss: 2.218, Test Acc: 0.242
Epoch: 028, Train Loss: 2.225, Train Acc: 0.256, Test Loss: 2.162, Test Acc: 0.240
Epoch: 029, Train Loss: 2.221, Train Acc: 0.258, Test Loss: 2.167, Test Acc: 0.261
Epoch: 030, Train Loss: 2.216, Train Acc: 0.265, Test Loss: 2.119, Test Acc: 0.272
Epoch: 031, Train Loss: 2.213, Train Acc: 0.265, Test Loss: 2.105, Test Acc: 0.274
Epoch: 032, Train Loss: 2.213, Train Acc: 0.266, Test Loss: 2.142, Test Acc: 0.269
Epoch: 033, Train Loss: 2.205, Train Acc: 0.271, Test Loss: 2.155, Test Acc: 0.275
Epoch: 034, Train Loss: 2.200, Train Acc: 0.273, Test Loss: 2.107, Test Acc: 0.280
Epoch: 035, Train Loss: 2.195, Train Acc: 0.276, Test Loss: 2.098, Test Acc: 0.280
Epoch: 036, Train Loss: 2.188, Train Acc: 0.278, Test Loss: 2.149, Test Acc: 0.275
Epoch: 037, Train Loss: 2.177, Train Acc: 0.287, Test Loss: 2.117, Test Acc: 0.282
Epoch: 038, Train Loss: 2.178, Train Acc: 0.285, Test Loss: 2.120, Test Acc: 0.285
Epoch: 039, Train Loss: 2.161, Train Acc: 0.290, Test Loss: 2.103, Test Acc: 0.280
Epoch: 040, Train Loss: 2.150, Train Acc: 0.294, Test Loss: 2.025, Test Acc: 0.301
Epoch: 041, Train Loss: 2.145, Train Acc: 0.298, Test Loss: 2.070, Test Acc: 0.300
Epoch: 042, Train Loss: 2.141, Train Acc: 0.295, Test Loss: 2.099, Test Acc: 0.296
Epoch: 043, Train Loss: 2.137, Train Acc: 0.300, Test Loss: 2.090, Test Acc: 0.290
Epoch: 044, Train Loss: 2.136, Train Acc: 0.300, Test Loss: 2.023, Test Acc: 0.301
Epoch: 045, Train Loss: 2.123, Train Acc: 0.304, Test Loss: 2.058, Test Acc: 0.290
Epoch: 046, Train Loss: 2.124, Train Acc: 0.300, Test Loss: 2.045, Test Acc: 0.303
Epoch: 047, Train Loss: 2.119, Train Acc: 0.301, Test Loss: 2.058, Test Acc: 0.296
Epoch: 048, Train Loss: 2.116, Train Acc: 0.303, Test Loss: 2.025, Test Acc: 0.314
Epoch: 049, Train Loss: 2.113, Train Acc: 0.306, Test Loss: 2.014, Test Acc: 0.300
Epoch: 050, Train Loss: 2.111, Train Acc: 0.305, Test Loss: 2.048, Test Acc: 0.296
Epoch: 051, Train Loss: 2.105, Train Acc: 0.309, Test Loss: 1.991, Test Acc: 0.312
Epoch: 052, Train Loss: 2.106, Train Acc: 0.308, Test Loss: 2.022, Test Acc: 0.296
Epoch: 053, Train Loss: 2.097, Train Acc: 0.310, Test Loss: 1.991, Test Acc: 0.321
Epoch: 054, Train Loss: 2.099, Train Acc: 0.310, Test Loss: 2.016, Test Acc: 0.289
Epoch: 055, Train Loss: 2.097, Train Acc: 0.308, Test Loss: 2.015, Test Acc: 0.311
Epoch: 056, Train Loss: 2.093, Train Acc: 0.312, Test Loss: 2.030, Test Acc: 0.296
Epoch: 057, Train Loss: 2.088, Train Acc: 0.312, Test Loss: 1.988, Test Acc: 0.314
Epoch: 058, Train Loss: 2.092, Train Acc: 0.311, Test Loss: 2.035, Test Acc: 0.308
Epoch: 059, Train Loss: 2.086, Train Acc: 0.314, Test Loss: 1.968, Test Acc: 0.315
Result of run 1.000 is 0.315
Epoch: 001, Train Loss: 3.281, Train Acc: 0.173, Test Loss: 2.511, Test Acc: 0.187
Epoch: 002, Train Loss: 2.407, Train Acc: 0.199, Test Loss: 2.326, Test Acc: 0.199
Epoch: 003, Train Loss: 2.392, Train Acc: 0.207, Test Loss: 2.241, Test Acc: 0.216
Epoch: 004, Train Loss: 2.359, Train Acc: 0.212, Test Loss: 2.275, Test Acc: 0.224
Epoch: 005, Train Loss: 2.346, Train Acc: 0.216, Test Loss: 2.260, Test Acc: 0.220
Epoch: 006, Train Loss: 2.331, Train Acc: 0.220, Test Loss: 2.312, Test Acc: 0.208
Epoch: 007, Train Loss: 2.311, Train Acc: 0.221, Test Loss: 2.268, Test Acc: 0.211
Epoch: 008, Train Loss: 2.303, Train Acc: 0.224, Test Loss: 2.261, Test Acc: 0.235
Epoch: 009, Train Loss: 2.296, Train Acc: 0.223, Test Loss: 2.263, Test Acc: 0.218
Epoch: 010, Train Loss: 2.300, Train Acc: 0.224, Test Loss: 2.409, Test Acc: 0.205
Epoch: 011, Train Loss: 2.283, Train Acc: 0.228, Test Loss: 2.237, Test Acc: 0.239
Epoch: 012, Train Loss: 2.271, Train Acc: 0.232, Test Loss: 2.198, Test Acc: 0.235
Epoch: 013, Train Loss: 2.269, Train Acc: 0.234, Test Loss: 2.234, Test Acc: 0.225
Epoch: 014, Train Loss: 2.270, Train Acc: 0.231, Test Loss: 2.202, Test Acc: 0.234
Epoch: 015, Train Loss: 2.261, Train Acc: 0.235, Test Loss: 2.225, Test Acc: 0.240
Epoch: 016, Train Loss: 2.259, Train Acc: 0.236, Test Loss: 2.234, Test Acc: 0.230
Epoch: 017, Train Loss: 2.256, Train Acc: 0.240, Test Loss: 2.213, Test Acc: 0.245
Epoch: 018, Train Loss: 2.252, Train Acc: 0.239, Test Loss: 2.251, Test Acc: 0.233
Epoch: 019, Train Loss: 2.248, Train Acc: 0.242, Test Loss: 2.230, Test Acc: 0.241
Epoch: 020, Train Loss: 2.244, Train Acc: 0.246, Test Loss: 2.222, Test Acc: 0.238
Epoch: 021, Train Loss: 2.248, Train Acc: 0.245, Test Loss: 2.236, Test Acc: 0.238
Epoch: 022, Train Loss: 2.242, Train Acc: 0.248, Test Loss: 2.237, Test Acc: 0.235
Epoch: 023, Train Loss: 2.240, Train Acc: 0.248, Test Loss: 2.210, Test Acc: 0.238
Epoch: 024, Train Loss: 2.237, Train Acc: 0.250, Test Loss: 2.254, Test Acc: 0.224
Epoch: 025, Train Loss: 2.238, Train Acc: 0.248, Test Loss: 2.181, Test Acc: 0.245
Epoch: 026, Train Loss: 2.236, Train Acc: 0.249, Test Loss: 2.193, Test Acc: 0.240
Epoch: 027, Train Loss: 2.230, Train Acc: 0.254, Test Loss: 2.204, Test Acc: 0.247
Epoch: 028, Train Loss: 2.229, Train Acc: 0.255, Test Loss: 2.211, Test Acc: 0.236
Epoch: 029, Train Loss: 2.226, Train Acc: 0.251, Test Loss: 2.184, Test Acc: 0.264
Epoch: 030, Train Loss: 2.220, Train Acc: 0.255, Test Loss: 2.207, Test Acc: 0.251
Epoch: 031, Train Loss: 2.217, Train Acc: 0.259, Test Loss: 2.188, Test Acc: 0.257
Epoch: 032, Train Loss: 2.214, Train Acc: 0.262, Test Loss: 2.164, Test Acc: 0.264
Epoch: 033, Train Loss: 2.212, Train Acc: 0.261, Test Loss: 2.170, Test Acc: 0.263
Epoch: 034, Train Loss: 2.210, Train Acc: 0.263, Test Loss: 2.194, Test Acc: 0.257
Epoch: 035, Train Loss: 2.206, Train Acc: 0.264, Test Loss: 2.173, Test Acc: 0.276
Epoch: 036, Train Loss: 2.201, Train Acc: 0.267, Test Loss: 2.150, Test Acc: 0.270
Epoch: 037, Train Loss: 2.203, Train Acc: 0.266, Test Loss: 2.170, Test Acc: 0.276
Epoch: 038, Train Loss: 2.195, Train Acc: 0.271, Test Loss: 2.143, Test Acc: 0.277
Epoch: 039, Train Loss: 2.196, Train Acc: 0.271, Test Loss: 2.135, Test Acc: 0.277
Epoch: 040, Train Loss: 2.188, Train Acc: 0.277, Test Loss: 2.220, Test Acc: 0.248
Epoch: 041, Train Loss: 2.189, Train Acc: 0.274, Test Loss: 2.121, Test Acc: 0.284
Epoch: 042, Train Loss: 2.179, Train Acc: 0.281, Test Loss: 2.097, Test Acc: 0.287
Epoch: 043, Train Loss: 2.166, Train Acc: 0.287, Test Loss: 2.069, Test Acc: 0.294
Epoch: 044, Train Loss: 2.155, Train Acc: 0.292, Test Loss: 2.107, Test Acc: 0.297
Epoch: 045, Train Loss: 2.149, Train Acc: 0.294, Test Loss: 2.061, Test Acc: 0.298
Epoch: 046, Train Loss: 2.137, Train Acc: 0.297, Test Loss: 2.071, Test Acc: 0.299
Epoch: 047, Train Loss: 2.133, Train Acc: 0.300, Test Loss: 2.086, Test Acc: 0.297
Epoch: 048, Train Loss: 2.126, Train Acc: 0.302, Test Loss: 2.096, Test Acc: 0.297
Epoch: 049, Train Loss: 2.121, Train Acc: 0.305, Test Loss: 2.061, Test Acc: 0.301
Epoch: 050, Train Loss: 2.118, Train Acc: 0.304, Test Loss: 2.050, Test Acc: 0.306
Epoch: 051, Train Loss: 2.111, Train Acc: 0.305, Test Loss: 2.066, Test Acc: 0.298
Epoch: 052, Train Loss: 2.112, Train Acc: 0.305, Test Loss: 2.063, Test Acc: 0.300
Epoch: 053, Train Loss: 2.112, Train Acc: 0.307, Test Loss: 2.031, Test Acc: 0.311
Epoch: 054, Train Loss: 2.107, Train Acc: 0.310, Test Loss: 2.019, Test Acc: 0.313
Epoch: 055, Train Loss: 2.102, Train Acc: 0.312, Test Loss: 2.035, Test Acc: 0.313
Epoch: 056, Train Loss: 2.100, Train Acc: 0.313, Test Loss: 2.018, Test Acc: 0.316
Epoch: 057, Train Loss: 2.101, Train Acc: 0.312, Test Loss: 2.077, Test Acc: 0.302
Epoch: 058, Train Loss: 2.095, Train Acc: 0.312, Test Loss: 2.050, Test Acc: 0.303
Epoch: 059, Train Loss: 2.092, Train Acc: 0.315, Test Loss: 2.015, Test Acc: 0.312
Result of run 2.000 is 0.312
Epoch: 001, Train Loss: 3.390, Train Acc: 0.180, Test Loss: 2.387, Test Acc: 0.207
Epoch: 002, Train Loss: 2.476, Train Acc: 0.194, Test Loss: 2.531, Test Acc: 0.210
Epoch: 003, Train Loss: 2.404, Train Acc: 0.206, Test Loss: 2.411, Test Acc: 0.208
Epoch: 004, Train Loss: 2.407, Train Acc: 0.210, Test Loss: 2.298, Test Acc: 0.212
Epoch: 005, Train Loss: 2.381, Train Acc: 0.211, Test Loss: 2.455, Test Acc: 0.216
Epoch: 006, Train Loss: 2.357, Train Acc: 0.216, Test Loss: 2.262, Test Acc: 0.220
Epoch: 007, Train Loss: 2.352, Train Acc: 0.216, Test Loss: 2.403, Test Acc: 0.233
Epoch: 008, Train Loss: 2.335, Train Acc: 0.219, Test Loss: 2.476, Test Acc: 0.220
Epoch: 009, Train Loss: 2.314, Train Acc: 0.222, Test Loss: 2.429, Test Acc: 0.221
Epoch: 010, Train Loss: 2.304, Train Acc: 0.221, Test Loss: 2.361, Test Acc: 0.230
Epoch: 011, Train Loss: 2.297, Train Acc: 0.221, Test Loss: 2.268, Test Acc: 0.232
Epoch: 012, Train Loss: 2.292, Train Acc: 0.226, Test Loss: 2.245, Test Acc: 0.230
Epoch: 013, Train Loss: 2.286, Train Acc: 0.228, Test Loss: 2.264, Test Acc: 0.224
Epoch: 014, Train Loss: 2.283, Train Acc: 0.230, Test Loss: 2.358, Test Acc: 0.235
Epoch: 015, Train Loss: 2.273, Train Acc: 0.233, Test Loss: 2.406, Test Acc: 0.221
Epoch: 016, Train Loss: 2.266, Train Acc: 0.237, Test Loss: 2.300, Test Acc: 0.244
Epoch: 017, Train Loss: 2.267, Train Acc: 0.234, Test Loss: 2.338, Test Acc: 0.232
Epoch: 018, Train Loss: 2.262, Train Acc: 0.235, Test Loss: 2.305, Test Acc: 0.255
Epoch: 019, Train Loss: 2.256, Train Acc: 0.238, Test Loss: 2.263, Test Acc: 0.236
Epoch: 020, Train Loss: 2.255, Train Acc: 0.241, Test Loss: 2.325, Test Acc: 0.243
Epoch: 021, Train Loss: 2.251, Train Acc: 0.241, Test Loss: 2.328, Test Acc: 0.239
Epoch: 022, Train Loss: 2.248, Train Acc: 0.242, Test Loss: 2.292, Test Acc: 0.257
Epoch: 023, Train Loss: 2.244, Train Acc: 0.245, Test Loss: 2.265, Test Acc: 0.252
Epoch: 024, Train Loss: 2.242, Train Acc: 0.247, Test Loss: 2.312, Test Acc: 0.259
Epoch: 025, Train Loss: 2.236, Train Acc: 0.249, Test Loss: 2.289, Test Acc: 0.262
Epoch: 026, Train Loss: 2.225, Train Acc: 0.256, Test Loss: 2.258, Test Acc: 0.268
Epoch: 027, Train Loss: 2.221, Train Acc: 0.257, Test Loss: 2.293, Test Acc: 0.259
Epoch: 028, Train Loss: 2.216, Train Acc: 0.262, Test Loss: 2.294, Test Acc: 0.266
Epoch: 029, Train Loss: 2.212, Train Acc: 0.265, Test Loss: 2.216, Test Acc: 0.269
Epoch: 030, Train Loss: 2.208, Train Acc: 0.268, Test Loss: 2.221, Test Acc: 0.269
Epoch: 031, Train Loss: 2.206, Train Acc: 0.267, Test Loss: 2.305, Test Acc: 0.271
Epoch: 032, Train Loss: 2.204, Train Acc: 0.269, Test Loss: 2.230, Test Acc: 0.282
Epoch: 033, Train Loss: 2.194, Train Acc: 0.273, Test Loss: 2.263, Test Acc: 0.271
Epoch: 034, Train Loss: 2.196, Train Acc: 0.271, Test Loss: 2.224, Test Acc: 0.272
Epoch: 035, Train Loss: 2.190, Train Acc: 0.275, Test Loss: 2.201, Test Acc: 0.281
Epoch: 036, Train Loss: 2.186, Train Acc: 0.277, Test Loss: 2.199, Test Acc: 0.282
Epoch: 037, Train Loss: 2.185, Train Acc: 0.276, Test Loss: 2.220, Test Acc: 0.283
Epoch: 038, Train Loss: 2.181, Train Acc: 0.280, Test Loss: 2.191, Test Acc: 0.285
Epoch: 039, Train Loss: 2.176, Train Acc: 0.279, Test Loss: 2.183, Test Acc: 0.275
Epoch: 040, Train Loss: 2.176, Train Acc: 0.280, Test Loss: 2.240, Test Acc: 0.280
Epoch: 041, Train Loss: 2.174, Train Acc: 0.283, Test Loss: 2.161, Test Acc: 0.288
Epoch: 042, Train Loss: 2.171, Train Acc: 0.283, Test Loss: 2.175, Test Acc: 0.290
Epoch: 043, Train Loss: 2.167, Train Acc: 0.283, Test Loss: 2.232, Test Acc: 0.282
Epoch: 044, Train Loss: 2.167, Train Acc: 0.284, Test Loss: 2.173, Test Acc: 0.284
Epoch: 045, Train Loss: 2.162, Train Acc: 0.287, Test Loss: 2.189, Test Acc: 0.290
Epoch: 046, Train Loss: 2.159, Train Acc: 0.288, Test Loss: 2.143, Test Acc: 0.295
Epoch: 047, Train Loss: 2.158, Train Acc: 0.286, Test Loss: 2.227, Test Acc: 0.290
Epoch: 048, Train Loss: 2.153, Train Acc: 0.291, Test Loss: 2.143, Test Acc: 0.292
Epoch: 049, Train Loss: 2.149, Train Acc: 0.291, Test Loss: 2.150, Test Acc: 0.297
Epoch: 050, Train Loss: 2.145, Train Acc: 0.293, Test Loss: 2.168, Test Acc: 0.305
Epoch: 051, Train Loss: 2.143, Train Acc: 0.297, Test Loss: 2.225, Test Acc: 0.303
Epoch: 052, Train Loss: 2.138, Train Acc: 0.296, Test Loss: 2.142, Test Acc: 0.302
Epoch: 053, Train Loss: 2.132, Train Acc: 0.298, Test Loss: 2.161, Test Acc: 0.317
Epoch: 054, Train Loss: 2.124, Train Acc: 0.303, Test Loss: 2.178, Test Acc: 0.308
Epoch: 055, Train Loss: 2.119, Train Acc: 0.303, Test Loss: 2.119, Test Acc: 0.306
Epoch: 056, Train Loss: 2.114, Train Acc: 0.308, Test Loss: 2.181, Test Acc: 0.308
Epoch: 057, Train Loss: 2.112, Train Acc: 0.307, Test Loss: 2.138, Test Acc: 0.297
Epoch: 058, Train Loss: 2.110, Train Acc: 0.309, Test Loss: 2.115, Test Acc: 0.322
Epoch: 059, Train Loss: 2.104, Train Acc: 0.309, Test Loss: 2.093, Test Acc: 0.315
Result of run 3.000 is 0.315
