- M: GAPNet - D: COLLAB(5000) - Train_split: 4500 - B: 64 - Centers (if CTNet): 75 - LAP (if GAPNet): laplacian - Classes 3 - Feats 1
Epoch: 001, Train Loss: 23.491, Train Acc: 0.495, Test Loss: 12.892, Test Acc: 0.522
Epoch: 002, Train Loss: 7.556, Train Acc: 0.547, Test Loss: 2.414, Test Acc: 0.652
Epoch: 003, Train Loss: 3.722, Train Acc: 0.582, Test Loss: 4.093, Test Acc: 0.444
Epoch: 004, Train Loss: 4.077, Train Acc: 0.591, Test Loss: 1.719, Test Acc: 0.593
Epoch: 005, Train Loss: 4.184, Train Acc: 0.588, Test Loss: 5.697, Test Acc: 0.564
Epoch: 006, Train Loss: 7.761, Train Acc: 0.554, Test Loss: 1.686, Test Acc: 0.656
Epoch: 007, Train Loss: 4.951, Train Acc: 0.588, Test Loss: 11.443, Test Acc: 0.401
Epoch: 008, Train Loss: 12.960, Train Acc: 0.555, Test Loss: 2.047, Test Acc: 0.652
Epoch: 009, Train Loss: 5.063, Train Acc: 0.600, Test Loss: 1.611, Test Acc: 0.689
Epoch: 010, Train Loss: 5.278, Train Acc: 0.597, Test Loss: 5.758, Test Acc: 0.613
Epoch: 011, Train Loss: 3.245, Train Acc: 0.613, Test Loss: 1.754, Test Acc: 0.675
Epoch: 012, Train Loss: 2.042, Train Acc: 0.639, Test Loss: 2.272, Test Acc: 0.569
Epoch: 013, Train Loss: 2.190, Train Acc: 0.623, Test Loss: 2.566, Test Acc: 0.659
Epoch: 014, Train Loss: 1.948, Train Acc: 0.631, Test Loss: 1.615, Test Acc: 0.660
Epoch: 015, Train Loss: 2.265, Train Acc: 0.617, Test Loss: 1.625, Test Acc: 0.649
Epoch: 016, Train Loss: 2.128, Train Acc: 0.623, Test Loss: 2.145, Test Acc: 0.573
Epoch: 017, Train Loss: 3.944, Train Acc: 0.597, Test Loss: 2.774, Test Acc: 0.457
Epoch: 018, Train Loss: 3.082, Train Acc: 0.615, Test Loss: 1.560, Test Acc: 0.622
Epoch: 019, Train Loss: 1.534, Train Acc: 0.644, Test Loss: 1.665, Test Acc: 0.664
Epoch: 020, Train Loss: 1.657, Train Acc: 0.642, Test Loss: 1.678, Test Acc: 0.633
Epoch: 021, Train Loss: 1.594, Train Acc: 0.643, Test Loss: 1.252, Test Acc: 0.680
Epoch: 022, Train Loss: 2.040, Train Acc: 0.629, Test Loss: 1.443, Test Acc: 0.641
Epoch: 023, Train Loss: 1.428, Train Acc: 0.648, Test Loss: 1.538, Test Acc: 0.588
Epoch: 024, Train Loss: 1.574, Train Acc: 0.636, Test Loss: 1.406, Test Acc: 0.600
Epoch: 025, Train Loss: 3.032, Train Acc: 0.596, Test Loss: 8.894, Test Acc: 0.382
Epoch: 026, Train Loss: 3.737, Train Acc: 0.606, Test Loss: 2.172, Test Acc: 0.636
Epoch: 027, Train Loss: 2.367, Train Acc: 0.629, Test Loss: 1.322, Test Acc: 0.653
Epoch: 028, Train Loss: 1.357, Train Acc: 0.660, Test Loss: 1.434, Test Acc: 0.638
Epoch: 029, Train Loss: 1.622, Train Acc: 0.647, Test Loss: 4.778, Test Acc: 0.413
