- M: GAPNet - D: COLLAB(5000) - Train_split: 4500 - B: 64 - Centers (if CTNet): 75 - LAP (if GAPNet): normalized - Classes 3 - Feats 1
Epoch: 001, Train Loss: 30.407, Train Acc: 0.502, Test Loss: 1.828, Test Acc: 0.537
Epoch: 002, Train Loss: 4.116, Train Acc: 0.561, Test Loss: 2.419, Test Acc: 0.630
Epoch: 003, Train Loss: 2.413, Train Acc: 0.601, Test Loss: 1.276, Test Acc: 0.645
Epoch: 004, Train Loss: 2.695, Train Acc: 0.588, Test Loss: 2.019, Test Acc: 0.520
Epoch: 005, Train Loss: 4.034, Train Acc: 0.548, Test Loss: 1.970, Test Acc: 0.658
Epoch: 006, Train Loss: 1.740, Train Acc: 0.606, Test Loss: 1.337, Test Acc: 0.681
Epoch: 007, Train Loss: 1.473, Train Acc: 0.626, Test Loss: 1.347, Test Acc: 0.675
Epoch: 008, Train Loss: 1.473, Train Acc: 0.640, Test Loss: 1.916, Test Acc: 0.504
Epoch: 009, Train Loss: 1.473, Train Acc: 0.630, Test Loss: 1.481, Test Acc: 0.653
Epoch: 010, Train Loss: 2.154, Train Acc: 0.603, Test Loss: 1.750, Test Acc: 0.610
Epoch: 011, Train Loss: 2.257, Train Acc: 0.616, Test Loss: 2.289, Test Acc: 0.535
Epoch: 012, Train Loss: 2.468, Train Acc: 0.608, Test Loss: 2.845, Test Acc: 0.443
Epoch: 013, Train Loss: 2.295, Train Acc: 0.601, Test Loss: 1.421, Test Acc: 0.675
Epoch: 014, Train Loss: 1.594, Train Acc: 0.645, Test Loss: 1.485, Test Acc: 0.661
Epoch: 015, Train Loss: 3.228, Train Acc: 0.613, Test Loss: 3.256, Test Acc: 0.613
Epoch: 016, Train Loss: 2.264, Train Acc: 0.623, Test Loss: 1.746, Test Acc: 0.576
Epoch: 017, Train Loss: 1.472, Train Acc: 0.637, Test Loss: 1.776, Test Acc: 0.628
Epoch: 018, Train Loss: 1.460, Train Acc: 0.634, Test Loss: 1.429, Test Acc: 0.625
Epoch: 019, Train Loss: 1.352, Train Acc: 0.641, Test Loss: 1.496, Test Acc: 0.617
Epoch: 020, Train Loss: 1.723, Train Acc: 0.617, Test Loss: 1.540, Test Acc: 0.637
Epoch: 021, Train Loss: 1.287, Train Acc: 0.660, Test Loss: 1.382, Test Acc: 0.668
Epoch: 022, Train Loss: 1.614, Train Acc: 0.625, Test Loss: 1.484, Test Acc: 0.581
Epoch: 023, Train Loss: 1.344, Train Acc: 0.628, Test Loss: 1.533, Test Acc: 0.603
Epoch: 024, Train Loss: 1.604, Train Acc: 0.601, Test Loss: 1.538, Test Acc: 0.562
Epoch: 025, Train Loss: 1.607, Train Acc: 0.622, Test Loss: 1.365, Test Acc: 0.684
Epoch: 026, Train Loss: 1.396, Train Acc: 0.649, Test Loss: 1.369, Test Acc: 0.688
Epoch: 027, Train Loss: 1.493, Train Acc: 0.646, Test Loss: 1.299, Test Acc: 0.643
Epoch: 028, Train Loss: 1.281, Train Acc: 0.662, Test Loss: 1.251, Test Acc: 0.673
Epoch: 029, Train Loss: 1.292, Train Acc: 0.657, Test Loss: 1.519, Test Acc: 0.575
Epoch: 030, Train Loss: 1.280, Train Acc: 0.652, Test Loss: 1.264, Test Acc: 0.694
Epoch: 031, Train Loss: 1.583, Train Acc: 0.619, Test Loss: 1.318, Test Acc: 0.700
Epoch: 032, Train Loss: 1.255, Train Acc: 0.646, Test Loss: 1.370, Test Acc: 0.687
Epoch: 033, Train Loss: 1.257, Train Acc: 0.658, Test Loss: 1.314, Test Acc: 0.665
Epoch: 034, Train Loss: 1.610, Train Acc: 0.610, Test Loss: 1.187, Test Acc: 0.646
Epoch: 035, Train Loss: 1.295, Train Acc: 0.658, Test Loss: 1.285, Test Acc: 0.677
Epoch: 036, Train Loss: 1.262, Train Acc: 0.652, Test Loss: 1.396, Test Acc: 0.632
Epoch: 037, Train Loss: 1.263, Train Acc: 0.651, Test Loss: 1.268, Test Acc: 0.687
Epoch: 038, Train Loss: 1.225, Train Acc: 0.669, Test Loss: 1.263, Test Acc: 0.671
Epoch: 039, Train Loss: 1.394, Train Acc: 0.629, Test Loss: 1.282, Test Acc: 0.689
Epoch: 040, Train Loss: 1.242, Train Acc: 0.656, Test Loss: 1.262, Test Acc: 0.697
Epoch: 041, Train Loss: 1.242, Train Acc: 0.651, Test Loss: 1.346, Test Acc: 0.638
Epoch: 042, Train Loss: 1.226, Train Acc: 0.667, Test Loss: 1.324, Test Acc: 0.608
Epoch: 043, Train Loss: 1.464, Train Acc: 0.619, Test Loss: 1.350, Test Acc: 0.686
Epoch: 044, Train Loss: 1.317, Train Acc: 0.649, Test Loss: 1.336, Test Acc: 0.673
Epoch: 045, Train Loss: 1.217, Train Acc: 0.657, Test Loss: 1.215, Test Acc: 0.645
Epoch: 046, Train Loss: 1.278, Train Acc: 0.647, Test Loss: 1.374, Test Acc: 0.604
Epoch: 047, Train Loss: 1.334, Train Acc: 0.628, Test Loss: 1.250, Test Acc: 0.670
Epoch: 048, Train Loss: 1.228, Train Acc: 0.652, Test Loss: 1.418, Test Acc: 0.597
Epoch: 049, Train Loss: 1.323, Train Acc: 0.621, Test Loss: 1.258, Test Acc: 0.637
Epoch: 050, Train Loss: 1.278, Train Acc: 0.655, Test Loss: 1.298, Test Acc: 0.596
Epoch: 051, Train Loss: 1.317, Train Acc: 0.650, Test Loss: 1.325, Test Acc: 0.661
Epoch: 052, Train Loss: 1.360, Train Acc: 0.634, Test Loss: 1.800, Test Acc: 0.593
Epoch: 053, Train Loss: 1.685, Train Acc: 0.622, Test Loss: 1.142, Test Acc: 0.673
Epoch: 054, Train Loss: 1.683, Train Acc: 0.629, Test Loss: 1.744, Test Acc: 0.582
Epoch: 055, Train Loss: 1.346, Train Acc: 0.646, Test Loss: 1.238, Test Acc: 0.686
Epoch: 056, Train Loss: 1.263, Train Acc: 0.645, Test Loss: 1.134, Test Acc: 0.694
Epoch: 057, Train Loss: 1.255, Train Acc: 0.645, Test Loss: 1.389, Test Acc: 0.634
Epoch: 058, Train Loss: 1.211, Train Acc: 0.665, Test Loss: 1.226, Test Acc: 0.675
Epoch: 059, Train Loss: 1.169, Train Acc: 0.672, Test Loss: 1.192, Test Acc: 0.658
Result of run 0.000 is 0.658
Epoch: 001, Train Loss: 25.044, Train Acc: 0.544, Test Loss: 1.841, Test Acc: 0.563
Epoch: 002, Train Loss: 3.020, Train Acc: 0.538, Test Loss: 3.942, Test Acc: 0.587
Epoch: 003, Train Loss: 2.825, Train Acc: 0.578, Test Loss: 1.418, Test Acc: 0.622
Epoch: 004, Train Loss: 5.174, Train Acc: 0.572, Test Loss: 8.705, Test Acc: 0.550
Epoch: 005, Train Loss: 4.662, Train Acc: 0.577, Test Loss: 3.588, Test Acc: 0.635
Epoch: 006, Train Loss: 3.028, Train Acc: 0.614, Test Loss: 2.054, Test Acc: 0.605
Epoch: 007, Train Loss: 1.908, Train Acc: 0.618, Test Loss: 1.501, Test Acc: 0.663
Epoch: 008, Train Loss: 1.419, Train Acc: 0.653, Test Loss: 2.925, Test Acc: 0.604
Epoch: 009, Train Loss: 3.312, Train Acc: 0.576, Test Loss: 2.728, Test Acc: 0.625
Epoch: 010, Train Loss: 1.420, Train Acc: 0.669, Test Loss: 1.825, Test Acc: 0.613
Epoch: 011, Train Loss: 1.677, Train Acc: 0.641, Test Loss: 1.781, Test Acc: 0.617
Epoch: 012, Train Loss: 1.377, Train Acc: 0.661, Test Loss: 1.301, Test Acc: 0.676
Epoch: 013, Train Loss: 1.490, Train Acc: 0.630, Test Loss: 1.331, Test Acc: 0.646
Epoch: 014, Train Loss: 1.517, Train Acc: 0.646, Test Loss: 1.264, Test Acc: 0.658
Epoch: 015, Train Loss: 1.543, Train Acc: 0.645, Test Loss: 1.455, Test Acc: 0.624
Epoch: 016, Train Loss: 1.604, Train Acc: 0.622, Test Loss: 1.978, Test Acc: 0.557
