- M: GAPNet - D: COLLAB(5000) - Train_split: 4500 - B: 64 - Centers (if CTNet): 75 - LAP (if GAPNet): normalizedv2 - Classes 3 - Feats 1
Epoch: 001, Train Loss: 16.856, Train Acc: 0.468, Test Loss: 1.783, Test Acc: 0.575
Epoch: 002, Train Loss: 2.763, Train Acc: 0.571, Test Loss: 5.554, Test Acc: 0.594
Epoch: 003, Train Loss: 5.889, Train Acc: 0.559, Test Loss: 1.250, Test Acc: 0.640
Epoch: 004, Train Loss: 5.790, Train Acc: 0.533, Test Loss: 1.989, Test Acc: 0.653
Epoch: 005, Train Loss: 2.516, Train Acc: 0.638, Test Loss: 1.782, Test Acc: 0.608
Epoch: 006, Train Loss: 1.699, Train Acc: 0.629, Test Loss: 2.405, Test Acc: 0.615
Epoch: 007, Train Loss: 2.561, Train Acc: 0.612, Test Loss: 2.399, Test Acc: 0.535
Epoch: 008, Train Loss: 2.415, Train Acc: 0.609, Test Loss: 2.465, Test Acc: 0.480
Epoch: 009, Train Loss: 1.757, Train Acc: 0.626, Test Loss: 1.547, Test Acc: 0.671
Epoch: 010, Train Loss: 1.739, Train Acc: 0.628, Test Loss: 1.977, Test Acc: 0.628
Epoch: 011, Train Loss: 2.448, Train Acc: 0.609, Test Loss: 1.667, Test Acc: 0.571
Epoch: 012, Train Loss: 2.102, Train Acc: 0.621, Test Loss: 2.185, Test Acc: 0.548
Epoch: 013, Train Loss: 2.562, Train Acc: 0.610, Test Loss: 1.904, Test Acc: 0.521
Epoch: 014, Train Loss: 2.125, Train Acc: 0.610, Test Loss: 2.225, Test Acc: 0.504
Epoch: 015, Train Loss: 1.854, Train Acc: 0.614, Test Loss: 1.582, Test Acc: 0.605
Epoch: 016, Train Loss: 3.403, Train Acc: 0.588, Test Loss: 1.796, Test Acc: 0.618
Epoch: 017, Train Loss: 3.557, Train Acc: 0.589, Test Loss: 1.508, Test Acc: 0.665
Epoch: 018, Train Loss: 1.983, Train Acc: 0.623, Test Loss: 2.119, Test Acc: 0.641
Epoch: 019, Train Loss: 1.698, Train Acc: 0.633, Test Loss: 2.182, Test Acc: 0.533
Epoch: 020, Train Loss: 1.804, Train Acc: 0.619, Test Loss: 1.361, Test Acc: 0.681
Epoch: 021, Train Loss: 2.446, Train Acc: 0.616, Test Loss: 1.325, Test Acc: 0.659
