- M: MinCutNet - D: COLLAB(5000) - Train_split: 4500 - B: 64 - Centers (if CTNet): 75 - LAP (if GAPNet): laplacian - Classes 3 - Feats 1
Epoch: 001, Train Loss: 921.210, Train Acc: 0.390, Test Loss: 166.609, Test Acc: 0.499
Epoch: 002, Train Loss: 589.622, Train Acc: 0.401, Test Loss: 361.911, Test Acc: 0.509
Epoch: 003, Train Loss: 242.103, Train Acc: 0.498, Test Loss: 14.244, Test Acc: 0.590
Epoch: 004, Train Loss: 28.749, Train Acc: 0.611, Test Loss: 12.023, Test Acc: 0.622
Epoch: 005, Train Loss: 22.325, Train Acc: 0.633, Test Loss: 15.035, Test Acc: 0.675
Epoch: 006, Train Loss: 19.625, Train Acc: 0.637, Test Loss: 11.764, Test Acc: 0.638
Epoch: 007, Train Loss: 17.055, Train Acc: 0.635, Test Loss: 4.383, Test Acc: 0.655
Epoch: 008, Train Loss: 25.770, Train Acc: 0.586, Test Loss: 9.504, Test Acc: 0.669
Epoch: 009, Train Loss: 23.216, Train Acc: 0.601, Test Loss: 14.533, Test Acc: 0.639
Epoch: 010, Train Loss: 16.707, Train Acc: 0.621, Test Loss: 8.546, Test Acc: 0.524
Epoch: 011, Train Loss: 310.193, Train Acc: 0.508, Test Loss: 367.446, Test Acc: 0.471
Epoch: 012, Train Loss: 888.124, Train Acc: 0.412, Test Loss: 65.734, Test Acc: 0.599
Epoch: 013, Train Loss: 702.128, Train Acc: 0.527, Test Loss: 20.330, Test Acc: 0.672
Epoch: 014, Train Loss: 49.295, Train Acc: 0.630, Test Loss: 20.791, Test Acc: 0.647
Epoch: 015, Train Loss: 38.185, Train Acc: 0.632, Test Loss: 19.678, Test Acc: 0.672
Epoch: 016, Train Loss: 39.452, Train Acc: 0.612, Test Loss: 18.384, Test Acc: 0.462
Epoch: 017, Train Loss: 30.232, Train Acc: 0.615, Test Loss: 27.155, Test Acc: 0.585
Epoch: 018, Train Loss: 27.254, Train Acc: 0.617, Test Loss: 15.683, Test Acc: 0.675
Epoch: 019, Train Loss: 20.995, Train Acc: 0.623, Test Loss: 11.018, Test Acc: 0.591
Epoch: 020, Train Loss: 23.247, Train Acc: 0.599, Test Loss: 17.267, Test Acc: 0.645
Epoch: 021, Train Loss: 24.841, Train Acc: 0.589, Test Loss: 32.044, Test Acc: 0.506
Epoch: 022, Train Loss: 614.093, Train Acc: 0.500, Test Loss: 23.839, Test Acc: 0.631
Epoch: 023, Train Loss: 42.613, Train Acc: 0.618, Test Loss: 19.376, Test Acc: 0.637
Epoch: 024, Train Loss: 380.359, Train Acc: 0.556, Test Loss: 1193.091, Test Acc: 0.325
Epoch: 025, Train Loss: 966.970, Train Acc: 0.405, Test Loss: 92.669, Test Acc: 0.479
Epoch: 026, Train Loss: 283.217, Train Acc: 0.488, Test Loss: 26.499, Test Acc: 0.638
Epoch: 027, Train Loss: 27.070, Train Acc: 0.652, Test Loss: 17.807, Test Acc: 0.642
Epoch: 028, Train Loss: 23.856, Train Acc: 0.650, Test Loss: 16.654, Test Acc: 0.657
Epoch: 029, Train Loss: 23.006, Train Acc: 0.648, Test Loss: 17.618, Test Acc: 0.646
Epoch: 030, Train Loss: 20.057, Train Acc: 0.647, Test Loss: 12.790, Test Acc: 0.648
Epoch: 031, Train Loss: 19.350, Train Acc: 0.640, Test Loss: 11.602, Test Acc: 0.658
Epoch: 032, Train Loss: 16.989, Train Acc: 0.648, Test Loss: 14.452, Test Acc: 0.633
Epoch: 033, Train Loss: 15.421, Train Acc: 0.645, Test Loss: 7.904, Test Acc: 0.649
Epoch: 034, Train Loss: 14.110, Train Acc: 0.634, Test Loss: 7.845, Test Acc: 0.615
Epoch: 035, Train Loss: 13.576, Train Acc: 0.609, Test Loss: 6.247, Test Acc: 0.627
Epoch: 036, Train Loss: 12.190, Train Acc: 0.602, Test Loss: 7.261, Test Acc: 0.609
Epoch: 037, Train Loss: 10.327, Train Acc: 0.608, Test Loss: 5.705, Test Acc: 0.642
Epoch: 038, Train Loss: 10.231, Train Acc: 0.610, Test Loss: 6.856, Test Acc: 0.513
Epoch: 039, Train Loss: 10.787, Train Acc: 0.585, Test Loss: 3.990, Test Acc: 0.610
