- M: GAPNet - D: ENZYMES(600) - Train_split: 500 - B: 32 - Centers (if CTNet): 16 - LAP (if GAPNet): normalized - Classes 6 - Feats 3
Epoch: 001, Train Loss: 2.608, Train Acc: 0.160, Test Loss: 2.528, Test Acc: 0.158
Epoch: 002, Train Loss: 2.354, Train Acc: 0.188, Test Loss: 2.389, Test Acc: 0.108
Epoch: 003, Train Loss: 2.309, Train Acc: 0.156, Test Loss: 2.393, Test Acc: 0.150
Epoch: 004, Train Loss: 2.342, Train Acc: 0.173, Test Loss: 2.392, Test Acc: 0.225
Epoch: 005, Train Loss: 2.311, Train Acc: 0.212, Test Loss: 2.266, Test Acc: 0.225
Epoch: 006, Train Loss: 2.320, Train Acc: 0.217, Test Loss: 2.346, Test Acc: 0.192
Epoch: 007, Train Loss: 2.295, Train Acc: 0.221, Test Loss: 2.216, Test Acc: 0.208
Epoch: 008, Train Loss: 2.290, Train Acc: 0.233, Test Loss: 2.394, Test Acc: 0.267
Epoch: 009, Train Loss: 2.248, Train Acc: 0.206, Test Loss: 2.210, Test Acc: 0.217
Epoch: 010, Train Loss: 2.250, Train Acc: 0.215, Test Loss: 2.239, Test Acc: 0.233
Epoch: 011, Train Loss: 2.255, Train Acc: 0.210, Test Loss: 2.273, Test Acc: 0.183
Epoch: 012, Train Loss: 2.220, Train Acc: 0.210, Test Loss: 2.189, Test Acc: 0.250
Epoch: 013, Train Loss: 2.185, Train Acc: 0.227, Test Loss: 2.183, Test Acc: 0.267
Epoch: 014, Train Loss: 2.160, Train Acc: 0.212, Test Loss: 2.146, Test Acc: 0.208
Epoch: 015, Train Loss: 2.144, Train Acc: 0.212, Test Loss: 2.214, Test Acc: 0.250
Epoch: 016, Train Loss: 2.128, Train Acc: 0.221, Test Loss: 2.037, Test Acc: 0.167
Epoch: 017, Train Loss: 2.114, Train Acc: 0.225, Test Loss: 2.135, Test Acc: 0.200
Epoch: 018, Train Loss: 2.082, Train Acc: 0.221, Test Loss: 2.078, Test Acc: 0.242
Epoch: 019, Train Loss: 2.073, Train Acc: 0.250, Test Loss: 2.073, Test Acc: 0.225
Epoch: 020, Train Loss: 2.041, Train Acc: 0.250, Test Loss: 2.083, Test Acc: 0.233
Epoch: 021, Train Loss: 2.022, Train Acc: 0.212, Test Loss: 2.093, Test Acc: 0.225
Epoch: 022, Train Loss: 2.016, Train Acc: 0.221, Test Loss: 1.959, Test Acc: 0.158
Epoch: 023, Train Loss: 2.004, Train Acc: 0.265, Test Loss: 2.112, Test Acc: 0.250
