- M: GAPNet - D: ENZYMES(600) - Train_split: 500 - B: 32 - Centers (if CTNet): 16 - LAP (if GAPNet): normalizedv2 - Classes 6 - Feats 3
Epoch: 001, Train Loss: 2.595, Train Acc: 0.133, Test Loss: 2.460, Test Acc: 0.158
Epoch: 002, Train Loss: 2.354, Train Acc: 0.183, Test Loss: 2.314, Test Acc: 0.167
Epoch: 003, Train Loss: 2.330, Train Acc: 0.185, Test Loss: 2.339, Test Acc: 0.175
Epoch: 004, Train Loss: 2.335, Train Acc: 0.198, Test Loss: 2.290, Test Acc: 0.150
Epoch: 005, Train Loss: 2.301, Train Acc: 0.202, Test Loss: 2.303, Test Acc: 0.242
Epoch: 006, Train Loss: 2.321, Train Acc: 0.210, Test Loss: 2.376, Test Acc: 0.208
Epoch: 007, Train Loss: 2.292, Train Acc: 0.235, Test Loss: 2.256, Test Acc: 0.267
Epoch: 008, Train Loss: 2.284, Train Acc: 0.219, Test Loss: 2.245, Test Acc: 0.225
Epoch: 009, Train Loss: 2.232, Train Acc: 0.254, Test Loss: 2.260, Test Acc: 0.242
Epoch: 010, Train Loss: 2.241, Train Acc: 0.242, Test Loss: 2.248, Test Acc: 0.200
Epoch: 011, Train Loss: 2.253, Train Acc: 0.250, Test Loss: 2.256, Test Acc: 0.200
Epoch: 012, Train Loss: 2.216, Train Acc: 0.248, Test Loss: 2.200, Test Acc: 0.250
Epoch: 013, Train Loss: 2.195, Train Acc: 0.258, Test Loss: 2.225, Test Acc: 0.192
Epoch: 014, Train Loss: 2.170, Train Acc: 0.285, Test Loss: 2.221, Test Acc: 0.217
Epoch: 015, Train Loss: 2.170, Train Acc: 0.233, Test Loss: 2.170, Test Acc: 0.208
Epoch: 016, Train Loss: 2.158, Train Acc: 0.254, Test Loss: 2.194, Test Acc: 0.200
Epoch: 017, Train Loss: 2.130, Train Acc: 0.273, Test Loss: 2.134, Test Acc: 0.217
Epoch: 018, Train Loss: 2.114, Train Acc: 0.258, Test Loss: 2.156, Test Acc: 0.217
Epoch: 019, Train Loss: 2.110, Train Acc: 0.287, Test Loss: 2.118, Test Acc: 0.200
Epoch: 020, Train Loss: 2.061, Train Acc: 0.287, Test Loss: 2.098, Test Acc: 0.217
Epoch: 021, Train Loss: 2.038, Train Acc: 0.296, Test Loss: 2.079, Test Acc: 0.250
Epoch: 022, Train Loss: 2.041, Train Acc: 0.267, Test Loss: 2.068, Test Acc: 0.192
Epoch: 023, Train Loss: 2.011, Train Acc: 0.338, Test Loss: 2.057, Test Acc: 0.217
Epoch: 024, Train Loss: 2.013, Train Acc: 0.296, Test Loss: 2.022, Test Acc: 0.242
Epoch: 025, Train Loss: 1.962, Train Acc: 0.285, Test Loss: 1.999, Test Acc: 0.242
Epoch: 026, Train Loss: 1.955, Train Acc: 0.302, Test Loss: 1.979, Test Acc: 0.242
Epoch: 027, Train Loss: 1.919, Train Acc: 0.296, Test Loss: 1.978, Test Acc: 0.258
Epoch: 028, Train Loss: 1.929, Train Acc: 0.300, Test Loss: 1.923, Test Acc: 0.258
Epoch: 029, Train Loss: 1.903, Train Acc: 0.312, Test Loss: 1.936, Test Acc: 0.217
Epoch: 030, Train Loss: 1.913, Train Acc: 0.300, Test Loss: 1.955, Test Acc: 0.250
Epoch: 031, Train Loss: 1.900, Train Acc: 0.308, Test Loss: 1.876, Test Acc: 0.208
Epoch: 032, Train Loss: 1.908, Train Acc: 0.325, Test Loss: 1.868, Test Acc: 0.250
Epoch: 033, Train Loss: 1.878, Train Acc: 0.329, Test Loss: 1.856, Test Acc: 0.250
Epoch: 034, Train Loss: 1.845, Train Acc: 0.308, Test Loss: 1.846, Test Acc: 0.275
Epoch: 035, Train Loss: 1.856, Train Acc: 0.346, Test Loss: 1.826, Test Acc: 0.217
Epoch: 036, Train Loss: 1.866, Train Acc: 0.325, Test Loss: 1.811, Test Acc: 0.225
Epoch: 037, Train Loss: 1.855, Train Acc: 0.323, Test Loss: 1.832, Test Acc: 0.225
Epoch: 038, Train Loss: 1.836, Train Acc: 0.331, Test Loss: 1.827, Test Acc: 0.233
Epoch: 039, Train Loss: 1.827, Train Acc: 0.335, Test Loss: 1.786, Test Acc: 0.283
