- M: MinCutNet - D: ENZYMES(600) - Train_split: 500 - B: 32 - Centers (if CTNet): 16 - LAP (if GAPNet): laplacian - Classes 6 - Feats 3
Epoch: 001, Train Loss: 3.574, Train Acc: 0.171, Test Loss: 1.876, Test Acc: 0.150
Epoch: 002, Train Loss: 2.337, Train Acc: 0.202, Test Loss: 1.804, Test Acc: 0.183
Epoch: 003, Train Loss: 2.142, Train Acc: 0.192, Test Loss: 1.921, Test Acc: 0.175
Epoch: 004, Train Loss: 2.075, Train Acc: 0.179, Test Loss: 1.873, Test Acc: 0.192
Epoch: 005, Train Loss: 2.053, Train Acc: 0.196, Test Loss: 1.961, Test Acc: 0.267
Epoch: 006, Train Loss: 2.034, Train Acc: 0.229, Test Loss: 2.002, Test Acc: 0.233
Epoch: 007, Train Loss: 2.005, Train Acc: 0.204, Test Loss: 2.003, Test Acc: 0.250
Epoch: 008, Train Loss: 1.990, Train Acc: 0.258, Test Loss: 1.947, Test Acc: 0.225
Epoch: 009, Train Loss: 1.984, Train Acc: 0.231, Test Loss: 1.936, Test Acc: 0.267
Epoch: 010, Train Loss: 1.981, Train Acc: 0.229, Test Loss: 1.938, Test Acc: 0.250
Epoch: 011, Train Loss: 1.974, Train Acc: 0.267, Test Loss: 2.061, Test Acc: 0.175
Epoch: 012, Train Loss: 1.982, Train Acc: 0.248, Test Loss: 1.902, Test Acc: 0.250
Epoch: 013, Train Loss: 1.969, Train Acc: 0.250, Test Loss: 1.999, Test Acc: 0.250
Epoch: 014, Train Loss: 1.973, Train Acc: 0.231, Test Loss: 1.990, Test Acc: 0.283
Epoch: 015, Train Loss: 1.953, Train Acc: 0.265, Test Loss: 1.908, Test Acc: 0.267
Epoch: 016, Train Loss: 1.954, Train Acc: 0.244, Test Loss: 1.851, Test Acc: 0.225
Epoch: 017, Train Loss: 1.944, Train Acc: 0.267, Test Loss: 1.909, Test Acc: 0.267
Epoch: 018, Train Loss: 1.960, Train Acc: 0.256, Test Loss: 1.865, Test Acc: 0.292
Epoch: 019, Train Loss: 1.956, Train Acc: 0.279, Test Loss: 1.816, Test Acc: 0.200
Epoch: 020, Train Loss: 1.935, Train Acc: 0.279, Test Loss: 1.924, Test Acc: 0.267
Epoch: 021, Train Loss: 1.924, Train Acc: 0.277, Test Loss: 1.873, Test Acc: 0.200
Epoch: 022, Train Loss: 1.937, Train Acc: 0.294, Test Loss: 2.036, Test Acc: 0.208
Epoch: 023, Train Loss: 2.029, Train Acc: 0.244, Test Loss: 2.177, Test Acc: 0.308
Epoch: 024, Train Loss: 1.941, Train Acc: 0.292, Test Loss: 1.868, Test Acc: 0.217
Epoch: 025, Train Loss: 1.934, Train Acc: 0.269, Test Loss: 1.852, Test Acc: 0.283
Epoch: 026, Train Loss: 1.917, Train Acc: 0.308, Test Loss: 1.981, Test Acc: 0.250
Epoch: 027, Train Loss: 1.924, Train Acc: 0.296, Test Loss: 2.010, Test Acc: 0.300
Epoch: 028, Train Loss: 1.936, Train Acc: 0.290, Test Loss: 2.088, Test Acc: 0.258
Epoch: 029, Train Loss: 1.900, Train Acc: 0.275, Test Loss: 1.950, Test Acc: 0.225
Epoch: 030, Train Loss: 1.906, Train Acc: 0.331, Test Loss: 1.897, Test Acc: 0.283
Epoch: 031, Train Loss: 1.933, Train Acc: 0.271, Test Loss: 1.832, Test Acc: 0.233
Epoch: 032, Train Loss: 1.889, Train Acc: 0.331, Test Loss: 1.827, Test Acc: 0.275
Epoch: 033, Train Loss: 1.911, Train Acc: 0.298, Test Loss: 1.860, Test Acc: 0.317
Epoch: 034, Train Loss: 1.898, Train Acc: 0.287, Test Loss: 1.968, Test Acc: 0.333
Epoch: 035, Train Loss: 1.887, Train Acc: 0.325, Test Loss: 1.822, Test Acc: 0.258
Epoch: 036, Train Loss: 1.926, Train Acc: 0.302, Test Loss: 1.925, Test Acc: 0.258
Epoch: 037, Train Loss: 1.877, Train Acc: 0.296, Test Loss: 1.959, Test Acc: 0.267
Epoch: 038, Train Loss: 1.888, Train Acc: 0.310, Test Loss: 1.864, Test Acc: 0.292
Epoch: 039, Train Loss: 1.883, Train Acc: 0.312, Test Loss: 2.198, Test Acc: 0.300
Epoch: 040, Train Loss: 1.892, Train Acc: 0.342, Test Loss: 1.943, Test Acc: 0.250
Epoch: 041, Train Loss: 1.884, Train Acc: 0.348, Test Loss: 2.068, Test Acc: 0.283
Epoch: 042, Train Loss: 1.887, Train Acc: 0.331, Test Loss: 2.050, Test Acc: 0.283
Epoch: 043, Train Loss: 1.879, Train Acc: 0.317, Test Loss: 1.905, Test Acc: 0.300
Epoch: 044, Train Loss: 1.873, Train Acc: 0.338, Test Loss: 1.953, Test Acc: 0.225
Epoch: 045, Train Loss: 1.848, Train Acc: 0.342, Test Loss: 1.966, Test Acc: 0.250
Epoch: 046, Train Loss: 1.907, Train Acc: 0.302, Test Loss: 2.030, Test Acc: 0.317
Epoch: 047, Train Loss: 1.883, Train Acc: 0.310, Test Loss: 1.976, Test Acc: 0.275
