- M: CTNet - D: IMDB-BINARY(1000) - Train_split: 800 - B: 64 - Centers (if CTNet): 20 - LAP (if GAPNet): laplacian - Classes 2 - Feats 1
Epoch: 001, Train Loss: 37.187, Train Acc: 0.489, Test Loss: 14.048, Test Acc: 0.500
Epoch: 002, Train Loss: 36.796, Train Acc: 0.557, Test Loss: 13.871, Test Acc: 0.620
Epoch: 003, Train Loss: 36.457, Train Acc: 0.601, Test Loss: 13.945, Test Acc: 0.635
Epoch: 004, Train Loss: 36.229, Train Acc: 0.664, Test Loss: 13.880, Test Acc: 0.570
Epoch: 005, Train Loss: 36.259, Train Acc: 0.642, Test Loss: 13.920, Test Acc: 0.700
Epoch: 006, Train Loss: 36.286, Train Acc: 0.642, Test Loss: 13.857, Test Acc: 0.675
Epoch: 007, Train Loss: 36.203, Train Acc: 0.667, Test Loss: 13.971, Test Acc: 0.680
Epoch: 008, Train Loss: 36.183, Train Acc: 0.667, Test Loss: 13.920, Test Acc: 0.700
Epoch: 009, Train Loss: 36.128, Train Acc: 0.706, Test Loss: 13.869, Test Acc: 0.625
Epoch: 010, Train Loss: 36.129, Train Acc: 0.685, Test Loss: 13.921, Test Acc: 0.645
Epoch: 011, Train Loss: 36.135, Train Acc: 0.701, Test Loss: 13.878, Test Acc: 0.545
Epoch: 012, Train Loss: 36.120, Train Acc: 0.685, Test Loss: 13.841, Test Acc: 0.715
Epoch: 013, Train Loss: 36.138, Train Acc: 0.664, Test Loss: 13.921, Test Acc: 0.620
Epoch: 014, Train Loss: 36.142, Train Acc: 0.671, Test Loss: 13.823, Test Acc: 0.620
Epoch: 015, Train Loss: 36.127, Train Acc: 0.690, Test Loss: 13.895, Test Acc: 0.615
Epoch: 016, Train Loss: 36.095, Train Acc: 0.691, Test Loss: 13.866, Test Acc: 0.670
Epoch: 017, Train Loss: 36.092, Train Acc: 0.698, Test Loss: 13.882, Test Acc: 0.630
Epoch: 018, Train Loss: 36.105, Train Acc: 0.679, Test Loss: 13.977, Test Acc: 0.630
Epoch: 019, Train Loss: 36.123, Train Acc: 0.662, Test Loss: 13.847, Test Acc: 0.645
Epoch: 020, Train Loss: 36.103, Train Acc: 0.680, Test Loss: 13.909, Test Acc: 0.625
Epoch: 021, Train Loss: 36.080, Train Acc: 0.670, Test Loss: 13.886, Test Acc: 0.620
Epoch: 022, Train Loss: 36.081, Train Acc: 0.650, Test Loss: 13.857, Test Acc: 0.670
Epoch: 023, Train Loss: 36.055, Train Acc: 0.671, Test Loss: 13.939, Test Acc: 0.685
Epoch: 024, Train Loss: 36.075, Train Acc: 0.660, Test Loss: 13.957, Test Acc: 0.690
Epoch: 025, Train Loss: 36.064, Train Acc: 0.677, Test Loss: 13.853, Test Acc: 0.650
Epoch: 026, Train Loss: 36.045, Train Acc: 0.674, Test Loss: 13.907, Test Acc: 0.675
Epoch: 027, Train Loss: 36.128, Train Acc: 0.655, Test Loss: 13.912, Test Acc: 0.615
Epoch: 028, Train Loss: 36.098, Train Acc: 0.665, Test Loss: 13.956, Test Acc: 0.670
Epoch: 029, Train Loss: 36.087, Train Acc: 0.681, Test Loss: 13.937, Test Acc: 0.680
Epoch: 030, Train Loss: 36.024, Train Acc: 0.696, Test Loss: 13.891, Test Acc: 0.670
Epoch: 031, Train Loss: 36.035, Train Acc: 0.676, Test Loss: 13.929, Test Acc: 0.685
Epoch: 032, Train Loss: 36.038, Train Acc: 0.711, Test Loss: 13.887, Test Acc: 0.655
Epoch: 033, Train Loss: 36.015, Train Acc: 0.704, Test Loss: 13.898, Test Acc: 0.660
Epoch: 034, Train Loss: 35.999, Train Acc: 0.690, Test Loss: 13.913, Test Acc: 0.680
Epoch: 035, Train Loss: 36.057, Train Acc: 0.695, Test Loss: 13.874, Test Acc: 0.620
Epoch: 036, Train Loss: 36.026, Train Acc: 0.675, Test Loss: 13.906, Test Acc: 0.625
Epoch: 037, Train Loss: 35.991, Train Acc: 0.700, Test Loss: 13.893, Test Acc: 0.665
Epoch: 038, Train Loss: 36.015, Train Acc: 0.714, Test Loss: 13.886, Test Acc: 0.645
Epoch: 039, Train Loss: 36.057, Train Acc: 0.689, Test Loss: 13.833, Test Acc: 0.675
Epoch: 040, Train Loss: 36.023, Train Acc: 0.682, Test Loss: 13.920, Test Acc: 0.625
Epoch: 041, Train Loss: 36.010, Train Acc: 0.689, Test Loss: 13.844, Test Acc: 0.655
Epoch: 042, Train Loss: 36.008, Train Acc: 0.719, Test Loss: 13.911, Test Acc: 0.645
Epoch: 043, Train Loss: 36.016, Train Acc: 0.711, Test Loss: 13.906, Test Acc: 0.655
Epoch: 044, Train Loss: 35.988, Train Acc: 0.710, Test Loss: 13.911, Test Acc: 0.610
Epoch: 045, Train Loss: 36.018, Train Acc: 0.679, Test Loss: 13.791, Test Acc: 0.675
