- M: GAPNet - D: IMDB-BINARY(1000) - Train_split: 800 - B: 64 - Centers (if CTNet): 20 - LAP (if GAPNet): laplacian - Classes 2 - Feats 1
Epoch: 001, Train Loss: 8.732, Train Acc: 0.489, Test Loss: 2.587, Test Acc: 0.430
Epoch: 002, Train Loss: 2.220, Train Acc: 0.511, Test Loss: 0.834, Test Acc: 0.500
Epoch: 003, Train Loss: 1.552, Train Acc: 0.516, Test Loss: 0.768, Test Acc: 0.495
Epoch: 004, Train Loss: 1.183, Train Acc: 0.595, Test Loss: 0.788, Test Acc: 0.565
Epoch: 005, Train Loss: 1.193, Train Acc: 0.578, Test Loss: 0.863, Test Acc: 0.605
Epoch: 006, Train Loss: 1.040, Train Acc: 0.625, Test Loss: 0.741, Test Acc: 0.660
Epoch: 007, Train Loss: 1.010, Train Acc: 0.651, Test Loss: 0.691, Test Acc: 0.545
Epoch: 008, Train Loss: 1.068, Train Acc: 0.608, Test Loss: 0.816, Test Acc: 0.620
Epoch: 009, Train Loss: 0.993, Train Acc: 0.640, Test Loss: 0.900, Test Acc: 0.625
Epoch: 010, Train Loss: 1.090, Train Acc: 0.608, Test Loss: 0.654, Test Acc: 0.610
Epoch: 011, Train Loss: 0.984, Train Acc: 0.630, Test Loss: 0.766, Test Acc: 0.660
Epoch: 012, Train Loss: 0.921, Train Acc: 0.669, Test Loss: 0.817, Test Acc: 0.645
Epoch: 013, Train Loss: 0.875, Train Acc: 0.708, Test Loss: 0.610, Test Acc: 0.570
Epoch: 014, Train Loss: 0.950, Train Acc: 0.636, Test Loss: 0.732, Test Acc: 0.610
Epoch: 015, Train Loss: 0.946, Train Acc: 0.675, Test Loss: 0.821, Test Acc: 0.625
Epoch: 016, Train Loss: 0.928, Train Acc: 0.689, Test Loss: 0.751, Test Acc: 0.625
Epoch: 017, Train Loss: 0.927, Train Acc: 0.688, Test Loss: 0.718, Test Acc: 0.650
Epoch: 018, Train Loss: 0.920, Train Acc: 0.657, Test Loss: 0.670, Test Acc: 0.575
Epoch: 019, Train Loss: 0.896, Train Acc: 0.693, Test Loss: 0.979, Test Acc: 0.615
Epoch: 020, Train Loss: 0.898, Train Acc: 0.705, Test Loss: 0.678, Test Acc: 0.635
