- M: GAPNet - D: IMDB-BINARY(1000) - Train_split: 800 - B: 64 - Centers (if CTNet): 20 - LAP (if GAPNet): normalized - Classes 2 - Feats 1
Epoch: 001, Train Loss: 2.307, Train Acc: 0.469, Test Loss: 1.438, Test Acc: 0.500
Epoch: 002, Train Loss: 1.579, Train Acc: 0.511, Test Loss: 1.353, Test Acc: 0.515
Epoch: 003, Train Loss: 1.464, Train Acc: 0.520, Test Loss: 0.799, Test Acc: 0.500
Epoch: 004, Train Loss: 1.260, Train Acc: 0.534, Test Loss: 0.836, Test Acc: 0.535
Epoch: 005, Train Loss: 1.101, Train Acc: 0.614, Test Loss: 1.432, Test Acc: 0.530
Epoch: 006, Train Loss: 1.188, Train Acc: 0.598, Test Loss: 1.024, Test Acc: 0.670
Epoch: 007, Train Loss: 0.995, Train Acc: 0.626, Test Loss: 0.848, Test Acc: 0.625
Epoch: 008, Train Loss: 0.982, Train Acc: 0.660, Test Loss: 1.305, Test Acc: 0.620
Epoch: 009, Train Loss: 0.925, Train Acc: 0.686, Test Loss: 0.992, Test Acc: 0.655
Epoch: 010, Train Loss: 0.940, Train Acc: 0.642, Test Loss: 0.716, Test Acc: 0.600
Epoch: 011, Train Loss: 0.969, Train Acc: 0.637, Test Loss: 0.961, Test Acc: 0.630
Epoch: 012, Train Loss: 0.945, Train Acc: 0.690, Test Loss: 0.831, Test Acc: 0.670
Epoch: 013, Train Loss: 1.013, Train Acc: 0.670, Test Loss: 0.823, Test Acc: 0.500
Epoch: 014, Train Loss: 1.061, Train Acc: 0.604, Test Loss: 0.719, Test Acc: 0.495
Epoch: 015, Train Loss: 1.133, Train Acc: 0.603, Test Loss: 1.483, Test Acc: 0.645
Epoch: 016, Train Loss: 1.016, Train Acc: 0.670, Test Loss: 0.979, Test Acc: 0.685
Epoch: 017, Train Loss: 0.984, Train Acc: 0.676, Test Loss: 0.916, Test Acc: 0.580
Epoch: 018, Train Loss: 1.138, Train Acc: 0.613, Test Loss: 0.627, Test Acc: 0.500
Epoch: 019, Train Loss: 1.100, Train Acc: 0.613, Test Loss: 0.758, Test Acc: 0.570
Epoch: 020, Train Loss: 0.949, Train Acc: 0.677, Test Loss: 0.752, Test Acc: 0.580
Epoch: 021, Train Loss: 1.024, Train Acc: 0.647, Test Loss: 0.696, Test Acc: 0.510
Epoch: 022, Train Loss: 0.942, Train Acc: 0.645, Test Loss: 0.791, Test Acc: 0.585
Epoch: 023, Train Loss: 0.916, Train Acc: 0.662, Test Loss: 0.999, Test Acc: 0.620
Epoch: 024, Train Loss: 0.864, Train Acc: 0.708, Test Loss: 1.034, Test Acc: 0.660
Epoch: 025, Train Loss: 0.828, Train Acc: 0.708, Test Loss: 0.982, Test Acc: 0.650
Epoch: 026, Train Loss: 0.829, Train Acc: 0.708, Test Loss: 0.943, Test Acc: 0.650
Epoch: 027, Train Loss: 0.861, Train Acc: 0.729, Test Loss: 0.964, Test Acc: 0.660
Epoch: 028, Train Loss: 0.848, Train Acc: 0.726, Test Loss: 1.029, Test Acc: 0.660
Epoch: 029, Train Loss: 0.855, Train Acc: 0.716, Test Loss: 1.000, Test Acc: 0.660
Epoch: 030, Train Loss: 0.834, Train Acc: 0.700, Test Loss: 1.092, Test Acc: 0.680
Epoch: 031, Train Loss: 0.830, Train Acc: 0.704, Test Loss: 1.022, Test Acc: 0.650
Epoch: 032, Train Loss: 0.853, Train Acc: 0.716, Test Loss: 1.036, Test Acc: 0.695
Epoch: 033, Train Loss: 0.816, Train Acc: 0.715, Test Loss: 1.004, Test Acc: 0.640
Epoch: 034, Train Loss: 0.781, Train Acc: 0.710, Test Loss: 1.070, Test Acc: 0.690
Epoch: 035, Train Loss: 0.843, Train Acc: 0.696, Test Loss: 1.035, Test Acc: 0.680
Epoch: 036, Train Loss: 0.837, Train Acc: 0.714, Test Loss: 0.964, Test Acc: 0.635
Epoch: 037, Train Loss: 0.819, Train Acc: 0.690, Test Loss: 0.690, Test Acc: 0.580
Epoch: 038, Train Loss: 0.886, Train Acc: 0.637, Test Loss: 1.332, Test Acc: 0.660
Epoch: 039, Train Loss: 0.930, Train Acc: 0.693, Test Loss: 1.073, Test Acc: 0.705
Epoch: 040, Train Loss: 0.832, Train Acc: 0.719, Test Loss: 0.974, Test Acc: 0.650
Epoch: 041, Train Loss: 0.842, Train Acc: 0.677, Test Loss: 1.016, Test Acc: 0.675
Epoch: 042, Train Loss: 0.841, Train Acc: 0.706, Test Loss: 0.821, Test Acc: 0.645
Epoch: 043, Train Loss: 0.855, Train Acc: 0.709, Test Loss: 0.987, Test Acc: 0.645
Epoch: 044, Train Loss: 0.807, Train Acc: 0.715, Test Loss: 0.963, Test Acc: 0.675
Epoch: 045, Train Loss: 0.842, Train Acc: 0.701, Test Loss: 0.777, Test Acc: 0.620
Epoch: 046, Train Loss: 0.960, Train Acc: 0.665, Test Loss: 0.954, Test Acc: 0.625
Epoch: 047, Train Loss: 0.925, Train Acc: 0.677, Test Loss: 1.027, Test Acc: 0.660
Epoch: 048, Train Loss: 0.825, Train Acc: 0.730, Test Loss: 0.981, Test Acc: 0.705
Epoch: 049, Train Loss: 0.841, Train Acc: 0.718, Test Loss: 0.963, Test Acc: 0.665
Epoch: 050, Train Loss: 0.800, Train Acc: 0.719, Test Loss: 0.797, Test Acc: 0.665
Epoch: 051, Train Loss: 0.832, Train Acc: 0.698, Test Loss: 0.935, Test Acc: 0.660
Epoch: 052, Train Loss: 0.837, Train Acc: 0.709, Test Loss: 1.056, Test Acc: 0.690
Epoch: 053, Train Loss: 0.833, Train Acc: 0.691, Test Loss: 1.124, Test Acc: 0.680
Epoch: 054, Train Loss: 0.793, Train Acc: 0.704, Test Loss: 0.860, Test Acc: 0.675
Epoch: 055, Train Loss: 0.845, Train Acc: 0.705, Test Loss: 1.015, Test Acc: 0.635
Epoch: 056, Train Loss: 0.824, Train Acc: 0.709, Test Loss: 1.082, Test Acc: 0.695
Epoch: 057, Train Loss: 0.874, Train Acc: 0.700, Test Loss: 1.103, Test Acc: 0.705
Epoch: 058, Train Loss: 0.867, Train Acc: 0.716, Test Loss: 1.164, Test Acc: 0.665
Epoch: 059, Train Loss: 0.847, Train Acc: 0.672, Test Loss: 1.072, Test Acc: 0.670
Result of run 0.000 is 0.670
Epoch: 001, Train Loss: 3.475, Train Acc: 0.445, Test Loss: 1.911, Test Acc: 0.500
Epoch: 002, Train Loss: 1.430, Train Acc: 0.470, Test Loss: 0.819, Test Acc: 0.605
Epoch: 003, Train Loss: 1.169, Train Acc: 0.519, Test Loss: 0.803, Test Acc: 0.630
Epoch: 004, Train Loss: 1.199, Train Acc: 0.484, Test Loss: 0.964, Test Acc: 0.460
Epoch: 005, Train Loss: 1.121, Train Acc: 0.501, Test Loss: 0.901, Test Acc: 0.475
Epoch: 006, Train Loss: 1.050, Train Acc: 0.501, Test Loss: 0.920, Test Acc: 0.520
Epoch: 007, Train Loss: 1.027, Train Acc: 0.514, Test Loss: 0.954, Test Acc: 0.470
Epoch: 008, Train Loss: 1.099, Train Acc: 0.494, Test Loss: 0.925, Test Acc: 0.530
Epoch: 009, Train Loss: 1.003, Train Acc: 0.516, Test Loss: 0.861, Test Acc: 0.435
Epoch: 010, Train Loss: 0.991, Train Acc: 0.491, Test Loss: 1.018, Test Acc: 0.530
Epoch: 011, Train Loss: 1.036, Train Acc: 0.480, Test Loss: 0.923, Test Acc: 0.420
Epoch: 012, Train Loss: 0.974, Train Acc: 0.510, Test Loss: 0.901, Test Acc: 0.490
Epoch: 013, Train Loss: 1.007, Train Acc: 0.512, Test Loss: 0.876, Test Acc: 0.475
Epoch: 014, Train Loss: 0.969, Train Acc: 0.502, Test Loss: 0.851, Test Acc: 0.585
Epoch: 015, Train Loss: 1.061, Train Acc: 0.535, Test Loss: 0.775, Test Acc: 0.465
Epoch: 016, Train Loss: 0.994, Train Acc: 0.534, Test Loss: 0.851, Test Acc: 0.620
