- M: GAPNet - D: IMDB-BINARY(1000) - Train_split: 800 - B: 64 - Centers (if CTNet): 20 - LAP (if GAPNet): normalizedv2 - Classes 2 - Feats 1
Epoch: 001, Train Loss: 2.803, Train Acc: 0.507, Test Loss: 1.706, Test Acc: 0.485
Epoch: 002, Train Loss: 1.528, Train Acc: 0.516, Test Loss: 0.952, Test Acc: 0.515
Epoch: 003, Train Loss: 1.564, Train Acc: 0.535, Test Loss: 0.841, Test Acc: 0.500
Epoch: 004, Train Loss: 1.441, Train Acc: 0.554, Test Loss: 1.206, Test Acc: 0.540
Epoch: 005, Train Loss: 1.129, Train Acc: 0.647, Test Loss: 1.294, Test Acc: 0.595
Epoch: 006, Train Loss: 1.142, Train Acc: 0.637, Test Loss: 0.721, Test Acc: 0.585
Epoch: 007, Train Loss: 1.042, Train Acc: 0.637, Test Loss: 0.941, Test Acc: 0.615
Epoch: 008, Train Loss: 1.035, Train Acc: 0.652, Test Loss: 1.043, Test Acc: 0.600
Epoch: 009, Train Loss: 1.067, Train Acc: 0.640, Test Loss: 0.946, Test Acc: 0.625
Epoch: 010, Train Loss: 0.991, Train Acc: 0.652, Test Loss: 0.896, Test Acc: 0.535
Epoch: 011, Train Loss: 1.059, Train Acc: 0.566, Test Loss: 1.230, Test Acc: 0.605
Epoch: 012, Train Loss: 0.958, Train Acc: 0.651, Test Loss: 1.269, Test Acc: 0.665
Epoch: 013, Train Loss: 0.926, Train Acc: 0.661, Test Loss: 0.786, Test Acc: 0.510
Epoch: 014, Train Loss: 1.047, Train Acc: 0.631, Test Loss: 1.406, Test Acc: 0.640
Epoch: 015, Train Loss: 0.955, Train Acc: 0.669, Test Loss: 0.985, Test Acc: 0.625
Epoch: 016, Train Loss: 0.930, Train Acc: 0.677, Test Loss: 1.008, Test Acc: 0.625
Epoch: 017, Train Loss: 0.917, Train Acc: 0.661, Test Loss: 0.698, Test Acc: 0.515
Epoch: 018, Train Loss: 0.921, Train Acc: 0.654, Test Loss: 0.830, Test Acc: 0.625
Epoch: 019, Train Loss: 0.916, Train Acc: 0.671, Test Loss: 1.355, Test Acc: 0.650
Epoch: 020, Train Loss: 0.971, Train Acc: 0.667, Test Loss: 0.893, Test Acc: 0.495
Epoch: 021, Train Loss: 1.005, Train Acc: 0.634, Test Loss: 0.920, Test Acc: 0.630
Epoch: 022, Train Loss: 0.867, Train Acc: 0.666, Test Loss: 0.821, Test Acc: 0.655
Epoch: 023, Train Loss: 0.873, Train Acc: 0.674, Test Loss: 0.860, Test Acc: 0.635
Epoch: 024, Train Loss: 0.916, Train Acc: 0.706, Test Loss: 0.600, Test Acc: 0.615
Epoch: 025, Train Loss: 0.905, Train Acc: 0.661, Test Loss: 0.890, Test Acc: 0.650
Epoch: 026, Train Loss: 0.941, Train Acc: 0.637, Test Loss: 1.283, Test Acc: 0.575
Epoch: 027, Train Loss: 0.960, Train Acc: 0.640, Test Loss: 0.709, Test Acc: 0.510
Epoch: 028, Train Loss: 1.090, Train Acc: 0.593, Test Loss: 0.965, Test Acc: 0.665
Epoch: 029, Train Loss: 1.058, Train Acc: 0.667, Test Loss: 0.748, Test Acc: 0.595
Epoch: 030, Train Loss: 0.931, Train Acc: 0.681, Test Loss: 1.046, Test Acc: 0.670
Epoch: 031, Train Loss: 0.988, Train Acc: 0.632, Test Loss: 1.385, Test Acc: 0.615
Epoch: 032, Train Loss: 0.981, Train Acc: 0.661, Test Loss: 1.131, Test Acc: 0.620
Epoch: 033, Train Loss: 0.948, Train Acc: 0.651, Test Loss: 0.721, Test Acc: 0.690
Epoch: 034, Train Loss: 0.876, Train Acc: 0.684, Test Loss: 1.229, Test Acc: 0.570
Epoch: 035, Train Loss: 0.969, Train Acc: 0.647, Test Loss: 0.873, Test Acc: 0.680
Epoch: 036, Train Loss: 0.886, Train Acc: 0.675, Test Loss: 0.662, Test Acc: 0.650
