- M: MinCutNet - D: IMDB-BINARY(1000) - Train_split: 800 - B: 64 - Centers (if CTNet): 20 - LAP (if GAPNet): laplacian - Classes 2 - Feats 1
Epoch: 001, Train Loss: 16.179, Train Acc: 0.551, Test Loss: 3.860, Test Acc: 0.500
Epoch: 002, Train Loss: 7.485, Train Acc: 0.515, Test Loss: 3.110, Test Acc: 0.500
Epoch: 003, Train Loss: 8.725, Train Acc: 0.445, Test Loss: 3.889, Test Acc: 0.500
Epoch: 004, Train Loss: 7.278, Train Acc: 0.497, Test Loss: 2.659, Test Acc: 0.515
Epoch: 005, Train Loss: 2.667, Train Acc: 0.491, Test Loss: 3.035, Test Acc: 0.505
Epoch: 006, Train Loss: 4.537, Train Acc: 0.519, Test Loss: 1.923, Test Acc: 0.560
Epoch: 007, Train Loss: 3.269, Train Acc: 0.536, Test Loss: 4.761, Test Acc: 0.500
Epoch: 008, Train Loss: 6.559, Train Acc: 0.504, Test Loss: 2.786, Test Acc: 0.500
Epoch: 009, Train Loss: 6.963, Train Acc: 0.501, Test Loss: 3.314, Test Acc: 0.515
Epoch: 010, Train Loss: 2.461, Train Acc: 0.546, Test Loss: 2.208, Test Acc: 0.600
Epoch: 011, Train Loss: 4.913, Train Acc: 0.534, Test Loss: 2.952, Test Acc: 0.600
Epoch: 012, Train Loss: 2.958, Train Acc: 0.620, Test Loss: 4.096, Test Acc: 0.525
Epoch: 013, Train Loss: 4.141, Train Acc: 0.525, Test Loss: 2.372, Test Acc: 0.500
Epoch: 014, Train Loss: 6.439, Train Acc: 0.511, Test Loss: 4.901, Test Acc: 0.500
Epoch: 015, Train Loss: 4.692, Train Acc: 0.550, Test Loss: 1.849, Test Acc: 0.500
Epoch: 016, Train Loss: 3.218, Train Acc: 0.540, Test Loss: 1.712, Test Acc: 0.500
Epoch: 017, Train Loss: 5.399, Train Acc: 0.477, Test Loss: 2.873, Test Acc: 0.500
Epoch: 018, Train Loss: 10.480, Train Acc: 0.531, Test Loss: 3.934, Test Acc: 0.500
Epoch: 019, Train Loss: 9.747, Train Acc: 0.520, Test Loss: 4.580, Test Acc: 0.500
Epoch: 020, Train Loss: 5.775, Train Acc: 0.544, Test Loss: 4.947, Test Acc: 0.515
Epoch: 021, Train Loss: 2.518, Train Acc: 0.534, Test Loss: 1.321, Test Acc: 0.500
Epoch: 022, Train Loss: 3.020, Train Acc: 0.556, Test Loss: 1.650, Test Acc: 0.500
Epoch: 023, Train Loss: 2.607, Train Acc: 0.564, Test Loss: 2.650, Test Acc: 0.625
Epoch: 024, Train Loss: 1.347, Train Acc: 0.654, Test Loss: 1.879, Test Acc: 0.500
Epoch: 025, Train Loss: 3.801, Train Acc: 0.536, Test Loss: 3.963, Test Acc: 0.530
Epoch: 026, Train Loss: 2.631, Train Acc: 0.589, Test Loss: 4.704, Test Acc: 0.520
Epoch: 027, Train Loss: 2.883, Train Acc: 0.586, Test Loss: 1.667, Test Acc: 0.600
Epoch: 028, Train Loss: 2.139, Train Acc: 0.609, Test Loss: 1.268, Test Acc: 0.575
Epoch: 029, Train Loss: 4.325, Train Acc: 0.559, Test Loss: 5.079, Test Acc: 0.530
Epoch: 030, Train Loss: 4.012, Train Acc: 0.534, Test Loss: 1.142, Test Acc: 0.580
Epoch: 031, Train Loss: 2.009, Train Acc: 0.575, Test Loss: 3.786, Test Acc: 0.520
Epoch: 032, Train Loss: 4.019, Train Acc: 0.544, Test Loss: 2.424, Test Acc: 0.620
Epoch: 033, Train Loss: 2.082, Train Acc: 0.623, Test Loss: 1.552, Test Acc: 0.610
Epoch: 034, Train Loss: 2.024, Train Acc: 0.606, Test Loss: 2.759, Test Acc: 0.555
Epoch: 035, Train Loss: 2.180, Train Acc: 0.593, Test Loss: 2.286, Test Acc: 0.590
Epoch: 036, Train Loss: 2.712, Train Acc: 0.571, Test Loss: 2.326, Test Acc: 0.615
