- M: CTNet - D: MNIST(55000) - Train_split: 50000 - B: 100 - Centers (if CTNet): 100 - LAP (if GAPNet): laplacian - Classes 10 - Feats 1
Epoch: 001, Train Loss: 101.864, Train Acc: 0.210, Test Loss: 101.766, Test Acc: 0.247
Epoch: 002, Train Loss: 101.637, Train Acc: 0.260, Test Loss: 101.663, Test Acc: 0.267
Epoch: 003, Train Loss: 101.558, Train Acc: 0.284, Test Loss: 101.590, Test Acc: 0.285
Epoch: 004, Train Loss: 101.503, Train Acc: 0.304, Test Loss: 101.594, Test Acc: 0.298
Epoch: 005, Train Loss: 101.487, Train Acc: 0.309, Test Loss: 101.581, Test Acc: 0.321
Epoch: 006, Train Loss: 101.471, Train Acc: 0.311, Test Loss: 101.583, Test Acc: 0.311
Epoch: 007, Train Loss: 101.468, Train Acc: 0.313, Test Loss: 101.564, Test Acc: 0.314
Epoch: 008, Train Loss: 101.459, Train Acc: 0.316, Test Loss: 101.561, Test Acc: 0.320
Epoch: 009, Train Loss: 101.448, Train Acc: 0.319, Test Loss: 101.556, Test Acc: 0.318
Epoch: 010, Train Loss: 101.446, Train Acc: 0.320, Test Loss: 101.549, Test Acc: 0.323
Epoch: 011, Train Loss: 101.438, Train Acc: 0.322, Test Loss: 101.543, Test Acc: 0.324
Epoch: 012, Train Loss: 101.431, Train Acc: 0.324, Test Loss: 101.551, Test Acc: 0.326
Epoch: 013, Train Loss: 101.424, Train Acc: 0.326, Test Loss: 101.552, Test Acc: 0.331
Epoch: 014, Train Loss: 101.415, Train Acc: 0.330, Test Loss: 101.501, Test Acc: 0.333
Epoch: 015, Train Loss: 101.409, Train Acc: 0.331, Test Loss: 101.525, Test Acc: 0.337
Epoch: 016, Train Loss: 101.406, Train Acc: 0.331, Test Loss: 101.546, Test Acc: 0.328
Epoch: 017, Train Loss: 101.395, Train Acc: 0.336, Test Loss: 101.535, Test Acc: 0.333
Epoch: 018, Train Loss: 101.392, Train Acc: 0.335, Test Loss: 101.500, Test Acc: 0.335
