- M: CTNet - D: MNIST(55000) - Train_split: 50000 - B: 100 - Centers (if CTNet): 100 - LAP (if GAPNet): laplacian - Classes 10 - Feats 1
Epoch: 001, Train Loss: 101.935, Train Acc: 0.214, Test Loss: 101.896, Test Acc: 0.228
Epoch: 002, Train Loss: 101.813, Train Acc: 0.233, Test Loss: 101.874, Test Acc: 0.220
Epoch: 003, Train Loss: 101.784, Train Acc: 0.238, Test Loss: 101.835, Test Acc: 0.232
Epoch: 004, Train Loss: 101.765, Train Acc: 0.240, Test Loss: 101.806, Test Acc: 0.236
Epoch: 005, Train Loss: 101.739, Train Acc: 0.243, Test Loss: 101.760, Test Acc: 0.237
Epoch: 006, Train Loss: 101.689, Train Acc: 0.258, Test Loss: 101.737, Test Acc: 0.265
Epoch: 007, Train Loss: 101.641, Train Acc: 0.268, Test Loss: 101.700, Test Acc: 0.261
Epoch: 008, Train Loss: 101.628, Train Acc: 0.271, Test Loss: 101.697, Test Acc: 0.274
Epoch: 009, Train Loss: 101.611, Train Acc: 0.274, Test Loss: 101.690, Test Acc: 0.268
Epoch: 010, Train Loss: 101.601, Train Acc: 0.278, Test Loss: 101.648, Test Acc: 0.279
Epoch: 011, Train Loss: 101.592, Train Acc: 0.280, Test Loss: 101.656, Test Acc: 0.278
Epoch: 012, Train Loss: 101.581, Train Acc: 0.284, Test Loss: 101.643, Test Acc: 0.283
Epoch: 013, Train Loss: 101.567, Train Acc: 0.290, Test Loss: 101.623, Test Acc: 0.296
Epoch: 014, Train Loss: 101.557, Train Acc: 0.290, Test Loss: 101.596, Test Acc: 0.298
Epoch: 015, Train Loss: 101.546, Train Acc: 0.295, Test Loss: 101.601, Test Acc: 0.297
Epoch: 016, Train Loss: 101.549, Train Acc: 0.292, Test Loss: 101.621, Test Acc: 0.293
Epoch: 017, Train Loss: 101.541, Train Acc: 0.293, Test Loss: 101.617, Test Acc: 0.297
Epoch: 018, Train Loss: 101.533, Train Acc: 0.299, Test Loss: 101.618, Test Acc: 0.299
Epoch: 019, Train Loss: 101.528, Train Acc: 0.300, Test Loss: 101.599, Test Acc: 0.289
Epoch: 020, Train Loss: 101.526, Train Acc: 0.300, Test Loss: 101.600, Test Acc: 0.303
Epoch: 021, Train Loss: 101.523, Train Acc: 0.300, Test Loss: 101.569, Test Acc: 0.301
Epoch: 022, Train Loss: 101.514, Train Acc: 0.303, Test Loss: 101.582, Test Acc: 0.306
Epoch: 023, Train Loss: 101.518, Train Acc: 0.302, Test Loss: 101.577, Test Acc: 0.297
Epoch: 024, Train Loss: 101.509, Train Acc: 0.304, Test Loss: 101.578, Test Acc: 0.302
Epoch: 025, Train Loss: 101.509, Train Acc: 0.302, Test Loss: 101.586, Test Acc: 0.305
Epoch: 026, Train Loss: 101.510, Train Acc: 0.305, Test Loss: 101.651, Test Acc: 0.287
Epoch: 027, Train Loss: 101.502, Train Acc: 0.305, Test Loss: 101.570, Test Acc: 0.307
Epoch: 028, Train Loss: 101.503, Train Acc: 0.306, Test Loss: 101.591, Test Acc: 0.284
Epoch: 029, Train Loss: 101.505, Train Acc: 0.306, Test Loss: 101.560, Test Acc: 0.305
Epoch: 030, Train Loss: 101.502, Train Acc: 0.307, Test Loss: 101.553, Test Acc: 0.308
Epoch: 031, Train Loss: 101.497, Train Acc: 0.306, Test Loss: 101.557, Test Acc: 0.313
Epoch: 032, Train Loss: 101.496, Train Acc: 0.307, Test Loss: 101.610, Test Acc: 0.305
Epoch: 033, Train Loss: 101.495, Train Acc: 0.307, Test Loss: 101.562, Test Acc: 0.312
Epoch: 034, Train Loss: 101.493, Train Acc: 0.309, Test Loss: 101.522, Test Acc: 0.309
Epoch: 035, Train Loss: 101.497, Train Acc: 0.306, Test Loss: 101.535, Test Acc: 0.309
Epoch: 036, Train Loss: 101.490, Train Acc: 0.308, Test Loss: 101.580, Test Acc: 0.300
Epoch: 037, Train Loss: 101.492, Train Acc: 0.309, Test Loss: 101.562, Test Acc: 0.307
Epoch: 038, Train Loss: 101.491, Train Acc: 0.307, Test Loss: 101.549, Test Acc: 0.303
Epoch: 039, Train Loss: 101.490, Train Acc: 0.309, Test Loss: 101.519, Test Acc: 0.301
Epoch: 040, Train Loss: 101.489, Train Acc: 0.310, Test Loss: 101.528, Test Acc: 0.313
Epoch: 041, Train Loss: 101.487, Train Acc: 0.311, Test Loss: 101.527, Test Acc: 0.307
Epoch: 042, Train Loss: 101.487, Train Acc: 0.309, Test Loss: 101.526, Test Acc: 0.311
Epoch: 043, Train Loss: 101.485, Train Acc: 0.311, Test Loss: 101.516, Test Acc: 0.310
Epoch: 044, Train Loss: 101.484, Train Acc: 0.310, Test Loss: 101.546, Test Acc: 0.314
Epoch: 045, Train Loss: 101.484, Train Acc: 0.313, Test Loss: 101.521, Test Acc: 0.306
Epoch: 046, Train Loss: 101.484, Train Acc: 0.308, Test Loss: 101.524, Test Acc: 0.313
Epoch: 047, Train Loss: 101.482, Train Acc: 0.312, Test Loss: 101.511, Test Acc: 0.305
Epoch: 048, Train Loss: 101.480, Train Acc: 0.312, Test Loss: 101.528, Test Acc: 0.310
Epoch: 049, Train Loss: 101.481, Train Acc: 0.309, Test Loss: 101.555, Test Acc: 0.304
Epoch: 050, Train Loss: 101.480, Train Acc: 0.312, Test Loss: 101.522, Test Acc: 0.311
Epoch: 051, Train Loss: 101.480, Train Acc: 0.312, Test Loss: 101.537, Test Acc: 0.303
Epoch: 052, Train Loss: 101.481, Train Acc: 0.311, Test Loss: 101.557, Test Acc: 0.308
Epoch: 053, Train Loss: 101.479, Train Acc: 0.313, Test Loss: 101.517, Test Acc: 0.304
Epoch: 054, Train Loss: 101.482, Train Acc: 0.308, Test Loss: 101.534, Test Acc: 0.300
Epoch: 055, Train Loss: 101.479, Train Acc: 0.312, Test Loss: 101.548, Test Acc: 0.314
Epoch: 056, Train Loss: 101.481, Train Acc: 0.311, Test Loss: 101.515, Test Acc: 0.314
Epoch: 057, Train Loss: 101.479, Train Acc: 0.311, Test Loss: 101.545, Test Acc: 0.313
Epoch: 058, Train Loss: 101.478, Train Acc: 0.311, Test Loss: 101.534, Test Acc: 0.301
Epoch: 059, Train Loss: 101.479, Train Acc: 0.312, Test Loss: 101.552, Test Acc: 0.309
Result of run 0.000 is 0.309
Epoch: 001, Train Loss: 101.938, Train Acc: 0.205, Test Loss: 101.876, Test Acc: 0.230
Epoch: 002, Train Loss: 101.812, Train Acc: 0.235, Test Loss: 101.825, Test Acc: 0.237
Epoch: 003, Train Loss: 101.775, Train Acc: 0.240, Test Loss: 101.752, Test Acc: 0.246
Epoch: 004, Train Loss: 101.721, Train Acc: 0.253, Test Loss: 101.658, Test Acc: 0.268
Epoch: 005, Train Loss: 101.675, Train Acc: 0.266, Test Loss: 101.679, Test Acc: 0.268
Epoch: 006, Train Loss: 101.653, Train Acc: 0.268, Test Loss: 101.650, Test Acc: 0.269
Epoch: 007, Train Loss: 101.642, Train Acc: 0.269, Test Loss: 101.625, Test Acc: 0.271
Epoch: 008, Train Loss: 101.635, Train Acc: 0.269, Test Loss: 101.624, Test Acc: 0.276
Epoch: 009, Train Loss: 101.630, Train Acc: 0.269, Test Loss: 101.647, Test Acc: 0.261
Epoch: 010, Train Loss: 101.625, Train Acc: 0.270, Test Loss: 101.620, Test Acc: 0.274
Epoch: 011, Train Loss: 101.622, Train Acc: 0.270, Test Loss: 101.625, Test Acc: 0.274
Epoch: 012, Train Loss: 101.618, Train Acc: 0.273, Test Loss: 101.616, Test Acc: 0.279
Epoch: 013, Train Loss: 101.615, Train Acc: 0.271, Test Loss: 101.618, Test Acc: 0.278
Epoch: 014, Train Loss: 101.611, Train Acc: 0.274, Test Loss: 101.614, Test Acc: 0.284
Epoch: 015, Train Loss: 101.604, Train Acc: 0.275, Test Loss: 101.605, Test Acc: 0.279
Epoch: 016, Train Loss: 101.596, Train Acc: 0.278, Test Loss: 101.600, Test Acc: 0.281
Epoch: 017, Train Loss: 101.591, Train Acc: 0.279, Test Loss: 101.587, Test Acc: 0.282
Epoch: 018, Train Loss: 101.576, Train Acc: 0.282, Test Loss: 101.606, Test Acc: 0.293
Epoch: 019, Train Loss: 101.561, Train Acc: 0.291, Test Loss: 101.603, Test Acc: 0.300
Epoch: 020, Train Loss: 101.545, Train Acc: 0.296, Test Loss: 101.579, Test Acc: 0.298
Epoch: 021, Train Loss: 101.544, Train Acc: 0.296, Test Loss: 101.572, Test Acc: 0.305
Epoch: 022, Train Loss: 101.534, Train Acc: 0.296, Test Loss: 101.572, Test Acc: 0.300
Epoch: 023, Train Loss: 101.533, Train Acc: 0.296, Test Loss: 101.568, Test Acc: 0.304
Epoch: 024, Train Loss: 101.526, Train Acc: 0.301, Test Loss: 101.567, Test Acc: 0.306
Epoch: 025, Train Loss: 101.519, Train Acc: 0.300, Test Loss: 101.577, Test Acc: 0.296
Epoch: 026, Train Loss: 101.516, Train Acc: 0.301, Test Loss: 101.559, Test Acc: 0.310
