- M: GAPNet - D: MNIST(55000) - Train_split: 50000 - B: 100 - Centers (if CTNet): 100 - LAP (if GAPNet): normalized - Classes 10 - Feats 1
Epoch: 001, Train Loss: 2.234, Train Acc: 0.213, Test Loss: 2.166, Test Acc: 0.226
Epoch: 002, Train Loss: 2.063, Train Acc: 0.233, Test Loss: 2.100, Test Acc: 0.208
Epoch: 003, Train Loss: 2.038, Train Acc: 0.234, Test Loss: 2.091, Test Acc: 0.229
Epoch: 004, Train Loss: 2.017, Train Acc: 0.235, Test Loss: 2.076, Test Acc: 0.224
Epoch: 005, Train Loss: 2.000, Train Acc: 0.238, Test Loss: 2.061, Test Acc: 0.232
Epoch: 006, Train Loss: 1.989, Train Acc: 0.239, Test Loss: 2.074, Test Acc: 0.233
Epoch: 007, Train Loss: 1.976, Train Acc: 0.239, Test Loss: 2.059, Test Acc: 0.235
Epoch: 008, Train Loss: 1.965, Train Acc: 0.241, Test Loss: 2.043, Test Acc: 0.238
Epoch: 009, Train Loss: 1.959, Train Acc: 0.240, Test Loss: 2.016, Test Acc: 0.238
Epoch: 010, Train Loss: 1.948, Train Acc: 0.241, Test Loss: 1.989, Test Acc: 0.237
Epoch: 011, Train Loss: 1.942, Train Acc: 0.242, Test Loss: 1.987, Test Acc: 0.235
Epoch: 012, Train Loss: 1.937, Train Acc: 0.241, Test Loss: 2.033, Test Acc: 0.241
Epoch: 013, Train Loss: 1.930, Train Acc: 0.241, Test Loss: 2.017, Test Acc: 0.238
Epoch: 014, Train Loss: 1.923, Train Acc: 0.243, Test Loss: 1.961, Test Acc: 0.243
Epoch: 015, Train Loss: 1.917, Train Acc: 0.244, Test Loss: 1.992, Test Acc: 0.240
Epoch: 016, Train Loss: 1.913, Train Acc: 0.244, Test Loss: 1.956, Test Acc: 0.249
Epoch: 017, Train Loss: 1.909, Train Acc: 0.246, Test Loss: 1.957, Test Acc: 0.243
Epoch: 018, Train Loss: 1.903, Train Acc: 0.245, Test Loss: 1.955, Test Acc: 0.241
Epoch: 019, Train Loss: 1.900, Train Acc: 0.245, Test Loss: 1.945, Test Acc: 0.243
Epoch: 020, Train Loss: 1.893, Train Acc: 0.245, Test Loss: 1.942, Test Acc: 0.250
Epoch: 021, Train Loss: 1.891, Train Acc: 0.248, Test Loss: 1.922, Test Acc: 0.246
Epoch: 022, Train Loss: 1.889, Train Acc: 0.246, Test Loss: 1.920, Test Acc: 0.244
Epoch: 023, Train Loss: 1.883, Train Acc: 0.248, Test Loss: 1.960, Test Acc: 0.234
Epoch: 024, Train Loss: 1.883, Train Acc: 0.248, Test Loss: 1.922, Test Acc: 0.249
Epoch: 025, Train Loss: 1.880, Train Acc: 0.247, Test Loss: 1.927, Test Acc: 0.248
Epoch: 026, Train Loss: 1.878, Train Acc: 0.250, Test Loss: 1.942, Test Acc: 0.239
Epoch: 027, Train Loss: 1.874, Train Acc: 0.250, Test Loss: 1.934, Test Acc: 0.249
Epoch: 028, Train Loss: 1.873, Train Acc: 0.249, Test Loss: 1.917, Test Acc: 0.249
Epoch: 029, Train Loss: 1.871, Train Acc: 0.251, Test Loss: 1.933, Test Acc: 0.246
Epoch: 030, Train Loss: 1.869, Train Acc: 0.251, Test Loss: 1.913, Test Acc: 0.250
Epoch: 031, Train Loss: 1.867, Train Acc: 0.252, Test Loss: 1.919, Test Acc: 0.246
Epoch: 032, Train Loss: 1.867, Train Acc: 0.251, Test Loss: 1.907, Test Acc: 0.250
Epoch: 033, Train Loss: 1.864, Train Acc: 0.253, Test Loss: 1.917, Test Acc: 0.247
Epoch: 034, Train Loss: 1.862, Train Acc: 0.252, Test Loss: 1.897, Test Acc: 0.247
Epoch: 035, Train Loss: 1.862, Train Acc: 0.251, Test Loss: 1.903, Test Acc: 0.252
