- M: GAPNet - D: MNIST(55000) - Train_split: 50000 - B: 100 - Centers (if CTNet): 100 - LAP (if GAPNet): normalizedv2 - Classes 10 - Feats 1
Epoch: 001, Train Loss: 2.414, Train Acc: 0.200, Test Loss: 2.179, Test Acc: 0.233
Epoch: 002, Train Loss: 2.070, Train Acc: 0.233, Test Loss: 2.118, Test Acc: 0.232
Epoch: 003, Train Loss: 2.053, Train Acc: 0.233, Test Loss: 2.099, Test Acc: 0.227
Epoch: 004, Train Loss: 2.030, Train Acc: 0.238, Test Loss: 2.111, Test Acc: 0.231
Epoch: 005, Train Loss: 2.015, Train Acc: 0.237, Test Loss: 2.073, Test Acc: 0.232
Epoch: 006, Train Loss: 2.002, Train Acc: 0.236, Test Loss: 2.080, Test Acc: 0.236
Epoch: 007, Train Loss: 1.988, Train Acc: 0.239, Test Loss: 2.034, Test Acc: 0.234
Epoch: 008, Train Loss: 1.977, Train Acc: 0.239, Test Loss: 2.047, Test Acc: 0.239
Epoch: 009, Train Loss: 1.969, Train Acc: 0.240, Test Loss: 2.031, Test Acc: 0.240
Epoch: 010, Train Loss: 1.959, Train Acc: 0.238, Test Loss: 2.013, Test Acc: 0.238
Epoch: 011, Train Loss: 1.951, Train Acc: 0.242, Test Loss: 2.011, Test Acc: 0.238
Epoch: 012, Train Loss: 1.944, Train Acc: 0.241, Test Loss: 2.023, Test Acc: 0.235
Epoch: 013, Train Loss: 1.936, Train Acc: 0.244, Test Loss: 1.999, Test Acc: 0.244
Epoch: 014, Train Loss: 1.925, Train Acc: 0.245, Test Loss: 1.977, Test Acc: 0.245
Epoch: 015, Train Loss: 1.918, Train Acc: 0.247, Test Loss: 1.967, Test Acc: 0.250
Epoch: 016, Train Loss: 1.909, Train Acc: 0.250, Test Loss: 1.952, Test Acc: 0.249
Epoch: 017, Train Loss: 1.903, Train Acc: 0.251, Test Loss: 1.955, Test Acc: 0.249
Epoch: 018, Train Loss: 1.894, Train Acc: 0.255, Test Loss: 1.935, Test Acc: 0.255
Epoch: 019, Train Loss: 1.890, Train Acc: 0.253, Test Loss: 1.936, Test Acc: 0.248
Epoch: 020, Train Loss: 1.886, Train Acc: 0.255, Test Loss: 1.927, Test Acc: 0.254
