- M: MinCutNet - D: MNIST(55000) - Train_split: 50000 - B: 100 - Centers (if CTNet): 100 - LAP (if GAPNet): laplacian - Classes 10 - Feats 1
Epoch: 001, Train Loss: 2.995, Train Acc: 0.139, Test Loss: 2.518, Test Acc: 0.215
Epoch: 002, Train Loss: 2.430, Train Acc: 0.204, Test Loss: 2.415, Test Acc: 0.233
Epoch: 003, Train Loss: 2.381, Train Acc: 0.219, Test Loss: 2.562, Test Acc: 0.209
Epoch: 004, Train Loss: 2.340, Train Acc: 0.228, Test Loss: 2.377, Test Acc: 0.241
Epoch: 005, Train Loss: 2.335, Train Acc: 0.226, Test Loss: 2.358, Test Acc: 0.226
Epoch: 006, Train Loss: 2.332, Train Acc: 0.226, Test Loss: 2.433, Test Acc: 0.242
Epoch: 007, Train Loss: 2.312, Train Acc: 0.229, Test Loss: 2.468, Test Acc: 0.221
Epoch: 008, Train Loss: 2.298, Train Acc: 0.234, Test Loss: 2.433, Test Acc: 0.237
Epoch: 009, Train Loss: 2.290, Train Acc: 0.234, Test Loss: 2.361, Test Acc: 0.246
Epoch: 010, Train Loss: 2.285, Train Acc: 0.236, Test Loss: 2.343, Test Acc: 0.235
Epoch: 011, Train Loss: 2.270, Train Acc: 0.242, Test Loss: 2.343, Test Acc: 0.230
Epoch: 012, Train Loss: 2.258, Train Acc: 0.245, Test Loss: 2.321, Test Acc: 0.257
Epoch: 013, Train Loss: 2.239, Train Acc: 0.256, Test Loss: 2.354, Test Acc: 0.257
Epoch: 014, Train Loss: 2.214, Train Acc: 0.266, Test Loss: 2.321, Test Acc: 0.270
Epoch: 015, Train Loss: 2.181, Train Acc: 0.277, Test Loss: 2.307, Test Acc: 0.263
Epoch: 016, Train Loss: 2.171, Train Acc: 0.284, Test Loss: 2.298, Test Acc: 0.281
Epoch: 017, Train Loss: 2.161, Train Acc: 0.285, Test Loss: 2.232, Test Acc: 0.292
Epoch: 018, Train Loss: 2.136, Train Acc: 0.297, Test Loss: 2.280, Test Acc: 0.275
Epoch: 019, Train Loss: 2.137, Train Acc: 0.291, Test Loss: 2.213, Test Acc: 0.288
Epoch: 020, Train Loss: 2.130, Train Acc: 0.297, Test Loss: 2.255, Test Acc: 0.297
