- M: CTNet - D: MUTAG(188) - Train_split: 150 - B: 32 - Centers (if CTNet): 17 - LAP (if GAPNet): laplacian - Classes 2 - Feats 7
Epoch: 001, Train Loss: 22.933, Train Acc: 0.667, Test Loss: 10.957, Test Acc: 0.658
Epoch: 002, Train Loss: 22.742, Train Acc: 0.667, Test Loss: 10.762, Test Acc: 0.658
Epoch: 003, Train Loss: 22.653, Train Acc: 0.667, Test Loss: 10.720, Test Acc: 0.658
Epoch: 004, Train Loss: 22.569, Train Acc: 0.667, Test Loss: 10.710, Test Acc: 0.658
Epoch: 005, Train Loss: 22.492, Train Acc: 0.667, Test Loss: 10.706, Test Acc: 0.658
Epoch: 006, Train Loss: 22.445, Train Acc: 0.667, Test Loss: 10.694, Test Acc: 0.658
Epoch: 007, Train Loss: 22.428, Train Acc: 0.667, Test Loss: 10.692, Test Acc: 0.658
Epoch: 008, Train Loss: 22.411, Train Acc: 0.667, Test Loss: 10.680, Test Acc: 0.658
Epoch: 009, Train Loss: 22.390, Train Acc: 0.667, Test Loss: 10.640, Test Acc: 0.658
Epoch: 010, Train Loss: 22.368, Train Acc: 0.667, Test Loss: 10.603, Test Acc: 0.684
Epoch: 011, Train Loss: 22.350, Train Acc: 0.720, Test Loss: 10.574, Test Acc: 0.658
Epoch: 012, Train Loss: 22.342, Train Acc: 0.733, Test Loss: 10.549, Test Acc: 0.658
Epoch: 013, Train Loss: 22.321, Train Acc: 0.747, Test Loss: 10.558, Test Acc: 0.658
Epoch: 014, Train Loss: 22.310, Train Acc: 0.760, Test Loss: 10.528, Test Acc: 0.711
Epoch: 015, Train Loss: 22.297, Train Acc: 0.820, Test Loss: 10.511, Test Acc: 0.737
Epoch: 016, Train Loss: 22.284, Train Acc: 0.807, Test Loss: 10.505, Test Acc: 0.737
Epoch: 017, Train Loss: 22.272, Train Acc: 0.813, Test Loss: 10.476, Test Acc: 0.737
Epoch: 018, Train Loss: 22.260, Train Acc: 0.840, Test Loss: 10.448, Test Acc: 0.789
