- M: CTNet - D: MUTAG(188) - Train_split: 150 - B: 32 - Centers (if CTNet): 17 - LAP (if GAPNet): laplacian - Classes 2 - Feats 7
Epoch: 001, Train Loss: 23.451, Train Acc: 0.667, Test Loss: 11.227, Test Acc: 0.658
Epoch: 002, Train Loss: 23.341, Train Acc: 0.667, Test Loss: 11.117, Test Acc: 0.658
Epoch: 003, Train Loss: 23.245, Train Acc: 0.707, Test Loss: 11.097, Test Acc: 0.658
Epoch: 004, Train Loss: 23.175, Train Acc: 0.773, Test Loss: 11.075, Test Acc: 0.632
Epoch: 005, Train Loss: 23.086, Train Acc: 0.833, Test Loss: 11.050, Test Acc: 0.684
Epoch: 006, Train Loss: 22.997, Train Acc: 0.833, Test Loss: 10.998, Test Acc: 0.737
Epoch: 007, Train Loss: 22.900, Train Acc: 0.860, Test Loss: 10.990, Test Acc: 0.737
Epoch: 008, Train Loss: 22.798, Train Acc: 0.860, Test Loss: 10.965, Test Acc: 0.737
Epoch: 009, Train Loss: 22.708, Train Acc: 0.867, Test Loss: 10.924, Test Acc: 0.763
Epoch: 010, Train Loss: 22.659, Train Acc: 0.860, Test Loss: 10.966, Test Acc: 0.737
Epoch: 011, Train Loss: 22.622, Train Acc: 0.867, Test Loss: 10.943, Test Acc: 0.737
Epoch: 012, Train Loss: 22.641, Train Acc: 0.847, Test Loss: 10.922, Test Acc: 0.737
Epoch: 013, Train Loss: 22.612, Train Acc: 0.860, Test Loss: 10.998, Test Acc: 0.737
Epoch: 014, Train Loss: 22.610, Train Acc: 0.860, Test Loss: 10.930, Test Acc: 0.737
Epoch: 015, Train Loss: 22.605, Train Acc: 0.867, Test Loss: 10.934, Test Acc: 0.737
Epoch: 016, Train Loss: 22.595, Train Acc: 0.873, Test Loss: 10.951, Test Acc: 0.737
Epoch: 017, Train Loss: 22.579, Train Acc: 0.860, Test Loss: 10.937, Test Acc: 0.737
Epoch: 018, Train Loss: 22.590, Train Acc: 0.873, Test Loss: 10.898, Test Acc: 0.737
Epoch: 019, Train Loss: 22.581, Train Acc: 0.867, Test Loss: 10.940, Test Acc: 0.737
Epoch: 020, Train Loss: 22.597, Train Acc: 0.860, Test Loss: 10.963, Test Acc: 0.737
Epoch: 021, Train Loss: 22.592, Train Acc: 0.867, Test Loss: 10.913, Test Acc: 0.737
Epoch: 022, Train Loss: 22.573, Train Acc: 0.873, Test Loss: 10.916, Test Acc: 0.737
Epoch: 023, Train Loss: 22.582, Train Acc: 0.867, Test Loss: 10.882, Test Acc: 0.737
Epoch: 024, Train Loss: 22.574, Train Acc: 0.847, Test Loss: 10.945, Test Acc: 0.737
Epoch: 025, Train Loss: 22.582, Train Acc: 0.867, Test Loss: 10.934, Test Acc: 0.737
Epoch: 026, Train Loss: 22.577, Train Acc: 0.867, Test Loss: 10.894, Test Acc: 0.737
Epoch: 027, Train Loss: 22.576, Train Acc: 0.853, Test Loss: 10.896, Test Acc: 0.737
Epoch: 028, Train Loss: 22.576, Train Acc: 0.867, Test Loss: 10.867, Test Acc: 0.737
Epoch: 029, Train Loss: 22.588, Train Acc: 0.867, Test Loss: 10.948, Test Acc: 0.737
Epoch: 030, Train Loss: 22.591, Train Acc: 0.860, Test Loss: 10.918, Test Acc: 0.737
Epoch: 031, Train Loss: 22.557, Train Acc: 0.867, Test Loss: 10.834, Test Acc: 0.763
Epoch: 032, Train Loss: 22.607, Train Acc: 0.873, Test Loss: 10.865, Test Acc: 0.737
Epoch: 033, Train Loss: 22.597, Train Acc: 0.867, Test Loss: 11.004, Test Acc: 0.737
Epoch: 034, Train Loss: 22.597, Train Acc: 0.860, Test Loss: 10.832, Test Acc: 0.737
Epoch: 035, Train Loss: 22.589, Train Acc: 0.873, Test Loss: 10.837, Test Acc: 0.737
Epoch: 036, Train Loss: 22.552, Train Acc: 0.880, Test Loss: 10.916, Test Acc: 0.737
Epoch: 037, Train Loss: 22.570, Train Acc: 0.860, Test Loss: 10.887, Test Acc: 0.737
Epoch: 038, Train Loss: 22.554, Train Acc: 0.873, Test Loss: 10.828, Test Acc: 0.737
Epoch: 039, Train Loss: 22.556, Train Acc: 0.880, Test Loss: 10.813, Test Acc: 0.763
Epoch: 040, Train Loss: 22.572, Train Acc: 0.887, Test Loss: 10.833, Test Acc: 0.737
Epoch: 041, Train Loss: 22.580, Train Acc: 0.867, Test Loss: 10.890, Test Acc: 0.737
Epoch: 042, Train Loss: 22.545, Train Acc: 0.873, Test Loss: 10.797, Test Acc: 0.763
Epoch: 043, Train Loss: 22.609, Train Acc: 0.867, Test Loss: 10.828, Test Acc: 0.737
Epoch: 044, Train Loss: 22.573, Train Acc: 0.860, Test Loss: 10.879, Test Acc: 0.737
Epoch: 045, Train Loss: 22.573, Train Acc: 0.873, Test Loss: 10.805, Test Acc: 0.737
Epoch: 046, Train Loss: 22.565, Train Acc: 0.907, Test Loss: 10.812, Test Acc: 0.737
Epoch: 047, Train Loss: 22.575, Train Acc: 0.873, Test Loss: 10.858, Test Acc: 0.737
Epoch: 048, Train Loss: 22.551, Train Acc: 0.873, Test Loss: 10.819, Test Acc: 0.737
Epoch: 049, Train Loss: 22.555, Train Acc: 0.893, Test Loss: 10.788, Test Acc: 0.763
Epoch: 050, Train Loss: 22.551, Train Acc: 0.880, Test Loss: 10.827, Test Acc: 0.737
Epoch: 051, Train Loss: 22.549, Train Acc: 0.873, Test Loss: 10.842, Test Acc: 0.737
Epoch: 052, Train Loss: 22.531, Train Acc: 0.873, Test Loss: 10.780, Test Acc: 0.763
Epoch: 053, Train Loss: 22.575, Train Acc: 0.887, Test Loss: 10.770, Test Acc: 0.763
Epoch: 054, Train Loss: 22.544, Train Acc: 0.880, Test Loss: 10.844, Test Acc: 0.737
Epoch: 055, Train Loss: 22.577, Train Acc: 0.860, Test Loss: 10.820, Test Acc: 0.737
Epoch: 056, Train Loss: 22.531, Train Acc: 0.893, Test Loss: 10.768, Test Acc: 0.763
Epoch: 057, Train Loss: 22.583, Train Acc: 0.880, Test Loss: 10.812, Test Acc: 0.737
Epoch: 058, Train Loss: 22.558, Train Acc: 0.887, Test Loss: 10.785, Test Acc: 0.737
Epoch: 059, Train Loss: 22.566, Train Acc: 0.887, Test Loss: 10.800, Test Acc: 0.737
Result of run 0.000 is 0.737
Epoch: 001, Train Loss: 23.426, Train Acc: 0.353, Test Loss: 11.105, Test Acc: 0.658
Epoch: 002, Train Loss: 23.109, Train Acc: 0.667, Test Loss: 11.099, Test Acc: 0.658
Epoch: 003, Train Loss: 22.975, Train Acc: 0.667, Test Loss: 10.926, Test Acc: 0.737
Epoch: 004, Train Loss: 22.823, Train Acc: 0.787, Test Loss: 10.849, Test Acc: 0.842
Epoch: 005, Train Loss: 22.786, Train Acc: 0.827, Test Loss: 10.861, Test Acc: 0.842
Epoch: 006, Train Loss: 22.763, Train Acc: 0.820, Test Loss: 10.904, Test Acc: 0.816
Epoch: 007, Train Loss: 22.749, Train Acc: 0.813, Test Loss: 10.884, Test Acc: 0.816
Epoch: 008, Train Loss: 22.761, Train Acc: 0.820, Test Loss: 10.837, Test Acc: 0.842
Epoch: 009, Train Loss: 22.747, Train Acc: 0.820, Test Loss: 10.824, Test Acc: 0.842
Epoch: 010, Train Loss: 22.738, Train Acc: 0.813, Test Loss: 10.845, Test Acc: 0.842
Epoch: 011, Train Loss: 22.703, Train Acc: 0.820, Test Loss: 10.792, Test Acc: 0.895
Epoch: 012, Train Loss: 22.696, Train Acc: 0.827, Test Loss: 10.764, Test Acc: 0.895
Epoch: 013, Train Loss: 22.707, Train Acc: 0.820, Test Loss: 10.821, Test Acc: 0.842
Epoch: 014, Train Loss: 22.678, Train Acc: 0.820, Test Loss: 10.825, Test Acc: 0.842
Epoch: 015, Train Loss: 22.696, Train Acc: 0.833, Test Loss: 10.746, Test Acc: 0.895
Epoch: 016, Train Loss: 22.666, Train Acc: 0.833, Test Loss: 10.759, Test Acc: 0.895
Epoch: 017, Train Loss: 22.672, Train Acc: 0.827, Test Loss: 10.798, Test Acc: 0.895
Epoch: 018, Train Loss: 22.688, Train Acc: 0.820, Test Loss: 10.780, Test Acc: 0.895
Epoch: 019, Train Loss: 22.683, Train Acc: 0.813, Test Loss: 10.755, Test Acc: 0.895
Epoch: 020, Train Loss: 22.687, Train Acc: 0.833, Test Loss: 10.817, Test Acc: 0.842
Epoch: 021, Train Loss: 22.670, Train Acc: 0.820, Test Loss: 10.739, Test Acc: 0.895
Epoch: 022, Train Loss: 22.665, Train Acc: 0.827, Test Loss: 10.721, Test Acc: 0.895
Epoch: 023, Train Loss: 22.694, Train Acc: 0.820, Test Loss: 10.794, Test Acc: 0.842
Epoch: 024, Train Loss: 22.666, Train Acc: 0.820, Test Loss: 10.746, Test Acc: 0.895
Epoch: 025, Train Loss: 22.646, Train Acc: 0.833, Test Loss: 10.675, Test Acc: 0.895
Epoch: 026, Train Loss: 22.673, Train Acc: 0.820, Test Loss: 10.689, Test Acc: 0.895
Epoch: 027, Train Loss: 22.648, Train Acc: 0.827, Test Loss: 10.764, Test Acc: 0.842
Epoch: 028, Train Loss: 22.669, Train Acc: 0.820, Test Loss: 10.713, Test Acc: 0.895
Epoch: 029, Train Loss: 22.640, Train Acc: 0.840, Test Loss: 10.632, Test Acc: 0.895
Epoch: 030, Train Loss: 22.650, Train Acc: 0.827, Test Loss: 10.624, Test Acc: 0.895
Epoch: 031, Train Loss: 22.654, Train Acc: 0.820, Test Loss: 10.705, Test Acc: 0.868
Epoch: 032, Train Loss: 22.664, Train Acc: 0.827, Test Loss: 10.665, Test Acc: 0.895
Epoch: 033, Train Loss: 22.647, Train Acc: 0.833, Test Loss: 10.659, Test Acc: 0.895
Epoch: 034, Train Loss: 22.643, Train Acc: 0.820, Test Loss: 10.642, Test Acc: 0.895
Epoch: 035, Train Loss: 22.653, Train Acc: 0.853, Test Loss: 10.610, Test Acc: 0.895
Epoch: 036, Train Loss: 22.660, Train Acc: 0.833, Test Loss: 10.648, Test Acc: 0.895
Epoch: 037, Train Loss: 22.641, Train Acc: 0.833, Test Loss: 10.616, Test Acc: 0.895
Epoch: 038, Train Loss: 22.664, Train Acc: 0.827, Test Loss: 10.576, Test Acc: 0.895
Epoch: 039, Train Loss: 22.648, Train Acc: 0.833, Test Loss: 10.596, Test Acc: 0.895
Epoch: 040, Train Loss: 22.647, Train Acc: 0.840, Test Loss: 10.602, Test Acc: 0.895
Epoch: 041, Train Loss: 22.640, Train Acc: 0.833, Test Loss: 10.634, Test Acc: 0.842
Epoch: 042, Train Loss: 22.633, Train Acc: 0.833, Test Loss: 10.567, Test Acc: 0.895
Epoch: 043, Train Loss: 22.662, Train Acc: 0.853, Test Loss: 10.551, Test Acc: 0.895
Epoch: 044, Train Loss: 22.647, Train Acc: 0.827, Test Loss: 10.615, Test Acc: 0.895
Epoch: 045, Train Loss: 22.661, Train Acc: 0.833, Test Loss: 10.584, Test Acc: 0.895
Epoch: 046, Train Loss: 22.660, Train Acc: 0.833, Test Loss: 10.587, Test Acc: 0.895
Epoch: 047, Train Loss: 22.656, Train Acc: 0.833, Test Loss: 10.569, Test Acc: 0.895
Epoch: 048, Train Loss: 22.630, Train Acc: 0.847, Test Loss: 10.539, Test Acc: 0.895
Epoch: 049, Train Loss: 22.654, Train Acc: 0.847, Test Loss: 10.581, Test Acc: 0.895
Epoch: 050, Train Loss: 22.641, Train Acc: 0.820, Test Loss: 10.584, Test Acc: 0.895
Epoch: 051, Train Loss: 22.633, Train Acc: 0.853, Test Loss: 10.525, Test Acc: 0.895
Epoch: 052, Train Loss: 22.632, Train Acc: 0.840, Test Loss: 10.549, Test Acc: 0.895
Epoch: 053, Train Loss: 22.628, Train Acc: 0.853, Test Loss: 10.553, Test Acc: 0.895
Epoch: 054, Train Loss: 22.624, Train Acc: 0.840, Test Loss: 10.570, Test Acc: 0.895
Epoch: 055, Train Loss: 22.618, Train Acc: 0.833, Test Loss: 10.511, Test Acc: 0.921
Epoch: 056, Train Loss: 22.640, Train Acc: 0.873, Test Loss: 10.526, Test Acc: 0.895
Epoch: 057, Train Loss: 22.636, Train Acc: 0.840, Test Loss: 10.602, Test Acc: 0.842
Epoch: 058, Train Loss: 22.626, Train Acc: 0.833, Test Loss: 10.567, Test Acc: 0.895
Epoch: 059, Train Loss: 22.628, Train Acc: 0.840, Test Loss: 10.524, Test Acc: 0.921
Result of run 1.000 is 0.921
Epoch: 001, Train Loss: 23.346, Train Acc: 0.533, Test Loss: 11.018, Test Acc: 0.658
Epoch: 002, Train Loss: 23.195, Train Acc: 0.667, Test Loss: 10.990, Test Acc: 0.658
Epoch: 003, Train Loss: 23.086, Train Acc: 0.667, Test Loss: 10.868, Test Acc: 0.658
Epoch: 004, Train Loss: 22.985, Train Acc: 0.680, Test Loss: 10.776, Test Acc: 0.868
Epoch: 005, Train Loss: 22.923, Train Acc: 0.767, Test Loss: 10.727, Test Acc: 0.895
Epoch: 006, Train Loss: 22.843, Train Acc: 0.760, Test Loss: 10.703, Test Acc: 0.868
Epoch: 007, Train Loss: 22.797, Train Acc: 0.760, Test Loss: 10.673, Test Acc: 0.895
Epoch: 008, Train Loss: 22.786, Train Acc: 0.813, Test Loss: 10.642, Test Acc: 0.921
Epoch: 009, Train Loss: 22.771, Train Acc: 0.800, Test Loss: 10.613, Test Acc: 0.895
Epoch: 010, Train Loss: 22.712, Train Acc: 0.800, Test Loss: 10.588, Test Acc: 0.895
Epoch: 011, Train Loss: 22.730, Train Acc: 0.800, Test Loss: 10.538, Test Acc: 0.921
Epoch: 012, Train Loss: 22.717, Train Acc: 0.820, Test Loss: 10.530, Test Acc: 0.921
Epoch: 013, Train Loss: 22.684, Train Acc: 0.820, Test Loss: 10.505, Test Acc: 0.921
Epoch: 014, Train Loss: 22.698, Train Acc: 0.827, Test Loss: 10.478, Test Acc: 0.895
Epoch: 015, Train Loss: 22.688, Train Acc: 0.813, Test Loss: 10.501, Test Acc: 0.921
Epoch: 016, Train Loss: 22.693, Train Acc: 0.820, Test Loss: 10.494, Test Acc: 0.921
Epoch: 017, Train Loss: 22.659, Train Acc: 0.827, Test Loss: 10.475, Test Acc: 0.921
Epoch: 018, Train Loss: 22.677, Train Acc: 0.813, Test Loss: 10.480, Test Acc: 0.921
Epoch: 019, Train Loss: 22.669, Train Acc: 0.813, Test Loss: 10.493, Test Acc: 0.921
Epoch: 020, Train Loss: 22.667, Train Acc: 0.813, Test Loss: 10.480, Test Acc: 0.921
Epoch: 021, Train Loss: 22.652, Train Acc: 0.820, Test Loss: 10.491, Test Acc: 0.921
Epoch: 022, Train Loss: 22.648, Train Acc: 0.827, Test Loss: 10.498, Test Acc: 0.921
Epoch: 023, Train Loss: 22.634, Train Acc: 0.827, Test Loss: 10.481, Test Acc: 0.921
Epoch: 024, Train Loss: 22.636, Train Acc: 0.833, Test Loss: 10.479, Test Acc: 0.921
Epoch: 025, Train Loss: 22.637, Train Acc: 0.840, Test Loss: 10.488, Test Acc: 0.921
Epoch: 026, Train Loss: 22.601, Train Acc: 0.827, Test Loss: 10.484, Test Acc: 0.921
Epoch: 027, Train Loss: 22.639, Train Acc: 0.833, Test Loss: 10.483, Test Acc: 0.921
Epoch: 028, Train Loss: 22.603, Train Acc: 0.833, Test Loss: 10.484, Test Acc: 0.921
Epoch: 029, Train Loss: 22.647, Train Acc: 0.853, Test Loss: 10.480, Test Acc: 0.921
Epoch: 030, Train Loss: 22.615, Train Acc: 0.840, Test Loss: 10.490, Test Acc: 0.921
Epoch: 031, Train Loss: 22.644, Train Acc: 0.840, Test Loss: 10.492, Test Acc: 0.921
Epoch: 032, Train Loss: 22.659, Train Acc: 0.820, Test Loss: 10.475, Test Acc: 0.947
Epoch: 033, Train Loss: 22.619, Train Acc: 0.833, Test Loss: 10.485, Test Acc: 0.921
Epoch: 034, Train Loss: 22.605, Train Acc: 0.847, Test Loss: 10.477, Test Acc: 0.921
Epoch: 035, Train Loss: 22.613, Train Acc: 0.847, Test Loss: 10.472, Test Acc: 0.921
Epoch: 036, Train Loss: 22.623, Train Acc: 0.840, Test Loss: 10.476, Test Acc: 0.921
Epoch: 037, Train Loss: 22.635, Train Acc: 0.847, Test Loss: 10.465, Test Acc: 0.921
Epoch: 038, Train Loss: 22.629, Train Acc: 0.833, Test Loss: 10.473, Test Acc: 0.921
Epoch: 039, Train Loss: 22.614, Train Acc: 0.847, Test Loss: 10.480, Test Acc: 0.921
Epoch: 040, Train Loss: 22.606, Train Acc: 0.827, Test Loss: 10.467, Test Acc: 0.921
Epoch: 041, Train Loss: 22.645, Train Acc: 0.847, Test Loss: 10.482, Test Acc: 0.921
Epoch: 042, Train Loss: 22.651, Train Acc: 0.847, Test Loss: 10.517, Test Acc: 0.921
Epoch: 043, Train Loss: 22.630, Train Acc: 0.833, Test Loss: 10.469, Test Acc: 0.947
Epoch: 044, Train Loss: 22.638, Train Acc: 0.833, Test Loss: 10.468, Test Acc: 0.947
Epoch: 045, Train Loss: 22.634, Train Acc: 0.847, Test Loss: 10.493, Test Acc: 0.921
Epoch: 046, Train Loss: 22.647, Train Acc: 0.820, Test Loss: 10.475, Test Acc: 0.947
Epoch: 047, Train Loss: 22.641, Train Acc: 0.827, Test Loss: 10.489, Test Acc: 0.921
Epoch: 048, Train Loss: 22.608, Train Acc: 0.847, Test Loss: 10.470, Test Acc: 0.947
Epoch: 049, Train Loss: 22.632, Train Acc: 0.840, Test Loss: 10.470, Test Acc: 0.921
Epoch: 050, Train Loss: 22.617, Train Acc: 0.847, Test Loss: 10.476, Test Acc: 0.921
Epoch: 051, Train Loss: 22.622, Train Acc: 0.847, Test Loss: 10.476, Test Acc: 0.921
Epoch: 052, Train Loss: 22.631, Train Acc: 0.847, Test Loss: 10.476, Test Acc: 0.921
Epoch: 053, Train Loss: 22.626, Train Acc: 0.847, Test Loss: 10.474, Test Acc: 0.921
Epoch: 054, Train Loss: 22.613, Train Acc: 0.860, Test Loss: 10.473, Test Acc: 0.921
Epoch: 055, Train Loss: 22.602, Train Acc: 0.847, Test Loss: 10.476, Test Acc: 0.921
Epoch: 056, Train Loss: 22.623, Train Acc: 0.840, Test Loss: 10.467, Test Acc: 0.921
Epoch: 057, Train Loss: 22.601, Train Acc: 0.833, Test Loss: 10.466, Test Acc: 0.921
Epoch: 058, Train Loss: 22.626, Train Acc: 0.833, Test Loss: 10.461, Test Acc: 0.947
Epoch: 059, Train Loss: 22.625, Train Acc: 0.847, Test Loss: 10.486, Test Acc: 0.921
Result of run 2.000 is 0.921
Epoch: 001, Train Loss: 23.263, Train Acc: 0.640, Test Loss: 10.967, Test Acc: 0.658
Epoch: 002, Train Loss: 23.102, Train Acc: 0.667, Test Loss: 10.960, Test Acc: 0.658
Epoch: 003, Train Loss: 22.995, Train Acc: 0.667, Test Loss: 10.927, Test Acc: 0.658
Epoch: 004, Train Loss: 22.906, Train Acc: 0.667, Test Loss: 10.924, Test Acc: 0.658
Epoch: 005, Train Loss: 22.826, Train Acc: 0.673, Test Loss: 10.951, Test Acc: 0.737
Epoch: 006, Train Loss: 22.780, Train Acc: 0.707, Test Loss: 10.987, Test Acc: 0.763
Epoch: 007, Train Loss: 22.771, Train Acc: 0.753, Test Loss: 11.026, Test Acc: 0.763
Epoch: 008, Train Loss: 22.758, Train Acc: 0.800, Test Loss: 11.046, Test Acc: 0.763
Epoch: 009, Train Loss: 22.733, Train Acc: 0.813, Test Loss: 11.077, Test Acc: 0.789
Epoch: 010, Train Loss: 22.687, Train Acc: 0.827, Test Loss: 11.090, Test Acc: 0.789
Epoch: 011, Train Loss: 22.683, Train Acc: 0.833, Test Loss: 11.129, Test Acc: 0.789
Epoch: 012, Train Loss: 22.685, Train Acc: 0.827, Test Loss: 11.193, Test Acc: 0.789
Epoch: 013, Train Loss: 22.632, Train Acc: 0.833, Test Loss: 11.168, Test Acc: 0.816
Epoch: 014, Train Loss: 22.659, Train Acc: 0.827, Test Loss: 11.194, Test Acc: 0.816
Epoch: 015, Train Loss: 22.660, Train Acc: 0.840, Test Loss: 11.311, Test Acc: 0.789
Epoch: 016, Train Loss: 22.632, Train Acc: 0.840, Test Loss: 11.248, Test Acc: 0.816
Epoch: 017, Train Loss: 22.626, Train Acc: 0.827, Test Loss: 11.222, Test Acc: 0.816
Epoch: 018, Train Loss: 22.627, Train Acc: 0.820, Test Loss: 11.280, Test Acc: 0.789
Epoch: 019, Train Loss: 22.624, Train Acc: 0.833, Test Loss: 11.300, Test Acc: 0.789
Epoch: 020, Train Loss: 22.619, Train Acc: 0.840, Test Loss: 11.263, Test Acc: 0.816
Epoch: 021, Train Loss: 22.622, Train Acc: 0.833, Test Loss: 11.253, Test Acc: 0.816
Epoch: 022, Train Loss: 22.625, Train Acc: 0.833, Test Loss: 11.269, Test Acc: 0.816
Epoch: 023, Train Loss: 22.594, Train Acc: 0.833, Test Loss: 11.203, Test Acc: 0.816
Epoch: 024, Train Loss: 22.619, Train Acc: 0.840, Test Loss: 11.208, Test Acc: 0.816
Epoch: 025, Train Loss: 22.611, Train Acc: 0.833, Test Loss: 11.392, Test Acc: 0.789
Epoch: 026, Train Loss: 22.598, Train Acc: 0.840, Test Loss: 11.252, Test Acc: 0.816
Epoch: 027, Train Loss: 22.606, Train Acc: 0.847, Test Loss: 11.157, Test Acc: 0.816
Epoch: 028, Train Loss: 22.594, Train Acc: 0.853, Test Loss: 11.220, Test Acc: 0.816
Epoch: 029, Train Loss: 22.612, Train Acc: 0.847, Test Loss: 11.285, Test Acc: 0.789
Epoch: 030, Train Loss: 22.577, Train Acc: 0.840, Test Loss: 11.240, Test Acc: 0.816
Epoch: 031, Train Loss: 22.592, Train Acc: 0.860, Test Loss: 11.190, Test Acc: 0.816
Epoch: 032, Train Loss: 22.597, Train Acc: 0.867, Test Loss: 11.210, Test Acc: 0.816
Epoch: 033, Train Loss: 22.611, Train Acc: 0.853, Test Loss: 11.264, Test Acc: 0.789
Epoch: 034, Train Loss: 22.602, Train Acc: 0.840, Test Loss: 11.296, Test Acc: 0.789
Epoch: 035, Train Loss: 22.575, Train Acc: 0.860, Test Loss: 11.176, Test Acc: 0.816
Epoch: 036, Train Loss: 22.619, Train Acc: 0.853, Test Loss: 11.203, Test Acc: 0.816
