- M: GAPNet - D: MUTAG(188) - Train_split: 150 - B: 32 - Centers (if CTNet): 17 - LAP (if GAPNet): laplacian - Classes 2 - Feats 7
Epoch: 001, Train Loss: 0.974, Train Acc: 0.580, Test Loss: 0.968, Test Acc: 0.658
Epoch: 002, Train Loss: 0.893, Train Acc: 0.667, Test Loss: 1.017, Test Acc: 0.658
Epoch: 003, Train Loss: 0.865, Train Acc: 0.667, Test Loss: 0.977, Test Acc: 0.658
Epoch: 004, Train Loss: 0.849, Train Acc: 0.667, Test Loss: 0.897, Test Acc: 0.658
Epoch: 005, Train Loss: 0.831, Train Acc: 0.667, Test Loss: 0.866, Test Acc: 0.658
Epoch: 006, Train Loss: 0.806, Train Acc: 0.693, Test Loss: 0.862, Test Acc: 0.658
Epoch: 007, Train Loss: 0.792, Train Acc: 0.707, Test Loss: 0.864, Test Acc: 0.684
Epoch: 008, Train Loss: 0.777, Train Acc: 0.700, Test Loss: 0.830, Test Acc: 0.658
Epoch: 009, Train Loss: 0.762, Train Acc: 0.773, Test Loss: 0.783, Test Acc: 0.711
Epoch: 010, Train Loss: 0.748, Train Acc: 0.807, Test Loss: 0.780, Test Acc: 0.684
Epoch: 011, Train Loss: 0.723, Train Acc: 0.800, Test Loss: 0.753, Test Acc: 0.684
Epoch: 012, Train Loss: 0.721, Train Acc: 0.853, Test Loss: 0.716, Test Acc: 0.711
Epoch: 013, Train Loss: 0.695, Train Acc: 0.847, Test Loss: 0.745, Test Acc: 0.684
Epoch: 014, Train Loss: 0.681, Train Acc: 0.840, Test Loss: 0.682, Test Acc: 0.711
Epoch: 015, Train Loss: 0.677, Train Acc: 0.873, Test Loss: 0.686, Test Acc: 0.711
Epoch: 016, Train Loss: 0.663, Train Acc: 0.860, Test Loss: 0.695, Test Acc: 0.711
Epoch: 017, Train Loss: 0.635, Train Acc: 0.867, Test Loss: 0.649, Test Acc: 0.737
Epoch: 018, Train Loss: 0.643, Train Acc: 0.873, Test Loss: 0.627, Test Acc: 0.737
Epoch: 019, Train Loss: 0.633, Train Acc: 0.887, Test Loss: 0.674, Test Acc: 0.711
Epoch: 020, Train Loss: 0.632, Train Acc: 0.860, Test Loss: 0.643, Test Acc: 0.737
Epoch: 021, Train Loss: 0.630, Train Acc: 0.873, Test Loss: 0.620, Test Acc: 0.737
Epoch: 022, Train Loss: 0.618, Train Acc: 0.873, Test Loss: 0.657, Test Acc: 0.711
Epoch: 023, Train Loss: 0.610, Train Acc: 0.880, Test Loss: 0.598, Test Acc: 0.763
Epoch: 024, Train Loss: 0.600, Train Acc: 0.860, Test Loss: 0.668, Test Acc: 0.711
Epoch: 025, Train Loss: 0.601, Train Acc: 0.873, Test Loss: 0.637, Test Acc: 0.737
Epoch: 026, Train Loss: 0.585, Train Acc: 0.873, Test Loss: 0.614, Test Acc: 0.763
Epoch: 027, Train Loss: 0.594, Train Acc: 0.860, Test Loss: 0.633, Test Acc: 0.737
Epoch: 028, Train Loss: 0.578, Train Acc: 0.880, Test Loss: 0.600, Test Acc: 0.763
Epoch: 029, Train Loss: 0.588, Train Acc: 0.880, Test Loss: 0.683, Test Acc: 0.711
Epoch: 030, Train Loss: 0.590, Train Acc: 0.867, Test Loss: 0.637, Test Acc: 0.737
Epoch: 031, Train Loss: 0.549, Train Acc: 0.880, Test Loss: 0.583, Test Acc: 0.763
Epoch: 032, Train Loss: 0.590, Train Acc: 0.860, Test Loss: 0.647, Test Acc: 0.737
Epoch: 033, Train Loss: 0.610, Train Acc: 0.860, Test Loss: 0.747, Test Acc: 0.711
Epoch: 034, Train Loss: 0.587, Train Acc: 0.860, Test Loss: 0.573, Test Acc: 0.763
Epoch: 035, Train Loss: 0.565, Train Acc: 0.833, Test Loss: 0.611, Test Acc: 0.737
Epoch: 036, Train Loss: 0.530, Train Acc: 0.887, Test Loss: 0.686, Test Acc: 0.711
Epoch: 037, Train Loss: 0.539, Train Acc: 0.860, Test Loss: 0.601, Test Acc: 0.763
Epoch: 038, Train Loss: 0.510, Train Acc: 0.873, Test Loss: 0.577, Test Acc: 0.763
Epoch: 039, Train Loss: 0.508, Train Acc: 0.887, Test Loss: 0.585, Test Acc: 0.763
Epoch: 040, Train Loss: 0.512, Train Acc: 0.880, Test Loss: 0.590, Test Acc: 0.763
Epoch: 041, Train Loss: 0.519, Train Acc: 0.880, Test Loss: 0.626, Test Acc: 0.737
Epoch: 042, Train Loss: 0.482, Train Acc: 0.887, Test Loss: 0.548, Test Acc: 0.763
Epoch: 043, Train Loss: 0.543, Train Acc: 0.853, Test Loss: 0.580, Test Acc: 0.763
Epoch: 044, Train Loss: 0.501, Train Acc: 0.867, Test Loss: 0.628, Test Acc: 0.737
Epoch: 045, Train Loss: 0.488, Train Acc: 0.873, Test Loss: 0.548, Test Acc: 0.763
Epoch: 046, Train Loss: 0.480, Train Acc: 0.873, Test Loss: 0.552, Test Acc: 0.763
Epoch: 047, Train Loss: 0.478, Train Acc: 0.873, Test Loss: 0.598, Test Acc: 0.737
Epoch: 048, Train Loss: 0.450, Train Acc: 0.880, Test Loss: 0.557, Test Acc: 0.763
Epoch: 049, Train Loss: 0.448, Train Acc: 0.860, Test Loss: 0.528, Test Acc: 0.763
Epoch: 050, Train Loss: 0.428, Train Acc: 0.873, Test Loss: 0.570, Test Acc: 0.737
Epoch: 051, Train Loss: 0.429, Train Acc: 0.880, Test Loss: 0.570, Test Acc: 0.737
Epoch: 052, Train Loss: 0.402, Train Acc: 0.887, Test Loss: 0.514, Test Acc: 0.763
Epoch: 053, Train Loss: 0.441, Train Acc: 0.853, Test Loss: 0.508, Test Acc: 0.763
Epoch: 054, Train Loss: 0.403, Train Acc: 0.853, Test Loss: 0.559, Test Acc: 0.737
Epoch: 055, Train Loss: 0.428, Train Acc: 0.880, Test Loss: 0.530, Test Acc: 0.737
Epoch: 056, Train Loss: 0.386, Train Acc: 0.873, Test Loss: 0.487, Test Acc: 0.763
Epoch: 057, Train Loss: 0.422, Train Acc: 0.873, Test Loss: 0.525, Test Acc: 0.763
Epoch: 058, Train Loss: 0.393, Train Acc: 0.873, Test Loss: 0.505, Test Acc: 0.763
Epoch: 059, Train Loss: 0.394, Train Acc: 0.867, Test Loss: 0.510, Test Acc: 0.763
Result of run 0.000 is 0.763
Epoch: 001, Train Loss: 0.929, Train Acc: 0.667, Test Loss: 0.927, Test Acc: 0.658
Epoch: 002, Train Loss: 0.868, Train Acc: 0.667, Test Loss: 0.902, Test Acc: 0.658
Epoch: 003, Train Loss: 0.862, Train Acc: 0.667, Test Loss: 0.903, Test Acc: 0.658
Epoch: 004, Train Loss: 0.798, Train Acc: 0.667, Test Loss: 0.890, Test Acc: 0.658
Epoch: 005, Train Loss: 0.790, Train Acc: 0.720, Test Loss: 0.827, Test Acc: 0.763
Epoch: 006, Train Loss: 0.788, Train Acc: 0.807, Test Loss: 0.840, Test Acc: 0.763
Epoch: 007, Train Loss: 0.767, Train Acc: 0.773, Test Loss: 0.836, Test Acc: 0.763
Epoch: 008, Train Loss: 0.777, Train Acc: 0.813, Test Loss: 0.790, Test Acc: 0.842
Epoch: 009, Train Loss: 0.761, Train Acc: 0.807, Test Loss: 0.795, Test Acc: 0.816
Epoch: 010, Train Loss: 0.756, Train Acc: 0.813, Test Loss: 0.788, Test Acc: 0.842
Epoch: 011, Train Loss: 0.724, Train Acc: 0.820, Test Loss: 0.729, Test Acc: 0.895
Epoch: 012, Train Loss: 0.711, Train Acc: 0.800, Test Loss: 0.744, Test Acc: 0.868
Epoch: 013, Train Loss: 0.729, Train Acc: 0.820, Test Loss: 0.777, Test Acc: 0.842
Epoch: 014, Train Loss: 0.694, Train Acc: 0.820, Test Loss: 0.697, Test Acc: 0.895
Epoch: 015, Train Loss: 0.726, Train Acc: 0.827, Test Loss: 0.687, Test Acc: 0.895
Epoch: 016, Train Loss: 0.689, Train Acc: 0.827, Test Loss: 0.770, Test Acc: 0.842
Epoch: 017, Train Loss: 0.692, Train Acc: 0.820, Test Loss: 0.673, Test Acc: 0.895
Epoch: 018, Train Loss: 0.715, Train Acc: 0.827, Test Loss: 0.688, Test Acc: 0.895
Epoch: 019, Train Loss: 0.694, Train Acc: 0.820, Test Loss: 0.719, Test Acc: 0.868
Epoch: 020, Train Loss: 0.710, Train Acc: 0.807, Test Loss: 0.716, Test Acc: 0.868
Epoch: 021, Train Loss: 0.693, Train Acc: 0.833, Test Loss: 0.610, Test Acc: 0.895
Epoch: 022, Train Loss: 0.681, Train Acc: 0.827, Test Loss: 0.707, Test Acc: 0.868
Epoch: 023, Train Loss: 0.712, Train Acc: 0.820, Test Loss: 0.722, Test Acc: 0.868
Epoch: 024, Train Loss: 0.657, Train Acc: 0.833, Test Loss: 0.599, Test Acc: 0.895
Epoch: 025, Train Loss: 0.674, Train Acc: 0.820, Test Loss: 0.617, Test Acc: 0.895
Epoch: 026, Train Loss: 0.667, Train Acc: 0.833, Test Loss: 0.661, Test Acc: 0.895
Epoch: 027, Train Loss: 0.658, Train Acc: 0.827, Test Loss: 0.670, Test Acc: 0.868
Epoch: 028, Train Loss: 0.653, Train Acc: 0.827, Test Loss: 0.584, Test Acc: 0.895
Epoch: 029, Train Loss: 0.647, Train Acc: 0.840, Test Loss: 0.576, Test Acc: 0.895
Epoch: 030, Train Loss: 0.632, Train Acc: 0.827, Test Loss: 0.588, Test Acc: 0.895
Epoch: 031, Train Loss: 0.641, Train Acc: 0.827, Test Loss: 0.615, Test Acc: 0.895
Epoch: 032, Train Loss: 0.658, Train Acc: 0.827, Test Loss: 0.547, Test Acc: 0.895
Epoch: 033, Train Loss: 0.627, Train Acc: 0.833, Test Loss: 0.624, Test Acc: 0.868
Epoch: 034, Train Loss: 0.621, Train Acc: 0.827, Test Loss: 0.557, Test Acc: 0.895
Epoch: 035, Train Loss: 0.629, Train Acc: 0.840, Test Loss: 0.515, Test Acc: 0.895
Epoch: 036, Train Loss: 0.628, Train Acc: 0.833, Test Loss: 0.600, Test Acc: 0.868
Epoch: 037, Train Loss: 0.605, Train Acc: 0.827, Test Loss: 0.496, Test Acc: 0.895
Epoch: 038, Train Loss: 0.616, Train Acc: 0.833, Test Loss: 0.473, Test Acc: 0.895
Epoch: 039, Train Loss: 0.592, Train Acc: 0.833, Test Loss: 0.540, Test Acc: 0.895
Epoch: 040, Train Loss: 0.594, Train Acc: 0.833, Test Loss: 0.490, Test Acc: 0.895
Epoch: 041, Train Loss: 0.565, Train Acc: 0.847, Test Loss: 0.495, Test Acc: 0.895
Epoch: 042, Train Loss: 0.554, Train Acc: 0.813, Test Loss: 0.440, Test Acc: 0.895
Epoch: 043, Train Loss: 0.578, Train Acc: 0.833, Test Loss: 0.432, Test Acc: 0.895
Epoch: 044, Train Loss: 0.559, Train Acc: 0.820, Test Loss: 0.489, Test Acc: 0.868
Epoch: 045, Train Loss: 0.569, Train Acc: 0.827, Test Loss: 0.412, Test Acc: 0.895
Epoch: 046, Train Loss: 0.559, Train Acc: 0.833, Test Loss: 0.444, Test Acc: 0.895
Epoch: 047, Train Loss: 0.545, Train Acc: 0.847, Test Loss: 0.394, Test Acc: 0.895
Epoch: 048, Train Loss: 0.517, Train Acc: 0.847, Test Loss: 0.357, Test Acc: 0.895
Epoch: 049, Train Loss: 0.531, Train Acc: 0.847, Test Loss: 0.436, Test Acc: 0.868
Epoch: 050, Train Loss: 0.518, Train Acc: 0.827, Test Loss: 0.374, Test Acc: 0.895
Epoch: 051, Train Loss: 0.505, Train Acc: 0.827, Test Loss: 0.310, Test Acc: 0.895
Epoch: 052, Train Loss: 0.495, Train Acc: 0.833, Test Loss: 0.400, Test Acc: 0.868
Epoch: 053, Train Loss: 0.495, Train Acc: 0.840, Test Loss: 0.331, Test Acc: 0.895
Epoch: 054, Train Loss: 0.468, Train Acc: 0.833, Test Loss: 0.330, Test Acc: 0.895
Epoch: 055, Train Loss: 0.464, Train Acc: 0.833, Test Loss: 0.270, Test Acc: 0.895
Epoch: 056, Train Loss: 0.465, Train Acc: 0.847, Test Loss: 0.314, Test Acc: 0.895
Epoch: 057, Train Loss: 0.469, Train Acc: 0.827, Test Loss: 0.359, Test Acc: 0.868
Epoch: 058, Train Loss: 0.453, Train Acc: 0.827, Test Loss: 0.272, Test Acc: 0.895
Epoch: 059, Train Loss: 0.449, Train Acc: 0.847, Test Loss: 0.276, Test Acc: 0.895
Result of run 1.000 is 0.895
Epoch: 001, Train Loss: 0.940, Train Acc: 0.667, Test Loss: 0.905, Test Acc: 0.658
Epoch: 002, Train Loss: 0.901, Train Acc: 0.667, Test Loss: 0.889, Test Acc: 0.658
Epoch: 003, Train Loss: 0.868, Train Acc: 0.667, Test Loss: 0.807, Test Acc: 0.658
Epoch: 004, Train Loss: 0.838, Train Acc: 0.667, Test Loss: 0.758, Test Acc: 0.658
Epoch: 005, Train Loss: 0.837, Train Acc: 0.673, Test Loss: 0.711, Test Acc: 0.711
Epoch: 006, Train Loss: 0.800, Train Acc: 0.693, Test Loss: 0.672, Test Acc: 0.868
Epoch: 007, Train Loss: 0.786, Train Acc: 0.787, Test Loss: 0.615, Test Acc: 0.921
Epoch: 008, Train Loss: 0.782, Train Acc: 0.813, Test Loss: 0.602, Test Acc: 0.895
Epoch: 009, Train Loss: 0.767, Train Acc: 0.780, Test Loss: 0.584, Test Acc: 0.895
Epoch: 010, Train Loss: 0.717, Train Acc: 0.800, Test Loss: 0.529, Test Acc: 0.921
Epoch: 011, Train Loss: 0.751, Train Acc: 0.813, Test Loss: 0.491, Test Acc: 0.921
Epoch: 012, Train Loss: 0.748, Train Acc: 0.807, Test Loss: 0.532, Test Acc: 0.895
Epoch: 013, Train Loss: 0.719, Train Acc: 0.793, Test Loss: 0.464, Test Acc: 0.921
Epoch: 014, Train Loss: 0.736, Train Acc: 0.800, Test Loss: 0.433, Test Acc: 0.947
Epoch: 015, Train Loss: 0.725, Train Acc: 0.813, Test Loss: 0.494, Test Acc: 0.895
Epoch: 016, Train Loss: 0.732, Train Acc: 0.800, Test Loss: 0.448, Test Acc: 0.921
Epoch: 017, Train Loss: 0.698, Train Acc: 0.833, Test Loss: 0.407, Test Acc: 0.947
Epoch: 018, Train Loss: 0.721, Train Acc: 0.807, Test Loss: 0.424, Test Acc: 0.921
Epoch: 019, Train Loss: 0.709, Train Acc: 0.820, Test Loss: 0.432, Test Acc: 0.921
