- M: GAPNet - D: MUTAG(188) - Train_split: 150 - B: 32 - Centers (if CTNet): 17 - LAP (if GAPNet): normalized - Classes 2 - Feats 7
Epoch: 001, Train Loss: 1.114, Train Acc: 0.387, Test Loss: 0.982, Test Acc: 0.658
Epoch: 002, Train Loss: 0.927, Train Acc: 0.667, Test Loss: 1.080, Test Acc: 0.658
Epoch: 003, Train Loss: 0.914, Train Acc: 0.667, Test Loss: 1.091, Test Acc: 0.658
Epoch: 004, Train Loss: 0.909, Train Acc: 0.667, Test Loss: 1.031, Test Acc: 0.658
Epoch: 005, Train Loss: 0.883, Train Acc: 0.667, Test Loss: 0.976, Test Acc: 0.658
Epoch: 006, Train Loss: 0.869, Train Acc: 0.667, Test Loss: 0.939, Test Acc: 0.658
Epoch: 007, Train Loss: 0.865, Train Acc: 0.667, Test Loss: 0.930, Test Acc: 0.658
Epoch: 008, Train Loss: 0.852, Train Acc: 0.667, Test Loss: 0.936, Test Acc: 0.658
Epoch: 009, Train Loss: 0.841, Train Acc: 0.667, Test Loss: 0.941, Test Acc: 0.658
Epoch: 010, Train Loss: 0.833, Train Acc: 0.667, Test Loss: 0.941, Test Acc: 0.658
Epoch: 011, Train Loss: 0.817, Train Acc: 0.667, Test Loss: 0.920, Test Acc: 0.658
Epoch: 012, Train Loss: 0.810, Train Acc: 0.667, Test Loss: 0.887, Test Acc: 0.658
Epoch: 013, Train Loss: 0.791, Train Acc: 0.673, Test Loss: 0.889, Test Acc: 0.658
Epoch: 014, Train Loss: 0.777, Train Acc: 0.687, Test Loss: 0.878, Test Acc: 0.632
Epoch: 015, Train Loss: 0.776, Train Acc: 0.740, Test Loss: 0.869, Test Acc: 0.658
Epoch: 016, Train Loss: 0.759, Train Acc: 0.767, Test Loss: 0.861, Test Acc: 0.684
Epoch: 017, Train Loss: 0.727, Train Acc: 0.773, Test Loss: 0.830, Test Acc: 0.711
Epoch: 018, Train Loss: 0.725, Train Acc: 0.840, Test Loss: 0.792, Test Acc: 0.737
Epoch: 019, Train Loss: 0.713, Train Acc: 0.853, Test Loss: 0.798, Test Acc: 0.737
Epoch: 020, Train Loss: 0.706, Train Acc: 0.840, Test Loss: 0.822, Test Acc: 0.737
Epoch: 021, Train Loss: 0.701, Train Acc: 0.853, Test Loss: 0.787, Test Acc: 0.737
Epoch: 022, Train Loss: 0.675, Train Acc: 0.853, Test Loss: 0.778, Test Acc: 0.737
Epoch: 023, Train Loss: 0.666, Train Acc: 0.860, Test Loss: 0.724, Test Acc: 0.711
Epoch: 024, Train Loss: 0.652, Train Acc: 0.853, Test Loss: 0.798, Test Acc: 0.737
Epoch: 025, Train Loss: 0.650, Train Acc: 0.860, Test Loss: 0.773, Test Acc: 0.737
Epoch: 026, Train Loss: 0.631, Train Acc: 0.867, Test Loss: 0.732, Test Acc: 0.737
Epoch: 027, Train Loss: 0.635, Train Acc: 0.847, Test Loss: 0.758, Test Acc: 0.737
Epoch: 028, Train Loss: 0.619, Train Acc: 0.867, Test Loss: 0.698, Test Acc: 0.711
