- M: GAPNet - D: MUTAG(188) - Train_split: 150 - B: 32 - Centers (if CTNet): 17 - LAP (if GAPNet): normalizedv2 - Classes 2 - Feats 7
Epoch: 001, Train Loss: 0.946, Train Acc: 0.587, Test Loss: 1.078, Test Acc: 0.658
Epoch: 002, Train Loss: 0.894, Train Acc: 0.667, Test Loss: 1.039, Test Acc: 0.658
Epoch: 003, Train Loss: 0.843, Train Acc: 0.667, Test Loss: 0.944, Test Acc: 0.658
Epoch: 004, Train Loss: 0.849, Train Acc: 0.667, Test Loss: 0.922, Test Acc: 0.658
Epoch: 005, Train Loss: 0.829, Train Acc: 0.667, Test Loss: 0.960, Test Acc: 0.658
Epoch: 006, Train Loss: 0.813, Train Acc: 0.667, Test Loss: 0.959, Test Acc: 0.658
Epoch: 007, Train Loss: 0.804, Train Acc: 0.667, Test Loss: 0.935, Test Acc: 0.658
Epoch: 008, Train Loss: 0.788, Train Acc: 0.747, Test Loss: 0.918, Test Acc: 0.684
Epoch: 009, Train Loss: 0.774, Train Acc: 0.767, Test Loss: 0.912, Test Acc: 0.684
Epoch: 010, Train Loss: 0.763, Train Acc: 0.767, Test Loss: 0.933, Test Acc: 0.684
Epoch: 011, Train Loss: 0.742, Train Acc: 0.800, Test Loss: 0.885, Test Acc: 0.711
Epoch: 012, Train Loss: 0.747, Train Acc: 0.853, Test Loss: 0.862, Test Acc: 0.737
Epoch: 013, Train Loss: 0.718, Train Acc: 0.840, Test Loss: 0.945, Test Acc: 0.711
Epoch: 014, Train Loss: 0.707, Train Acc: 0.833, Test Loss: 0.843, Test Acc: 0.711
Epoch: 015, Train Loss: 0.715, Train Acc: 0.867, Test Loss: 0.879, Test Acc: 0.711
Epoch: 016, Train Loss: 0.700, Train Acc: 0.853, Test Loss: 0.925, Test Acc: 0.711
Epoch: 017, Train Loss: 0.672, Train Acc: 0.853, Test Loss: 0.851, Test Acc: 0.737
Epoch: 018, Train Loss: 0.682, Train Acc: 0.867, Test Loss: 0.832, Test Acc: 0.737
Epoch: 019, Train Loss: 0.669, Train Acc: 0.873, Test Loss: 0.914, Test Acc: 0.737
Epoch: 020, Train Loss: 0.668, Train Acc: 0.853, Test Loss: 0.871, Test Acc: 0.711
Epoch: 021, Train Loss: 0.666, Train Acc: 0.867, Test Loss: 0.843, Test Acc: 0.737
Epoch: 022, Train Loss: 0.652, Train Acc: 0.867, Test Loss: 0.894, Test Acc: 0.711
Epoch: 023, Train Loss: 0.645, Train Acc: 0.860, Test Loss: 0.812, Test Acc: 0.737
Epoch: 024, Train Loss: 0.632, Train Acc: 0.867, Test Loss: 0.935, Test Acc: 0.711
Epoch: 025, Train Loss: 0.637, Train Acc: 0.860, Test Loss: 0.875, Test Acc: 0.737
Epoch: 026, Train Loss: 0.619, Train Acc: 0.867, Test Loss: 0.850, Test Acc: 0.737
Epoch: 027, Train Loss: 0.628, Train Acc: 0.853, Test Loss: 0.885, Test Acc: 0.737
