- M: MinCutNet - D: MUTAG(188) - Train_split: 150 - B: 32 - Centers (if CTNet): 17 - LAP (if GAPNet): laplacian - Classes 2 - Feats 7
Epoch: 001, Train Loss: 1.576, Train Acc: 0.360, Test Loss: 1.089, Test Acc: 0.658
Epoch: 002, Train Loss: 0.915, Train Acc: 0.667, Test Loss: 1.475, Test Acc: 0.658
Epoch: 003, Train Loss: 0.934, Train Acc: 0.667, Test Loss: 1.209, Test Acc: 0.658
Epoch: 004, Train Loss: 0.796, Train Acc: 0.667, Test Loss: 0.945, Test Acc: 0.658
Epoch: 005, Train Loss: 0.820, Train Acc: 0.693, Test Loss: 0.925, Test Acc: 0.605
Epoch: 006, Train Loss: 0.769, Train Acc: 0.673, Test Loss: 0.993, Test Acc: 0.658
Epoch: 007, Train Loss: 0.757, Train Acc: 0.667, Test Loss: 1.041, Test Acc: 0.658
Epoch: 008, Train Loss: 0.756, Train Acc: 0.667, Test Loss: 0.970, Test Acc: 0.658
Epoch: 009, Train Loss: 0.740, Train Acc: 0.667, Test Loss: 0.902, Test Acc: 0.658
Epoch: 010, Train Loss: 0.733, Train Acc: 0.680, Test Loss: 0.902, Test Acc: 0.658
Epoch: 011, Train Loss: 0.723, Train Acc: 0.680, Test Loss: 0.920, Test Acc: 0.632
Epoch: 012, Train Loss: 0.720, Train Acc: 0.667, Test Loss: 0.890, Test Acc: 0.658
Epoch: 013, Train Loss: 0.709, Train Acc: 0.680, Test Loss: 0.890, Test Acc: 0.658
Epoch: 014, Train Loss: 0.703, Train Acc: 0.713, Test Loss: 0.856, Test Acc: 0.658
Epoch: 015, Train Loss: 0.697, Train Acc: 0.767, Test Loss: 0.855, Test Acc: 0.658
Epoch: 016, Train Loss: 0.690, Train Acc: 0.727, Test Loss: 0.868, Test Acc: 0.632
Epoch: 017, Train Loss: 0.683, Train Acc: 0.747, Test Loss: 0.832, Test Acc: 0.684
Epoch: 018, Train Loss: 0.676, Train Acc: 0.800, Test Loss: 0.800, Test Acc: 0.632
Epoch: 019, Train Loss: 0.673, Train Acc: 0.793, Test Loss: 0.809, Test Acc: 0.684
Epoch: 020, Train Loss: 0.666, Train Acc: 0.807, Test Loss: 0.812, Test Acc: 0.711
