- M: CTNet - D: PROTEINS(1113) - Train_split: 1000 - B: 64 - Centers (if CTNet): 39 - LAP (if GAPNet): laplacian - Classes 2 - Feats 3
Epoch: 001, Train Loss: 51.419, Train Acc: 0.593, Test Loss: 36.002, Test Acc: 0.623
Epoch: 002, Train Loss: 50.954, Train Acc: 0.606, Test Loss: 36.018, Test Acc: 0.614
Epoch: 003, Train Loss: 50.822, Train Acc: 0.654, Test Loss: 35.941, Test Acc: 0.744
Epoch: 004, Train Loss: 50.731, Train Acc: 0.693, Test Loss: 35.904, Test Acc: 0.717
Epoch: 005, Train Loss: 50.717, Train Acc: 0.734, Test Loss: 35.911, Test Acc: 0.726
Epoch: 006, Train Loss: 50.706, Train Acc: 0.724, Test Loss: 35.918, Test Acc: 0.758
Epoch: 007, Train Loss: 50.693, Train Acc: 0.749, Test Loss: 35.908, Test Acc: 0.735
Epoch: 008, Train Loss: 50.711, Train Acc: 0.712, Test Loss: 35.922, Test Acc: 0.686
Epoch: 009, Train Loss: 50.701, Train Acc: 0.734, Test Loss: 35.924, Test Acc: 0.726
Epoch: 010, Train Loss: 50.678, Train Acc: 0.748, Test Loss: 35.905, Test Acc: 0.700
Epoch: 011, Train Loss: 50.689, Train Acc: 0.730, Test Loss: 35.914, Test Acc: 0.709
Epoch: 012, Train Loss: 50.674, Train Acc: 0.746, Test Loss: 35.919, Test Acc: 0.722
Epoch: 013, Train Loss: 50.736, Train Acc: 0.670, Test Loss: 35.932, Test Acc: 0.659
Epoch: 014, Train Loss: 50.743, Train Acc: 0.700, Test Loss: 35.896, Test Acc: 0.713
Epoch: 015, Train Loss: 50.722, Train Acc: 0.685, Test Loss: 35.917, Test Acc: 0.735
Epoch: 016, Train Loss: 50.679, Train Acc: 0.761, Test Loss: 35.913, Test Acc: 0.758
Epoch: 017, Train Loss: 50.672, Train Acc: 0.749, Test Loss: 35.908, Test Acc: 0.744
Epoch: 018, Train Loss: 50.677, Train Acc: 0.740, Test Loss: 35.913, Test Acc: 0.735
