- M: GAPNet - D: PROTEINS(1113) - Train_split: 1000 - B: 64 - Centers (if CTNet): 39 - LAP (if GAPNet): laplacian - Classes 2 - Feats 3
Epoch: 001, Train Loss: 1.875, Train Acc: 0.583, Test Loss: 1.327, Test Acc: 0.722
Epoch: 002, Train Loss: 1.346, Train Acc: 0.720, Test Loss: 1.315, Test Acc: 0.744
Epoch: 003, Train Loss: 1.318, Train Acc: 0.755, Test Loss: 1.286, Test Acc: 0.735
Epoch: 004, Train Loss: 1.324, Train Acc: 0.754, Test Loss: 1.299, Test Acc: 0.758
Epoch: 005, Train Loss: 1.319, Train Acc: 0.755, Test Loss: 1.294, Test Acc: 0.758
Epoch: 006, Train Loss: 1.310, Train Acc: 0.754, Test Loss: 1.297, Test Acc: 0.753
Epoch: 007, Train Loss: 1.313, Train Acc: 0.757, Test Loss: 1.291, Test Acc: 0.758
Epoch: 008, Train Loss: 1.308, Train Acc: 0.760, Test Loss: 1.288, Test Acc: 0.758
Epoch: 009, Train Loss: 1.304, Train Acc: 0.758, Test Loss: 1.289, Test Acc: 0.762
Epoch: 010, Train Loss: 1.292, Train Acc: 0.762, Test Loss: 1.293, Test Acc: 0.749
Epoch: 011, Train Loss: 1.298, Train Acc: 0.754, Test Loss: 1.295, Test Acc: 0.758
Epoch: 012, Train Loss: 1.282, Train Acc: 0.757, Test Loss: 1.295, Test Acc: 0.758
Epoch: 013, Train Loss: 1.275, Train Acc: 0.762, Test Loss: 1.281, Test Acc: 0.744
Epoch: 014, Train Loss: 1.288, Train Acc: 0.758, Test Loss: 1.286, Test Acc: 0.749
Epoch: 015, Train Loss: 1.285, Train Acc: 0.770, Test Loss: 1.261, Test Acc: 0.758
Epoch: 016, Train Loss: 1.280, Train Acc: 0.773, Test Loss: 1.260, Test Acc: 0.744
Epoch: 017, Train Loss: 1.262, Train Acc: 0.756, Test Loss: 1.254, Test Acc: 0.758
Epoch: 018, Train Loss: 1.256, Train Acc: 0.769, Test Loss: 1.256, Test Acc: 0.749
Epoch: 019, Train Loss: 1.243, Train Acc: 0.771, Test Loss: 1.243, Test Acc: 0.740
Epoch: 020, Train Loss: 1.246, Train Acc: 0.757, Test Loss: 1.221, Test Acc: 0.749
Epoch: 021, Train Loss: 1.246, Train Acc: 0.765, Test Loss: 1.233, Test Acc: 0.758
Epoch: 022, Train Loss: 1.228, Train Acc: 0.764, Test Loss: 1.199, Test Acc: 0.744
Epoch: 023, Train Loss: 1.234, Train Acc: 0.762, Test Loss: 1.195, Test Acc: 0.749
Epoch: 024, Train Loss: 1.208, Train Acc: 0.756, Test Loss: 1.198, Test Acc: 0.753
Epoch: 025, Train Loss: 1.201, Train Acc: 0.769, Test Loss: 1.190, Test Acc: 0.749
Epoch: 026, Train Loss: 1.202, Train Acc: 0.767, Test Loss: 1.171, Test Acc: 0.749
Epoch: 027, Train Loss: 1.190, Train Acc: 0.765, Test Loss: 1.160, Test Acc: 0.749
Epoch: 028, Train Loss: 1.191, Train Acc: 0.772, Test Loss: 1.161, Test Acc: 0.749
Epoch: 029, Train Loss: 1.165, Train Acc: 0.767, Test Loss: 1.151, Test Acc: 0.749
Epoch: 030, Train Loss: 1.160, Train Acc: 0.763, Test Loss: 1.124, Test Acc: 0.749
Epoch: 031, Train Loss: 1.152, Train Acc: 0.765, Test Loss: 1.139, Test Acc: 0.749
Epoch: 032, Train Loss: 1.142, Train Acc: 0.761, Test Loss: 1.121, Test Acc: 0.753
Epoch: 033, Train Loss: 1.145, Train Acc: 0.761, Test Loss: 1.128, Test Acc: 0.749
Epoch: 034, Train Loss: 1.105, Train Acc: 0.761, Test Loss: 1.114, Test Acc: 0.749
Epoch: 035, Train Loss: 1.148, Train Acc: 0.761, Test Loss: 1.105, Test Acc: 0.753
Epoch: 036, Train Loss: 1.137, Train Acc: 0.771, Test Loss: 1.097, Test Acc: 0.758
Epoch: 037, Train Loss: 1.152, Train Acc: 0.760, Test Loss: 1.122, Test Acc: 0.735
Epoch: 038, Train Loss: 1.130, Train Acc: 0.757, Test Loss: 1.086, Test Acc: 0.749
Epoch: 039, Train Loss: 1.108, Train Acc: 0.765, Test Loss: 1.072, Test Acc: 0.762
Epoch: 040, Train Loss: 1.131, Train Acc: 0.763, Test Loss: 1.108, Test Acc: 0.740
Epoch: 041, Train Loss: 1.100, Train Acc: 0.770, Test Loss: 1.058, Test Acc: 0.749
Epoch: 042, Train Loss: 1.117, Train Acc: 0.767, Test Loss: 1.076, Test Acc: 0.758
Epoch: 043, Train Loss: 1.114, Train Acc: 0.760, Test Loss: 1.077, Test Acc: 0.735
Epoch: 044, Train Loss: 1.121, Train Acc: 0.767, Test Loss: 1.077, Test Acc: 0.749
Epoch: 045, Train Loss: 1.137, Train Acc: 0.763, Test Loss: 1.077, Test Acc: 0.753
Epoch: 046, Train Loss: 1.103, Train Acc: 0.770, Test Loss: 1.065, Test Acc: 0.753
Epoch: 047, Train Loss: 1.117, Train Acc: 0.763, Test Loss: 1.062, Test Acc: 0.753
Epoch: 048, Train Loss: 1.078, Train Acc: 0.774, Test Loss: 1.069, Test Acc: 0.740
Epoch: 049, Train Loss: 1.099, Train Acc: 0.769, Test Loss: 1.051, Test Acc: 0.762
Epoch: 050, Train Loss: 1.103, Train Acc: 0.762, Test Loss: 1.066, Test Acc: 0.749
Epoch: 051, Train Loss: 1.069, Train Acc: 0.767, Test Loss: 1.068, Test Acc: 0.740
Epoch: 052, Train Loss: 1.118, Train Acc: 0.758, Test Loss: 1.043, Test Acc: 0.753
Epoch: 053, Train Loss: 1.082, Train Acc: 0.769, Test Loss: 1.057, Test Acc: 0.744
Epoch: 054, Train Loss: 1.095, Train Acc: 0.764, Test Loss: 1.038, Test Acc: 0.749
Epoch: 055, Train Loss: 1.087, Train Acc: 0.766, Test Loss: 1.038, Test Acc: 0.749
Epoch: 056, Train Loss: 1.107, Train Acc: 0.766, Test Loss: 1.034, Test Acc: 0.753
Epoch: 057, Train Loss: 1.084, Train Acc: 0.771, Test Loss: 1.039, Test Acc: 0.753
Epoch: 058, Train Loss: 1.096, Train Acc: 0.766, Test Loss: 1.047, Test Acc: 0.758
Epoch: 059, Train Loss: 1.090, Train Acc: 0.769, Test Loss: 1.036, Test Acc: 0.762
Result of run 0.000 is 0.762
Epoch: 001, Train Loss: 1.443, Train Acc: 0.655, Test Loss: 1.434, Test Acc: 0.695
Epoch: 002, Train Loss: 1.386, Train Acc: 0.734, Test Loss: 1.402, Test Acc: 0.700
Epoch: 003, Train Loss: 1.372, Train Acc: 0.737, Test Loss: 1.387, Test Acc: 0.704
Epoch: 004, Train Loss: 1.356, Train Acc: 0.745, Test Loss: 1.376, Test Acc: 0.717
Epoch: 005, Train Loss: 1.330, Train Acc: 0.744, Test Loss: 1.367, Test Acc: 0.744
Epoch: 006, Train Loss: 1.338, Train Acc: 0.740, Test Loss: 1.362, Test Acc: 0.740
