- M: GAPNet - D: PROTEINS(1113) - Train_split: 1000 - B: 64 - Centers (if CTNet): 39 - LAP (if GAPNet): normalized - Classes 2 - Feats 3
Epoch: 001, Train Loss: 1.558, Train Acc: 0.587, Test Loss: 1.288, Test Acc: 0.614
Epoch: 002, Train Loss: 1.373, Train Acc: 0.685, Test Loss: 1.270, Test Acc: 0.758
Epoch: 003, Train Loss: 1.340, Train Acc: 0.744, Test Loss: 1.261, Test Acc: 0.753
Epoch: 004, Train Loss: 1.345, Train Acc: 0.745, Test Loss: 1.270, Test Acc: 0.735
Epoch: 005, Train Loss: 1.339, Train Acc: 0.757, Test Loss: 1.265, Test Acc: 0.758
Epoch: 006, Train Loss: 1.326, Train Acc: 0.751, Test Loss: 1.269, Test Acc: 0.753
Epoch: 007, Train Loss: 1.331, Train Acc: 0.761, Test Loss: 1.270, Test Acc: 0.749
Epoch: 008, Train Loss: 1.325, Train Acc: 0.753, Test Loss: 1.283, Test Acc: 0.753
Epoch: 009, Train Loss: 1.317, Train Acc: 0.747, Test Loss: 1.276, Test Acc: 0.758
Epoch: 010, Train Loss: 1.301, Train Acc: 0.755, Test Loss: 1.312, Test Acc: 0.722
Epoch: 011, Train Loss: 1.320, Train Acc: 0.739, Test Loss: 1.308, Test Acc: 0.731
Epoch: 012, Train Loss: 1.308, Train Acc: 0.737, Test Loss: 1.289, Test Acc: 0.713
Epoch: 013, Train Loss: 1.291, Train Acc: 0.757, Test Loss: 1.263, Test Acc: 0.740
Epoch: 014, Train Loss: 1.289, Train Acc: 0.760, Test Loss: 1.268, Test Acc: 0.744
Epoch: 015, Train Loss: 1.289, Train Acc: 0.762, Test Loss: 1.253, Test Acc: 0.758
Epoch: 016, Train Loss: 1.282, Train Acc: 0.767, Test Loss: 1.239, Test Acc: 0.749
Epoch: 017, Train Loss: 1.265, Train Acc: 0.762, Test Loss: 1.225, Test Acc: 0.744
Epoch: 018, Train Loss: 1.254, Train Acc: 0.771, Test Loss: 1.235, Test Acc: 0.749
Epoch: 019, Train Loss: 1.240, Train Acc: 0.765, Test Loss: 1.226, Test Acc: 0.744
Epoch: 020, Train Loss: 1.240, Train Acc: 0.762, Test Loss: 1.197, Test Acc: 0.744
Epoch: 021, Train Loss: 1.242, Train Acc: 0.766, Test Loss: 1.195, Test Acc: 0.758
Epoch: 022, Train Loss: 1.223, Train Acc: 0.764, Test Loss: 1.173, Test Acc: 0.749
Epoch: 023, Train Loss: 1.228, Train Acc: 0.761, Test Loss: 1.176, Test Acc: 0.753
Epoch: 024, Train Loss: 1.201, Train Acc: 0.763, Test Loss: 1.159, Test Acc: 0.758
Epoch: 025, Train Loss: 1.193, Train Acc: 0.773, Test Loss: 1.148, Test Acc: 0.744
Epoch: 026, Train Loss: 1.191, Train Acc: 0.764, Test Loss: 1.133, Test Acc: 0.758
Epoch: 027, Train Loss: 1.182, Train Acc: 0.769, Test Loss: 1.133, Test Acc: 0.744
Epoch: 028, Train Loss: 1.182, Train Acc: 0.769, Test Loss: 1.127, Test Acc: 0.749
Epoch: 029, Train Loss: 1.154, Train Acc: 0.763, Test Loss: 1.125, Test Acc: 0.749
Epoch: 030, Train Loss: 1.148, Train Acc: 0.771, Test Loss: 1.094, Test Acc: 0.753
Epoch: 031, Train Loss: 1.144, Train Acc: 0.766, Test Loss: 1.098, Test Acc: 0.749
Epoch: 032, Train Loss: 1.140, Train Acc: 0.761, Test Loss: 1.106, Test Acc: 0.744
Epoch: 033, Train Loss: 1.143, Train Acc: 0.761, Test Loss: 1.086, Test Acc: 0.749
Epoch: 034, Train Loss: 1.097, Train Acc: 0.760, Test Loss: 1.080, Test Acc: 0.735
Epoch: 035, Train Loss: 1.139, Train Acc: 0.764, Test Loss: 1.085, Test Acc: 0.753
Epoch: 036, Train Loss: 1.130, Train Acc: 0.770, Test Loss: 1.082, Test Acc: 0.744
Epoch: 037, Train Loss: 1.145, Train Acc: 0.765, Test Loss: 1.093, Test Acc: 0.740
Epoch: 038, Train Loss: 1.122, Train Acc: 0.757, Test Loss: 1.072, Test Acc: 0.749
Epoch: 039, Train Loss: 1.107, Train Acc: 0.765, Test Loss: 1.057, Test Acc: 0.753
Epoch: 040, Train Loss: 1.119, Train Acc: 0.773, Test Loss: 1.081, Test Acc: 0.740
Epoch: 041, Train Loss: 1.093, Train Acc: 0.765, Test Loss: 1.045, Test Acc: 0.753
Epoch: 042, Train Loss: 1.115, Train Acc: 0.763, Test Loss: 1.055, Test Acc: 0.749
Epoch: 043, Train Loss: 1.114, Train Acc: 0.761, Test Loss: 1.072, Test Acc: 0.758
Epoch: 044, Train Loss: 1.113, Train Acc: 0.771, Test Loss: 1.074, Test Acc: 0.749
Epoch: 045, Train Loss: 1.143, Train Acc: 0.754, Test Loss: 1.077, Test Acc: 0.731
Epoch: 046, Train Loss: 1.102, Train Acc: 0.771, Test Loss: 1.057, Test Acc: 0.744
Epoch: 047, Train Loss: 1.114, Train Acc: 0.767, Test Loss: 1.065, Test Acc: 0.740
Epoch: 048, Train Loss: 1.079, Train Acc: 0.764, Test Loss: 1.063, Test Acc: 0.726
Epoch: 049, Train Loss: 1.098, Train Acc: 0.762, Test Loss: 1.050, Test Acc: 0.749
Epoch: 050, Train Loss: 1.099, Train Acc: 0.763, Test Loss: 1.070, Test Acc: 0.744
Epoch: 051, Train Loss: 1.068, Train Acc: 0.775, Test Loss: 1.078, Test Acc: 0.740
Epoch: 052, Train Loss: 1.117, Train Acc: 0.770, Test Loss: 1.032, Test Acc: 0.740
Epoch: 053, Train Loss: 1.080, Train Acc: 0.764, Test Loss: 1.079, Test Acc: 0.740
Epoch: 054, Train Loss: 1.096, Train Acc: 0.764, Test Loss: 1.057, Test Acc: 0.749
Epoch: 055, Train Loss: 1.088, Train Acc: 0.763, Test Loss: 1.045, Test Acc: 0.740
Epoch: 056, Train Loss: 1.107, Train Acc: 0.772, Test Loss: 1.048, Test Acc: 0.749
Epoch: 057, Train Loss: 1.080, Train Acc: 0.766, Test Loss: 1.045, Test Acc: 0.744
Epoch: 058, Train Loss: 1.094, Train Acc: 0.771, Test Loss: 1.045, Test Acc: 0.749
Epoch: 059, Train Loss: 1.087, Train Acc: 0.769, Test Loss: 1.055, Test Acc: 0.749
Result of run 0.000 is 0.749
Epoch: 001, Train Loss: 1.445, Train Acc: 0.655, Test Loss: 1.435, Test Acc: 0.695
Epoch: 002, Train Loss: 1.387, Train Acc: 0.737, Test Loss: 1.402, Test Acc: 0.700
Epoch: 003, Train Loss: 1.373, Train Acc: 0.737, Test Loss: 1.387, Test Acc: 0.709
Epoch: 004, Train Loss: 1.355, Train Acc: 0.745, Test Loss: 1.375, Test Acc: 0.713
