- M: GAPNet - D: PROTEINS(1113) - Train_split: 1000 - B: 64 - Centers (if CTNet): 39 - LAP (if GAPNet): normalizedv2 - Classes 2 - Feats 3
Epoch: 001, Train Loss: 1.482, Train Acc: 0.675, Test Loss: 1.276, Test Acc: 0.632
Epoch: 002, Train Loss: 1.383, Train Acc: 0.717, Test Loss: 1.354, Test Acc: 0.614
Epoch: 003, Train Loss: 1.362, Train Acc: 0.708, Test Loss: 1.266, Test Acc: 0.749
Epoch: 004, Train Loss: 1.346, Train Acc: 0.736, Test Loss: 1.306, Test Acc: 0.740
Epoch: 005, Train Loss: 1.344, Train Acc: 0.752, Test Loss: 1.265, Test Acc: 0.762
Epoch: 006, Train Loss: 1.331, Train Acc: 0.745, Test Loss: 1.280, Test Acc: 0.744
Epoch: 007, Train Loss: 1.325, Train Acc: 0.748, Test Loss: 1.283, Test Acc: 0.758
Epoch: 008, Train Loss: 1.321, Train Acc: 0.746, Test Loss: 1.285, Test Acc: 0.758
Epoch: 009, Train Loss: 1.310, Train Acc: 0.756, Test Loss: 1.275, Test Acc: 0.758
Epoch: 010, Train Loss: 1.303, Train Acc: 0.749, Test Loss: 1.361, Test Acc: 0.700
Epoch: 011, Train Loss: 1.339, Train Acc: 0.737, Test Loss: 1.330, Test Acc: 0.700
Epoch: 012, Train Loss: 1.330, Train Acc: 0.734, Test Loss: 1.354, Test Acc: 0.686
Epoch: 013, Train Loss: 1.306, Train Acc: 0.743, Test Loss: 1.280, Test Acc: 0.722
Epoch: 014, Train Loss: 1.288, Train Acc: 0.755, Test Loss: 1.269, Test Acc: 0.726
Epoch: 015, Train Loss: 1.284, Train Acc: 0.763, Test Loss: 1.242, Test Acc: 0.753
Epoch: 016, Train Loss: 1.278, Train Acc: 0.765, Test Loss: 1.215, Test Acc: 0.744
Epoch: 017, Train Loss: 1.263, Train Acc: 0.754, Test Loss: 1.210, Test Acc: 0.753
Epoch: 018, Train Loss: 1.248, Train Acc: 0.754, Test Loss: 1.215, Test Acc: 0.749
Epoch: 019, Train Loss: 1.229, Train Acc: 0.772, Test Loss: 1.208, Test Acc: 0.753
Epoch: 020, Train Loss: 1.243, Train Acc: 0.751, Test Loss: 1.177, Test Acc: 0.744
Epoch: 021, Train Loss: 1.238, Train Acc: 0.766, Test Loss: 1.172, Test Acc: 0.758
Epoch: 022, Train Loss: 1.218, Train Acc: 0.760, Test Loss: 1.160, Test Acc: 0.753
Epoch: 023, Train Loss: 1.223, Train Acc: 0.754, Test Loss: 1.155, Test Acc: 0.749
Epoch: 024, Train Loss: 1.202, Train Acc: 0.756, Test Loss: 1.152, Test Acc: 0.758
Epoch: 025, Train Loss: 1.195, Train Acc: 0.762, Test Loss: 1.141, Test Acc: 0.753
Epoch: 026, Train Loss: 1.194, Train Acc: 0.764, Test Loss: 1.133, Test Acc: 0.749
Epoch: 027, Train Loss: 1.190, Train Acc: 0.771, Test Loss: 1.153, Test Acc: 0.735
Epoch: 028, Train Loss: 1.191, Train Acc: 0.755, Test Loss: 1.146, Test Acc: 0.735
Epoch: 029, Train Loss: 1.163, Train Acc: 0.758, Test Loss: 1.129, Test Acc: 0.744
Epoch: 030, Train Loss: 1.154, Train Acc: 0.770, Test Loss: 1.094, Test Acc: 0.762
Epoch: 031, Train Loss: 1.143, Train Acc: 0.767, Test Loss: 1.094, Test Acc: 0.758
Epoch: 032, Train Loss: 1.144, Train Acc: 0.752, Test Loss: 1.092, Test Acc: 0.758
Epoch: 033, Train Loss: 1.157, Train Acc: 0.754, Test Loss: 1.085, Test Acc: 0.753
Epoch: 034, Train Loss: 1.108, Train Acc: 0.749, Test Loss: 1.084, Test Acc: 0.735
Epoch: 035, Train Loss: 1.141, Train Acc: 0.771, Test Loss: 1.090, Test Acc: 0.758
Epoch: 036, Train Loss: 1.132, Train Acc: 0.763, Test Loss: 1.080, Test Acc: 0.744
Epoch: 037, Train Loss: 1.148, Train Acc: 0.764, Test Loss: 1.133, Test Acc: 0.722
Epoch: 038, Train Loss: 1.125, Train Acc: 0.751, Test Loss: 1.101, Test Acc: 0.731
Epoch: 039, Train Loss: 1.107, Train Acc: 0.758, Test Loss: 1.079, Test Acc: 0.753
