- M: MinCutNet - D: PROTEINS(1113) - Train_split: 1000 - B: 64 - Centers (if CTNet): 39 - LAP (if GAPNet): laplacian - Classes 2 - Feats 3
Epoch: 001, Train Loss: 1.638, Train Acc: 0.534, Test Loss: 1.107, Test Acc: 0.596
Epoch: 002, Train Loss: 1.055, Train Acc: 0.593, Test Loss: 0.986, Test Acc: 0.619
Epoch: 003, Train Loss: 0.894, Train Acc: 0.662, Test Loss: 0.891, Test Acc: 0.614
Epoch: 004, Train Loss: 0.825, Train Acc: 0.679, Test Loss: 0.858, Test Acc: 0.664
Epoch: 005, Train Loss: 0.807, Train Acc: 0.684, Test Loss: 0.835, Test Acc: 0.695
Epoch: 006, Train Loss: 0.787, Train Acc: 0.706, Test Loss: 0.840, Test Acc: 0.700
Epoch: 007, Train Loss: 0.784, Train Acc: 0.745, Test Loss: 0.822, Test Acc: 0.722
Epoch: 008, Train Loss: 0.779, Train Acc: 0.739, Test Loss: 0.835, Test Acc: 0.726
Epoch: 009, Train Loss: 0.772, Train Acc: 0.762, Test Loss: 0.813, Test Acc: 0.735
Epoch: 010, Train Loss: 0.768, Train Acc: 0.757, Test Loss: 0.828, Test Acc: 0.726
Epoch: 011, Train Loss: 0.784, Train Acc: 0.749, Test Loss: 0.847, Test Acc: 0.704
Epoch: 012, Train Loss: 0.798, Train Acc: 0.751, Test Loss: 0.865, Test Acc: 0.704
Epoch: 013, Train Loss: 0.803, Train Acc: 0.735, Test Loss: 0.814, Test Acc: 0.749
Epoch: 014, Train Loss: 0.768, Train Acc: 0.744, Test Loss: 0.832, Test Acc: 0.713
Epoch: 015, Train Loss: 0.754, Train Acc: 0.773, Test Loss: 0.817, Test Acc: 0.735
Epoch: 016, Train Loss: 0.752, Train Acc: 0.762, Test Loss: 0.814, Test Acc: 0.731
Epoch: 017, Train Loss: 0.750, Train Acc: 0.761, Test Loss: 0.814, Test Acc: 0.749
Epoch: 018, Train Loss: 0.748, Train Acc: 0.769, Test Loss: 0.819, Test Acc: 0.744
Epoch: 019, Train Loss: 0.751, Train Acc: 0.770, Test Loss: 0.816, Test Acc: 0.749
Epoch: 020, Train Loss: 0.747, Train Acc: 0.751, Test Loss: 0.824, Test Acc: 0.758
