- M: GAPNet - D: COLLAB(5000) - Train_split: 4500 - B: 64 - Centers (if CTNet): 75 - LAP (if GAPNet): laplacian - Classes 3 - Feats 1
Epoch: 001, Train Loss: 63.938, Train Acc: 0.497, Test Loss: 12.170, Test Acc: 0.592
Epoch: 002, Train Loss: 5.824, Train Acc: 0.562, Test Loss: 2.775, Test Acc: 0.574
Epoch: 003, Train Loss: 2.446, Train Acc: 0.598, Test Loss: 1.521, Test Acc: 0.598
Epoch: 004, Train Loss: 1.658, Train Acc: 0.626, Test Loss: 1.430, Test Acc: 0.618
Epoch: 005, Train Loss: 2.811, Train Acc: 0.608, Test Loss: 6.679, Test Acc: 0.548
Epoch: 006, Train Loss: 6.574, Train Acc: 0.583, Test Loss: 2.844, Test Acc: 0.604
Epoch: 007, Train Loss: 3.179, Train Acc: 0.607, Test Loss: 2.568, Test Acc: 0.606
Epoch: 008, Train Loss: 2.205, Train Acc: 0.613, Test Loss: 1.343, Test Acc: 0.616
Epoch: 009, Train Loss: 2.184, Train Acc: 0.611, Test Loss: 4.188, Test Acc: 0.552
Epoch: 010, Train Loss: 1.983, Train Acc: 0.612, Test Loss: 1.994, Test Acc: 0.620
Epoch: 011, Train Loss: 2.082, Train Acc: 0.618, Test Loss: 1.624, Test Acc: 0.654
Epoch: 012, Train Loss: 1.801, Train Acc: 0.627, Test Loss: 1.351, Test Acc: 0.640
Epoch: 013, Train Loss: 1.847, Train Acc: 0.633, Test Loss: 1.951, Test Acc: 0.562
Epoch: 014, Train Loss: 1.687, Train Acc: 0.615, Test Loss: 1.971, Test Acc: 0.638
Epoch: 015, Train Loss: 1.522, Train Acc: 0.638, Test Loss: 1.584, Test Acc: 0.624
Epoch: 016, Train Loss: 1.604, Train Acc: 0.641, Test Loss: 1.265, Test Acc: 0.664
Epoch: 017, Train Loss: 1.499, Train Acc: 0.636, Test Loss: 2.376, Test Acc: 0.576
Epoch: 018, Train Loss: 2.095, Train Acc: 0.617, Test Loss: 1.330, Test Acc: 0.654
Epoch: 019, Train Loss: 1.418, Train Acc: 0.652, Test Loss: 1.314, Test Acc: 0.616
Epoch: 020, Train Loss: 1.452, Train Acc: 0.645, Test Loss: 1.404, Test Acc: 0.658
Epoch: 021, Train Loss: 2.860, Train Acc: 0.626, Test Loss: 3.750, Test Acc: 0.580
Epoch: 022, Train Loss: 7.698, Train Acc: 0.564, Test Loss: 4.782, Test Acc: 0.586
Epoch: 023, Train Loss: 2.539, Train Acc: 0.601, Test Loss: 2.432, Test Acc: 0.564
Epoch: 024, Train Loss: 2.293, Train Acc: 0.619, Test Loss: 1.483, Test Acc: 0.592
Epoch: 025, Train Loss: 2.170, Train Acc: 0.600, Test Loss: 1.452, Test Acc: 0.616
Epoch: 026, Train Loss: 2.940, Train Acc: 0.601, Test Loss: 3.813, Test Acc: 0.558
Epoch: 027, Train Loss: 1.774, Train Acc: 0.636, Test Loss: 2.252, Test Acc: 0.628
Epoch: 028, Train Loss: 1.670, Train Acc: 0.628, Test Loss: 2.354, Test Acc: 0.628
Epoch: 029, Train Loss: 1.516, Train Acc: 0.638, Test Loss: 2.017, Test Acc: 0.658
Epoch: 030, Train Loss: 1.935, Train Acc: 0.614, Test Loss: 2.810, Test Acc: 0.606
Epoch: 031, Train Loss: 1.433, Train Acc: 0.649, Test Loss: 1.757, Test Acc: 0.660
Epoch: 032, Train Loss: 1.550, Train Acc: 0.640, Test Loss: 3.790, Test Acc: 0.522
Epoch: 033, Train Loss: 1.532, Train Acc: 0.651, Test Loss: 2.328, Test Acc: 0.626
Epoch: 034, Train Loss: 1.444, Train Acc: 0.642, Test Loss: 3.607, Test Acc: 0.480
Epoch: 035, Train Loss: 1.561, Train Acc: 0.636, Test Loss: 1.390, Test Acc: 0.646
Epoch: 036, Train Loss: 1.550, Train Acc: 0.634, Test Loss: 2.217, Test Acc: 0.628
Epoch: 037, Train Loss: 1.614, Train Acc: 0.642, Test Loss: 1.305, Test Acc: 0.648
Epoch: 038, Train Loss: 1.711, Train Acc: 0.626, Test Loss: 1.293, Test Acc: 0.650
Epoch: 039, Train Loss: 1.543, Train Acc: 0.639, Test Loss: 1.308, Test Acc: 0.654
Epoch: 040, Train Loss: 1.364, Train Acc: 0.655, Test Loss: 1.513, Test Acc: 0.644
Epoch: 041, Train Loss: 1.450, Train Acc: 0.649, Test Loss: 1.815, Test Acc: 0.592
Epoch: 042, Train Loss: 1.507, Train Acc: 0.647, Test Loss: 2.366, Test Acc: 0.618
Epoch: 043, Train Loss: 1.482, Train Acc: 0.636, Test Loss: 1.307, Test Acc: 0.636
Epoch: 044, Train Loss: 2.643, Train Acc: 0.608, Test Loss: 2.130, Test Acc: 0.650
Epoch: 045, Train Loss: 1.328, Train Acc: 0.649, Test Loss: 1.512, Test Acc: 0.648
Epoch: 046, Train Loss: 1.331, Train Acc: 0.653, Test Loss: 1.325, Test Acc: 0.630
Epoch: 047, Train Loss: 1.487, Train Acc: 0.650, Test Loss: 1.467, Test Acc: 0.650
Epoch: 048, Train Loss: 1.452, Train Acc: 0.646, Test Loss: 1.659, Test Acc: 0.606
Epoch: 049, Train Loss: 1.390, Train Acc: 0.656, Test Loss: 1.387, Test Acc: 0.660
Epoch: 050, Train Loss: 1.511, Train Acc: 0.636, Test Loss: 1.440, Test Acc: 0.648
Epoch: 051, Train Loss: 1.326, Train Acc: 0.648, Test Loss: 1.607, Test Acc: 0.650
Epoch: 052, Train Loss: 1.350, Train Acc: 0.659, Test Loss: 1.365, Test Acc: 0.676
Epoch: 053, Train Loss: 1.772, Train Acc: 0.622, Test Loss: 2.373, Test Acc: 0.588
Epoch: 054, Train Loss: 1.529, Train Acc: 0.653, Test Loss: 2.631, Test Acc: 0.496
Epoch: 055, Train Loss: 1.352, Train Acc: 0.646, Test Loss: 1.401, Test Acc: 0.644
Epoch: 056, Train Loss: 1.283, Train Acc: 0.661, Test Loss: 1.324, Test Acc: 0.606
Epoch: 057, Train Loss: 1.402, Train Acc: 0.646, Test Loss: 1.591, Test Acc: 0.642
Epoch: 058, Train Loss: 1.224, Train Acc: 0.667, Test Loss: 1.334, Test Acc: 0.672
Epoch: 059, Train Loss: 1.317, Train Acc: 0.652, Test Loss: 1.547, Test Acc: 0.634
Result of run 0.000 is 0.634
Epoch: 001, Train Loss: 20.099, Train Acc: 0.527, Test Loss: 2.664, Test Acc: 0.584
Epoch: 002, Train Loss: 3.414, Train Acc: 0.554, Test Loss: 2.104, Test Acc: 0.516
Epoch: 003, Train Loss: 2.157, Train Acc: 0.592, Test Loss: 1.713, Test Acc: 0.676
Epoch: 004, Train Loss: 4.482, Train Acc: 0.549, Test Loss: 6.474, Test Acc: 0.560
Epoch: 005, Train Loss: 2.707, Train Acc: 0.602, Test Loss: 2.255, Test Acc: 0.648
Epoch: 006, Train Loss: 2.829, Train Acc: 0.582, Test Loss: 1.719, Test Acc: 0.662
Epoch: 007, Train Loss: 2.497, Train Acc: 0.618, Test Loss: 2.484, Test Acc: 0.652
Epoch: 008, Train Loss: 1.670, Train Acc: 0.635, Test Loss: 1.439, Test Acc: 0.688
Epoch: 009, Train Loss: 1.839, Train Acc: 0.622, Test Loss: 2.266, Test Acc: 0.578
Epoch: 010, Train Loss: 1.706, Train Acc: 0.640, Test Loss: 1.523, Test Acc: 0.698
Epoch: 011, Train Loss: 1.650, Train Acc: 0.646, Test Loss: 1.927, Test Acc: 0.626
Epoch: 012, Train Loss: 1.917, Train Acc: 0.626, Test Loss: 1.601, Test Acc: 0.680
Epoch: 013, Train Loss: 1.469, Train Acc: 0.647, Test Loss: 1.789, Test Acc: 0.678
Epoch: 014, Train Loss: 1.894, Train Acc: 0.612, Test Loss: 3.718, Test Acc: 0.450
Epoch: 015, Train Loss: 3.372, Train Acc: 0.599, Test Loss: 1.467, Test Acc: 0.674
Epoch: 016, Train Loss: 2.200, Train Acc: 0.608, Test Loss: 2.492, Test Acc: 0.638
Epoch: 017, Train Loss: 4.382, Train Acc: 0.570, Test Loss: 1.951, Test Acc: 0.692
Epoch: 018, Train Loss: 2.860, Train Acc: 0.595, Test Loss: 2.935, Test Acc: 0.610
Epoch: 019, Train Loss: 1.614, Train Acc: 0.644, Test Loss: 1.735, Test Acc: 0.660
Epoch: 020, Train Loss: 4.915, Train Acc: 0.580, Test Loss: 1.998, Test Acc: 0.662
Epoch: 021, Train Loss: 1.582, Train Acc: 0.645, Test Loss: 1.432, Test Acc: 0.688
Epoch: 022, Train Loss: 1.279, Train Acc: 0.664, Test Loss: 1.322, Test Acc: 0.728
Epoch: 023, Train Loss: 1.222, Train Acc: 0.671, Test Loss: 1.378, Test Acc: 0.682
Epoch: 024, Train Loss: 1.267, Train Acc: 0.657, Test Loss: 1.374, Test Acc: 0.670
Epoch: 025, Train Loss: 1.358, Train Acc: 0.638, Test Loss: 1.319, Test Acc: 0.708
Epoch: 026, Train Loss: 1.202, Train Acc: 0.664, Test Loss: 1.466, Test Acc: 0.646
Epoch: 027, Train Loss: 1.216, Train Acc: 0.667, Test Loss: 1.284, Test Acc: 0.722
Epoch: 028, Train Loss: 1.191, Train Acc: 0.668, Test Loss: 1.299, Test Acc: 0.718
Epoch: 029, Train Loss: 1.248, Train Acc: 0.660, Test Loss: 1.547, Test Acc: 0.622
Epoch: 030, Train Loss: 1.408, Train Acc: 0.639, Test Loss: 1.431, Test Acc: 0.652
Epoch: 031, Train Loss: 1.356, Train Acc: 0.636, Test Loss: 1.441, Test Acc: 0.652
Epoch: 032, Train Loss: 1.403, Train Acc: 0.635, Test Loss: 1.991, Test Acc: 0.582
Epoch: 033, Train Loss: 1.322, Train Acc: 0.650, Test Loss: 1.342, Test Acc: 0.678
Epoch: 034, Train Loss: 1.436, Train Acc: 0.634, Test Loss: 1.460, Test Acc: 0.650
Epoch: 035, Train Loss: 1.378, Train Acc: 0.657, Test Loss: 1.429, Test Acc: 0.674
Epoch: 036, Train Loss: 1.470, Train Acc: 0.636, Test Loss: 1.600, Test Acc: 0.654
Epoch: 037, Train Loss: 1.305, Train Acc: 0.665, Test Loss: 1.328, Test Acc: 0.714
Epoch: 038, Train Loss: 1.238, Train Acc: 0.672, Test Loss: 1.427, Test Acc: 0.680
Epoch: 039, Train Loss: 1.217, Train Acc: 0.678, Test Loss: 1.397, Test Acc: 0.680
Epoch: 040, Train Loss: 1.282, Train Acc: 0.658, Test Loss: 1.483, Test Acc: 0.656
Epoch: 041, Train Loss: 1.316, Train Acc: 0.652, Test Loss: 1.312, Test Acc: 0.726
Epoch: 042, Train Loss: 1.210, Train Acc: 0.668, Test Loss: 1.284, Test Acc: 0.712
Epoch: 043, Train Loss: 1.195, Train Acc: 0.674, Test Loss: 1.299, Test Acc: 0.718
Epoch: 044, Train Loss: 1.204, Train Acc: 0.680, Test Loss: 1.390, Test Acc: 0.650
Epoch: 045, Train Loss: 1.356, Train Acc: 0.648, Test Loss: 1.579, Test Acc: 0.636
Epoch: 046, Train Loss: 1.259, Train Acc: 0.655, Test Loss: 1.323, Test Acc: 0.708
Epoch: 047, Train Loss: 1.178, Train Acc: 0.681, Test Loss: 1.292, Test Acc: 0.688
Epoch: 048, Train Loss: 1.301, Train Acc: 0.664, Test Loss: 1.229, Test Acc: 0.710
Epoch: 049, Train Loss: 1.174, Train Acc: 0.682, Test Loss: 1.430, Test Acc: 0.658
Epoch: 050, Train Loss: 1.209, Train Acc: 0.678, Test Loss: 1.272, Test Acc: 0.698
Epoch: 051, Train Loss: 1.227, Train Acc: 0.667, Test Loss: 1.663, Test Acc: 0.680
Epoch: 052, Train Loss: 1.280, Train Acc: 0.667, Test Loss: 1.291, Test Acc: 0.694
Epoch: 053, Train Loss: 1.223, Train Acc: 0.671, Test Loss: 1.379, Test Acc: 0.674
Epoch: 054, Train Loss: 1.211, Train Acc: 0.672, Test Loss: 1.305, Test Acc: 0.698
Epoch: 055, Train Loss: 1.674, Train Acc: 0.618, Test Loss: 1.368, Test Acc: 0.684
Epoch: 056, Train Loss: 1.334, Train Acc: 0.662, Test Loss: 1.267, Test Acc: 0.696
Epoch: 057, Train Loss: 1.269, Train Acc: 0.664, Test Loss: 1.394, Test Acc: 0.676
Epoch: 058, Train Loss: 1.171, Train Acc: 0.677, Test Loss: 1.263, Test Acc: 0.700
Epoch: 059, Train Loss: 1.176, Train Acc: 0.678, Test Loss: 1.213, Test Acc: 0.724
Result of run 1.000 is 0.724
Epoch: 001, Train Loss: 21.556, Train Acc: 0.449, Test Loss: 3.877, Test Acc: 0.610
Epoch: 002, Train Loss: 4.940, Train Acc: 0.555, Test Loss: 4.066, Test Acc: 0.444
Epoch: 003, Train Loss: 8.028, Train Acc: 0.555, Test Loss: 9.215, Test Acc: 0.614
Epoch: 004, Train Loss: 2.372, Train Acc: 0.626, Test Loss: 1.295, Test Acc: 0.642
Epoch: 005, Train Loss: 4.998, Train Acc: 0.599, Test Loss: 1.750, Test Acc: 0.612
Epoch: 006, Train Loss: 2.759, Train Acc: 0.608, Test Loss: 3.783, Test Acc: 0.612
Epoch: 007, Train Loss: 3.268, Train Acc: 0.609, Test Loss: 1.677, Test Acc: 0.654
Epoch: 008, Train Loss: 3.300, Train Acc: 0.608, Test Loss: 2.255, Test Acc: 0.658
Epoch: 009, Train Loss: 5.333, Train Acc: 0.567, Test Loss: 5.701, Test Acc: 0.510
Epoch: 010, Train Loss: 2.155, Train Acc: 0.638, Test Loss: 1.241, Test Acc: 0.646
Epoch: 011, Train Loss: 1.543, Train Acc: 0.637, Test Loss: 1.150, Test Acc: 0.660
Epoch: 012, Train Loss: 1.721, Train Acc: 0.619, Test Loss: 2.481, Test Acc: 0.620
Epoch: 013, Train Loss: 1.799, Train Acc: 0.622, Test Loss: 1.160, Test Acc: 0.672
Epoch: 014, Train Loss: 2.521, Train Acc: 0.618, Test Loss: 2.383, Test Acc: 0.560
Epoch: 015, Train Loss: 2.613, Train Acc: 0.589, Test Loss: 1.195, Test Acc: 0.642
Epoch: 016, Train Loss: 1.550, Train Acc: 0.626, Test Loss: 1.359, Test Acc: 0.610
Epoch: 017, Train Loss: 1.432, Train Acc: 0.655, Test Loss: 1.130, Test Acc: 0.654
Epoch: 018, Train Loss: 1.340, Train Acc: 0.654, Test Loss: 1.188, Test Acc: 0.650
Epoch: 019, Train Loss: 1.310, Train Acc: 0.660, Test Loss: 1.971, Test Acc: 0.542
Epoch: 020, Train Loss: 2.072, Train Acc: 0.618, Test Loss: 2.499, Test Acc: 0.654
Epoch: 021, Train Loss: 1.786, Train Acc: 0.637, Test Loss: 1.849, Test Acc: 0.634
Epoch: 022, Train Loss: 1.519, Train Acc: 0.641, Test Loss: 1.199, Test Acc: 0.662
Epoch: 023, Train Loss: 1.437, Train Acc: 0.646, Test Loss: 1.142, Test Acc: 0.650
Epoch: 024, Train Loss: 1.326, Train Acc: 0.655, Test Loss: 1.309, Test Acc: 0.644
Epoch: 025, Train Loss: 1.403, Train Acc: 0.645, Test Loss: 1.229, Test Acc: 0.642
Epoch: 026, Train Loss: 1.354, Train Acc: 0.657, Test Loss: 2.077, Test Acc: 0.536
Epoch: 027, Train Loss: 3.964, Train Acc: 0.558, Test Loss: 4.507, Test Acc: 0.630
Epoch: 028, Train Loss: 2.139, Train Acc: 0.643, Test Loss: 1.196, Test Acc: 0.636
Epoch: 029, Train Loss: 1.425, Train Acc: 0.649, Test Loss: 1.137, Test Acc: 0.674
Epoch: 030, Train Loss: 1.477, Train Acc: 0.652, Test Loss: 2.181, Test Acc: 0.592
Epoch: 031, Train Loss: 1.371, Train Acc: 0.657, Test Loss: 1.318, Test Acc: 0.604
Epoch: 032, Train Loss: 1.788, Train Acc: 0.632, Test Loss: 1.209, Test Acc: 0.658
Epoch: 033, Train Loss: 1.407, Train Acc: 0.648, Test Loss: 1.520, Test Acc: 0.624
Epoch: 034, Train Loss: 1.410, Train Acc: 0.648, Test Loss: 1.124, Test Acc: 0.680
Epoch: 035, Train Loss: 1.330, Train Acc: 0.646, Test Loss: 1.111, Test Acc: 0.688
Epoch: 036, Train Loss: 1.302, Train Acc: 0.658, Test Loss: 1.101, Test Acc: 0.666
Epoch: 037, Train Loss: 1.236, Train Acc: 0.674, Test Loss: 1.196, Test Acc: 0.648
Epoch: 038, Train Loss: 1.257, Train Acc: 0.658, Test Loss: 1.299, Test Acc: 0.650
Epoch: 039, Train Loss: 1.698, Train Acc: 0.640, Test Loss: 1.808, Test Acc: 0.552
Epoch: 040, Train Loss: 1.453, Train Acc: 0.650, Test Loss: 1.766, Test Acc: 0.542
Epoch: 041, Train Loss: 1.460, Train Acc: 0.648, Test Loss: 1.153, Test Acc: 0.672
Epoch: 042, Train Loss: 1.189, Train Acc: 0.677, Test Loss: 1.110, Test Acc: 0.704
Epoch: 043, Train Loss: 1.328, Train Acc: 0.654, Test Loss: 1.154, Test Acc: 0.678
Epoch: 044, Train Loss: 1.205, Train Acc: 0.670, Test Loss: 1.327, Test Acc: 0.616
Epoch: 045, Train Loss: 1.240, Train Acc: 0.670, Test Loss: 1.208, Test Acc: 0.610
Epoch: 046, Train Loss: 1.310, Train Acc: 0.649, Test Loss: 1.907, Test Acc: 0.590
Epoch: 047, Train Loss: 1.379, Train Acc: 0.644, Test Loss: 1.183, Test Acc: 0.656
Epoch: 048, Train Loss: 1.228, Train Acc: 0.664, Test Loss: 1.388, Test Acc: 0.602
Epoch: 049, Train Loss: 1.251, Train Acc: 0.660, Test Loss: 1.112, Test Acc: 0.674
Epoch: 050, Train Loss: 2.109, Train Acc: 0.613, Test Loss: 1.938, Test Acc: 0.532
Epoch: 051, Train Loss: 6.132, Train Acc: 0.554, Test Loss: 4.832, Test Acc: 0.586
Epoch: 052, Train Loss: 4.430, Train Acc: 0.608, Test Loss: 1.736, Test Acc: 0.670
Epoch: 053, Train Loss: 1.464, Train Acc: 0.641, Test Loss: 1.244, Test Acc: 0.618
Epoch: 054, Train Loss: 3.715, Train Acc: 0.562, Test Loss: 4.611, Test Acc: 0.632
Epoch: 055, Train Loss: 2.394, Train Acc: 0.622, Test Loss: 1.181, Test Acc: 0.666
Epoch: 056, Train Loss: 1.281, Train Acc: 0.665, Test Loss: 1.227, Test Acc: 0.614
Epoch: 057, Train Loss: 1.186, Train Acc: 0.684, Test Loss: 1.139, Test Acc: 0.684
Epoch: 058, Train Loss: 1.192, Train Acc: 0.677, Test Loss: 1.104, Test Acc: 0.680
Epoch: 059, Train Loss: 1.301, Train Acc: 0.655, Test Loss: 1.265, Test Acc: 0.636
Result of run 2.000 is 0.636
Epoch: 001, Train Loss: 37.482, Train Acc: 0.532, Test Loss: 5.600, Test Acc: 0.500
Epoch: 002, Train Loss: 5.012, Train Acc: 0.569, Test Loss: 3.167, Test Acc: 0.616
Epoch: 003, Train Loss: 2.337, Train Acc: 0.578, Test Loss: 2.009, Test Acc: 0.630
Epoch: 004, Train Loss: 1.956, Train Acc: 0.607, Test Loss: 1.407, Test Acc: 0.668
Epoch: 005, Train Loss: 2.121, Train Acc: 0.608, Test Loss: 2.820, Test Acc: 0.564
Epoch: 006, Train Loss: 3.038, Train Acc: 0.580, Test Loss: 7.400, Test Acc: 0.462
Epoch: 007, Train Loss: 4.942, Train Acc: 0.571, Test Loss: 4.184, Test Acc: 0.630
Epoch: 008, Train Loss: 4.484, Train Acc: 0.559, Test Loss: 3.638, Test Acc: 0.520
Epoch: 009, Train Loss: 2.088, Train Acc: 0.608, Test Loss: 13.058, Test Acc: 0.408
Epoch: 010, Train Loss: 11.892, Train Acc: 0.531, Test Loss: 2.038, Test Acc: 0.658
Epoch: 011, Train Loss: 2.362, Train Acc: 0.608, Test Loss: 1.916, Test Acc: 0.602
Epoch: 012, Train Loss: 3.816, Train Acc: 0.578, Test Loss: 4.790, Test Acc: 0.634
Epoch: 013, Train Loss: 3.610, Train Acc: 0.591, Test Loss: 2.691, Test Acc: 0.664
Epoch: 014, Train Loss: 2.228, Train Acc: 0.622, Test Loss: 1.674, Test Acc: 0.704
Epoch: 015, Train Loss: 2.597, Train Acc: 0.605, Test Loss: 1.560, Test Acc: 0.668
Epoch: 016, Train Loss: 3.005, Train Acc: 0.602, Test Loss: 2.664, Test Acc: 0.682
Epoch: 017, Train Loss: 2.066, Train Acc: 0.625, Test Loss: 2.088, Test Acc: 0.628
