- M: GAPNet - D: COLLAB(5000) - Train_split: 4500 - B: 64 - Centers (if CTNet): 75 - LAP (if GAPNet): normalized - Classes 3 - Feats 1
Epoch: 001, Train Loss: 12.385, Train Acc: 0.518, Test Loss: 4.425, Test Acc: 0.444
Epoch: 002, Train Loss: 5.253, Train Acc: 0.532, Test Loss: 14.586, Test Acc: 0.560
Epoch: 003, Train Loss: 3.959, Train Acc: 0.579, Test Loss: 6.992, Test Acc: 0.594
Epoch: 004, Train Loss: 4.358, Train Acc: 0.562, Test Loss: 7.411, Test Acc: 0.586
Epoch: 005, Train Loss: 3.895, Train Acc: 0.594, Test Loss: 4.737, Test Acc: 0.656
Epoch: 006, Train Loss: 5.075, Train Acc: 0.569, Test Loss: 12.500, Test Acc: 0.546
Epoch: 007, Train Loss: 7.235, Train Acc: 0.566, Test Loss: 3.781, Test Acc: 0.572
Epoch: 008, Train Loss: 4.025, Train Acc: 0.585, Test Loss: 4.640, Test Acc: 0.514
Epoch: 009, Train Loss: 2.570, Train Acc: 0.625, Test Loss: 2.207, Test Acc: 0.646
Epoch: 010, Train Loss: 6.182, Train Acc: 0.583, Test Loss: 3.241, Test Acc: 0.594
Epoch: 011, Train Loss: 2.614, Train Acc: 0.589, Test Loss: 2.652, Test Acc: 0.618
Epoch: 012, Train Loss: 2.674, Train Acc: 0.614, Test Loss: 1.401, Test Acc: 0.662
Epoch: 013, Train Loss: 11.600, Train Acc: 0.557, Test Loss: 4.969, Test Acc: 0.612
Epoch: 014, Train Loss: 2.902, Train Acc: 0.625, Test Loss: 2.178, Test Acc: 0.656
Epoch: 015, Train Loss: 2.582, Train Acc: 0.605, Test Loss: 3.426, Test Acc: 0.590
Epoch: 016, Train Loss: 1.862, Train Acc: 0.625, Test Loss: 5.016, Test Acc: 0.434
Epoch: 017, Train Loss: 1.738, Train Acc: 0.639, Test Loss: 1.679, Test Acc: 0.636
Epoch: 018, Train Loss: 1.914, Train Acc: 0.634, Test Loss: 2.193, Test Acc: 0.598
Epoch: 019, Train Loss: 3.965, Train Acc: 0.593, Test Loss: 1.394, Test Acc: 0.660
Epoch: 020, Train Loss: 1.849, Train Acc: 0.629, Test Loss: 2.755, Test Acc: 0.582
Epoch: 021, Train Loss: 3.002, Train Acc: 0.619, Test Loss: 1.274, Test Acc: 0.662
Epoch: 022, Train Loss: 1.373, Train Acc: 0.665, Test Loss: 1.045, Test Acc: 0.686
Epoch: 023, Train Loss: 1.611, Train Acc: 0.648, Test Loss: 1.022, Test Acc: 0.662
Epoch: 024, Train Loss: 1.301, Train Acc: 0.668, Test Loss: 1.003, Test Acc: 0.666
Epoch: 025, Train Loss: 1.424, Train Acc: 0.655, Test Loss: 1.906, Test Acc: 0.580
Epoch: 026, Train Loss: 1.842, Train Acc: 0.619, Test Loss: 1.326, Test Acc: 0.654
Epoch: 027, Train Loss: 1.545, Train Acc: 0.652, Test Loss: 1.212, Test Acc: 0.666
Epoch: 028, Train Loss: 3.011, Train Acc: 0.593, Test Loss: 1.329, Test Acc: 0.644
Epoch: 029, Train Loss: 5.165, Train Acc: 0.531, Test Loss: 3.384, Test Acc: 0.578
Epoch: 030, Train Loss: 2.727, Train Acc: 0.568, Test Loss: 3.216, Test Acc: 0.614
Epoch: 031, Train Loss: 1.522, Train Acc: 0.616, Test Loss: 4.320, Test Acc: 0.562
Epoch: 032, Train Loss: 2.191, Train Acc: 0.591, Test Loss: 3.573, Test Acc: 0.564
Epoch: 033, Train Loss: 1.791, Train Acc: 0.619, Test Loss: 1.094, Test Acc: 0.660
Epoch: 034, Train Loss: 1.436, Train Acc: 0.652, Test Loss: 2.019, Test Acc: 0.582
Epoch: 035, Train Loss: 1.666, Train Acc: 0.642, Test Loss: 1.283, Test Acc: 0.620
Epoch: 036, Train Loss: 1.282, Train Acc: 0.663, Test Loss: 1.088, Test Acc: 0.662
Epoch: 037, Train Loss: 1.371, Train Acc: 0.646, Test Loss: 1.004, Test Acc: 0.662
Epoch: 038, Train Loss: 1.542, Train Acc: 0.636, Test Loss: 1.132, Test Acc: 0.674
Epoch: 039, Train Loss: 1.207, Train Acc: 0.674, Test Loss: 2.357, Test Acc: 0.564
Epoch: 040, Train Loss: 1.501, Train Acc: 0.642, Test Loss: 0.990, Test Acc: 0.654
Epoch: 041, Train Loss: 1.272, Train Acc: 0.668, Test Loss: 1.866, Test Acc: 0.562
Epoch: 042, Train Loss: 1.392, Train Acc: 0.646, Test Loss: 0.976, Test Acc: 0.654
Epoch: 043, Train Loss: 1.308, Train Acc: 0.662, Test Loss: 1.065, Test Acc: 0.656
Epoch: 044, Train Loss: 1.293, Train Acc: 0.655, Test Loss: 1.180, Test Acc: 0.638
Epoch: 045, Train Loss: 1.535, Train Acc: 0.644, Test Loss: 1.104, Test Acc: 0.684
Epoch: 046, Train Loss: 1.338, Train Acc: 0.659, Test Loss: 1.156, Test Acc: 0.646
Epoch: 047, Train Loss: 1.296, Train Acc: 0.664, Test Loss: 1.234, Test Acc: 0.638
Epoch: 048, Train Loss: 1.214, Train Acc: 0.677, Test Loss: 1.012, Test Acc: 0.674
Epoch: 049, Train Loss: 1.309, Train Acc: 0.661, Test Loss: 0.954, Test Acc: 0.664
Epoch: 050, Train Loss: 1.230, Train Acc: 0.676, Test Loss: 1.214, Test Acc: 0.622
Epoch: 051, Train Loss: 1.240, Train Acc: 0.677, Test Loss: 1.064, Test Acc: 0.662
Epoch: 052, Train Loss: 1.582, Train Acc: 0.628, Test Loss: 2.104, Test Acc: 0.570
Epoch: 053, Train Loss: 1.467, Train Acc: 0.635, Test Loss: 1.458, Test Acc: 0.624
Epoch: 054, Train Loss: 1.302, Train Acc: 0.636, Test Loss: 1.028, Test Acc: 0.666
Epoch: 055, Train Loss: 1.166, Train Acc: 0.681, Test Loss: 0.995, Test Acc: 0.668
Epoch: 056, Train Loss: 1.172, Train Acc: 0.670, Test Loss: 0.950, Test Acc: 0.674
Epoch: 057, Train Loss: 1.173, Train Acc: 0.678, Test Loss: 0.945, Test Acc: 0.662
Epoch: 058, Train Loss: 1.155, Train Acc: 0.681, Test Loss: 0.974, Test Acc: 0.666
Epoch: 059, Train Loss: 1.155, Train Acc: 0.681, Test Loss: 0.987, Test Acc: 0.658
Result of run 0.000 is 0.658
Epoch: 001, Train Loss: 23.310, Train Acc: 0.534, Test Loss: 5.269, Test Acc: 0.372
Epoch: 002, Train Loss: 3.248, Train Acc: 0.563, Test Loss: 1.494, Test Acc: 0.660
Epoch: 003, Train Loss: 3.910, Train Acc: 0.573, Test Loss: 1.238, Test Acc: 0.690
Epoch: 004, Train Loss: 6.006, Train Acc: 0.569, Test Loss: 1.177, Test Acc: 0.658
Epoch: 005, Train Loss: 1.408, Train Acc: 0.651, Test Loss: 1.123, Test Acc: 0.710
