- M: GAPNet - D: COLLAB(5000) - Train_split: 4500 - B: 64 - Centers (if CTNet): 75 - LAP (if GAPNet): normalizedv2 - Classes 3 - Feats 1
Epoch: 001, Train Loss: 74.997, Train Acc: 0.502, Test Loss: 7.678, Test Acc: 0.582
Epoch: 002, Train Loss: 7.178, Train Acc: 0.529, Test Loss: 3.587, Test Acc: 0.584
Epoch: 003, Train Loss: 2.905, Train Acc: 0.574, Test Loss: 4.229, Test Acc: 0.564
Epoch: 004, Train Loss: 3.850, Train Acc: 0.543, Test Loss: 6.550, Test Acc: 0.630
Epoch: 005, Train Loss: 4.263, Train Acc: 0.581, Test Loss: 2.983, Test Acc: 0.630
Epoch: 006, Train Loss: 2.010, Train Acc: 0.640, Test Loss: 1.518, Test Acc: 0.642
Epoch: 007, Train Loss: 2.353, Train Acc: 0.616, Test Loss: 2.883, Test Acc: 0.524
Epoch: 008, Train Loss: 2.643, Train Acc: 0.597, Test Loss: 1.566, Test Acc: 0.676
Epoch: 009, Train Loss: 1.793, Train Acc: 0.645, Test Loss: 2.647, Test Acc: 0.466
Epoch: 010, Train Loss: 2.980, Train Acc: 0.603, Test Loss: 1.565, Test Acc: 0.664
Epoch: 011, Train Loss: 5.981, Train Acc: 0.577, Test Loss: 5.284, Test Acc: 0.646
Epoch: 012, Train Loss: 2.428, Train Acc: 0.613, Test Loss: 3.500, Test Acc: 0.572
Epoch: 013, Train Loss: 5.074, Train Acc: 0.605, Test Loss: 3.619, Test Acc: 0.540
Epoch: 014, Train Loss: 2.182, Train Acc: 0.619, Test Loss: 1.898, Test Acc: 0.524
Epoch: 015, Train Loss: 4.651, Train Acc: 0.611, Test Loss: 6.607, Test Acc: 0.320
Epoch: 016, Train Loss: 2.726, Train Acc: 0.616, Test Loss: 1.622, Test Acc: 0.698
Epoch: 017, Train Loss: 1.822, Train Acc: 0.634, Test Loss: 1.977, Test Acc: 0.592
Epoch: 018, Train Loss: 1.578, Train Acc: 0.640, Test Loss: 1.556, Test Acc: 0.612
Epoch: 019, Train Loss: 1.590, Train Acc: 0.643, Test Loss: 2.052, Test Acc: 0.550
Epoch: 020, Train Loss: 1.794, Train Acc: 0.626, Test Loss: 1.408, Test Acc: 0.640
Epoch: 021, Train Loss: 2.457, Train Acc: 0.618, Test Loss: 1.586, Test Acc: 0.642
Epoch: 022, Train Loss: 5.665, Train Acc: 0.563, Test Loss: 4.386, Test Acc: 0.668
Epoch: 023, Train Loss: 2.650, Train Acc: 0.615, Test Loss: 1.990, Test Acc: 0.674
Epoch: 024, Train Loss: 5.861, Train Acc: 0.581, Test Loss: 2.078, Test Acc: 0.674
Epoch: 025, Train Loss: 1.590, Train Acc: 0.641, Test Loss: 1.434, Test Acc: 0.648
Epoch: 026, Train Loss: 2.771, Train Acc: 0.604, Test Loss: 1.604, Test Acc: 0.662
Epoch: 027, Train Loss: 1.596, Train Acc: 0.630, Test Loss: 1.354, Test Acc: 0.658
Epoch: 028, Train Loss: 1.511, Train Acc: 0.632, Test Loss: 1.386, Test Acc: 0.644
Epoch: 029, Train Loss: 1.647, Train Acc: 0.637, Test Loss: 1.754, Test Acc: 0.598
Epoch: 030, Train Loss: 1.485, Train Acc: 0.638, Test Loss: 1.319, Test Acc: 0.648
Epoch: 031, Train Loss: 1.388, Train Acc: 0.637, Test Loss: 1.738, Test Acc: 0.590
Epoch: 032, Train Loss: 1.700, Train Acc: 0.628, Test Loss: 1.502, Test Acc: 0.614
Epoch: 033, Train Loss: 1.402, Train Acc: 0.656, Test Loss: 1.715, Test Acc: 0.616
Epoch: 034, Train Loss: 1.741, Train Acc: 0.637, Test Loss: 1.595, Test Acc: 0.666
Epoch: 035, Train Loss: 1.588, Train Acc: 0.639, Test Loss: 2.158, Test Acc: 0.670
Epoch: 036, Train Loss: 1.634, Train Acc: 0.621, Test Loss: 1.489, Test Acc: 0.630
Epoch: 037, Train Loss: 1.470, Train Acc: 0.640, Test Loss: 1.488, Test Acc: 0.622
Epoch: 038, Train Loss: 1.292, Train Acc: 0.655, Test Loss: 1.850, Test Acc: 0.676
Epoch: 039, Train Loss: 1.589, Train Acc: 0.638, Test Loss: 1.451, Test Acc: 0.682
Epoch: 040, Train Loss: 1.451, Train Acc: 0.637, Test Loss: 1.774, Test Acc: 0.612
Epoch: 041, Train Loss: 2.365, Train Acc: 0.614, Test Loss: 7.635, Test Acc: 0.604
Epoch: 042, Train Loss: 6.017, Train Acc: 0.544, Test Loss: 5.679, Test Acc: 0.430
Epoch: 043, Train Loss: 3.133, Train Acc: 0.599, Test Loss: 2.591, Test Acc: 0.676
Epoch: 044, Train Loss: 3.196, Train Acc: 0.597, Test Loss: 1.696, Test Acc: 0.640
Epoch: 045, Train Loss: 1.637, Train Acc: 0.628, Test Loss: 1.447, Test Acc: 0.612
Epoch: 046, Train Loss: 1.638, Train Acc: 0.612, Test Loss: 2.502, Test Acc: 0.662
Epoch: 047, Train Loss: 1.692, Train Acc: 0.609, Test Loss: 2.045, Test Acc: 0.706
Epoch: 048, Train Loss: 1.755, Train Acc: 0.626, Test Loss: 3.639, Test Acc: 0.540
Epoch: 049, Train Loss: 2.014, Train Acc: 0.632, Test Loss: 2.180, Test Acc: 0.654
Epoch: 050, Train Loss: 1.621, Train Acc: 0.636, Test Loss: 1.834, Test Acc: 0.490
Epoch: 051, Train Loss: 1.583, Train Acc: 0.641, Test Loss: 1.269, Test Acc: 0.688
Epoch: 052, Train Loss: 1.390, Train Acc: 0.652, Test Loss: 1.526, Test Acc: 0.552
Epoch: 053, Train Loss: 1.612, Train Acc: 0.622, Test Loss: 2.216, Test Acc: 0.662
Epoch: 054, Train Loss: 1.598, Train Acc: 0.642, Test Loss: 1.959, Test Acc: 0.690
Epoch: 055, Train Loss: 1.711, Train Acc: 0.631, Test Loss: 1.735, Test Acc: 0.682
Epoch: 056, Train Loss: 1.425, Train Acc: 0.654, Test Loss: 1.227, Test Acc: 0.700
Epoch: 057, Train Loss: 1.297, Train Acc: 0.662, Test Loss: 1.867, Test Acc: 0.644
Epoch: 058, Train Loss: 1.397, Train Acc: 0.656, Test Loss: 1.573, Test Acc: 0.664
Epoch: 059, Train Loss: 1.400, Train Acc: 0.650, Test Loss: 2.224, Test Acc: 0.620
Result of run 0.000 is 0.620
Epoch: 001, Train Loss: 15.951, Train Acc: 0.523, Test Loss: 6.232, Test Acc: 0.330
Epoch: 002, Train Loss: 4.365, Train Acc: 0.576, Test Loss: 1.398, Test Acc: 0.658
Epoch: 003, Train Loss: 2.023, Train Acc: 0.602, Test Loss: 3.922, Test Acc: 0.546
Epoch: 004, Train Loss: 1.841, Train Acc: 0.630, Test Loss: 1.312, Test Acc: 0.590
Epoch: 005, Train Loss: 1.741, Train Acc: 0.626, Test Loss: 1.152, Test Acc: 0.612
Epoch: 006, Train Loss: 1.533, Train Acc: 0.650, Test Loss: 1.212, Test Acc: 0.646
Epoch: 007, Train Loss: 1.524, Train Acc: 0.645, Test Loss: 8.405, Test Acc: 0.324
Epoch: 008, Train Loss: 8.456, Train Acc: 0.552, Test Loss: 3.754, Test Acc: 0.388
Epoch: 009, Train Loss: 1.975, Train Acc: 0.620, Test Loss: 1.314, Test Acc: 0.634
Epoch: 010, Train Loss: 2.064, Train Acc: 0.621, Test Loss: 1.416, Test Acc: 0.624
