- M: GAPNet - D: ENZYMES(600) - Train_split: 500 - B: 32 - Centers (if CTNet): 16 - LAP (if GAPNet): laplacian - Classes 6 - Feats 3
Epoch: 001, Train Loss: 2.509, Train Acc: 0.156, Test Loss: 2.323, Test Acc: 0.090
Epoch: 002, Train Loss: 2.365, Train Acc: 0.160, Test Loss: 1.839, Test Acc: 0.170
Epoch: 003, Train Loss: 2.320, Train Acc: 0.174, Test Loss: 1.889, Test Acc: 0.150
Epoch: 004, Train Loss: 2.317, Train Acc: 0.190, Test Loss: 1.709, Test Acc: 0.190
Epoch: 005, Train Loss: 2.321, Train Acc: 0.192, Test Loss: 1.762, Test Acc: 0.260
Epoch: 006, Train Loss: 2.284, Train Acc: 0.208, Test Loss: 1.794, Test Acc: 0.140
Epoch: 007, Train Loss: 2.298, Train Acc: 0.218, Test Loss: 1.823, Test Acc: 0.200
Epoch: 008, Train Loss: 2.272, Train Acc: 0.268, Test Loss: 1.768, Test Acc: 0.280
Epoch: 009, Train Loss: 2.225, Train Acc: 0.238, Test Loss: 1.663, Test Acc: 0.240
Epoch: 010, Train Loss: 2.233, Train Acc: 0.248, Test Loss: 1.740, Test Acc: 0.190
Epoch: 011, Train Loss: 2.234, Train Acc: 0.246, Test Loss: 1.679, Test Acc: 0.200
Epoch: 012, Train Loss: 2.198, Train Acc: 0.260, Test Loss: 1.652, Test Acc: 0.280
Epoch: 013, Train Loss: 2.146, Train Acc: 0.276, Test Loss: 1.741, Test Acc: 0.240
Epoch: 014, Train Loss: 2.192, Train Acc: 0.274, Test Loss: 1.970, Test Acc: 0.240
Epoch: 015, Train Loss: 2.138, Train Acc: 0.278, Test Loss: 1.469, Test Acc: 0.290
Epoch: 016, Train Loss: 2.117, Train Acc: 0.290, Test Loss: 1.754, Test Acc: 0.210
Epoch: 017, Train Loss: 2.101, Train Acc: 0.290, Test Loss: 1.556, Test Acc: 0.280
Epoch: 018, Train Loss: 2.093, Train Acc: 0.274, Test Loss: 1.628, Test Acc: 0.220
Epoch: 019, Train Loss: 2.073, Train Acc: 0.294, Test Loss: 1.562, Test Acc: 0.250
Epoch: 020, Train Loss: 2.047, Train Acc: 0.276, Test Loss: 1.461, Test Acc: 0.290
Epoch: 021, Train Loss: 2.050, Train Acc: 0.280, Test Loss: 1.528, Test Acc: 0.270
Epoch: 022, Train Loss: 2.001, Train Acc: 0.302, Test Loss: 1.673, Test Acc: 0.230
Epoch: 023, Train Loss: 2.034, Train Acc: 0.274, Test Loss: 1.421, Test Acc: 0.290
Epoch: 024, Train Loss: 1.964, Train Acc: 0.284, Test Loss: 1.588, Test Acc: 0.270
Epoch: 025, Train Loss: 1.957, Train Acc: 0.280, Test Loss: 1.572, Test Acc: 0.260
Epoch: 026, Train Loss: 1.983, Train Acc: 0.296, Test Loss: 1.751, Test Acc: 0.250
Epoch: 027, Train Loss: 1.965, Train Acc: 0.286, Test Loss: 1.476, Test Acc: 0.290
Epoch: 028, Train Loss: 1.937, Train Acc: 0.308, Test Loss: 1.556, Test Acc: 0.250
Epoch: 029, Train Loss: 1.911, Train Acc: 0.282, Test Loss: 1.612, Test Acc: 0.280
Epoch: 030, Train Loss: 1.906, Train Acc: 0.288, Test Loss: 1.619, Test Acc: 0.250
Epoch: 031, Train Loss: 1.891, Train Acc: 0.310, Test Loss: 1.614, Test Acc: 0.280
Epoch: 032, Train Loss: 1.908, Train Acc: 0.308, Test Loss: 1.660, Test Acc: 0.310
Epoch: 033, Train Loss: 1.899, Train Acc: 0.280, Test Loss: 1.553, Test Acc: 0.260
Epoch: 034, Train Loss: 1.871, Train Acc: 0.328, Test Loss: 1.495, Test Acc: 0.280
Epoch: 035, Train Loss: 1.870, Train Acc: 0.304, Test Loss: 1.456, Test Acc: 0.320
Epoch: 036, Train Loss: 1.878, Train Acc: 0.314, Test Loss: 1.616, Test Acc: 0.280
Epoch: 037, Train Loss: 1.880, Train Acc: 0.316, Test Loss: 1.439, Test Acc: 0.270
Epoch: 038, Train Loss: 1.845, Train Acc: 0.346, Test Loss: 1.561, Test Acc: 0.300
Epoch: 039, Train Loss: 1.856, Train Acc: 0.304, Test Loss: 1.583, Test Acc: 0.300
Epoch: 040, Train Loss: 1.822, Train Acc: 0.314, Test Loss: 1.622, Test Acc: 0.260
Epoch: 041, Train Loss: 1.840, Train Acc: 0.306, Test Loss: 1.468, Test Acc: 0.310
Epoch: 042, Train Loss: 1.822, Train Acc: 0.330, Test Loss: 1.568, Test Acc: 0.260
Epoch: 043, Train Loss: 1.856, Train Acc: 0.322, Test Loss: 1.598, Test Acc: 0.290
Epoch: 044, Train Loss: 1.840, Train Acc: 0.292, Test Loss: 1.371, Test Acc: 0.250
Epoch: 045, Train Loss: 1.778, Train Acc: 0.312, Test Loss: 1.522, Test Acc: 0.280
Epoch: 046, Train Loss: 1.809, Train Acc: 0.292, Test Loss: 1.395, Test Acc: 0.290
Epoch: 047, Train Loss: 1.818, Train Acc: 0.322, Test Loss: 1.392, Test Acc: 0.290
Epoch: 048, Train Loss: 1.787, Train Acc: 0.318, Test Loss: 1.397, Test Acc: 0.280
Epoch: 049, Train Loss: 1.805, Train Acc: 0.328, Test Loss: 1.584, Test Acc: 0.250
Epoch: 050, Train Loss: 1.791, Train Acc: 0.322, Test Loss: 1.368, Test Acc: 0.280
Epoch: 051, Train Loss: 1.804, Train Acc: 0.332, Test Loss: 1.559, Test Acc: 0.230
Epoch: 052, Train Loss: 1.785, Train Acc: 0.312, Test Loss: 1.408, Test Acc: 0.260
Epoch: 053, Train Loss: 1.765, Train Acc: 0.344, Test Loss: 1.544, Test Acc: 0.260
Epoch: 054, Train Loss: 1.763, Train Acc: 0.346, Test Loss: 1.424, Test Acc: 0.300
Epoch: 055, Train Loss: 1.794, Train Acc: 0.310, Test Loss: 1.361, Test Acc: 0.280
Epoch: 056, Train Loss: 1.758, Train Acc: 0.340, Test Loss: 1.351, Test Acc: 0.240
Epoch: 057, Train Loss: 1.766, Train Acc: 0.316, Test Loss: 1.504, Test Acc: 0.250
Epoch: 058, Train Loss: 1.761, Train Acc: 0.348, Test Loss: 1.367, Test Acc: 0.250
Epoch: 059, Train Loss: 1.744, Train Acc: 0.300, Test Loss: 1.446, Test Acc: 0.300
Result of run 0.000 is 0.300
Epoch: 001, Train Loss: 2.447, Train Acc: 0.190, Test Loss: 2.320, Test Acc: 0.180
Epoch: 002, Train Loss: 2.301, Train Acc: 0.182, Test Loss: 2.340, Test Acc: 0.180
Epoch: 003, Train Loss: 2.283, Train Acc: 0.206, Test Loss: 2.345, Test Acc: 0.130
Epoch: 004, Train Loss: 2.275, Train Acc: 0.212, Test Loss: 2.399, Test Acc: 0.180
Epoch: 005, Train Loss: 2.261, Train Acc: 0.198, Test Loss: 2.237, Test Acc: 0.230
Epoch: 006, Train Loss: 2.253, Train Acc: 0.224, Test Loss: 2.326, Test Acc: 0.200
Epoch: 007, Train Loss: 2.275, Train Acc: 0.170, Test Loss: 2.365, Test Acc: 0.120
Epoch: 008, Train Loss: 2.207, Train Acc: 0.226, Test Loss: 2.311, Test Acc: 0.190
Epoch: 009, Train Loss: 2.198, Train Acc: 0.226, Test Loss: 2.349, Test Acc: 0.200
Epoch: 010, Train Loss: 2.179, Train Acc: 0.240, Test Loss: 2.368, Test Acc: 0.180
Epoch: 011, Train Loss: 2.137, Train Acc: 0.226, Test Loss: 2.219, Test Acc: 0.180
Epoch: 012, Train Loss: 2.116, Train Acc: 0.234, Test Loss: 2.198, Test Acc: 0.210
Epoch: 013, Train Loss: 2.092, Train Acc: 0.274, Test Loss: 2.221, Test Acc: 0.140
Epoch: 014, Train Loss: 2.092, Train Acc: 0.252, Test Loss: 2.212, Test Acc: 0.200
Epoch: 015, Train Loss: 2.021, Train Acc: 0.274, Test Loss: 2.137, Test Acc: 0.230
Epoch: 016, Train Loss: 2.028, Train Acc: 0.266, Test Loss: 2.116, Test Acc: 0.210
Epoch: 017, Train Loss: 1.999, Train Acc: 0.234, Test Loss: 2.245, Test Acc: 0.200
Epoch: 018, Train Loss: 1.963, Train Acc: 0.282, Test Loss: 2.215, Test Acc: 0.210
Epoch: 019, Train Loss: 1.968, Train Acc: 0.282, Test Loss: 2.102, Test Acc: 0.190
Epoch: 020, Train Loss: 1.943, Train Acc: 0.270, Test Loss: 2.165, Test Acc: 0.220
Epoch: 021, Train Loss: 1.918, Train Acc: 0.274, Test Loss: 2.139, Test Acc: 0.220
Epoch: 022, Train Loss: 1.938, Train Acc: 0.256, Test Loss: 2.152, Test Acc: 0.250
Epoch: 023, Train Loss: 1.923, Train Acc: 0.288, Test Loss: 2.129, Test Acc: 0.250
Epoch: 024, Train Loss: 1.893, Train Acc: 0.278, Test Loss: 2.061, Test Acc: 0.260
Epoch: 025, Train Loss: 1.872, Train Acc: 0.284, Test Loss: 2.051, Test Acc: 0.230
Epoch: 026, Train Loss: 1.882, Train Acc: 0.302, Test Loss: 2.040, Test Acc: 0.250
Epoch: 027, Train Loss: 1.858, Train Acc: 0.314, Test Loss: 2.149, Test Acc: 0.250
Epoch: 028, Train Loss: 1.871, Train Acc: 0.336, Test Loss: 2.011, Test Acc: 0.270
Epoch: 029, Train Loss: 1.862, Train Acc: 0.264, Test Loss: 1.980, Test Acc: 0.260
Epoch: 030, Train Loss: 1.831, Train Acc: 0.312, Test Loss: 2.036, Test Acc: 0.300
Epoch: 031, Train Loss: 1.826, Train Acc: 0.274, Test Loss: 2.031, Test Acc: 0.240
Epoch: 032, Train Loss: 1.826, Train Acc: 0.310, Test Loss: 2.027, Test Acc: 0.290
Epoch: 033, Train Loss: 1.807, Train Acc: 0.312, Test Loss: 1.988, Test Acc: 0.250
Epoch: 034, Train Loss: 1.786, Train Acc: 0.336, Test Loss: 1.981, Test Acc: 0.240
Epoch: 035, Train Loss: 1.782, Train Acc: 0.336, Test Loss: 2.013, Test Acc: 0.270
Epoch: 036, Train Loss: 1.821, Train Acc: 0.312, Test Loss: 2.001, Test Acc: 0.310
Epoch: 037, Train Loss: 1.784, Train Acc: 0.310, Test Loss: 2.036, Test Acc: 0.280
Epoch: 038, Train Loss: 1.810, Train Acc: 0.284, Test Loss: 2.049, Test Acc: 0.270
Epoch: 039, Train Loss: 1.765, Train Acc: 0.334, Test Loss: 1.948, Test Acc: 0.240
Epoch: 040, Train Loss: 1.776, Train Acc: 0.340, Test Loss: 1.933, Test Acc: 0.290
Epoch: 041, Train Loss: 1.768, Train Acc: 0.324, Test Loss: 1.927, Test Acc: 0.300
Epoch: 042, Train Loss: 1.761, Train Acc: 0.332, Test Loss: 1.914, Test Acc: 0.330
Epoch: 043, Train Loss: 1.752, Train Acc: 0.330, Test Loss: 1.860, Test Acc: 0.290
Epoch: 044, Train Loss: 1.750, Train Acc: 0.338, Test Loss: 1.778, Test Acc: 0.280
Epoch: 045, Train Loss: 1.743, Train Acc: 0.326, Test Loss: 1.911, Test Acc: 0.290
Epoch: 046, Train Loss: 1.733, Train Acc: 0.324, Test Loss: 1.834, Test Acc: 0.270
Epoch: 047, Train Loss: 1.744, Train Acc: 0.324, Test Loss: 1.842, Test Acc: 0.270
Epoch: 048, Train Loss: 1.715, Train Acc: 0.320, Test Loss: 1.859, Test Acc: 0.300
Epoch: 049, Train Loss: 1.735, Train Acc: 0.348, Test Loss: 1.697, Test Acc: 0.320
Epoch: 050, Train Loss: 1.716, Train Acc: 0.358, Test Loss: 1.838, Test Acc: 0.290
Epoch: 051, Train Loss: 1.712, Train Acc: 0.344, Test Loss: 1.885, Test Acc: 0.310
Epoch: 052, Train Loss: 1.749, Train Acc: 0.318, Test Loss: 1.798, Test Acc: 0.270
Epoch: 053, Train Loss: 1.706, Train Acc: 0.360, Test Loss: 1.739, Test Acc: 0.280
Epoch: 054, Train Loss: 1.726, Train Acc: 0.320, Test Loss: 1.739, Test Acc: 0.300
Epoch: 055, Train Loss: 1.719, Train Acc: 0.348, Test Loss: 1.813, Test Acc: 0.270
Epoch: 056, Train Loss: 1.709, Train Acc: 0.356, Test Loss: 1.778, Test Acc: 0.280
Epoch: 057, Train Loss: 1.697, Train Acc: 0.362, Test Loss: 1.763, Test Acc: 0.280
Epoch: 058, Train Loss: 1.690, Train Acc: 0.366, Test Loss: 1.720, Test Acc: 0.260
Epoch: 059, Train Loss: 1.676, Train Acc: 0.366, Test Loss: 1.693, Test Acc: 0.270
Result of run 1.000 is 0.270
Epoch: 001, Train Loss: 3.440, Train Acc: 0.156, Test Loss: 2.541, Test Acc: 0.100
Epoch: 002, Train Loss: 2.449, Train Acc: 0.134, Test Loss: 2.051, Test Acc: 0.120
Epoch: 003, Train Loss: 2.347, Train Acc: 0.158, Test Loss: 2.555, Test Acc: 0.170
Epoch: 004, Train Loss: 2.326, Train Acc: 0.176, Test Loss: 2.254, Test Acc: 0.180
Epoch: 005, Train Loss: 2.282, Train Acc: 0.206, Test Loss: 1.996, Test Acc: 0.210
Epoch: 006, Train Loss: 2.303, Train Acc: 0.182, Test Loss: 2.067, Test Acc: 0.240
Epoch: 007, Train Loss: 2.254, Train Acc: 0.216, Test Loss: 2.057, Test Acc: 0.230
Epoch: 008, Train Loss: 2.233, Train Acc: 0.202, Test Loss: 2.151, Test Acc: 0.180
Epoch: 009, Train Loss: 2.261, Train Acc: 0.184, Test Loss: 2.036, Test Acc: 0.210
Epoch: 010, Train Loss: 2.217, Train Acc: 0.230, Test Loss: 2.115, Test Acc: 0.160
Epoch: 011, Train Loss: 2.172, Train Acc: 0.202, Test Loss: 1.923, Test Acc: 0.240
Epoch: 012, Train Loss: 2.205, Train Acc: 0.226, Test Loss: 2.179, Test Acc: 0.200
Epoch: 013, Train Loss: 2.170, Train Acc: 0.194, Test Loss: 1.976, Test Acc: 0.230
Epoch: 014, Train Loss: 2.144, Train Acc: 0.200, Test Loss: 1.896, Test Acc: 0.150
Epoch: 015, Train Loss: 2.130, Train Acc: 0.230, Test Loss: 1.881, Test Acc: 0.200
Epoch: 016, Train Loss: 2.121, Train Acc: 0.224, Test Loss: 1.977, Test Acc: 0.180
