- M: GAPNet - D: ENZYMES(600) - Train_split: 500 - B: 32 - Centers (if CTNet): 16 - LAP (if GAPNet): normalized - Classes 6 - Feats 3
Epoch: 001, Train Loss: 2.682, Train Acc: 0.150, Test Loss: 1.941, Test Acc: 0.190
Epoch: 002, Train Loss: 2.338, Train Acc: 0.182, Test Loss: 1.523, Test Acc: 0.250
Epoch: 003, Train Loss: 2.278, Train Acc: 0.220, Test Loss: 1.577, Test Acc: 0.180
Epoch: 004, Train Loss: 2.252, Train Acc: 0.212, Test Loss: 1.542, Test Acc: 0.230
Epoch: 005, Train Loss: 2.267, Train Acc: 0.204, Test Loss: 1.537, Test Acc: 0.270
Epoch: 006, Train Loss: 2.259, Train Acc: 0.220, Test Loss: 1.574, Test Acc: 0.260
Epoch: 007, Train Loss: 2.234, Train Acc: 0.190, Test Loss: 1.499, Test Acc: 0.280
Epoch: 008, Train Loss: 2.228, Train Acc: 0.192, Test Loss: 1.498, Test Acc: 0.260
Epoch: 009, Train Loss: 2.224, Train Acc: 0.210, Test Loss: 1.459, Test Acc: 0.280
Epoch: 010, Train Loss: 2.191, Train Acc: 0.214, Test Loss: 1.520, Test Acc: 0.220
Epoch: 011, Train Loss: 2.195, Train Acc: 0.216, Test Loss: 1.394, Test Acc: 0.220
Epoch: 012, Train Loss: 2.169, Train Acc: 0.248, Test Loss: 1.465, Test Acc: 0.230
Epoch: 013, Train Loss: 2.142, Train Acc: 0.228, Test Loss: 1.395, Test Acc: 0.250
Epoch: 014, Train Loss: 2.103, Train Acc: 0.226, Test Loss: 1.585, Test Acc: 0.350
Epoch: 015, Train Loss: 2.086, Train Acc: 0.240, Test Loss: 1.472, Test Acc: 0.330
Epoch: 016, Train Loss: 2.056, Train Acc: 0.236, Test Loss: 1.380, Test Acc: 0.250
Epoch: 017, Train Loss: 2.057, Train Acc: 0.216, Test Loss: 1.346, Test Acc: 0.290
Epoch: 018, Train Loss: 2.009, Train Acc: 0.246, Test Loss: 1.503, Test Acc: 0.260
Epoch: 019, Train Loss: 2.010, Train Acc: 0.226, Test Loss: 1.430, Test Acc: 0.270
Epoch: 020, Train Loss: 1.982, Train Acc: 0.250, Test Loss: 1.318, Test Acc: 0.310
Epoch: 021, Train Loss: 1.958, Train Acc: 0.258, Test Loss: 1.494, Test Acc: 0.350
Epoch: 022, Train Loss: 1.906, Train Acc: 0.266, Test Loss: 1.374, Test Acc: 0.310
Epoch: 023, Train Loss: 1.928, Train Acc: 0.246, Test Loss: 1.416, Test Acc: 0.280
Epoch: 024, Train Loss: 1.897, Train Acc: 0.280, Test Loss: 1.437, Test Acc: 0.400
Epoch: 025, Train Loss: 1.897, Train Acc: 0.264, Test Loss: 1.432, Test Acc: 0.290
Epoch: 026, Train Loss: 1.889, Train Acc: 0.248, Test Loss: 1.376, Test Acc: 0.300
Epoch: 027, Train Loss: 1.883, Train Acc: 0.286, Test Loss: 1.584, Test Acc: 0.280
Epoch: 028, Train Loss: 1.845, Train Acc: 0.282, Test Loss: 1.344, Test Acc: 0.280
Epoch: 029, Train Loss: 1.836, Train Acc: 0.272, Test Loss: 1.582, Test Acc: 0.290
Epoch: 030, Train Loss: 1.851, Train Acc: 0.270, Test Loss: 1.551, Test Acc: 0.300
Epoch: 031, Train Loss: 1.828, Train Acc: 0.282, Test Loss: 1.350, Test Acc: 0.300
Epoch: 032, Train Loss: 1.811, Train Acc: 0.290, Test Loss: 1.336, Test Acc: 0.290
Epoch: 033, Train Loss: 1.802, Train Acc: 0.300, Test Loss: 1.622, Test Acc: 0.320
Epoch: 034, Train Loss: 1.804, Train Acc: 0.332, Test Loss: 1.299, Test Acc: 0.310
Epoch: 035, Train Loss: 1.799, Train Acc: 0.294, Test Loss: 1.581, Test Acc: 0.360
Epoch: 036, Train Loss: 1.797, Train Acc: 0.274, Test Loss: 1.365, Test Acc: 0.270
Epoch: 037, Train Loss: 1.779, Train Acc: 0.292, Test Loss: 1.730, Test Acc: 0.320
Epoch: 038, Train Loss: 1.757, Train Acc: 0.292, Test Loss: 1.557, Test Acc: 0.370
Epoch: 039, Train Loss: 1.768, Train Acc: 0.308, Test Loss: 1.500, Test Acc: 0.310
Epoch: 040, Train Loss: 1.736, Train Acc: 0.306, Test Loss: 1.405, Test Acc: 0.350
