- M: GAPNet - D: ENZYMES(600) - Train_split: 500 - B: 32 - Centers (if CTNet): 16 - LAP (if GAPNet): normalizedv2 - Classes 6 - Feats 3
Epoch: 001, Train Loss: 2.856, Train Acc: 0.170, Test Loss: 2.481, Test Acc: 0.140
Epoch: 002, Train Loss: 2.359, Train Acc: 0.180, Test Loss: 2.441, Test Acc: 0.150
Epoch: 003, Train Loss: 2.310, Train Acc: 0.204, Test Loss: 2.158, Test Acc: 0.220
Epoch: 004, Train Loss: 2.306, Train Acc: 0.192, Test Loss: 2.267, Test Acc: 0.180
Epoch: 005, Train Loss: 2.246, Train Acc: 0.244, Test Loss: 2.258, Test Acc: 0.190
Epoch: 006, Train Loss: 2.221, Train Acc: 0.204, Test Loss: 2.043, Test Acc: 0.200
Epoch: 007, Train Loss: 2.220, Train Acc: 0.246, Test Loss: 2.311, Test Acc: 0.180
Epoch: 008, Train Loss: 2.176, Train Acc: 0.236, Test Loss: 2.092, Test Acc: 0.200
Epoch: 009, Train Loss: 2.151, Train Acc: 0.206, Test Loss: 2.156, Test Acc: 0.210
Epoch: 010, Train Loss: 2.116, Train Acc: 0.216, Test Loss: 2.191, Test Acc: 0.180
Epoch: 011, Train Loss: 2.126, Train Acc: 0.230, Test Loss: 2.170, Test Acc: 0.160
Epoch: 012, Train Loss: 2.083, Train Acc: 0.260, Test Loss: 2.157, Test Acc: 0.260
Epoch: 013, Train Loss: 2.027, Train Acc: 0.246, Test Loss: 2.110, Test Acc: 0.220
Epoch: 014, Train Loss: 2.040, Train Acc: 0.240, Test Loss: 2.156, Test Acc: 0.260
Epoch: 015, Train Loss: 2.027, Train Acc: 0.242, Test Loss: 2.095, Test Acc: 0.270
Epoch: 016, Train Loss: 1.994, Train Acc: 0.260, Test Loss: 2.161, Test Acc: 0.280
Epoch: 017, Train Loss: 2.005, Train Acc: 0.266, Test Loss: 2.169, Test Acc: 0.180
Epoch: 018, Train Loss: 1.965, Train Acc: 0.240, Test Loss: 2.318, Test Acc: 0.190
Epoch: 019, Train Loss: 1.980, Train Acc: 0.250, Test Loss: 2.172, Test Acc: 0.260
Epoch: 020, Train Loss: 1.958, Train Acc: 0.274, Test Loss: 2.174, Test Acc: 0.300
Epoch: 021, Train Loss: 1.929, Train Acc: 0.280, Test Loss: 2.231, Test Acc: 0.210
Epoch: 022, Train Loss: 1.929, Train Acc: 0.278, Test Loss: 2.107, Test Acc: 0.270
Epoch: 023, Train Loss: 1.881, Train Acc: 0.290, Test Loss: 2.197, Test Acc: 0.290
Epoch: 024, Train Loss: 1.881, Train Acc: 0.296, Test Loss: 2.213, Test Acc: 0.240
Epoch: 025, Train Loss: 1.848, Train Acc: 0.294, Test Loss: 2.213, Test Acc: 0.280
Epoch: 026, Train Loss: 1.864, Train Acc: 0.302, Test Loss: 2.408, Test Acc: 0.280
Epoch: 027, Train Loss: 1.865, Train Acc: 0.296, Test Loss: 2.042, Test Acc: 0.310
Epoch: 028, Train Loss: 1.874, Train Acc: 0.302, Test Loss: 2.255, Test Acc: 0.300
Epoch: 029, Train Loss: 1.829, Train Acc: 0.302, Test Loss: 2.102, Test Acc: 0.290
Epoch: 030, Train Loss: 1.822, Train Acc: 0.334, Test Loss: 2.286, Test Acc: 0.310
Epoch: 031, Train Loss: 1.820, Train Acc: 0.318, Test Loss: 2.137, Test Acc: 0.360
Epoch: 032, Train Loss: 1.830, Train Acc: 0.306, Test Loss: 2.100, Test Acc: 0.330
Epoch: 033, Train Loss: 1.832, Train Acc: 0.292, Test Loss: 2.101, Test Acc: 0.410
Epoch: 034, Train Loss: 1.812, Train Acc: 0.308, Test Loss: 2.121, Test Acc: 0.330
Epoch: 035, Train Loss: 1.787, Train Acc: 0.316, Test Loss: 2.072, Test Acc: 0.340
Epoch: 036, Train Loss: 1.771, Train Acc: 0.318, Test Loss: 2.017, Test Acc: 0.420
Epoch: 037, Train Loss: 1.783, Train Acc: 0.332, Test Loss: 2.062, Test Acc: 0.390
Epoch: 038, Train Loss: 1.796, Train Acc: 0.280, Test Loss: 1.879, Test Acc: 0.370
Epoch: 039, Train Loss: 1.787, Train Acc: 0.320, Test Loss: 2.004, Test Acc: 0.400
Epoch: 040, Train Loss: 1.770, Train Acc: 0.336, Test Loss: 1.958, Test Acc: 0.340
Epoch: 041, Train Loss: 1.789, Train Acc: 0.326, Test Loss: 2.070, Test Acc: 0.380
Epoch: 042, Train Loss: 1.756, Train Acc: 0.330, Test Loss: 1.809, Test Acc: 0.400
Epoch: 043, Train Loss: 1.759, Train Acc: 0.308, Test Loss: 1.941, Test Acc: 0.360
Epoch: 044, Train Loss: 1.757, Train Acc: 0.316, Test Loss: 1.798, Test Acc: 0.360
Epoch: 045, Train Loss: 1.743, Train Acc: 0.322, Test Loss: 1.886, Test Acc: 0.390
Epoch: 046, Train Loss: 1.735, Train Acc: 0.328, Test Loss: 1.876, Test Acc: 0.330
Epoch: 047, Train Loss: 1.723, Train Acc: 0.316, Test Loss: 1.872, Test Acc: 0.350
Epoch: 048, Train Loss: 1.727, Train Acc: 0.338, Test Loss: 1.907, Test Acc: 0.390
Epoch: 049, Train Loss: 1.715, Train Acc: 0.338, Test Loss: 1.782, Test Acc: 0.390
Epoch: 050, Train Loss: 1.721, Train Acc: 0.348, Test Loss: 1.942, Test Acc: 0.420
Epoch: 051, Train Loss: 1.720, Train Acc: 0.344, Test Loss: 1.839, Test Acc: 0.370
Epoch: 052, Train Loss: 1.755, Train Acc: 0.320, Test Loss: 1.843, Test Acc: 0.390
Epoch: 053, Train Loss: 1.760, Train Acc: 0.308, Test Loss: 1.922, Test Acc: 0.380
Epoch: 054, Train Loss: 1.716, Train Acc: 0.340, Test Loss: 1.692, Test Acc: 0.380
Epoch: 055, Train Loss: 1.713, Train Acc: 0.338, Test Loss: 1.771, Test Acc: 0.370
Epoch: 056, Train Loss: 1.696, Train Acc: 0.326, Test Loss: 1.843, Test Acc: 0.380
Epoch: 057, Train Loss: 1.714, Train Acc: 0.356, Test Loss: 1.871, Test Acc: 0.400
Epoch: 058, Train Loss: 1.712, Train Acc: 0.344, Test Loss: 1.853, Test Acc: 0.380
Epoch: 059, Train Loss: 1.710, Train Acc: 0.342, Test Loss: 1.726, Test Acc: 0.300
Result of run 0.000 is 0.300
Epoch: 001, Train Loss: 2.533, Train Acc: 0.192, Test Loss: 1.800, Test Acc: 0.200
Epoch: 002, Train Loss: 2.335, Train Acc: 0.152, Test Loss: 1.930, Test Acc: 0.150
