- M: CTNet - D: IMDB-BINARY(1000) - Train_split: 800 - B: 64 - Centers (if CTNet): 20 - LAP (if GAPNet): laplacian - Classes 2 - Feats 1
Epoch: 001, Train Loss: 39.218, Train Acc: 0.477, Test Loss: nan, Test Acc: 0.510
Epoch: 002, Train Loss: 36.909, Train Acc: 0.519, Test Loss: nan, Test Acc: 0.505
Epoch: 003, Train Loss: 36.382, Train Acc: 0.557, Test Loss: 13.840, Test Acc: 0.545
Epoch: 004, Train Loss: 36.297, Train Acc: 0.560, Test Loss: 13.858, Test Acc: 0.540
Epoch: 005, Train Loss: 36.281, Train Acc: 0.578, Test Loss: nan, Test Acc: 0.595
Epoch: 006, Train Loss: 36.249, Train Acc: 0.644, Test Loss: nan, Test Acc: 0.595
Epoch: 007, Train Loss: 36.261, Train Acc: 0.632, Test Loss: 13.892, Test Acc: 0.565
Epoch: 008, Train Loss: 36.378, Train Acc: 0.593, Test Loss: nan, Test Acc: 0.565
Epoch: 009, Train Loss: 36.393, Train Acc: 0.574, Test Loss: 13.782, Test Acc: 0.595
Epoch: 010, Train Loss: 36.273, Train Acc: 0.639, Test Loss: nan, Test Acc: 0.575
Epoch: 011, Train Loss: 36.230, Train Acc: 0.662, Test Loss: 13.688, Test Acc: 0.640
Epoch: 012, Train Loss: 36.209, Train Acc: 0.665, Test Loss: 13.691, Test Acc: 0.740
Epoch: 013, Train Loss: 36.202, Train Acc: 0.685, Test Loss: nan, Test Acc: 0.710
Epoch: 014, Train Loss: 36.220, Train Acc: 0.667, Test Loss: 13.749, Test Acc: 0.705
Epoch: 015, Train Loss: 36.242, Train Acc: 0.631, Test Loss: 13.667, Test Acc: 0.665
Epoch: 016, Train Loss: 36.215, Train Acc: 0.670, Test Loss: 13.659, Test Acc: 0.620
Epoch: 017, Train Loss: 36.190, Train Acc: 0.672, Test Loss: nan, Test Acc: 0.665
Epoch: 018, Train Loss: 36.184, Train Acc: 0.685, Test Loss: 13.724, Test Acc: 0.635
Epoch: 019, Train Loss: 36.189, Train Acc: 0.659, Test Loss: nan, Test Acc: 0.670
Epoch: 020, Train Loss: 36.199, Train Acc: 0.654, Test Loss: nan, Test Acc: 0.630
Epoch: 021, Train Loss: 36.214, Train Acc: 0.649, Test Loss: nan, Test Acc: 0.705
Epoch: 022, Train Loss: 36.259, Train Acc: 0.623, Test Loss: 13.681, Test Acc: 0.710
Epoch: 023, Train Loss: 36.242, Train Acc: 0.636, Test Loss: 13.749, Test Acc: 0.635
Epoch: 024, Train Loss: 36.240, Train Acc: 0.672, Test Loss: 13.649, Test Acc: 0.640
Epoch: 025, Train Loss: 36.296, Train Acc: 0.632, Test Loss: 13.917, Test Acc: 0.595
Epoch: 026, Train Loss: 36.423, Train Acc: 0.599, Test Loss: nan, Test Acc: 0.600
Epoch: 027, Train Loss: 36.280, Train Acc: 0.636, Test Loss: 13.899, Test Acc: 0.605
Epoch: 028, Train Loss: 36.213, Train Acc: 0.666, Test Loss: nan, Test Acc: 0.685
Epoch: 029, Train Loss: 36.156, Train Acc: 0.685, Test Loss: nan, Test Acc: 0.705
Epoch: 030, Train Loss: 36.143, Train Acc: 0.693, Test Loss: nan, Test Acc: 0.735
Epoch: 031, Train Loss: 36.135, Train Acc: 0.670, Test Loss: nan, Test Acc: 0.695
Epoch: 032, Train Loss: 36.149, Train Acc: 0.690, Test Loss: 13.653, Test Acc: 0.700
