- M: GAPNet - D: IMDB-BINARY(1000) - Train_split: 800 - B: 64 - Centers (if CTNet): 20 - LAP (if GAPNet): laplacian - Classes 2 - Feats 1
Epoch: 001, Train Loss: 8.746, Train Acc: 0.489, Test Loss: 5.048, Test Acc: 0.420
Epoch: 002, Train Loss: 2.180, Train Acc: 0.430, Test Loss: 2.183, Test Acc: 0.430
Epoch: 003, Train Loss: 1.524, Train Acc: 0.490, Test Loss: 1.532, Test Acc: 0.475
Epoch: 004, Train Loss: 1.403, Train Acc: 0.470, Test Loss: 1.014, Test Acc: 0.545
Epoch: 005, Train Loss: 1.281, Train Acc: 0.542, Test Loss: 0.943, Test Acc: 0.515
Epoch: 006, Train Loss: 1.241, Train Acc: 0.532, Test Loss: 0.998, Test Acc: 0.575
Epoch: 007, Train Loss: 1.368, Train Acc: 0.506, Test Loss: 0.871, Test Acc: 0.610
Epoch: 008, Train Loss: 1.122, Train Acc: 0.564, Test Loss: 0.921, Test Acc: 0.640
Epoch: 009, Train Loss: 1.067, Train Acc: 0.609, Test Loss: 0.754, Test Acc: 0.620
Epoch: 010, Train Loss: 1.054, Train Acc: 0.578, Test Loss: 0.913, Test Acc: 0.630
Epoch: 011, Train Loss: 1.158, Train Acc: 0.569, Test Loss: 0.715, Test Acc: 0.655
Epoch: 012, Train Loss: 0.996, Train Acc: 0.588, Test Loss: 0.716, Test Acc: 0.595
Epoch: 013, Train Loss: 0.977, Train Acc: 0.639, Test Loss: 0.750, Test Acc: 0.555
Epoch: 014, Train Loss: 0.993, Train Acc: 0.632, Test Loss: 0.800, Test Acc: 0.560
Epoch: 015, Train Loss: 0.924, Train Acc: 0.646, Test Loss: 0.852, Test Acc: 0.510
Epoch: 016, Train Loss: 0.991, Train Acc: 0.626, Test Loss: 0.784, Test Acc: 0.545
Epoch: 017, Train Loss: 0.947, Train Acc: 0.636, Test Loss: 0.851, Test Acc: 0.635
Epoch: 018, Train Loss: 1.048, Train Acc: 0.583, Test Loss: 0.763, Test Acc: 0.595
Epoch: 019, Train Loss: 0.888, Train Acc: 0.670, Test Loss: 0.738, Test Acc: 0.665
Epoch: 020, Train Loss: 0.898, Train Acc: 0.675, Test Loss: 0.627, Test Acc: 0.680
Epoch: 021, Train Loss: 0.870, Train Acc: 0.665, Test Loss: 0.638, Test Acc: 0.685
Epoch: 022, Train Loss: 0.933, Train Acc: 0.649, Test Loss: 0.692, Test Acc: 0.665
Epoch: 023, Train Loss: 0.911, Train Acc: 0.667, Test Loss: 0.611, Test Acc: 0.675
Epoch: 024, Train Loss: 0.921, Train Acc: 0.650, Test Loss: 0.659, Test Acc: 0.695
Epoch: 025, Train Loss: 0.875, Train Acc: 0.675, Test Loss: 0.627, Test Acc: 0.690
Epoch: 026, Train Loss: 0.851, Train Acc: 0.667, Test Loss: 0.691, Test Acc: 0.705
Epoch: 027, Train Loss: 0.909, Train Acc: 0.675, Test Loss: 0.688, Test Acc: 0.620
Epoch: 028, Train Loss: 0.902, Train Acc: 0.670, Test Loss: 0.766, Test Acc: 0.715
Epoch: 029, Train Loss: 0.901, Train Acc: 0.675, Test Loss: 0.661, Test Acc: 0.690
Epoch: 030, Train Loss: 0.935, Train Acc: 0.644, Test Loss: 0.647, Test Acc: 0.655
Epoch: 031, Train Loss: 0.988, Train Acc: 0.620, Test Loss: 0.694, Test Acc: 0.640
Epoch: 032, Train Loss: 0.884, Train Acc: 0.651, Test Loss: 0.658, Test Acc: 0.655
Epoch: 033, Train Loss: 0.965, Train Acc: 0.618, Test Loss: 0.952, Test Acc: 0.525
Epoch: 034, Train Loss: 0.970, Train Acc: 0.635, Test Loss: 0.725, Test Acc: 0.695
Epoch: 035, Train Loss: 0.923, Train Acc: 0.639, Test Loss: 0.750, Test Acc: 0.565
Epoch: 036, Train Loss: 0.963, Train Acc: 0.631, Test Loss: 0.894, Test Acc: 0.690
Epoch: 037, Train Loss: 1.048, Train Acc: 0.624, Test Loss: 0.584, Test Acc: 0.690
Epoch: 038, Train Loss: 0.942, Train Acc: 0.656, Test Loss: 0.759, Test Acc: 0.520
Epoch: 039, Train Loss: 0.872, Train Acc: 0.655, Test Loss: 0.612, Test Acc: 0.695
Epoch: 040, Train Loss: 0.868, Train Acc: 0.682, Test Loss: 0.603, Test Acc: 0.720
Epoch: 041, Train Loss: 0.872, Train Acc: 0.665, Test Loss: 0.608, Test Acc: 0.645
Epoch: 042, Train Loss: 0.890, Train Acc: 0.645, Test Loss: 0.532, Test Acc: 0.685
Epoch: 043, Train Loss: 0.839, Train Acc: 0.686, Test Loss: 0.529, Test Acc: 0.725
Epoch: 044, Train Loss: 0.841, Train Acc: 0.695, Test Loss: 0.558, Test Acc: 0.730
Epoch: 045, Train Loss: 0.888, Train Acc: 0.682, Test Loss: 0.660, Test Acc: 0.515
Epoch: 046, Train Loss: 0.906, Train Acc: 0.631, Test Loss: 0.579, Test Acc: 0.710
Epoch: 047, Train Loss: 0.894, Train Acc: 0.662, Test Loss: 0.727, Test Acc: 0.670
Epoch: 048, Train Loss: 0.946, Train Acc: 0.661, Test Loss: 0.607, Test Acc: 0.610
Epoch: 049, Train Loss: 0.874, Train Acc: 0.649, Test Loss: 0.782, Test Acc: 0.695
Epoch: 050, Train Loss: 0.898, Train Acc: 0.675, Test Loss: 0.629, Test Acc: 0.710
Epoch: 051, Train Loss: 0.837, Train Acc: 0.689, Test Loss: 0.551, Test Acc: 0.675
Epoch: 052, Train Loss: 0.912, Train Acc: 0.662, Test Loss: 0.596, Test Acc: 0.705
Epoch: 053, Train Loss: 0.926, Train Acc: 0.657, Test Loss: 0.948, Test Acc: 0.680
Epoch: 054, Train Loss: 0.936, Train Acc: 0.661, Test Loss: 0.745, Test Acc: 0.705
Epoch: 055, Train Loss: 0.862, Train Acc: 0.691, Test Loss: 0.613, Test Acc: 0.680
Epoch: 056, Train Loss: 0.821, Train Acc: 0.699, Test Loss: 0.626, Test Acc: 0.705
Epoch: 057, Train Loss: 0.865, Train Acc: 0.682, Test Loss: 0.591, Test Acc: 0.685
Epoch: 058, Train Loss: 0.864, Train Acc: 0.690, Test Loss: 0.601, Test Acc: 0.700
Epoch: 059, Train Loss: 0.853, Train Acc: 0.695, Test Loss: 0.573, Test Acc: 0.720
Result of run 0.000 is 0.720
Epoch: 001, Train Loss: 3.291, Train Acc: 0.425, Test Loss: 0.946, Test Acc: 0.485
Epoch: 002, Train Loss: 1.294, Train Acc: 0.477, Test Loss: 0.827, Test Acc: 0.520
Epoch: 003, Train Loss: 1.110, Train Acc: 0.470, Test Loss: 0.859, Test Acc: 0.490
Epoch: 004, Train Loss: 1.052, Train Acc: 0.482, Test Loss: 0.845, Test Acc: 0.510
Epoch: 005, Train Loss: 1.016, Train Acc: 0.463, Test Loss: 0.766, Test Acc: 0.550
Epoch: 006, Train Loss: 1.004, Train Acc: 0.510, Test Loss: 0.790, Test Acc: 0.480
Epoch: 007, Train Loss: 0.999, Train Acc: 0.542, Test Loss: 0.758, Test Acc: 0.470
Epoch: 008, Train Loss: 0.973, Train Acc: 0.578, Test Loss: 0.702, Test Acc: 0.605
