- M: GAPNet - D: IMDB-BINARY(1000) - Train_split: 800 - B: 64 - Centers (if CTNet): 20 - LAP (if GAPNet): normalized - Classes 2 - Feats 1
Epoch: 001, Train Loss: 5.530, Train Acc: 0.497, Test Loss: 1.766, Test Acc: 0.510
Epoch: 002, Train Loss: 1.768, Train Acc: 0.506, Test Loss: 1.228, Test Acc: 0.580
Epoch: 003, Train Loss: 1.317, Train Acc: 0.557, Test Loss: 1.391, Test Acc: 0.585
Epoch: 004, Train Loss: 1.213, Train Acc: 0.589, Test Loss: 1.246, Test Acc: 0.640
Epoch: 005, Train Loss: 1.139, Train Acc: 0.606, Test Loss: 1.476, Test Acc: 0.585
Epoch: 006, Train Loss: 1.035, Train Acc: 0.662, Test Loss: 1.131, Test Acc: 0.670
Epoch: 007, Train Loss: 0.995, Train Acc: 0.626, Test Loss: 1.068, Test Acc: 0.685
Epoch: 008, Train Loss: 1.021, Train Acc: 0.636, Test Loss: 1.010, Test Acc: 0.670
Epoch: 009, Train Loss: 0.968, Train Acc: 0.674, Test Loss: 1.033, Test Acc: 0.530
Epoch: 010, Train Loss: 1.010, Train Acc: 0.606, Test Loss: 0.997, Test Acc: 0.655
Epoch: 011, Train Loss: 0.961, Train Acc: 0.649, Test Loss: 0.919, Test Acc: 0.680
Epoch: 012, Train Loss: 0.894, Train Acc: 0.666, Test Loss: 0.830, Test Acc: 0.665
Epoch: 013, Train Loss: 0.923, Train Acc: 0.637, Test Loss: 1.065, Test Acc: 0.615
Epoch: 014, Train Loss: 0.925, Train Acc: 0.649, Test Loss: 0.838, Test Acc: 0.675
Epoch: 015, Train Loss: 0.906, Train Acc: 0.657, Test Loss: 0.990, Test Acc: 0.675
Epoch: 016, Train Loss: 0.899, Train Acc: 0.696, Test Loss: 0.804, Test Acc: 0.680
Epoch: 017, Train Loss: 0.860, Train Acc: 0.679, Test Loss: 0.826, Test Acc: 0.735
Epoch: 018, Train Loss: 0.863, Train Acc: 0.664, Test Loss: 0.785, Test Acc: 0.700
Epoch: 019, Train Loss: 0.905, Train Acc: 0.640, Test Loss: 0.738, Test Acc: 0.600
Epoch: 020, Train Loss: 0.923, Train Acc: 0.656, Test Loss: 0.898, Test Acc: 0.700
Epoch: 021, Train Loss: 0.865, Train Acc: 0.672, Test Loss: 0.729, Test Acc: 0.715
Epoch: 022, Train Loss: 0.845, Train Acc: 0.684, Test Loss: 0.704, Test Acc: 0.675
Epoch: 023, Train Loss: 0.837, Train Acc: 0.689, Test Loss: 0.733, Test Acc: 0.700
Epoch: 024, Train Loss: 0.845, Train Acc: 0.689, Test Loss: 0.664, Test Acc: 0.725
Epoch: 025, Train Loss: 0.862, Train Acc: 0.690, Test Loss: 0.646, Test Acc: 0.700
Epoch: 026, Train Loss: 0.858, Train Acc: 0.671, Test Loss: 0.767, Test Acc: 0.685
Epoch: 027, Train Loss: 0.896, Train Acc: 0.645, Test Loss: 0.921, Test Acc: 0.700
Epoch: 028, Train Loss: 0.862, Train Acc: 0.691, Test Loss: 0.840, Test Acc: 0.685
Epoch: 029, Train Loss: 0.841, Train Acc: 0.682, Test Loss: 0.805, Test Acc: 0.730
Epoch: 030, Train Loss: 0.867, Train Acc: 0.674, Test Loss: 0.839, Test Acc: 0.685
Epoch: 031, Train Loss: 0.826, Train Acc: 0.708, Test Loss: 0.684, Test Acc: 0.730
