- M: GAPNet - D: IMDB-BINARY(1000) - Train_split: 800 - B: 64 - Centers (if CTNet): 20 - LAP (if GAPNet): normalizedv2 - Classes 2 - Feats 1
Epoch: 001, Train Loss: 4.876, Train Acc: 0.506, Test Loss: 1.487, Test Acc: 0.575
Epoch: 002, Train Loss: 1.682, Train Acc: 0.487, Test Loss: 0.788, Test Acc: 0.435
Epoch: 003, Train Loss: 1.135, Train Acc: 0.549, Test Loss: 0.878, Test Acc: 0.585
Epoch: 004, Train Loss: 1.059, Train Acc: 0.593, Test Loss: 0.705, Test Acc: 0.440
Epoch: 005, Train Loss: 0.967, Train Acc: 0.625, Test Loss: 0.821, Test Acc: 0.645
Epoch: 006, Train Loss: 0.937, Train Acc: 0.661, Test Loss: 0.663, Test Acc: 0.650
Epoch: 007, Train Loss: 0.989, Train Acc: 0.629, Test Loss: 0.808, Test Acc: 0.675
Epoch: 008, Train Loss: 1.023, Train Acc: 0.605, Test Loss: 0.693, Test Acc: 0.675
Epoch: 009, Train Loss: 0.965, Train Acc: 0.654, Test Loss: 0.514, Test Acc: 0.535
Epoch: 010, Train Loss: 1.003, Train Acc: 0.657, Test Loss: 0.729, Test Acc: 0.695
Epoch: 011, Train Loss: 0.984, Train Acc: 0.660, Test Loss: 0.584, Test Acc: 0.585
Epoch: 012, Train Loss: 0.963, Train Acc: 0.650, Test Loss: 0.942, Test Acc: 0.690
Epoch: 013, Train Loss: 0.900, Train Acc: 0.671, Test Loss: 0.697, Test Acc: 0.640
Epoch: 014, Train Loss: 0.855, Train Acc: 0.688, Test Loss: 0.490, Test Acc: 0.590
Epoch: 015, Train Loss: 0.866, Train Acc: 0.684, Test Loss: 0.488, Test Acc: 0.590
Epoch: 016, Train Loss: 0.841, Train Acc: 0.699, Test Loss: 0.568, Test Acc: 0.620
Epoch: 017, Train Loss: 0.882, Train Acc: 0.689, Test Loss: 0.609, Test Acc: 0.655
Epoch: 018, Train Loss: 0.891, Train Acc: 0.688, Test Loss: 0.499, Test Acc: 0.565
Epoch: 019, Train Loss: 0.879, Train Acc: 0.675, Test Loss: 0.482, Test Acc: 0.620
Epoch: 020, Train Loss: 1.158, Train Acc: 0.627, Test Loss: 0.505, Test Acc: 0.575
Epoch: 021, Train Loss: 0.919, Train Acc: 0.664, Test Loss: 0.949, Test Acc: 0.670
Epoch: 022, Train Loss: 1.231, Train Acc: 0.629, Test Loss: 0.400, Test Acc: 0.490
Epoch: 023, Train Loss: 1.169, Train Acc: 0.605, Test Loss: 1.140, Test Acc: 0.590
Epoch: 024, Train Loss: 1.355, Train Acc: 0.559, Test Loss: 0.892, Test Acc: 0.665
Epoch: 025, Train Loss: 0.958, Train Acc: 0.686, Test Loss: 0.737, Test Acc: 0.675
Epoch: 026, Train Loss: 0.900, Train Acc: 0.667, Test Loss: 0.623, Test Acc: 0.590
Epoch: 027, Train Loss: 0.848, Train Acc: 0.690, Test Loss: 0.469, Test Acc: 0.595
Epoch: 028, Train Loss: 0.820, Train Acc: 0.713, Test Loss: 0.516, Test Acc: 0.665
Epoch: 029, Train Loss: 0.847, Train Acc: 0.710, Test Loss: 0.542, Test Acc: 0.645
Epoch: 030, Train Loss: 0.840, Train Acc: 0.718, Test Loss: 0.499, Test Acc: 0.630
Epoch: 031, Train Loss: 0.847, Train Acc: 0.711, Test Loss: 0.466, Test Acc: 0.620
Epoch: 032, Train Loss: 0.863, Train Acc: 0.684, Test Loss: 0.624, Test Acc: 0.685
Epoch: 033, Train Loss: 0.838, Train Acc: 0.694, Test Loss: 0.537, Test Acc: 0.640
Epoch: 034, Train Loss: 0.832, Train Acc: 0.714, Test Loss: 0.443, Test Acc: 0.605
Epoch: 035, Train Loss: 0.838, Train Acc: 0.706, Test Loss: 0.484, Test Acc: 0.625
Epoch: 036, Train Loss: 0.846, Train Acc: 0.701, Test Loss: 0.498, Test Acc: 0.635
Epoch: 037, Train Loss: 0.825, Train Acc: 0.718, Test Loss: 0.498, Test Acc: 0.635
Epoch: 038, Train Loss: 0.837, Train Acc: 0.720, Test Loss: 0.517, Test Acc: 0.645
Epoch: 039, Train Loss: 0.821, Train Acc: 0.703, Test Loss: 0.514, Test Acc: 0.640
Epoch: 040, Train Loss: 0.817, Train Acc: 0.704, Test Loss: 0.530, Test Acc: 0.675
Epoch: 041, Train Loss: 0.847, Train Acc: 0.703, Test Loss: 0.511, Test Acc: 0.660
