- M: CTNet - D: MUTAG(188) - Train_split: 150 - B: 32 - Centers (if CTNet): 17 - LAP (if GAPNet): laplacian - Classes 2 - Feats 7
Epoch: 001, Train Loss: 23.066, Train Acc: 0.660, Test Loss: 10.704, Test Acc: 0.684
Epoch: 002, Train Loss: 22.918, Train Acc: 0.660, Test Loss: 10.677, Test Acc: 0.684
Epoch: 003, Train Loss: 22.812, Train Acc: 0.660, Test Loss: 10.647, Test Acc: 0.684
Epoch: 004, Train Loss: 22.797, Train Acc: 0.727, Test Loss: 10.775, Test Acc: 0.816
Epoch: 005, Train Loss: 22.759, Train Acc: 0.800, Test Loss: 10.712, Test Acc: 0.816
Epoch: 006, Train Loss: 22.712, Train Acc: 0.787, Test Loss: 10.713, Test Acc: 0.816
Epoch: 007, Train Loss: 22.685, Train Acc: 0.793, Test Loss: 10.759, Test Acc: 0.868
Epoch: 008, Train Loss: 22.693, Train Acc: 0.827, Test Loss: 10.744, Test Acc: 0.868
Epoch: 009, Train Loss: 22.637, Train Acc: 0.840, Test Loss: 10.837, Test Acc: 0.842
Epoch: 010, Train Loss: 22.665, Train Acc: 0.833, Test Loss: 10.850, Test Acc: 0.842
Epoch: 011, Train Loss: 22.649, Train Acc: 0.827, Test Loss: 10.826, Test Acc: 0.842
Epoch: 012, Train Loss: 22.652, Train Acc: 0.833, Test Loss: 10.868, Test Acc: 0.842
Epoch: 013, Train Loss: 22.648, Train Acc: 0.833, Test Loss: 10.835, Test Acc: 0.842
Epoch: 014, Train Loss: 22.641, Train Acc: 0.820, Test Loss: 10.901, Test Acc: 0.842
Epoch: 015, Train Loss: 22.622, Train Acc: 0.853, Test Loss: 10.871, Test Acc: 0.842
Epoch: 016, Train Loss: 22.639, Train Acc: 0.840, Test Loss: 10.892, Test Acc: 0.842
Epoch: 017, Train Loss: 22.622, Train Acc: 0.847, Test Loss: 10.975, Test Acc: 0.816
Epoch: 018, Train Loss: 22.630, Train Acc: 0.847, Test Loss: 10.961, Test Acc: 0.816
Epoch: 019, Train Loss: 22.622, Train Acc: 0.853, Test Loss: 10.850, Test Acc: 0.842
Epoch: 020, Train Loss: 22.630, Train Acc: 0.833, Test Loss: 10.881, Test Acc: 0.842
Epoch: 021, Train Loss: 22.625, Train Acc: 0.840, Test Loss: 11.008, Test Acc: 0.816
