- M: GAPNet - D: MUTAG(188) - Train_split: 150 - B: 32 - Centers (if CTNet): 17 - LAP (if GAPNet): laplacian - Classes 2 - Feats 7
Epoch: 001, Train Loss: 0.986, Train Acc: 0.640, Test Loss: 0.622, Test Acc: 0.711
Epoch: 002, Train Loss: 0.929, Train Acc: 0.653, Test Loss: 0.635, Test Acc: 0.711
Epoch: 003, Train Loss: 0.908, Train Acc: 0.653, Test Loss: 0.620, Test Acc: 0.711
Epoch: 004, Train Loss: 0.867, Train Acc: 0.653, Test Loss: 0.589, Test Acc: 0.711
Epoch: 005, Train Loss: 0.868, Train Acc: 0.653, Test Loss: 0.578, Test Acc: 0.711
Epoch: 006, Train Loss: 0.842, Train Acc: 0.653, Test Loss: 0.553, Test Acc: 0.711
Epoch: 007, Train Loss: 0.836, Train Acc: 0.647, Test Loss: 0.517, Test Acc: 0.711
Epoch: 008, Train Loss: 0.802, Train Acc: 0.693, Test Loss: 0.522, Test Acc: 0.789
Epoch: 009, Train Loss: 0.798, Train Acc: 0.767, Test Loss: 0.490, Test Acc: 0.789
Epoch: 010, Train Loss: 0.757, Train Acc: 0.780, Test Loss: 0.484, Test Acc: 0.816
Epoch: 011, Train Loss: 0.769, Train Acc: 0.793, Test Loss: 0.476, Test Acc: 0.842
Epoch: 012, Train Loss: 0.754, Train Acc: 0.800, Test Loss: 0.425, Test Acc: 0.842
Epoch: 013, Train Loss: 0.743, Train Acc: 0.767, Test Loss: 0.426, Test Acc: 0.842
Epoch: 014, Train Loss: 0.747, Train Acc: 0.827, Test Loss: 0.436, Test Acc: 0.842
Epoch: 015, Train Loss: 0.727, Train Acc: 0.807, Test Loss: 0.384, Test Acc: 0.816
Epoch: 016, Train Loss: 0.715, Train Acc: 0.780, Test Loss: 0.394, Test Acc: 0.842
Epoch: 017, Train Loss: 0.714, Train Acc: 0.833, Test Loss: 0.383, Test Acc: 0.842
Epoch: 018, Train Loss: 0.696, Train Acc: 0.833, Test Loss: 0.366, Test Acc: 0.842
Epoch: 019, Train Loss: 0.692, Train Acc: 0.827, Test Loss: 0.350, Test Acc: 0.842
Epoch: 020, Train Loss: 0.675, Train Acc: 0.833, Test Loss: 0.356, Test Acc: 0.842
Epoch: 021, Train Loss: 0.691, Train Acc: 0.853, Test Loss: 0.338, Test Acc: 0.842
Epoch: 022, Train Loss: 0.672, Train Acc: 0.847, Test Loss: 0.316, Test Acc: 0.842
Epoch: 023, Train Loss: 0.680, Train Acc: 0.833, Test Loss: 0.327, Test Acc: 0.842
Epoch: 024, Train Loss: 0.670, Train Acc: 0.853, Test Loss: 0.311, Test Acc: 0.842
Epoch: 025, Train Loss: 0.663, Train Acc: 0.847, Test Loss: 0.296, Test Acc: 0.842
Epoch: 026, Train Loss: 0.665, Train Acc: 0.827, Test Loss: 0.284, Test Acc: 0.842
Epoch: 027, Train Loss: 0.635, Train Acc: 0.847, Test Loss: 0.300, Test Acc: 0.842
Epoch: 028, Train Loss: 0.610, Train Acc: 0.840, Test Loss: 0.305, Test Acc: 0.842
Epoch: 029, Train Loss: 0.624, Train Acc: 0.833, Test Loss: 0.263, Test Acc: 0.842
Epoch: 030, Train Loss: 0.634, Train Acc: 0.833, Test Loss: 0.251, Test Acc: 0.842
Epoch: 031, Train Loss: 0.612, Train Acc: 0.833, Test Loss: 0.298, Test Acc: 0.868
Epoch: 032, Train Loss: 0.612, Train Acc: 0.840, Test Loss: 0.263, Test Acc: 0.842
Epoch: 033, Train Loss: 0.602, Train Acc: 0.847, Test Loss: 0.224, Test Acc: 0.868
Epoch: 034, Train Loss: 0.610, Train Acc: 0.833, Test Loss: 0.237, Test Acc: 0.842
Epoch: 035, Train Loss: 0.590, Train Acc: 0.847, Test Loss: 0.233, Test Acc: 0.842
Epoch: 036, Train Loss: 0.591, Train Acc: 0.847, Test Loss: 0.215, Test Acc: 0.842
Epoch: 037, Train Loss: 0.581, Train Acc: 0.840, Test Loss: 0.209, Test Acc: 0.842
Epoch: 038, Train Loss: 0.549, Train Acc: 0.840, Test Loss: 0.238, Test Acc: 0.842
Epoch: 039, Train Loss: 0.563, Train Acc: 0.833, Test Loss: 0.212, Test Acc: 0.842
Epoch: 040, Train Loss: 0.546, Train Acc: 0.847, Test Loss: 0.170, Test Acc: 0.868
Epoch: 041, Train Loss: 0.549, Train Acc: 0.847, Test Loss: 0.171, Test Acc: 0.842
Epoch: 042, Train Loss: 0.512, Train Acc: 0.853, Test Loss: 0.184, Test Acc: 0.842
Epoch: 043, Train Loss: 0.530, Train Acc: 0.847, Test Loss: 0.167, Test Acc: 0.842
Epoch: 044, Train Loss: 0.514, Train Acc: 0.840, Test Loss: 0.141, Test Acc: 0.842
Epoch: 045, Train Loss: 0.518, Train Acc: 0.847, Test Loss: 0.151, Test Acc: 0.842
Epoch: 046, Train Loss: 0.486, Train Acc: 0.860, Test Loss: 0.183, Test Acc: 0.868
Epoch: 047, Train Loss: 0.490, Train Acc: 0.833, Test Loss: 0.123, Test Acc: 0.842
Epoch: 048, Train Loss: 0.494, Train Acc: 0.840, Test Loss: 0.110, Test Acc: 0.868
Epoch: 049, Train Loss: 0.484, Train Acc: 0.847, Test Loss: 0.131, Test Acc: 0.842
Epoch: 050, Train Loss: 0.476, Train Acc: 0.840, Test Loss: 0.122, Test Acc: 0.842
Epoch: 051, Train Loss: 0.474, Train Acc: 0.853, Test Loss: 0.114, Test Acc: 0.842
Epoch: 052, Train Loss: 0.460, Train Acc: 0.853, Test Loss: 0.096, Test Acc: 0.842
Epoch: 053, Train Loss: 0.441, Train Acc: 0.860, Test Loss: 0.103, Test Acc: 0.842
Epoch: 054, Train Loss: 0.431, Train Acc: 0.853, Test Loss: 0.101, Test Acc: 0.842
Epoch: 055, Train Loss: 0.437, Train Acc: 0.847, Test Loss: 0.085, Test Acc: 0.842
Epoch: 056, Train Loss: 0.438, Train Acc: 0.853, Test Loss: 0.078, Test Acc: 0.842
Epoch: 057, Train Loss: 0.429, Train Acc: 0.867, Test Loss: 0.094, Test Acc: 0.842
Epoch: 058, Train Loss: 0.410, Train Acc: 0.860, Test Loss: 0.089, Test Acc: 0.842
Epoch: 059, Train Loss: 0.410, Train Acc: 0.847, Test Loss: 0.062, Test Acc: 0.868
Result of run 0.000 is 0.868
Epoch: 001, Train Loss: 0.879, Train Acc: 0.687, Test Loss: 0.552, Test Acc: 0.579
Epoch: 002, Train Loss: 0.858, Train Acc: 0.687, Test Loss: 0.492, Test Acc: 0.579
Epoch: 003, Train Loss: 0.829, Train Acc: 0.687, Test Loss: 0.450, Test Acc: 0.579
Epoch: 004, Train Loss: 0.813, Train Acc: 0.727, Test Loss: 0.445, Test Acc: 0.684
Epoch: 005, Train Loss: 0.786, Train Acc: 0.733, Test Loss: 0.392, Test Acc: 0.632
Epoch: 006, Train Loss: 0.762, Train Acc: 0.733, Test Loss: 0.380, Test Acc: 0.763
Epoch: 007, Train Loss: 0.749, Train Acc: 0.780, Test Loss: 0.369, Test Acc: 0.763
Epoch: 008, Train Loss: 0.738, Train Acc: 0.793, Test Loss: 0.339, Test Acc: 0.763
Epoch: 009, Train Loss: 0.742, Train Acc: 0.813, Test Loss: 0.313, Test Acc: 0.763
Epoch: 010, Train Loss: 0.714, Train Acc: 0.840, Test Loss: 0.311, Test Acc: 0.789
Epoch: 011, Train Loss: 0.719, Train Acc: 0.820, Test Loss: 0.283, Test Acc: 0.763
Epoch: 012, Train Loss: 0.698, Train Acc: 0.840, Test Loss: 0.280, Test Acc: 0.816
Epoch: 013, Train Loss: 0.696, Train Acc: 0.833, Test Loss: 0.269, Test Acc: 0.816
Epoch: 014, Train Loss: 0.694, Train Acc: 0.840, Test Loss: 0.246, Test Acc: 0.763
Epoch: 015, Train Loss: 0.689, Train Acc: 0.847, Test Loss: 0.255, Test Acc: 0.816
Epoch: 016, Train Loss: 0.669, Train Acc: 0.847, Test Loss: 0.236, Test Acc: 0.816
Epoch: 017, Train Loss: 0.677, Train Acc: 0.847, Test Loss: 0.227, Test Acc: 0.816
Epoch: 018, Train Loss: 0.675, Train Acc: 0.833, Test Loss: 0.229, Test Acc: 0.816
Epoch: 019, Train Loss: 0.683, Train Acc: 0.853, Test Loss: 0.212, Test Acc: 0.816
Epoch: 020, Train Loss: 0.657, Train Acc: 0.847, Test Loss: 0.207, Test Acc: 0.816
Epoch: 021, Train Loss: 0.674, Train Acc: 0.860, Test Loss: 0.208, Test Acc: 0.816
Epoch: 022, Train Loss: 0.666, Train Acc: 0.853, Test Loss: 0.197, Test Acc: 0.789
Epoch: 023, Train Loss: 0.661, Train Acc: 0.847, Test Loss: 0.197, Test Acc: 0.816
Epoch: 024, Train Loss: 0.665, Train Acc: 0.847, Test Loss: 0.187, Test Acc: 0.816
Epoch: 025, Train Loss: 0.655, Train Acc: 0.840, Test Loss: 0.182, Test Acc: 0.816
Epoch: 026, Train Loss: 0.639, Train Acc: 0.847, Test Loss: 0.179, Test Acc: 0.816
Epoch: 027, Train Loss: 0.645, Train Acc: 0.847, Test Loss: 0.177, Test Acc: 0.816
Epoch: 028, Train Loss: 0.649, Train Acc: 0.867, Test Loss: 0.169, Test Acc: 0.816
