- M: GAPNet - D: MUTAG(188) - Train_split: 150 - B: 32 - Centers (if CTNet): 17 - LAP (if GAPNet): normalized - Classes 2 - Feats 7
Epoch: 001, Train Loss: 0.878, Train Acc: 0.680, Test Loss: 0.638, Test Acc: 0.605
Epoch: 002, Train Loss: 0.873, Train Acc: 0.680, Test Loss: 0.644, Test Acc: 0.605
Epoch: 003, Train Loss: 0.848, Train Acc: 0.680, Test Loss: 0.637, Test Acc: 0.605
Epoch: 004, Train Loss: 0.818, Train Acc: 0.680, Test Loss: 0.627, Test Acc: 0.579
Epoch: 005, Train Loss: 0.796, Train Acc: 0.700, Test Loss: 0.606, Test Acc: 0.737
Epoch: 006, Train Loss: 0.785, Train Acc: 0.747, Test Loss: 0.582, Test Acc: 0.789
Epoch: 007, Train Loss: 0.746, Train Acc: 0.773, Test Loss: 0.591, Test Acc: 0.868
Epoch: 008, Train Loss: 0.740, Train Acc: 0.827, Test Loss: 0.570, Test Acc: 0.868
Epoch: 009, Train Loss: 0.744, Train Acc: 0.820, Test Loss: 0.522, Test Acc: 0.842
Epoch: 010, Train Loss: 0.703, Train Acc: 0.813, Test Loss: 0.538, Test Acc: 0.842
Epoch: 011, Train Loss: 0.700, Train Acc: 0.833, Test Loss: 0.541, Test Acc: 0.868
Epoch: 012, Train Loss: 0.708, Train Acc: 0.827, Test Loss: 0.494, Test Acc: 0.842
Epoch: 013, Train Loss: 0.699, Train Acc: 0.840, Test Loss: 0.541, Test Acc: 0.842
Epoch: 014, Train Loss: 0.674, Train Acc: 0.840, Test Loss: 0.486, Test Acc: 0.868
Epoch: 015, Train Loss: 0.683, Train Acc: 0.847, Test Loss: 0.513, Test Acc: 0.842
Epoch: 016, Train Loss: 0.673, Train Acc: 0.860, Test Loss: 0.482, Test Acc: 0.842
Epoch: 017, Train Loss: 0.654, Train Acc: 0.840, Test Loss: 0.451, Test Acc: 0.868
Epoch: 018, Train Loss: 0.661, Train Acc: 0.840, Test Loss: 0.527, Test Acc: 0.868
Epoch: 019, Train Loss: 0.662, Train Acc: 0.867, Test Loss: 0.479, Test Acc: 0.842
Epoch: 020, Train Loss: 0.667, Train Acc: 0.860, Test Loss: 0.478, Test Acc: 0.842
Epoch: 021, Train Loss: 0.667, Train Acc: 0.860, Test Loss: 0.441, Test Acc: 0.868
Epoch: 022, Train Loss: 0.642, Train Acc: 0.853, Test Loss: 0.462, Test Acc: 0.842
Epoch: 023, Train Loss: 0.654, Train Acc: 0.867, Test Loss: 0.442, Test Acc: 0.842
Epoch: 024, Train Loss: 0.643, Train Acc: 0.867, Test Loss: 0.441, Test Acc: 0.842
Epoch: 025, Train Loss: 0.636, Train Acc: 0.867, Test Loss: 0.459, Test Acc: 0.868
Epoch: 026, Train Loss: 0.632, Train Acc: 0.867, Test Loss: 0.431, Test Acc: 0.842
Epoch: 027, Train Loss: 0.620, Train Acc: 0.860, Test Loss: 0.424, Test Acc: 0.842
Epoch: 028, Train Loss: 0.627, Train Acc: 0.860, Test Loss: 0.430, Test Acc: 0.842
Epoch: 029, Train Loss: 0.622, Train Acc: 0.867, Test Loss: 0.411, Test Acc: 0.842
Epoch: 030, Train Loss: 0.600, Train Acc: 0.860, Test Loss: 0.403, Test Acc: 0.868
Epoch: 031, Train Loss: 0.603, Train Acc: 0.840, Test Loss: 0.497, Test Acc: 0.842
Epoch: 032, Train Loss: 0.607, Train Acc: 0.853, Test Loss: 0.394, Test Acc: 0.868
Epoch: 033, Train Loss: 0.596, Train Acc: 0.860, Test Loss: 0.381, Test Acc: 0.868
