- M: GAPNet - D: MUTAG(188) - Train_split: 150 - B: 32 - Centers (if CTNet): 17 - LAP (if GAPNet): normalizedv2 - Classes 2 - Feats 7
Epoch: 001, Train Loss: 0.985, Train Acc: 0.560, Test Loss: 0.848, Test Acc: 0.658
Epoch: 002, Train Loss: 0.917, Train Acc: 0.667, Test Loss: 0.811, Test Acc: 0.658
Epoch: 003, Train Loss: 0.871, Train Acc: 0.667, Test Loss: 0.792, Test Acc: 0.658
Epoch: 004, Train Loss: 0.834, Train Acc: 0.667, Test Loss: 0.761, Test Acc: 0.658
Epoch: 005, Train Loss: 0.805, Train Acc: 0.680, Test Loss: 0.743, Test Acc: 0.711
Epoch: 006, Train Loss: 0.779, Train Acc: 0.760, Test Loss: 0.723, Test Acc: 0.763
Epoch: 007, Train Loss: 0.757, Train Acc: 0.833, Test Loss: 0.709, Test Acc: 0.789
Epoch: 008, Train Loss: 0.744, Train Acc: 0.840, Test Loss: 0.698, Test Acc: 0.789
Epoch: 009, Train Loss: 0.725, Train Acc: 0.840, Test Loss: 0.694, Test Acc: 0.789
Epoch: 010, Train Loss: 0.711, Train Acc: 0.853, Test Loss: 0.686, Test Acc: 0.789
Epoch: 011, Train Loss: 0.727, Train Acc: 0.860, Test Loss: 0.685, Test Acc: 0.789
Epoch: 012, Train Loss: 0.714, Train Acc: 0.853, Test Loss: 0.669, Test Acc: 0.816
Epoch: 013, Train Loss: 0.715, Train Acc: 0.853, Test Loss: 0.682, Test Acc: 0.789
Epoch: 014, Train Loss: 0.670, Train Acc: 0.847, Test Loss: 0.655, Test Acc: 0.816
Epoch: 015, Train Loss: 0.673, Train Acc: 0.860, Test Loss: 0.654, Test Acc: 0.816
Epoch: 016, Train Loss: 0.677, Train Acc: 0.860, Test Loss: 0.665, Test Acc: 0.816
Epoch: 017, Train Loss: 0.698, Train Acc: 0.847, Test Loss: 0.644, Test Acc: 0.816
Epoch: 018, Train Loss: 0.652, Train Acc: 0.853, Test Loss: 0.676, Test Acc: 0.789
Epoch: 019, Train Loss: 0.676, Train Acc: 0.840, Test Loss: 0.646, Test Acc: 0.816
Epoch: 020, Train Loss: 0.655, Train Acc: 0.853, Test Loss: 0.625, Test Acc: 0.816
Epoch: 021, Train Loss: 0.700, Train Acc: 0.853, Test Loss: 0.674, Test Acc: 0.789
Epoch: 022, Train Loss: 0.668, Train Acc: 0.847, Test Loss: 0.619, Test Acc: 0.816
Epoch: 023, Train Loss: 0.674, Train Acc: 0.840, Test Loss: 0.658, Test Acc: 0.789
Epoch: 024, Train Loss: 0.640, Train Acc: 0.853, Test Loss: 0.614, Test Acc: 0.816
Epoch: 025, Train Loss: 0.655, Train Acc: 0.860, Test Loss: 0.635, Test Acc: 0.816
Epoch: 026, Train Loss: 0.645, Train Acc: 0.853, Test Loss: 0.661, Test Acc: 0.789
Epoch: 027, Train Loss: 0.631, Train Acc: 0.847, Test Loss: 0.601, Test Acc: 0.816
Epoch: 028, Train Loss: 0.643, Train Acc: 0.860, Test Loss: 0.616, Test Acc: 0.789
Epoch: 029, Train Loss: 0.609, Train Acc: 0.867, Test Loss: 0.644, Test Acc: 0.789
Epoch: 030, Train Loss: 0.639, Train Acc: 0.840, Test Loss: 0.614, Test Acc: 0.816
Epoch: 031, Train Loss: 0.622, Train Acc: 0.847, Test Loss: 0.577, Test Acc: 0.816
Epoch: 032, Train Loss: 0.628, Train Acc: 0.867, Test Loss: 0.624, Test Acc: 0.816
Epoch: 033, Train Loss: 0.608, Train Acc: 0.873, Test Loss: 0.601, Test Acc: 0.816
Epoch: 034, Train Loss: 0.609, Train Acc: 0.873, Test Loss: 0.591, Test Acc: 0.789
Epoch: 035, Train Loss: 0.597, Train Acc: 0.880, Test Loss: 0.577, Test Acc: 0.789
Epoch: 036, Train Loss: 0.595, Train Acc: 0.867, Test Loss: 0.589, Test Acc: 0.816
Epoch: 037, Train Loss: 0.580, Train Acc: 0.873, Test Loss: 0.578, Test Acc: 0.789
Epoch: 038, Train Loss: 0.589, Train Acc: 0.860, Test Loss: 0.596, Test Acc: 0.789
Epoch: 039, Train Loss: 0.564, Train Acc: 0.867, Test Loss: 0.543, Test Acc: 0.816
Epoch: 040, Train Loss: 0.567, Train Acc: 0.853, Test Loss: 0.530, Test Acc: 0.816
Epoch: 041, Train Loss: 0.564, Train Acc: 0.853, Test Loss: 0.570, Test Acc: 0.816
Epoch: 042, Train Loss: 0.559, Train Acc: 0.873, Test Loss: 0.574, Test Acc: 0.789
Epoch: 043, Train Loss: 0.558, Train Acc: 0.880, Test Loss: 0.530, Test Acc: 0.789
Epoch: 044, Train Loss: 0.557, Train Acc: 0.867, Test Loss: 0.510, Test Acc: 0.816
Epoch: 045, Train Loss: 0.532, Train Acc: 0.860, Test Loss: 0.530, Test Acc: 0.816
Epoch: 046, Train Loss: 0.509, Train Acc: 0.873, Test Loss: 0.535, Test Acc: 0.816
Epoch: 047, Train Loss: 0.546, Train Acc: 0.853, Test Loss: 0.515, Test Acc: 0.816
Epoch: 048, Train Loss: 0.528, Train Acc: 0.860, Test Loss: 0.483, Test Acc: 0.816
Epoch: 049, Train Loss: 0.500, Train Acc: 0.860, Test Loss: 0.497, Test Acc: 0.816
Epoch: 050, Train Loss: 0.506, Train Acc: 0.847, Test Loss: 0.497, Test Acc: 0.816
Epoch: 051, Train Loss: 0.506, Train Acc: 0.853, Test Loss: 0.466, Test Acc: 0.789
Epoch: 052, Train Loss: 0.471, Train Acc: 0.860, Test Loss: 0.448, Test Acc: 0.816
Epoch: 053, Train Loss: 0.490, Train Acc: 0.853, Test Loss: 0.475, Test Acc: 0.789
Epoch: 054, Train Loss: 0.486, Train Acc: 0.847, Test Loss: 0.462, Test Acc: 0.816
Epoch: 055, Train Loss: 0.486, Train Acc: 0.853, Test Loss: 0.419, Test Acc: 0.816
Epoch: 056, Train Loss: 0.450, Train Acc: 0.867, Test Loss: 0.436, Test Acc: 0.816
Epoch: 057, Train Loss: 0.441, Train Acc: 0.860, Test Loss: 0.439, Test Acc: 0.816
Epoch: 058, Train Loss: 0.437, Train Acc: 0.853, Test Loss: 0.422, Test Acc: 0.816
Epoch: 059, Train Loss: 0.439, Train Acc: 0.873, Test Loss: 0.442, Test Acc: 0.789
Result of run 0.000 is 0.789
Epoch: 001, Train Loss: 0.882, Train Acc: 0.687, Test Loss: 0.844, Test Acc: 0.579
Epoch: 002, Train Loss: 0.854, Train Acc: 0.687, Test Loss: 0.831, Test Acc: 0.579
Epoch: 003, Train Loss: 0.808, Train Acc: 0.687, Test Loss: 0.811, Test Acc: 0.579
Epoch: 004, Train Loss: 0.808, Train Acc: 0.687, Test Loss: 0.808, Test Acc: 0.632
Epoch: 005, Train Loss: 0.783, Train Acc: 0.780, Test Loss: 0.785, Test Acc: 0.684
Epoch: 006, Train Loss: 0.770, Train Acc: 0.793, Test Loss: 0.835, Test Acc: 0.658
Epoch: 007, Train Loss: 0.753, Train Acc: 0.793, Test Loss: 0.809, Test Acc: 0.737
Epoch: 008, Train Loss: 0.726, Train Acc: 0.840, Test Loss: 0.808, Test Acc: 0.737
Epoch: 009, Train Loss: 0.716, Train Acc: 0.833, Test Loss: 0.833, Test Acc: 0.737
Epoch: 010, Train Loss: 0.696, Train Acc: 0.860, Test Loss: 0.825, Test Acc: 0.737
Epoch: 011, Train Loss: 0.688, Train Acc: 0.847, Test Loss: 0.878, Test Acc: 0.737
Epoch: 012, Train Loss: 0.716, Train Acc: 0.847, Test Loss: 0.848, Test Acc: 0.763
Epoch: 013, Train Loss: 0.679, Train Acc: 0.840, Test Loss: 0.909, Test Acc: 0.737
Epoch: 014, Train Loss: 0.687, Train Acc: 0.827, Test Loss: 0.905, Test Acc: 0.737
Epoch: 015, Train Loss: 0.689, Train Acc: 0.853, Test Loss: 0.865, Test Acc: 0.816
Epoch: 016, Train Loss: 0.674, Train Acc: 0.847, Test Loss: 0.898, Test Acc: 0.763
Epoch: 017, Train Loss: 0.697, Train Acc: 0.840, Test Loss: 0.921, Test Acc: 0.737
Epoch: 018, Train Loss: 0.662, Train Acc: 0.860, Test Loss: 0.846, Test Acc: 0.816
Epoch: 019, Train Loss: 0.663, Train Acc: 0.867, Test Loss: 0.891, Test Acc: 0.763
Epoch: 020, Train Loss: 0.649, Train Acc: 0.847, Test Loss: 0.885, Test Acc: 0.763
Epoch: 021, Train Loss: 0.612, Train Acc: 0.853, Test Loss: 0.864, Test Acc: 0.816
Epoch: 022, Train Loss: 0.670, Train Acc: 0.853, Test Loss: 0.871, Test Acc: 0.789
Epoch: 023, Train Loss: 0.640, Train Acc: 0.873, Test Loss: 0.882, Test Acc: 0.789
Epoch: 024, Train Loss: 0.636, Train Acc: 0.860, Test Loss: 0.889, Test Acc: 0.763
Epoch: 025, Train Loss: 0.610, Train Acc: 0.853, Test Loss: 0.873, Test Acc: 0.789
Epoch: 026, Train Loss: 0.627, Train Acc: 0.853, Test Loss: 0.848, Test Acc: 0.789
Epoch: 027, Train Loss: 0.640, Train Acc: 0.853, Test Loss: 0.889, Test Acc: 0.763
Epoch: 028, Train Loss: 0.608, Train Acc: 0.860, Test Loss: 0.843, Test Acc: 0.816
Epoch: 029, Train Loss: 0.618, Train Acc: 0.847, Test Loss: 0.873, Test Acc: 0.789
Epoch: 030, Train Loss: 0.600, Train Acc: 0.860, Test Loss: 0.857, Test Acc: 0.789
