- M: CTNet - D: PROTEINS(1113) - Train_split: 1000 - B: 64 - Centers (if CTNet): 39 - LAP (if GAPNet): laplacian - Classes 2 - Feats 3
Epoch: 001, Train Loss: 52.913, Train Acc: 0.489, Test Loss: 44.996, Test Acc: 0.451
Epoch: 002, Train Loss: 50.639, Train Acc: 0.679, Test Loss: 44.794, Test Acc: 0.637
Epoch: 003, Train Loss: 50.547, Train Acc: 0.721, Test Loss: 44.774, Test Acc: 0.717
Epoch: 004, Train Loss: 50.483, Train Acc: 0.745, Test Loss: 44.769, Test Acc: 0.664
Epoch: 005, Train Loss: 50.437, Train Acc: 0.746, Test Loss: 44.778, Test Acc: 0.593
Epoch: 006, Train Loss: 50.482, Train Acc: 0.677, Test Loss: 44.745, Test Acc: 0.655
Epoch: 007, Train Loss: 50.453, Train Acc: 0.718, Test Loss: 44.726, Test Acc: 0.735
Epoch: 008, Train Loss: 50.455, Train Acc: 0.727, Test Loss: 44.744, Test Acc: 0.655
Epoch: 009, Train Loss: 50.439, Train Acc: 0.746, Test Loss: 44.789, Test Acc: 0.611
Epoch: 010, Train Loss: 50.446, Train Acc: 0.706, Test Loss: 44.739, Test Acc: 0.717
Epoch: 011, Train Loss: 50.434, Train Acc: 0.743, Test Loss: 44.762, Test Acc: 0.708
Epoch: 012, Train Loss: 50.417, Train Acc: 0.757, Test Loss: 44.778, Test Acc: 0.655
Epoch: 013, Train Loss: 50.405, Train Acc: 0.764, Test Loss: 44.758, Test Acc: 0.681
Epoch: 014, Train Loss: 50.428, Train Acc: 0.750, Test Loss: 44.755, Test Acc: 0.690
Epoch: 015, Train Loss: 50.453, Train Acc: 0.702, Test Loss: 44.783, Test Acc: 0.664
Epoch: 016, Train Loss: 50.489, Train Acc: 0.683, Test Loss: 44.794, Test Acc: 0.628
Epoch: 017, Train Loss: 50.420, Train Acc: 0.743, Test Loss: 44.758, Test Acc: 0.708
Epoch: 018, Train Loss: 50.422, Train Acc: 0.751, Test Loss: 44.785, Test Acc: 0.673
Epoch: 019, Train Loss: 50.423, Train Acc: 0.744, Test Loss: 44.765, Test Acc: 0.699
Epoch: 020, Train Loss: 50.413, Train Acc: 0.753, Test Loss: 44.794, Test Acc: 0.708
Epoch: 021, Train Loss: 50.433, Train Acc: 0.733, Test Loss: 44.761, Test Acc: 0.699
Epoch: 022, Train Loss: 50.413, Train Acc: 0.752, Test Loss: 44.755, Test Acc: 0.681
Epoch: 023, Train Loss: 50.402, Train Acc: 0.764, Test Loss: 44.766, Test Acc: 0.690
Epoch: 024, Train Loss: 50.409, Train Acc: 0.757, Test Loss: 44.760, Test Acc: 0.681
Epoch: 025, Train Loss: 50.409, Train Acc: 0.768, Test Loss: 44.755, Test Acc: 0.699
Epoch: 026, Train Loss: 50.403, Train Acc: 0.758, Test Loss: 44.796, Test Acc: 0.655
Epoch: 027, Train Loss: 50.403, Train Acc: 0.764, Test Loss: 44.768, Test Acc: 0.690
Epoch: 028, Train Loss: 50.406, Train Acc: 0.752, Test Loss: 44.773, Test Acc: 0.673
Epoch: 029, Train Loss: 50.391, Train Acc: 0.758, Test Loss: 44.778, Test Acc: 0.664
Epoch: 030, Train Loss: 50.414, Train Acc: 0.750, Test Loss: 44.776, Test Acc: 0.673
Epoch: 031, Train Loss: 50.392, Train Acc: 0.773, Test Loss: 44.774, Test Acc: 0.699
Epoch: 032, Train Loss: 50.408, Train Acc: 0.769, Test Loss: 44.786, Test Acc: 0.673
Epoch: 033, Train Loss: 50.393, Train Acc: 0.762, Test Loss: 44.756, Test Acc: 0.699
Epoch: 034, Train Loss: 50.411, Train Acc: 0.756, Test Loss: 44.771, Test Acc: 0.708
Epoch: 035, Train Loss: 50.400, Train Acc: 0.751, Test Loss: 44.777, Test Acc: 0.699
Epoch: 036, Train Loss: 50.409, Train Acc: 0.755, Test Loss: 44.771, Test Acc: 0.699
Epoch: 037, Train Loss: 50.430, Train Acc: 0.731, Test Loss: 44.827, Test Acc: 0.664
Epoch: 038, Train Loss: 50.402, Train Acc: 0.755, Test Loss: 44.765, Test Acc: 0.690
Epoch: 039, Train Loss: 50.387, Train Acc: 0.768, Test Loss: 44.808, Test Acc: 0.655
Epoch: 040, Train Loss: 50.398, Train Acc: 0.778, Test Loss: 44.782, Test Acc: 0.673
Epoch: 041, Train Loss: 50.382, Train Acc: 0.763, Test Loss: 44.773, Test Acc: 0.690
Epoch: 042, Train Loss: 50.381, Train Acc: 0.767, Test Loss: 44.785, Test Acc: 0.673
Epoch: 043, Train Loss: 50.393, Train Acc: 0.772, Test Loss: 44.766, Test Acc: 0.699
Epoch: 044, Train Loss: 50.402, Train Acc: 0.750, Test Loss: 44.766, Test Acc: 0.690
Epoch: 045, Train Loss: 50.414, Train Acc: 0.752, Test Loss: 44.757, Test Acc: 0.735
Epoch: 046, Train Loss: 50.413, Train Acc: 0.755, Test Loss: 44.776, Test Acc: 0.673
Epoch: 047, Train Loss: 50.396, Train Acc: 0.773, Test Loss: 44.764, Test Acc: 0.673
Epoch: 048, Train Loss: 50.388, Train Acc: 0.767, Test Loss: 44.786, Test Acc: 0.673
Epoch: 049, Train Loss: 50.402, Train Acc: 0.758, Test Loss: 44.759, Test Acc: 0.690
Epoch: 050, Train Loss: 50.396, Train Acc: 0.761, Test Loss: 44.770, Test Acc: 0.681
Epoch: 051, Train Loss: 50.410, Train Acc: 0.740, Test Loss: 44.786, Test Acc: 0.681
Epoch: 052, Train Loss: 50.407, Train Acc: 0.752, Test Loss: 44.786, Test Acc: 0.673
Epoch: 053, Train Loss: 50.399, Train Acc: 0.757, Test Loss: 44.795, Test Acc: 0.681
Epoch: 054, Train Loss: 50.395, Train Acc: 0.757, Test Loss: 44.773, Test Acc: 0.690
Epoch: 055, Train Loss: 50.380, Train Acc: 0.755, Test Loss: 44.802, Test Acc: 0.655
