- M: GAPNet - D: PROTEINS(1113) - Train_split: 1000 - B: 64 - Centers (if CTNet): 39 - LAP (if GAPNet): laplacian - Classes 2 - Feats 3
Epoch: 001, Train Loss: 2.836, Train Acc: 0.520, Test Loss: 1.929, Test Acc: 0.611
Epoch: 002, Train Loss: 1.618, Train Acc: 0.597, Test Loss: 1.443, Test Acc: 0.549
Epoch: 003, Train Loss: 1.432, Train Acc: 0.675, Test Loss: 1.395, Test Acc: 0.664
Epoch: 004, Train Loss: 1.414, Train Acc: 0.728, Test Loss: 1.386, Test Acc: 0.690
Epoch: 005, Train Loss: 1.364, Train Acc: 0.744, Test Loss: 1.382, Test Acc: 0.673
Epoch: 006, Train Loss: 1.378, Train Acc: 0.741, Test Loss: 1.384, Test Acc: 0.664
Epoch: 007, Train Loss: 1.372, Train Acc: 0.737, Test Loss: 1.389, Test Acc: 0.655
Epoch: 008, Train Loss: 1.352, Train Acc: 0.739, Test Loss: 1.386, Test Acc: 0.673
Epoch: 009, Train Loss: 1.346, Train Acc: 0.744, Test Loss: 1.386, Test Acc: 0.655
Epoch: 010, Train Loss: 1.347, Train Acc: 0.758, Test Loss: 1.391, Test Acc: 0.655
Epoch: 011, Train Loss: 1.346, Train Acc: 0.762, Test Loss: 1.390, Test Acc: 0.655
Epoch: 012, Train Loss: 1.338, Train Acc: 0.752, Test Loss: 1.410, Test Acc: 0.690
Epoch: 013, Train Loss: 1.332, Train Acc: 0.749, Test Loss: 1.409, Test Acc: 0.664
Epoch: 014, Train Loss: 1.329, Train Acc: 0.756, Test Loss: 1.397, Test Acc: 0.673
Epoch: 015, Train Loss: 1.320, Train Acc: 0.762, Test Loss: 1.393, Test Acc: 0.664
Epoch: 016, Train Loss: 1.307, Train Acc: 0.767, Test Loss: 1.393, Test Acc: 0.664
Epoch: 017, Train Loss: 1.312, Train Acc: 0.761, Test Loss: 1.395, Test Acc: 0.664
Epoch: 018, Train Loss: 1.296, Train Acc: 0.770, Test Loss: 1.390, Test Acc: 0.664
Epoch: 019, Train Loss: 1.299, Train Acc: 0.766, Test Loss: 1.368, Test Acc: 0.637
Epoch: 020, Train Loss: 1.276, Train Acc: 0.774, Test Loss: 1.379, Test Acc: 0.646
Epoch: 021, Train Loss: 1.265, Train Acc: 0.778, Test Loss: 1.381, Test Acc: 0.655
Epoch: 022, Train Loss: 1.284, Train Acc: 0.772, Test Loss: 1.354, Test Acc: 0.628
Epoch: 023, Train Loss: 1.266, Train Acc: 0.773, Test Loss: 1.348, Test Acc: 0.646
Epoch: 024, Train Loss: 1.250, Train Acc: 0.764, Test Loss: 1.404, Test Acc: 0.664
Epoch: 025, Train Loss: 1.267, Train Acc: 0.766, Test Loss: 1.365, Test Acc: 0.699
Epoch: 026, Train Loss: 1.215, Train Acc: 0.773, Test Loss: 1.344, Test Acc: 0.646
Epoch: 027, Train Loss: 1.219, Train Acc: 0.777, Test Loss: 1.365, Test Acc: 0.681
Epoch: 028, Train Loss: 1.217, Train Acc: 0.777, Test Loss: 1.335, Test Acc: 0.664
Epoch: 029, Train Loss: 1.187, Train Acc: 0.781, Test Loss: 1.318, Test Acc: 0.637
Epoch: 030, Train Loss: 1.207, Train Acc: 0.778, Test Loss: 1.307, Test Acc: 0.637
Epoch: 031, Train Loss: 1.193, Train Acc: 0.769, Test Loss: 1.301, Test Acc: 0.637
Epoch: 032, Train Loss: 1.184, Train Acc: 0.779, Test Loss: 1.305, Test Acc: 0.664
Epoch: 033, Train Loss: 1.197, Train Acc: 0.767, Test Loss: 1.314, Test Acc: 0.646
Epoch: 034, Train Loss: 1.188, Train Acc: 0.767, Test Loss: 1.320, Test Acc: 0.673
Epoch: 035, Train Loss: 1.171, Train Acc: 0.771, Test Loss: 1.276, Test Acc: 0.637
Epoch: 036, Train Loss: 1.145, Train Acc: 0.769, Test Loss: 1.275, Test Acc: 0.646
Epoch: 037, Train Loss: 1.174, Train Acc: 0.776, Test Loss: 1.279, Test Acc: 0.637
Epoch: 038, Train Loss: 1.155, Train Acc: 0.780, Test Loss: 1.270, Test Acc: 0.628
Epoch: 039, Train Loss: 1.139, Train Acc: 0.780, Test Loss: 1.272, Test Acc: 0.655
Epoch: 040, Train Loss: 1.132, Train Acc: 0.770, Test Loss: 1.315, Test Acc: 0.681
