- M: GAPNet - D: PROTEINS(1113) - Train_split: 1000 - B: 64 - Centers (if CTNet): 39 - LAP (if GAPNet): normalized - Classes 2 - Feats 3
Epoch: 001, Train Loss: 1.556, Train Acc: 0.583, Test Loss: 1.490, Test Acc: 0.566
Epoch: 002, Train Loss: 1.427, Train Acc: 0.600, Test Loss: 1.364, Test Acc: 0.611
Epoch: 003, Train Loss: 1.389, Train Acc: 0.701, Test Loss: 1.328, Test Acc: 0.752
Epoch: 004, Train Loss: 1.386, Train Acc: 0.722, Test Loss: 1.301, Test Acc: 0.735
Epoch: 005, Train Loss: 1.366, Train Acc: 0.735, Test Loss: 1.291, Test Acc: 0.743
Epoch: 006, Train Loss: 1.364, Train Acc: 0.743, Test Loss: 1.271, Test Acc: 0.770
Epoch: 007, Train Loss: 1.326, Train Acc: 0.742, Test Loss: 1.259, Test Acc: 0.735
Epoch: 008, Train Loss: 1.330, Train Acc: 0.755, Test Loss: 1.240, Test Acc: 0.761
Epoch: 009, Train Loss: 1.318, Train Acc: 0.744, Test Loss: 1.225, Test Acc: 0.752
Epoch: 010, Train Loss: 1.322, Train Acc: 0.745, Test Loss: 1.208, Test Acc: 0.743
Epoch: 011, Train Loss: 1.302, Train Acc: 0.741, Test Loss: 1.186, Test Acc: 0.770
Epoch: 012, Train Loss: 1.300, Train Acc: 0.746, Test Loss: 1.185, Test Acc: 0.743
Epoch: 013, Train Loss: 1.285, Train Acc: 0.742, Test Loss: 1.153, Test Acc: 0.752
Epoch: 014, Train Loss: 1.264, Train Acc: 0.739, Test Loss: 1.141, Test Acc: 0.735
Epoch: 015, Train Loss: 1.271, Train Acc: 0.755, Test Loss: 1.125, Test Acc: 0.743
Epoch: 016, Train Loss: 1.262, Train Acc: 0.747, Test Loss: 1.108, Test Acc: 0.761
Epoch: 017, Train Loss: 1.251, Train Acc: 0.742, Test Loss: 1.098, Test Acc: 0.743
Epoch: 018, Train Loss: 1.237, Train Acc: 0.752, Test Loss: 1.096, Test Acc: 0.717
Epoch: 019, Train Loss: 1.240, Train Acc: 0.750, Test Loss: 1.066, Test Acc: 0.743
Epoch: 020, Train Loss: 1.220, Train Acc: 0.750, Test Loss: 1.056, Test Acc: 0.770
Epoch: 021, Train Loss: 1.223, Train Acc: 0.752, Test Loss: 1.056, Test Acc: 0.779
Epoch: 022, Train Loss: 1.214, Train Acc: 0.746, Test Loss: 1.043, Test Acc: 0.743
Epoch: 023, Train Loss: 1.236, Train Acc: 0.751, Test Loss: 1.028, Test Acc: 0.761
Epoch: 024, Train Loss: 1.187, Train Acc: 0.749, Test Loss: 1.032, Test Acc: 0.770
Epoch: 025, Train Loss: 1.184, Train Acc: 0.758, Test Loss: 1.007, Test Acc: 0.761
Epoch: 026, Train Loss: 1.194, Train Acc: 0.755, Test Loss: 0.997, Test Acc: 0.761
Epoch: 027, Train Loss: 1.163, Train Acc: 0.760, Test Loss: 1.003, Test Acc: 0.770
Epoch: 028, Train Loss: 1.160, Train Acc: 0.754, Test Loss: 0.970, Test Acc: 0.743
Epoch: 029, Train Loss: 1.175, Train Acc: 0.744, Test Loss: 0.993, Test Acc: 0.743
Epoch: 030, Train Loss: 1.160, Train Acc: 0.761, Test Loss: 0.974, Test Acc: 0.779
Epoch: 031, Train Loss: 1.155, Train Acc: 0.761, Test Loss: 0.968, Test Acc: 0.770
Epoch: 032, Train Loss: 1.171, Train Acc: 0.753, Test Loss: 0.977, Test Acc: 0.761
Epoch: 033, Train Loss: 1.166, Train Acc: 0.759, Test Loss: 0.964, Test Acc: 0.770
Epoch: 034, Train Loss: 1.129, Train Acc: 0.750, Test Loss: 0.963, Test Acc: 0.726
Epoch: 035, Train Loss: 1.163, Train Acc: 0.753, Test Loss: 0.953, Test Acc: 0.752
Epoch: 036, Train Loss: 1.097, Train Acc: 0.749, Test Loss: 0.962, Test Acc: 0.761
