- M: GAPNet - D: PROTEINS(1113) - Train_split: 1000 - B: 64 - Centers (if CTNet): 39 - LAP (if GAPNet): normalizedv2 - Classes 2 - Feats 3
Epoch: 001, Train Loss: 1.448, Train Acc: 0.678, Test Loss: 1.436, Test Acc: 0.708
Epoch: 002, Train Loss: 1.362, Train Acc: 0.736, Test Loss: 1.403, Test Acc: 0.726
Epoch: 003, Train Loss: 1.347, Train Acc: 0.741, Test Loss: 1.400, Test Acc: 0.726
Epoch: 004, Train Loss: 1.336, Train Acc: 0.739, Test Loss: 1.397, Test Acc: 0.752
Epoch: 005, Train Loss: 1.332, Train Acc: 0.741, Test Loss: 1.359, Test Acc: 0.726
Epoch: 006, Train Loss: 1.316, Train Acc: 0.740, Test Loss: 1.361, Test Acc: 0.735
Epoch: 007, Train Loss: 1.329, Train Acc: 0.746, Test Loss: 1.385, Test Acc: 0.752
Epoch: 008, Train Loss: 1.319, Train Acc: 0.749, Test Loss: 1.359, Test Acc: 0.752
Epoch: 009, Train Loss: 1.296, Train Acc: 0.754, Test Loss: 1.362, Test Acc: 0.752
Epoch: 010, Train Loss: 1.297, Train Acc: 0.750, Test Loss: 1.352, Test Acc: 0.752
Epoch: 011, Train Loss: 1.304, Train Acc: 0.746, Test Loss: 1.351, Test Acc: 0.752
Epoch: 012, Train Loss: 1.291, Train Acc: 0.748, Test Loss: 1.310, Test Acc: 0.761
Epoch: 013, Train Loss: 1.288, Train Acc: 0.752, Test Loss: 1.301, Test Acc: 0.770
Epoch: 014, Train Loss: 1.280, Train Acc: 0.752, Test Loss: 1.322, Test Acc: 0.743
Epoch: 015, Train Loss: 1.266, Train Acc: 0.759, Test Loss: 1.300, Test Acc: 0.743
Epoch: 016, Train Loss: 1.243, Train Acc: 0.756, Test Loss: 1.293, Test Acc: 0.735
Epoch: 017, Train Loss: 1.244, Train Acc: 0.758, Test Loss: 1.268, Test Acc: 0.796
Epoch: 018, Train Loss: 1.221, Train Acc: 0.748, Test Loss: 1.284, Test Acc: 0.735
Epoch: 019, Train Loss: 1.230, Train Acc: 0.745, Test Loss: 1.278, Test Acc: 0.752
Epoch: 020, Train Loss: 1.231, Train Acc: 0.755, Test Loss: 1.275, Test Acc: 0.796
Epoch: 021, Train Loss: 1.209, Train Acc: 0.763, Test Loss: 1.267, Test Acc: 0.752
Epoch: 022, Train Loss: 1.190, Train Acc: 0.758, Test Loss: 1.268, Test Acc: 0.743
Epoch: 023, Train Loss: 1.197, Train Acc: 0.759, Test Loss: 1.263, Test Acc: 0.779
Epoch: 024, Train Loss: 1.203, Train Acc: 0.752, Test Loss: 1.264, Test Acc: 0.735
Epoch: 025, Train Loss: 1.187, Train Acc: 0.759, Test Loss: 1.256, Test Acc: 0.752
Epoch: 026, Train Loss: 1.160, Train Acc: 0.752, Test Loss: 1.242, Test Acc: 0.779
Epoch: 027, Train Loss: 1.191, Train Acc: 0.748, Test Loss: 1.241, Test Acc: 0.770
Epoch: 028, Train Loss: 1.158, Train Acc: 0.757, Test Loss: 1.220, Test Acc: 0.743
Epoch: 029, Train Loss: 1.139, Train Acc: 0.748, Test Loss: 1.230, Test Acc: 0.796
Epoch: 030, Train Loss: 1.159, Train Acc: 0.760, Test Loss: 1.241, Test Acc: 0.761
Epoch: 031, Train Loss: 1.123, Train Acc: 0.754, Test Loss: 1.237, Test Acc: 0.761
Epoch: 032, Train Loss: 1.152, Train Acc: 0.756, Test Loss: 1.222, Test Acc: 0.726
Epoch: 033, Train Loss: 1.119, Train Acc: 0.751, Test Loss: 1.237, Test Acc: 0.770
Epoch: 034, Train Loss: 1.132, Train Acc: 0.751, Test Loss: 1.219, Test Acc: 0.735
Epoch: 035, Train Loss: 1.126, Train Acc: 0.759, Test Loss: 1.212, Test Acc: 0.779
Epoch: 036, Train Loss: 1.103, Train Acc: 0.761, Test Loss: 1.209, Test Acc: 0.752
Epoch: 037, Train Loss: 1.106, Train Acc: 0.757, Test Loss: 1.211, Test Acc: 0.788
Epoch: 038, Train Loss: 1.094, Train Acc: 0.761, Test Loss: 1.220, Test Acc: 0.761
Epoch: 039, Train Loss: 1.111, Train Acc: 0.757, Test Loss: 1.223, Test Acc: 0.735
Epoch: 040, Train Loss: 1.100, Train Acc: 0.759, Test Loss: 1.210, Test Acc: 0.761
Epoch: 041, Train Loss: 1.098, Train Acc: 0.759, Test Loss: 1.202, Test Acc: 0.743
Epoch: 042, Train Loss: 1.136, Train Acc: 0.762, Test Loss: 1.223, Test Acc: 0.761
Epoch: 043, Train Loss: 1.099, Train Acc: 0.759, Test Loss: 1.215, Test Acc: 0.752
Epoch: 044, Train Loss: 1.092, Train Acc: 0.760, Test Loss: 1.198, Test Acc: 0.752
Epoch: 045, Train Loss: 1.106, Train Acc: 0.765, Test Loss: 1.210, Test Acc: 0.796
Epoch: 046, Train Loss: 1.091, Train Acc: 0.759, Test Loss: 1.200, Test Acc: 0.805
Epoch: 047, Train Loss: 1.073, Train Acc: 0.759, Test Loss: 1.190, Test Acc: 0.779
Epoch: 048, Train Loss: 1.114, Train Acc: 0.761, Test Loss: 1.190, Test Acc: 0.779
Epoch: 049, Train Loss: 1.071, Train Acc: 0.764, Test Loss: 1.217, Test Acc: 0.743
Epoch: 050, Train Loss: 1.126, Train Acc: 0.753, Test Loss: 1.191, Test Acc: 0.726
Epoch: 051, Train Loss: 1.098, Train Acc: 0.754, Test Loss: 1.225, Test Acc: 0.788
Epoch: 052, Train Loss: 1.114, Train Acc: 0.754, Test Loss: 1.201, Test Acc: 0.761
Epoch: 053, Train Loss: 1.124, Train Acc: 0.762, Test Loss: 1.193, Test Acc: 0.788
Epoch: 054, Train Loss: 1.104, Train Acc: 0.765, Test Loss: 1.201, Test Acc: 0.788
Epoch: 055, Train Loss: 1.077, Train Acc: 0.762, Test Loss: 1.179, Test Acc: 0.779
Epoch: 056, Train Loss: 1.104, Train Acc: 0.757, Test Loss: 1.174, Test Acc: 0.779
Epoch: 057, Train Loss: 1.095, Train Acc: 0.760, Test Loss: 1.196, Test Acc: 0.735
Epoch: 058, Train Loss: 1.101, Train Acc: 0.765, Test Loss: 1.176, Test Acc: 0.770
Epoch: 059, Train Loss: 1.087, Train Acc: 0.761, Test Loss: 1.189, Test Acc: 0.743
Result of run 0.000 is 0.743
Epoch: 001, Train Loss: 1.405, Train Acc: 0.691, Test Loss: 1.569, Test Acc: 0.646
Epoch: 002, Train Loss: 1.378, Train Acc: 0.728, Test Loss: 1.576, Test Acc: 0.673
Epoch: 003, Train Loss: 1.371, Train Acc: 0.750, Test Loss: 1.513, Test Acc: 0.699
Epoch: 004, Train Loss: 1.372, Train Acc: 0.733, Test Loss: 1.570, Test Acc: 0.699
Epoch: 005, Train Loss: 1.326, Train Acc: 0.732, Test Loss: 1.579, Test Acc: 0.681
Epoch: 006, Train Loss: 1.323, Train Acc: 0.750, Test Loss: 1.505, Test Acc: 0.717
Epoch: 007, Train Loss: 1.337, Train Acc: 0.742, Test Loss: 1.543, Test Acc: 0.717
