- M: CTNet - D: COLLAB(5000) - Train_split: 4500 - B: 64 - Centers (if CTNet): 75 - LAP (if GAPNet): laplacian - Classes 3 - Feats 1
Epoch: 001, Train Loss: 140.036, Train Acc: 0.433, Test Loss: 61.596, Test Acc: 0.399
Epoch: 002, Train Loss: 72.619, Train Acc: 0.609, Test Loss: 56.413, Test Acc: 0.685
Epoch: 003, Train Loss: 70.398, Train Acc: 0.659, Test Loss: 56.485, Test Acc: 0.627
Epoch: 004, Train Loss: 70.238, Train Acc: 0.676, Test Loss: 56.131, Test Acc: 0.698
Epoch: 005, Train Loss: 74.005, Train Acc: 0.572, Test Loss: 68.390, Test Acc: 0.592
Epoch: 006, Train Loss: 73.555, Train Acc: 0.607, Test Loss: 57.328, Test Acc: 0.597
Epoch: 007, Train Loss: 71.133, Train Acc: 0.659, Test Loss: 56.392, Test Acc: 0.668
Epoch: 008, Train Loss: 70.497, Train Acc: 0.673, Test Loss: 56.158, Test Acc: 0.641
Epoch: 009, Train Loss: 70.033, Train Acc: 0.668, Test Loss: 55.719, Test Acc: 0.720
Epoch: 010, Train Loss: 70.262, Train Acc: 0.660, Test Loss: 55.792, Test Acc: 0.695
Epoch: 011, Train Loss: 69.829, Train Acc: 0.683, Test Loss: 55.724, Test Acc: 0.670
Epoch: 012, Train Loss: 71.236, Train Acc: 0.597, Test Loss: 55.733, Test Acc: 0.705
Epoch: 013, Train Loss: 69.794, Train Acc: 0.691, Test Loss: 55.553, Test Acc: 0.706
Epoch: 014, Train Loss: 69.919, Train Acc: 0.677, Test Loss: 55.623, Test Acc: 0.741
Epoch: 015, Train Loss: 70.721, Train Acc: 0.651, Test Loss: 55.678, Test Acc: 0.709
Epoch: 016, Train Loss: 69.875, Train Acc: 0.689, Test Loss: 62.377, Test Acc: 0.334
Epoch: 017, Train Loss: 71.270, Train Acc: 0.640, Test Loss: 55.620, Test Acc: 0.684
Epoch: 018, Train Loss: 69.829, Train Acc: 0.679, Test Loss: 55.575, Test Acc: 0.721
Epoch: 019, Train Loss: 69.719, Train Acc: 0.699, Test Loss: 55.528, Test Acc: 0.722
Epoch: 020, Train Loss: 69.784, Train Acc: 0.685, Test Loss: 55.669, Test Acc: 0.672
Epoch: 021, Train Loss: 69.834, Train Acc: 0.682, Test Loss: 55.473, Test Acc: 0.704
Epoch: 022, Train Loss: 69.825, Train Acc: 0.681, Test Loss: 55.593, Test Acc: 0.726
Epoch: 023, Train Loss: 69.699, Train Acc: 0.700, Test Loss: 55.451, Test Acc: 0.683
Epoch: 024, Train Loss: 69.733, Train Acc: 0.695, Test Loss: 55.607, Test Acc: 0.716
Epoch: 025, Train Loss: 69.759, Train Acc: 0.696, Test Loss: 55.492, Test Acc: 0.702
Epoch: 026, Train Loss: 69.740, Train Acc: 0.679, Test Loss: 55.693, Test Acc: 0.669
Epoch: 027, Train Loss: 69.675, Train Acc: 0.713, Test Loss: 55.393, Test Acc: 0.675
Epoch: 028, Train Loss: 69.660, Train Acc: 0.714, Test Loss: 55.496, Test Acc: 0.724
Epoch: 029, Train Loss: 71.745, Train Acc: 0.620, Test Loss: 60.316, Test Acc: 0.352
Epoch: 030, Train Loss: 77.575, Train Acc: 0.548, Test Loss: 56.318, Test Acc: 0.694
Epoch: 031, Train Loss: 70.418, Train Acc: 0.683, Test Loss: 55.764, Test Acc: 0.703
Epoch: 032, Train Loss: 70.050, Train Acc: 0.683, Test Loss: 55.578, Test Acc: 0.729
Epoch: 033, Train Loss: 69.929, Train Acc: 0.683, Test Loss: 55.712, Test Acc: 0.619
Epoch: 034, Train Loss: 69.956, Train Acc: 0.671, Test Loss: 55.619, Test Acc: 0.685
Epoch: 035, Train Loss: 69.923, Train Acc: 0.681, Test Loss: 55.577, Test Acc: 0.708
Epoch: 036, Train Loss: 69.804, Train Acc: 0.704, Test Loss: 55.541, Test Acc: 0.728
Epoch: 037, Train Loss: 69.979, Train Acc: 0.692, Test Loss: 55.669, Test Acc: 0.743
Epoch: 038, Train Loss: 70.591, Train Acc: 0.663, Test Loss: 55.496, Test Acc: 0.716
Epoch: 039, Train Loss: 69.879, Train Acc: 0.688, Test Loss: 55.555, Test Acc: 0.641
Epoch: 040, Train Loss: 69.814, Train Acc: 0.695, Test Loss: 55.527, Test Acc: 0.724
Epoch: 041, Train Loss: 69.774, Train Acc: 0.702, Test Loss: 55.599, Test Acc: 0.682
Epoch: 042, Train Loss: 69.780, Train Acc: 0.695, Test Loss: 55.464, Test Acc: 0.736
Epoch: 043, Train Loss: 69.699, Train Acc: 0.694, Test Loss: 55.508, Test Acc: 0.730
Epoch: 044, Train Loss: 69.723, Train Acc: 0.694, Test Loss: 55.792, Test Acc: 0.668
Epoch: 045, Train Loss: 69.705, Train Acc: 0.707, Test Loss: 55.312, Test Acc: 0.729
Epoch: 046, Train Loss: 69.651, Train Acc: 0.712, Test Loss: 55.420, Test Acc: 0.714
Epoch: 047, Train Loss: 69.666, Train Acc: 0.703, Test Loss: 55.494, Test Acc: 0.709
Epoch: 048, Train Loss: 69.670, Train Acc: 0.702, Test Loss: 55.361, Test Acc: 0.689
Epoch: 049, Train Loss: 69.722, Train Acc: 0.702, Test Loss: 55.408, Test Acc: 0.671
Epoch: 050, Train Loss: 69.754, Train Acc: 0.685, Test Loss: 55.444, Test Acc: 0.657
Epoch: 051, Train Loss: 69.713, Train Acc: 0.700, Test Loss: 55.346, Test Acc: 0.742
Epoch: 052, Train Loss: 69.699, Train Acc: 0.701, Test Loss: 55.499, Test Acc: 0.724
Epoch: 053, Train Loss: 69.721, Train Acc: 0.691, Test Loss: 55.347, Test Acc: 0.757
Epoch: 054, Train Loss: 69.715, Train Acc: 0.698, Test Loss: 55.347, Test Acc: 0.739
Epoch: 055, Train Loss: 69.655, Train Acc: 0.696, Test Loss: 55.377, Test Acc: 0.730
Epoch: 056, Train Loss: 69.697, Train Acc: 0.698, Test Loss: 55.330, Test Acc: 0.689
Epoch: 057, Train Loss: 69.881, Train Acc: 0.675, Test Loss: 55.476, Test Acc: 0.681
Epoch: 058, Train Loss: 69.659, Train Acc: 0.708, Test Loss: 55.500, Test Acc: 0.657
Epoch: 059, Train Loss: 69.728, Train Acc: 0.700, Test Loss: 55.415, Test Acc: 0.718
Result of run 0.000 is 0.718
Test Acc of 10 execs [0.718]
0.718 +- 0.0
