- M: CTNet - D: IMDB-BINARY(1000) - Train_split: 800 - B: 64 - Centers (if CTNet): 20 - LAP (if GAPNet): laplacian - Classes 2 - Feats 1
Epoch: 001, Train Loss: 36.260, Train Acc: 0.535, Test Loss: 14.025, Test Acc: 0.480
Epoch: 002, Train Loss: 35.795, Train Acc: 0.547, Test Loss: 13.413, Test Acc: 0.505
Epoch: 003, Train Loss: 35.787, Train Acc: 0.479, Test Loss: 13.657, Test Acc: 0.500
Epoch: 004, Train Loss: 35.672, Train Acc: 0.547, Test Loss: 13.408, Test Acc: 0.550
Epoch: 005, Train Loss: 35.529, Train Acc: 0.598, Test Loss: 13.567, Test Acc: 0.510
Epoch: 006, Train Loss: 35.512, Train Acc: 0.591, Test Loss: 13.488, Test Acc: 0.580
Epoch: 007, Train Loss: 35.484, Train Acc: 0.611, Test Loss: 13.455, Test Acc: 0.570
Epoch: 008, Train Loss: 35.481, Train Acc: 0.630, Test Loss: 13.467, Test Acc: 0.630
Epoch: 009, Train Loss: 35.441, Train Acc: 0.636, Test Loss: 13.510, Test Acc: 0.665
Epoch: 010, Train Loss: 35.521, Train Acc: 0.600, Test Loss: 13.442, Test Acc: 0.645
Epoch: 011, Train Loss: 35.456, Train Acc: 0.654, Test Loss: 13.447, Test Acc: 0.615
Epoch: 012, Train Loss: 35.405, Train Acc: 0.669, Test Loss: 13.407, Test Acc: 0.605
Epoch: 013, Train Loss: 35.423, Train Acc: 0.659, Test Loss: 13.586, Test Acc: 0.630
Epoch: 014, Train Loss: 35.412, Train Acc: 0.682, Test Loss: 13.548, Test Acc: 0.635
Epoch: 015, Train Loss: 35.411, Train Acc: 0.693, Test Loss: 13.505, Test Acc: 0.625
Epoch: 016, Train Loss: 35.393, Train Acc: 0.685, Test Loss: 13.538, Test Acc: 0.630
Epoch: 017, Train Loss: 35.500, Train Acc: 0.645, Test Loss: 13.616, Test Acc: 0.545
Epoch: 018, Train Loss: 35.531, Train Acc: 0.605, Test Loss: 13.620, Test Acc: 0.630
Epoch: 019, Train Loss: 35.419, Train Acc: 0.656, Test Loss: 13.526, Test Acc: 0.675
Epoch: 020, Train Loss: 35.410, Train Acc: 0.677, Test Loss: 13.484, Test Acc: 0.605
Epoch: 021, Train Loss: 35.441, Train Acc: 0.667, Test Loss: 13.473, Test Acc: 0.660
Epoch: 022, Train Loss: 35.407, Train Acc: 0.677, Test Loss: 13.469, Test Acc: 0.615
Epoch: 023, Train Loss: 35.408, Train Acc: 0.661, Test Loss: 13.461, Test Acc: 0.675
Epoch: 024, Train Loss: 35.435, Train Acc: 0.642, Test Loss: 13.642, Test Acc: 0.620
Epoch: 025, Train Loss: 35.386, Train Acc: 0.669, Test Loss: 13.687, Test Acc: 0.645
Epoch: 026, Train Loss: 35.418, Train Acc: 0.667, Test Loss: 13.549, Test Acc: 0.675
Epoch: 027, Train Loss: 35.405, Train Acc: 0.667, Test Loss: 13.475, Test Acc: 0.595
Epoch: 028, Train Loss: 35.444, Train Acc: 0.684, Test Loss: 13.495, Test Acc: 0.680
Epoch: 029, Train Loss: 35.350, Train Acc: 0.691, Test Loss: 13.482, Test Acc: 0.665
Epoch: 030, Train Loss: 35.352, Train Acc: 0.681, Test Loss: 13.590, Test Acc: 0.655
Epoch: 031, Train Loss: 35.394, Train Acc: 0.690, Test Loss: 13.611, Test Acc: 0.625
Epoch: 032, Train Loss: 35.465, Train Acc: 0.659, Test Loss: 13.621, Test Acc: 0.695
Epoch: 033, Train Loss: 35.389, Train Acc: 0.677, Test Loss: 13.501, Test Acc: 0.640
Epoch: 034, Train Loss: 35.388, Train Acc: 0.698, Test Loss: 13.540, Test Acc: 0.675
